GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,Change_1950_2019,LinReg_1950_2019_Intercept,LinReg_1950_2019_Slope,LinReg_1950_2019_R_Squared,Change_1970_2019,LinReg_1970_2019_Intercept,LinReg_1970_2019_Slope,LinReg_1970_2019_R_Squared
FRA,FR.LP,France,Occitanie,,FRA,FR.LP,France,Occitanie,,4.596028128844859,-149.68446000580107,0.08090371199240833,0.8516170061276308,4.1146319442865185,-156.06552345783246,0.08410670898072173,0.7399851308053144
FRA,FR.PL,France,Pays de la Loire,,FRA,FR.PL,France,Pays de la Loire,,1.9915935287961748,-51.97172940499945,0.03215593031209276,0.6089827440696638,2.1099407835877315,-65.32417543861118,0.03883788244118071,0.5536081584979609
FRA,FR.PR,France,Provence-Alpes-C�te d'Azur,,FRA,FR.PR,France,Provence-Alpes-C�te d'Azur,,3.6537910664037963,-88.19844933066977,0.0498847170854107,0.8658181323930866,2.629611599401688,-83.60918234432361,0.047595225846350946,0.7655849049488641
FRA,FR.AR,France,Auvergne-Rh�ne-Alpes,,FRA,FR.AR,France,Auvergne-Rh�ne-Alpes,,4.8080184459686235,-164.5767007543219,0.08722244372665938,0.874021972505142,4.3316427842258305,-168.30019161816415,0.08909668186862518,0.7787819557744304
FRA,FR.BF,France,Bourgogne-Franche-Comt�,,FRA,FR.BF,France,Bourgogne-Franche-Comt�,,1.9431238762964202,-49.35077092896532,0.030226685014548046,0.5704033490778363,2.1541024120774726,-76.35091354691288,0.04372797010907152,0.6356595342246246
FRA,FR.BT,France,Bretagne,,FRA,FR.BT,France,Bretagne,,1.6206950777946112,-43.23751446833512,0.027602187694770425,0.5661204786702818,1.707503863341989,-57.887933631272375,0.03493220723314823,0.5354379096437478
FRA,FR.CN,France,Centre-Val de Loire,,FRA,FR.CN,France,Centre-Val de Loire,,1.879732819197633,-51.49451204278519,0.031498742627134556,0.580016228627047,2.2193248628359648,-70.24825532653028,0.04088123833056197,0.5731968666560268
FRA,FR.AO,France,Grand Est,,FRA,FR.AO,France,Grand Est,,1.5853615558854628,-38.65685681464856,0.024670663245976956,0.47337740063558864,1.90244473485504,-56.54417231999636,0.03361765194882863,0.4949446746371188
FRA,FR.NC,France,Hauts-de-France,,FRA,FR.NC,France,Hauts-de-France,,1.331770833083949,-34.88793560986018,0.02286918566879364,0.4219278469250598,1.7118323761682124,-58.84484344257871,0.03485209741699129,0.5049669554248187
FRA,FR.IF,France,�le-de-France,,FRA,FR.IF,France,�le-de-France,,1.5655362418338363,-41.835228668144026,0.02664621107445437,0.4949918868278823,1.9479904513212123,-64.05928273456168,0.037763230051291105,0.5408934158030283
FRA,FR.ND,France,Normandie,,FRA,FR.ND,France,Normandie,,1.6376657540381139,-42.73713431060116,0.026905220744095095,0.5074130147240119,1.9777928143805141,-66.42325431311781,0.03875371444028138,0.5633092546020981
FRA,FR.AC,France,Nouvelle-Aquitaine,,FRA,FR.AC,France,Nouvelle-Aquitaine,,3.519118276881926,-109.17455663646618,0.060819423242051654,0.8065370396760638,3.383501529902304,-116.07160667958425,0.06427810029270188,0.6934929524335464
FRA,FR.CE,France,Corse,Corsica,FRA,FR.CE,France,Corse,Corsica,1.6651243600786358,-37.092644715298974,0.02547610425891231,0.5848743012916184,1.7059629188890586,-66.77163589854155,0.040316992873126865,0.7140765035139811
