GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,United States,USA.1_1,Alabama,AL|Ala.,,State,State,,US.AL,17.913686615381508,18.210724913768303,18.012611692379703,18.254890598394955,18.43556101872373,17.986698747292568,18.090288416544613,18.261313619369137,16.792179410885556,17.735128510304005,17.022932355831852,17.178237191224735,17.772019518338737,17.0202402065962,17.355672454834007,17.68341314853768,17.08328507252231,17.25275710668322,16.718208665114204,16.93899028484641,17.29621790372411,17.589679629986133,17.82253227233889,17.77408923613722,17.79246756724825,17.661186130230274,16.511361645429584,17.580352939703545,17.18903831090685,16.913801643175976,17.55257988954204,17.29487229371684,18.049410609709938,16.69948735359389,17.537980260604495,17.587071110652065,18.209390845665595,17.692083270733203,17.19823681758002,17.24051256424343,18.64801295353819,18.177141150450126,17.248593120085914,17.377323160416058,17.743685609866432,17.718624907273533,17.125208840003406,17.362867805285358,18.87961799425959,18.391057146512566,17.942468359531528,17.75983938559509,18.090736936911586,17.628019342667045,18.0318303817358,18.01543618226665,18.365948955829356,18.42330488547303,17.600371981889793,17.665432915320796,17.434955362173245,18.12157377585389,18.818814116257915,17.574711295885944,17.28355775490788,18.77293538802712,19.14070511842387,19.01413370768231,18.708701803745384,19.09681731982111
USA,United States,USA.2_1,Alaska,AK|Alaska,,State,State,,US.AK,-5.0518843892415175,-5.565354486536066,-5.484273359510614,-5.0820479171187545,-5.7900844070999495,-6.651779232448971,-7.459630355269799,-3.8049015288176147,-4.496526724356175,-5.970573313395161,-4.6901459655761455,-6.477244410762059,-4.661772543447959,-4.7747324682164916,-6.6055800374348665,-5.813981549298295,-6.406526065402541,-4.530483731870274,-5.4594590024594725,-4.556582137496361,-5.516883165147536,-7.181337657787161,-6.48051178656682,-5.8376996301721436,-6.302551743118833,-6.622781479446954,-5.09407618769891,-4.408423073097488,-3.4505422103316525,-4.33415458396627,-4.695965948034193,-3.1422778501157254,-5.430644154866504,-4.629930287679005,-5.474362175835481,-4.859188569245497,-4.415679168701156,-3.970996986671698,-4.264217107702161,-4.4302569772225615,-5.170819971155214,-4.422233070656081,-5.390748677571591,-2.8843407728406922,-4.878965941252512,-4.119216038456642,-5.324966012460185,-3.7135687967935973,-3.4984841749403066,-6.069449769196659,-3.7709504021538414,-4.1483193449797255,-2.766424509684228,-3.1193105807834036,-3.132204807987897,-3.254584099663608,-4.5809604831271535,-3.720297516999397,-5.282402600323695,-4.435771120424599,-3.91842121152523,-4.179238951506409,-5.7146696042661125,-3.741897122983559,-2.3590170231571648,-2.5570462262188727,-1.5560918398256358,-3.0091126460322406,-2.324782172309009,-1.5101148399070279
USA,United States,USA.3_1,Arizona,AZ|Ariz.,,State,State,,US.AZ,16.09782458730155,15.09488524490404,15.005737682781415,15.329317274065511,16.14266220137787,14.75982285221068,15.34801619988277,15.508429171131795,16.011792248751235,15.909579809858405,15.471637012402946,15.330803993247622,15.609048529430845,15.577057645454545,14.408576353180052,14.784882217452259,15.471968857306658,15.234970943484711,15.02465671325505,15.607109087828698,15.158429031597146,14.700154707917088,15.418606463857126,14.897274676747761,15.379307137548409,14.449646284165311,15.02111352341015,15.721334964898512,15.62718274501926,15.00599863508108,15.735191903353458,16.38546500416986,15.027119769881281,15.349830307862069,15.552329967577569,15.509744757818282,16.027957135315862,15.395479203395809,16.01387174263115,16.443672535764108,15.682375067876881,15.415031923727321,15.617561808448295,15.755162012330922,16.105295092377364,16.29262119169435,16.79222000707219,16.20284626378425,15.62323344182829,16.129763595896154,16.647418915065003,16.441681308802625,16.412655040999805,16.948347509153493,16.18105761322654,16.490799665873052,16.519110841104094,16.756692212310185,16.268609304062412,16.498761130363906,16.181316630045597,16.07898590177915,17.052441460263434,16.20181388742454,16.927182645994666,16.595438072182105,16.912617929284224,17.16264723156056,17.111541158400474,15.899128822169146
USA,United States,USA.4_1,Arkansas,AR|Ark.,,State,State,,US.AR,16.275120683149893,16.47554811419865,16.935984709768608,17.338564462372776,17.84856114243018,16.745742289225277,17.144136278557074,16.604727450284113,15.547803289240084,16.23463615648676,15.624363523541097,15.770061007413014,16.471939872972914,16.453651428222685,16.613894052216523,16.833651455965924,15.812817567767544,16.15550009987574,15.487321102257956,15.923681640625025,16.073470098322115,16.50343960848723,16.272030500932193,16.49183687152286,16.287637144146572,16.06271168101919,15.48492445512253,16.586651565089387,15.724879501805185,15.177306389086192,16.517560877944515,16.28127214836354,16.148245377974106,15.502908695105376,16.148621252811335,15.925245620265173,16.933181392785297,16.71503055456915,16.0677272912228,15.509106537790027,17.093847563772517,16.753025078051042,16.070867226340578,15.726499384099816,16.381227158055182,16.400063809481562,15.877015269886376,15.867848575476463,17.801882610899053,17.352696644176163,16.670120701645384,16.761970057632002,16.377424205433257,16.263431248520376,16.677806137547368,17.166215330181714,17.299791740648704,17.089442073937644,16.01054895574399,16.066454430782453,16.748033558238664,17.151776076808147,18.050378556685033,15.928484737511866,15.295090369022285,16.922578846324594,17.82710631399446,17.67404433741716,16.729167129054236,16.722764217492326
USA,United States,USA.5_1,California,CA|Calif.,,State,State,,US.CA,13.131031837759116,12.682372310549747,12.558013711973706,12.732949104604813,12.86792135904004,12.256022611514567,12.648614250597134,12.869224566082641,13.80230117324713,13.77119185869086,13.167359525103938,13.017195105737514,12.720096945947475,12.73782502699271,12.434098830703642,12.524442912257015,13.201831347443365,12.96157435040143,13.032343534720988,12.953158773377913,13.190484308642032,12.372519429524763,12.884665322118982,12.834780215477773,13.009544552943524,12.255111431151414,12.97720919764321,13.244874129184476,13.239675140380882,13.22176197259003,13.27266002921173,14.009820734068434,12.42010508692544,13.249244308471702,13.508687074055066,12.811185455322283,13.727247802970973,13.45179750309436,13.68782936805905,13.265479926175871,13.307010875376642,13.30772772796396,14.067193204303143,13.240203402023928,13.121618199902949,13.80445582663368,14.041293524217252,13.983245793423938,12.778506289341669,13.046244971696742,13.612533749720862,13.68607559795529,13.463081362820438,13.99353854157206,13.796999438973382,13.630124339022387,13.594097421335642,13.584324950580466,13.59313292392467,13.592373725240558,13.21297329451689,12.936490808531312,13.967160944975651,13.924689850326677,15.212141631370386,14.690846335241067,14.50670029691949,14.53151646991111,14.313154341823397,13.762424338880455
USA,United States,USA.6_1,Colorado,CO|Colo.,,State,State,,US.CO,7.217931229727635,6.119132477896566,6.522455310821556,7.239318557012666,8.161242444174652,6.508400626409653,7.032046436128188,6.463407543727352,7.157113352276052,6.7389433088757045,6.502738094329861,6.255297597249367,7.01787933167959,7.636488056182878,6.223884064810633,6.52111664726623,6.749181956336632,6.808623363858193,6.15838898250036,6.677529884520051,6.456131235758487,6.219858378455778,6.557827272869318,5.973038780121608,6.558191758110435,6.064181831904851,6.691666516803589,7.612388411022394,6.626547817956862,6.0816028617677445,7.422619006747316,8.115431676592166,6.401692099798315,6.634003212338423,6.172938907714131,6.357688976469518,7.604657359350322,6.910848213377477,6.802462695893799,6.9801562331971825,7.615148480733258,7.2200102624439255,7.186268266042096,6.5375372841244825,8.154910818735791,7.702770941598094,7.80929277510872,7.125662694658573,7.944735531579904,8.20602676300778,8.416026891980877,8.188905879429432,7.878251647949246,8.504403641110386,7.78886482147945,8.384883975982683,8.321171265556728,7.908678785959903,7.274296628861222,7.499739378974563,7.984541715894451,7.6255834034511265,9.177068510509693,7.352395993187334,8.039308257330049,8.72041250864667,8.671890558515301,8.86102663221815,8.62008958089921,7.326546605428082
USA,United States,USA.7_1,Connecticut,CT|Conn.,,State,State,,US.CT,9.588499450683619,10.201502990722688,10.445831298828159,11.05467224121096,10.053999837239607,10.102834574381538,9.488999430338572,10.361002095540394,8.905333964029973,10.305833943684926,9.579502360026064,9.693332417806014,8.974998982747408,9.209000651041682,9.76450042724611,9.400500488281281,9.677168273925815,9.177332560221382,9.589334615071635,9.6934992472331,9.712331644694032,9.834667460123717,9.169667053222682,10.655333455403678,9.805667622884139,10.236833699544297,9.307831319173209,9.738999938964866,8.881000264485698,9.848003641764345,9.62116546630862,9.704999287923195,9.540669250488298,10.335503133138047,10.1503356933594,9.963335673014342,9.789164225260444,9.910667928059922,9.656167093912785,9.475000508626328,11.11899719238283,11.178007507324248,9.353837076822936,9.846333821614607,9.944998677571638,10.163504028320332,9.604000345865908,9.778500874837263,11.460167948404964,11.032500712076844,9.819334920247423,10.794167582194035,11.031333414713567,9.68317311604819,10.135001627604192,10.55166931152346,11.403168741861995,10.5426701863607,10.652669270833357,10.076500447591163,11.33350270589196,11.136338297526061,11.934665425618514,10.524333190917991,9.859333292643251,10.67133585611981,11.663834635416697,11.215667724609409,10.927001444498723,10.635839335123725
USA,United States,USA.8_1,Delaware,DE|Del.,,State,State,,US.DE,12.099721103244372,12.571670362684491,12.824166022406706,13.418611992730058,12.856944444444466,12.580832417806008,12.41666564941409,12.878610229492216,11.43722517225479,13.227777947319899,11.996112230089002,12.29416469997832,11.671667989095075,11.705278015136747,12.444722323947502,12.17722049289281,11.941944376627626,11.616667683919289,12.272228495279975,12.018891906738299,12.281388854980497,12.602779642740908,12.03277655707467,13.10583563910592,12.62611117892798,12.90250125461156,12.106945292154975,12.635001118977888,11.758057318793425,12.227783881293425,12.380831231011308,12.141387769911043,12.37055782741973,12.790278795030403,12.690279473198808,13.06278296576609,12.90944485134552,12.892498270670595,12.362502882215736,12.33972405327693,14.063612874348982,13.85528801812068,12.18861372205948,12.681110636393251,12.75916866726348,12.913613891601585,12.194167073567732,12.627499728732658,14.230002339681016,13.631389872233086,12.692499627007399,13.3858344184028,13.901664564344642,12.510004509819908,13.238892279730928,13.336390855577278,14.122781372070335,13.576947360568596,13.494449869791685,13.084723409016945,13.895835706922767,14.220283338758705,14.730278693305143,13.23166639539933,12.396386718750014,13.526949395073808,14.254164632161485,14.268334113227022,13.911943054199241,14.045560031467039
USA,United States,USA.9_1,District of Columbia,DC|D.C.,,Federal District,Federal District,,US.DC,13.377503967285179,13.685002899169945,14.007499949137392,14.663334147135439,14.061249033610048,13.786251322428408,13.667083994547548,14.016249593098978,12.642079925537132,14.325832621256533,13.043752288818382,13.381663258870466,12.79874954223635,12.805416361490908,13.644169108072939,13.404164886474632,13.035417175292991,12.955836232503279,13.438335673014345,13.196665700276716,13.43124923706057,13.715414937337263,13.196253712972029,14.226252492268904,13.811667378743513,13.882082875569685,13.10916926066083,13.684999084472679,12.87833175659182,13.157918548584007,13.438747660319033,13.182500457763695,13.493337249755882,13.705836232503279,13.677083587646507,14.08375193277997,13.90500157674156,13.909998830159529,13.323753611246767,13.292920684814476,15.004998779296898,14.880845642089866,13.192923482259138,13.701249694824241,13.851249949137392,13.868335978190126,13.166666920979841,13.56541468302411,15.212918853759788,14.441669718424501,13.621667480468773,14.214170074462913,14.682082112630232,13.432923889160179,14.16833394368492,14.209170277913435,14.877085622151716,14.544587707519554,14.283753967285179,13.86874923706057,14.654167429606142,15.025003051757835,15.46500167846682,13.99374923706057,13.232918039957704,14.431667582194033,15.01041183471682,15.197085316975935,14.781664784749372,15.120840962727888
USA,United States,USA.10_1,Florida,FL|Fla.,,State,State,,US.FL,21.71272017760849,21.807125969652876,21.76081760814357,21.993368223178337,21.603600450431802,21.606116471200647,21.459324281320647,22.048176737851335,20.976163506657844,21.81998413853678,21.114449689373306,21.530188640858412,21.41685547258871,21.077436953370704,21.528364495811246,21.62355386026253,20.961037632204476,21.617090803422297,20.738399999846468,20.953836635373694,21.138050429626105,21.642642125543578,21.99341222415184,21.622000630696633,22.006855457233957,22.164952826350007,20.967468108171204,21.168192248074536,21.343977864583362,21.330003548868074,21.43355353013527,21.159905190137962,22.340254336183193,21.062437419771424,21.510016329783337,21.946858234525493,22.303679450652904,21.581242293831707,21.394654030469997,22.02990572947378,22.90435598121502,22.496518683283607,21.66178014983173,21.739245711032723,22.382531738281273,21.924578291215255,21.491761299949047,22.168584178228826,22.836811415954234,22.187767259129966,21.840110001474084,22.096069374324415,22.299135690365215,22.00698736418721,21.96308485307036,21.95100958482277,22.264201268609995,22.465836713299083,21.981512671896525,22.182987371480696,21.14739355891008,22.496874769678673,22.573035176595084,22.474905520265235,21.961148282416982,23.57316319687563,23.063568777408268,23.21754728113333,22.763223602486875,23.317082185565322
