GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,30_year_diff_1989_2019-1950_1980,10_year_diff_2009_2019-1970_1980,5_year_diff_2014_2019-1970_1975,LinReg_1950_2019_Intercept,LinReg_1950_2019_Slope,LinReg_1950_2019_R_Squared,LinReg_1970_2019_Intercept,LinReg_1970_2019_Slope,LinReg_1970_2019_R_Squared
USA,US.AL,United States,Alabama,AL|Ala.,USA,US.AL,United States,Alabama,AL|Ala.,0.5177685067037103,0.9053697343757214,1.015336637337537,-4.841462874221339,0.011351512217886791,0.14549026739222992,-30.149508145029003,0.024018272449656018,0.32247930994913043
USA,US.AK,United States,Alaska,AK|Alaska,USA,US.AK,United States,Alaska,AK|Alaska,1.6198822982146877,2.236677049930267,4.1054908219207285,-87.31496015871838,0.04165440676104721,0.427466913169105,-119.15759412282755,0.05757746413938509,0.4310883457353369
USA,US.AZ,United States,Arizona,AZ|Ariz.,USA,US.AZ,United States,Arizona,AZ|Ariz.,1.0440660958940668,1.395196613458559,1.7467039851343689,-30.915560920342486,0.023626858161159045,0.5148199094729042,-57.34638112958502,0.03684718851432023,0.6503860232586371
USA,US.AR,United States,Arkansas,AR|Ark.,USA,US.AR,United States,Arkansas,AR|Ark.,0.3492404501390993,0.7224444621898094,0.5815554622241237,2.750534983038161,0.006897762911767884,0.047015026945361416,-23.541287963656735,0.020052435412619033,0.19544200676879886
USA,US.CA,United States,California,CA|Calif.,USA,US.CA,United States,California,CA|Calif.,0.8097930504007351,1.1044826549012416,1.7474573217487173,-27.41650823235653,0.02049754791553861,0.4794477937773449,-40.25284186173278,0.026916769537541647,0.4443738820170453
USA,US.CO,United States,Colorado,CO|Colo.,USA,US.CO,United States,Colorado,CO|Colo.,1.1997354505957007,1.6074191212657416,2.079117042235217,-46.79799094275448,0.027234511532707697,0.45686153577934463,-80.88067374906994,0.04428121485540933,0.5829994976547896
USA,US.CT,United States,Connecticut,CT|Conn.,USA,US.CT,United States,Connecticut,CT|Conn.,0.8158556941341999,1.1949834570035893,0.9337942937474963,-27.10606285232945,0.018656603924198354,0.29248140493998565,-50.30996210993144,0.030268616378426084,0.38309172209804776
USA,US.DE,United States,Delaware,DE|Del.,USA,US.DE,United States,Delaware,DE|Del.,1.0141618321593544,1.3279824270780818,1.122772579562664,-34.32817786673747,0.023902970196317555,0.4164340185225265,-54.6351488053324,0.0340678987190159,0.4619966560955688
USA,US.FL,United States,Florida,FL|Fla.,USA,US.FL,United States,Florida,FL|Fla.,0.7977203626647267,1.0757065926515388,1.2018075572300013,-14.600454018814066,0.01831210746082084,0.3794868237783452,-31.620049772995536,0.02683137608414163,0.4093294990871067
USA,US.GA,United States,Georgia,GA|Ga.,USA,US.GA,United States,Georgia,GA|Ga.,0.5762596893910406,0.885313114884184,0.9425145051404371,-7.009731186366011,0.012619990544472957,0.18834754618167793,-27.68939362190908,0.022972956161016505,0.31382247988535106
USA,US.HI,United States,Hawaii,HI|Hawaii,USA,US.HI,United States,Hawaii,HI|Hawaii,0.6711698111923923,0.331962603425751,0.4398507866276482,-12.305826653465427,0.0174381315045333,0.4824983075185108,-9.880788226516863,0.016220484285235575,0.27011553078140205
USA,US.ID,United States,Idaho,ID|Idaho,USA,US.ID,United States,Idaho,ID|Idaho,0.8752287978201805,1.1660292914351196,1.6446257278473464,-36.75624522917996,0.021153699055606472,0.29821536009973926,-59.86168320449416,0.03270412636610273,0.3468963545300091
USA,US.IL,United States,Illinois,IL|Ill.,USA,US.IL,United States,Illinois,IL|Ill.,0.5797665984649196,0.8402409878922388,0.5074401189027284,-13.071559961718453,0.012347183961075174,0.10391130795294723,-31.536032701679613,0.021586167246314538,0.1509277739751571
USA,US.IN,United States,Indiana,IN|Ind.,USA,US.IN,United States,Indiana,IN|Ind.,0.6587574603407997,0.9261889754800237,0.5302363641539447,-15.842614617903571,0.01366609379641214,0.13473806278889855,-34.61332739448672,0.023060576323520755,0.18593236849426298
USA,US.IA,United States,Iowa,IA|Iowa,USA,US.IA,United States,Iowa,IA|Iowa,0.5222582670474001,0.6289053990933322,0.4956840015184838,-14.630391183474693,0.012018545249494264,0.08216664052486977,-21.753892183044236,0.015583182153094446,0.06473107584518922
USA,US.KS,United States,Kansas,KS|Kans.,USA,US.KS,United States,Kansas,KS|Kans.,0.5578290100923997,0.8066775873160239,0.8664340857915445,-12.405944015917255,0.012793221915761852,0.12274976075123212,-31.086412934714424,0.022137892274666955,0.1941158727048361
USA,US.KY,United States,Kentucky,Commonwealth of Kentucky|KY,USA,US.KY,United States,Kentucky,Commonwealth of Kentucky|KY,0.7140864522625332,1.0502771216162952,0.850588665820041,-16.842325192049984,0.015331639300849022,0.1918891070764709,-40.159275100438286,0.027002766512707745,0.31422318824499473
USA,US.LA,United States,Louisiana,LA,USA,US.LA,United States,Louisiana,LA,0.6528567410137178,0.9996934168930558,0.8812424160224808,-8.683529846898093,0.014249207558998616,0.22827235077724428,-32.61432622568046,0.026225277412647158,0.38247293127336457
USA,US.ME,United States,Maine,ME|Maine,USA,US.ME,United States,Maine,ME|Maine,0.8065118117716477,1.3260525115088084,1.103408523546305,-31.504257845785865,0.018402563393535763,0.25530369148449683,-55.55203140533598,0.03043518587828883,0.3323589559257091
USA,US.MD,United States,Maryland,MD,USA,US.MD,United States,Maryland,MD,0.8834883757713801,1.2068048919463852,1.002849269644054,-28.044524529067164,0.0205715036387626,0.34621251002772946,-48.66770156087473,0.030894080201381943,0.41192143112999413
USA,US.MA,United States,Massachusetts,Commonwealth of Massachusetts|MA|Mass.,USA,US.MA,United States,Massachusetts,Commonwealth of Massachusetts|MA|Mass.,0.864850606503694,1.2744916777679922,1.056158152225521,-30.59118196491046,0.019982896974639185,0.3145286523715515,-54.72175756022846,0.032058918858123786,0.4062580573648789
USA,US.MI,United States,Michigan,MI|Mich.,USA,US.MI,United States,Michigan,MI|Mich.,0.8463781715563368,1.1236406548760511,0.6817021573114754,-30.84463746608709,0.01897604082333045,0.20605921545769434,-49.55984165037037,0.02833829394815591,0.20746815624714376
