GID_0,NAME_0,Change_2009_2020-1950_1970,LinReg_1950_2020_Intercept,LinReg_1950_2020_Slope,LinReg_1950_2020_R_Squared,LinReg_1950_2020_P_Value,LinReg_1970_2020_Intercept,LinReg_1970_2020_Slope,LinReg_1970_2020_R_Squared,LinReg_1970_2020_P_Value
USA,United States,1.2669392995404953,-39.53988106720389,0.023528400270969516,0.5691993375493083,5.194719882137831e-78,-61.46902976204265,0.034493415762869406,0.6295702058751166,3.138105738652892e-56
GBR,United Kingdom,0.7226881245922492,-23.99549674948856,0.016565734666064588,0.3716643056543403,6.398309478324639e-89,-28.635794315653804,0.018888987169055793,0.29354897763918864,1.8375326177362292e-65
FRA,France,2.499938184004332,-86.17096165089654,0.04881241237394056,0.78794369392878,3.895623678010264e-73,-99.66216404277847,0.055562763148706,0.7264797216925962,1.0338189943215023e-56
DEU,Germany,1.5038249238545482,-47.06798502050177,0.0283185371512759,0.4682585274179307,1.8531794786055952e-76,-68.67218541242609,0.03912202824968431,0.5008366799205168,3.8789631700538866e-56
CAN,Canada,1.5739505402246419,-64.34815601955926,0.0293398358571312,0.41536939531478245,6.923076193867958e-58,-89.86229917735426,0.042095646784404916,0.41859518168890364,9.972280030527323e-41
SWE,Sweden,0.7819858019725601,-24.05450438202341,0.013412238717925446,0.09726364284351996,3.270787693307403e-36,-58.906490495131,0.03083779075484773,0.23773458202922038,1.3669702244533646e-25
BRA,Brazil,1.7977369698885681,-41.36708095068195,0.0333136439190151,0.8999586120831887,2.1751987520749368e-121,-53.50557151415936,0.03938037783986646,0.8924520599415364,2.6368583180778584e-89
MEX,Mexico,1.1560889954767148,-17.986240475659528,0.019591867758702395,0.6231342363762793,5.904541363790255e-125,-39.11070965104954,0.030155875317558284,0.748460306863812,1.7618192986740048e-88
BEL,Belgium,1.0695736134043727,-32.591129998888306,0.021407340704448385,0.3958916763178967,3.421474476147193e-85,-52.611887406986725,0.03141802911344894,0.4503920340167179,1.654621958987719e-61
IRL,Ireland,0.7809931092815408,-24.688643819476425,0.01719034210567362,0.4401659225362502,7.575608021627004e-93,-29.286314088159543,0.019490503369608402,0.34338203021272473,4.571739201264737e-68
NLD,Netherlands,1.4512168463289399,-46.06630729332279,0.0283431959903617,0.5398035466063829,1.5108775869591395e-82,-62.52082809631579,0.03657214319817386,0.5136105455404338,1.786378654371676e-60
NGA,Nigeria,1.2359805844649756,-13.145965101308,0.019977237695380127,0.5804037402412419,2.5402250460499646e-131,-38.99351579922585,0.03289680927264601,0.702176199284093,1.9365943440587907e-91
SAU,Saudi Arabia,1.9462258260423866,-42.76100027169505,0.03417760177095763,0.6840811725923994,7.449224901831505e-113,-75.08967207874561,0.05033974756171374,0.7904944302312098,1.734609050957392e-80
ZAF,South Africa,1.1261831936142848,-20.70455692989052,0.019035316632112994,0.5510257674714867,5.324613325030454e-115,-35.05753008440206,0.02621031535247684,0.5424404778834359,2.1473846657302917e-81
ESP,Spain,1.3134772211166297,-34.345603674096665,0.02410161558819034,0.5406728442182426,1.291885287720468e-97,-64.62103465714583,0.03923545625775139,0.6938923824266607,3.9378518239715553e-69
IND,India,1.190282602442327,-20.025935678504545,0.02197241307636514,0.7360805706328231,1.157611787301499e-130,-37.11620954928138,0.030516125008546176,0.8026777990412381,4.337416709465114e-93
IDN,Indonesia,1.423655866772691,-25.33400630746199,0.025489848245344376,0.8483172777686238,1.6149817367005596e-132,-35.501260003567786,0.030574544632241695,0.8164286518924014,1.4459714152872377e-95
TWN,Taiwan,2.0007662905685315,-42.55713618697524,0.03185202022532827,0.5256455435055383,3.410019497250287e-102,-91.98833205441848,0.05656506492579746,0.7154965368500704,5.4695496139976336e-71
