CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Change_2009_2020-1950_1970,LinReg_1950_2020_Intercept,LinReg_1950_2020_Slope,LinReg_1950_2020_R_Squared,LinReg_1950_2020_P_Value,LinReg_1970_2020_Intercept,LinReg_1970_2020_Slope,LinReg_1970_2020_R_Squared,LinReg_1970_2020_P_Value
,Province,AFG,AFG.1_1,AF.BD,Afghanistan,Badakhshan,,Velayat,Badahšan,1.7338356390702907,-67.33665206436217,0.032593168893219365,0.6394119571026822,2.3025848376341796e-37,-76.30904056830536,0.03708577490735263,0.5633537381151457,1.6672863192528508e-27
,Province,AFG,AFG.2_1,AF.BG,Afghanistan,Badghis,,Velayat,Badghes|Badghisat|Badgis,0.543550617511924,-11.942177288540755,0.010934011651242307,0.0717133536954736,2.5314767896185752e-77,-68.41721858714324,0.039155878384961276,0.41532831799923775,1.2423106472349217e-54
,Province,AFG,AFG.3_1,AF.BL,Afghanistan,Baghlan,,Velayat,Baglan|Bughlan,1.9768303470482405,-66.94680715095505,0.03719539806118607,0.6066211032461774,4.260627446522204e-63,-110.60231342187902,0.05902276251267765,0.7594479642927429,1.1252770534152732e-45
,Province,AFG,AFG.4_1,AF.BK,Afghanistan,Balkh,,Velayat,Balh|Mazar-i-Sharif|Mazar,2.057233849728483,-62.19843250163977,0.039547720204781645,0.6984206272396001,3.590997258727795e-92,-78.11863432151713,0.04750870877358366,0.6603286276773832,1.2363252464356866e-68
,Province,AFG,AFG.5_1,AF.BM,Afghanistan,Bamyan,,Velayat,,0.7173073824408913,-31.92528839080991,0.016487901092409423,0.09953677578640019,2.1449558905724282e-08,-119.77711023088293,0.06040032883430191,0.5447228849434573,8.226393777933714e-05
,Province,AFG,AFG.6_1,AF.DK,Afghanistan,Daykundi,,Velayat,,-1.8035239739285496,72.46897065822469,-0.03431802318613977,0.29383501128285017,3.2733333729639344e-39,-14.679522694226264,0.009230693271999775,0.02079303480483341,2.515744629957778e-32
,Province,AFG,AFG.7_1,AF.FH,Afghanistan,Farah,,Velayat,,0.27041668612677583,10.92179910193901,0.003455930678039355,0.010852253686241542,9.522092084646031e-101,-10.318699898802777,0.01406688971261138,0.08298395564709615,3.9866741330314997e-72
,Province,AFG,AFG.8_1,AF.FB,Afghanistan,Faryab,,Velayat,Fariab|Maimana|Meymaneh,0.8465042288517228,-22.842334684247852,0.017737281178378684,0.20576512189839535,6.274114140232944e-87,-68.0767826424183,0.04034267243024671,0.47669292200212854,2.8855018292226175e-61
,Province,AFG,AFG.9_1,AF.GZ,Afghanistan,Ghazni,,Velayat,Gazni,0.867732452587366,-28.623701874170578,0.01658323797758409,0.16896795292417421,5.115938016123526e-53,-89.05597571111484,0.04679303533719428,0.5728926676813141,2.0230917518703723e-36
,Province,AFG,AFG.10_1,AF.GR,Afghanistan,Ghor,,Velayat,Gawr|Ghore|Ghour|Ghur,-1.0844349182200976,45.58114500437607,-0.021076313077742614,0.1462501093047026,4.41791761575239e-39,-37.14385137052357,0.02026112656222243,0.10144107514856515,6.913144012822937e-30
