system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
000000000000000006d7,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1884.1881407172987,1889.3521915249776,1923.785072343481,1924.5266958562956,1884.4790841638292,1825.5113102785492,1888.6248993040792,1846.6192980009298,1919.8575120718856,1996.7195834679203,1918.4041937329566,1943.6416242802336,1888.301716226039,1933.4911657664113,1913.4009362222048,1796.2679614302108,1875.3479871195914,1807.782223570942,1820.4764796319519,2095.510333606486,1942.182650763921,1211.3761557814446,1813.8015493395283,2015.8699991257788,1886.616317830898,1918.544299033208,1759.9843222690356,1798.3631519461203,2083.883076540674,1774.9178951043336,1823.3356575607206,1791.9721330442226,1870.418101626599,1350.78583394257,1469.6706317137114,1778.6795680949367,2123.1165646605905,1875.7395619629106,1610.6067685448081,1750.8055795057464,2012.7569095069477,1929.645066593498,1945.633675411896,2064.265485914013,1904.8420593722599,1921.827104352517,1929.6756122389108,1872.610222885037,1941.959003686741,1770.4748536894972,1675.423450540904,1848.0100192214227,2226.0511647005023,1669.166178164701,2263.819275463261,2014.827684081106,2120.316419752499,1926.0887058720498,1994.3919857704186,1894.1629225689267,1806.672425379886,1806.831337342045,1804.291653741359,1830.6918555481118,1854.603432328226,1803.3013052167676,1840.9169872285652,1719.2156504296672,1761.2512239542996,2106.0245048262577,1799.0051930627337,1906.5320530545466,1761.409675788243,1772.569084206036,1861.9672510105752,1633.4268050319479,1731.2809541668812,1775.351424564429,1741.4048451017268,2040.6034351983117,1490.5571790493732,1779.2033670327205,2079.736069984076,2096.5936168066182,2244.248243150705,2064.706249667499,1679.8868455625018,1904.6657113292986,1844.1611794436408,2053.9705595088035,,State,BRA,BRA.1_1,BR.AC,Brazil,Acre,,Estado,,
000000000000000006d8,1120.2119982836841,1120.2119982836841,1042.262241142597,1116.3724151702972,1123.432104934699,1087.353127956186,1111.3216514243736,1047.5433100336666,1121.587232003034,1062.2140288285461,1037.5678934549785,1048.055073663228,1035.673843432884,1054.5383740870648,1052.3704270436906,1068.4651037647404,1056.5570138598246,1061.7875764209384,1071.895039130055,1073.7725017847088,553.9632969287169,930.7099243222976,1047.6514926093787,1713.4728481991513,733.293436948039,972.510865292085,1370.2001644021605,1353.1615118471047,992.9802866428007,1111.8770021351047,1557.4730817417587,1363.781304947351,840.2564776701664,1504.751360068041,1006.3234292336772,785.7641985421526,941.1534024520473,772.512553834854,972.3752873934985,927.1235690941272,905.6068153135873,708.8335485601568,1092.5931711577387,1095.6570717064112,1166.6014658151803,1042.7740662819017,965.5756240576338,902.8692964368089,1038.8577131437467,1396.4970897476544,1004.4770847093082,895.1066255671741,899.4583594683464,1439.192487018705,1237.9954624707893,866.2766289893062,1163.768469052374,1303.5440577339687,1201.92303257324,1026.0450494636136,1173.3610376515953,802.1501011531376,1027.1619624036005,995.8687616296719,899.174746804256,952.4865300110205,1041.2308994262119,883.9733154742005,868.814675709558,1023.979689563308,1181.777184517892,1070.2384156759385,1147.5519106949619,1529.7621984166783,944.5967249303658,1393.0044898479498,1161.3085650653095,1130.719037206937,1276.3513793618013,811.0294278708204,882.4884163501794,1135.6271726983857,977.6492871579463,1186.5901492465366,1345.6514708176544,925.7472997507481,1488.6859720787334,1327.009569440569,1058.7632683451627,1076.3385200320472,925.9472446842595,1104.107621257165,721.5319088281658,1111.4519185933982,1280.7711805542467,1318.731328145162,859.4247182439397,1247.0656444037331,1484.1161200459146,867.9386799344684,952.6790391782079,1203.9370650688707,650.321224556313,1208.382509962268,945.7834880441004,1175.8968629710207,1162.3901956002635,689.1920931802598,806.7503574098041,1297.1454950019252,971.786080025338,1235.5688084062722,859.7954167186421,1356.3512573307648,1188.1359294169654,1173.605209671341,1072.0148601098308,1205.829450446104,1051.1535926272254,1096.344798883007,1019.9141047611505,607.4590439553017,1071.02033819512,1129.1494407801094,783.5603872828602,617.121875186889,1298.13464564287,723.5914764633407,764.0372280315596,,State,BRA,BRA.2_1,BR.AL,Brazil,Alagoas,,Estado,,
000000000000000006d9,2586.7703215377524,2695.2985339160064,2643.009068386511,2592.5596860209334,2435.795634607445,2612.2313952804107,2643.1982844764943,2777.666913002203,2381.786920063136,2495.989824947346,2542.013104763474,2634.9860546419936,2508.329689762806,3007.720414124711,2841.8621221469543,3029.8345181378436,3221.480497796959,2684.3933499283226,2242.681626460751,2701.016202189463,2695.2985339160064,2695.2983170161388,2695.2983370165352,2492.791483379799,2436.3595541017603,2688.869655719426,2677.4211477609174,2616.452494839804,2526.362000403158,2671.289335374026,2670.3575480189866,2732.5433282518125,2738.4055699243286,2770.713960159023,2604.622344648073,2682.915952423435,2590.988472355107,2520.412790155529,2649.115777943688,2448.3680131654946,2346.1872200851494,2044.7297802730225,2910.793690578246,3143.059942250424,2494.2035504865353,2443.0166791644515,2735.2016562302833,2791.3894827125255,2629.8198432732866,2401.197268690621,2435.714980718249,2929.1827105658717,2925.8319579912277,2601.1748052964776,2936.423316808827,2878.3747408862864,2835.861998900148,2778.037846606506,3194.29729117824,2618.8377895164904,2196.5221278653366,2534.491032900802,2900.109830176162,2451.853657674977,2632.273078682316,3501.4329421149037,2438.678885553554,1987.1932172084091,2719.0732506224936,2855.220871837853,2851.2306937751905,2381.0502076651674,2772.3396312632794,2383.7574404739694,2569.358476091281,2608.0917201981742,3728.6114032443943,2975.3893084048473,2294.8157891037954,2583.8341224212686,2600.5398581623094,2667.5207532954673,3490.676414996688,2906.7599710009276,2727.731931468804,2758.794181601193,2780.4144341347296,2753.1044137433423,2654.2902913763874,2351.1143479723587,2315.8734580777596,2725.0939484024793,1842.4428190300073,2866.943880789842,3104.5520640999903,2781.265145749766,2289.962182922454,3057.206252006777,3238.29164399195,2798.2202680399314,2680.649302863094,2036.962612832502,2403.6193393980498,2467.173719710049,2448.0880484669465,2919.2378536981214,2366.652206175363,2416.5728763004868,2594.1307441952104,3330.297912017182,2674.853116757287,2760.116899637336,2548.388273232738,2619.7669455159344,2846.5464665389363,2769.8819530426954,3002.158783167591,2905.7539045344956,2823.959855436574,2815.807155994114,2625.3355124902805,2407.238868317867,2789.4884100061136,2641.497295675867,2617.7794581997837,2484.684852090564,2458.8893015143244,2808.543609431263,2500.10467989788,,State,BRA,BRA.3_1,BR.AP,Brazil,Amapá,,Estado,,
000000000000000006da,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2484.059483519641,2461.0751138842725,2470.3120326457797,2464.3564363316273,2467.4883051303646,2469.6955308001184,2457.3047453896265,2469.4307010550806,2475.754813195504,2484.059483519641,2476.8202874884787,2463.349602390814,2410.8677788493096,2466.405445811716,2447.270316385436,2464.619461807187,2471.257257977897,2481.1412113365104,2466.7316605367737,2469.31420167506,2480.5516505707023,2487.7637715849523,2469.3694873490354,2484.452093463498,2504.603972413696,2377.0486363493824,2339.7279924923855,2554.8046060764577,2573.9344768977116,2478.4573276193023,2434.9599562346057,2465.6852386033474,2598.2082022355335,2528.795923488376,2688.4654286192126,2518.5046442693447,2338.7323734773677,2482.2173953605193,2551.213070370606,2773.017952157074,2446.909132049634,2307.335767444673,2242.0767690862367,2453.393635661765,2593.887236261019,2373.6475631212916,2445.033123490135,2426.886655313971,2516.571113282393,2738.4420040740165,2611.814201669086,2485.332502111892,2412.762851618353,2760.815536770716,2473.306552100383,2617.4806034954318,2722.353728471942,2286.9850279875222,2358.6918807922,2472.9409520963045,2418.7443042924056,2524.818478593874,2664.7541779261155,2429.192494751338,2553.1413683193246,2582.0794623371276,2304.9336043513654,2324.954448066346,2490.3847902350303,2384.454497694457,2397.9162219557716,2620.134451947958,2430.908458946617,2669.015146545709,2649.256097092684,2665.623690203751,2510.8991279846614,2610.1551399082578,2629.022376192861,2407.739678796227,2202.0471649433166,2344.032283492784,2506.2998558920667,2243.499773161261,2727.7320359939813,2532.3067005954053,2736.236843373701,2423.2877513064914,2668.644218441061,2646.0604949698136,2483.976514617701,2352.1560071579,2236.2318600883204,2696.1231552313257,2519.8602659991816,2230.1488080509907,2465.152129135461,2258.0930601288214,2259.9009722587302,2472.759957925206,2553.851321333089,2541.697840736823,2542.4756266636764,2370.847692735678,2422.017800288486,2309.014154323484,2367.713858573568,2293.339543209535,2480.5703769439774,2559.2599034207424,2262.1122292885684,2585.5774389240255,2586.4146095779815,2654.5014784955456,2640.6441867354624,2232.9086592403046,2236.8628582290635,2434.761743151671,2555.6720968471404,2643.4999821183633,,State,BRA,BRA.4_1,BR.AM,Brazil,Amazonas,,Estado,Amazone,
000000000000000006db,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.4426326059117,873.6331123300043,873.4426326059117,873.4426326059117,875.4954399051688,757.2739005778374,947.1739533431643,872.3356683740466,918.7345985221691,771.2816733250481,1104.124479019372,946.5058464259713,981.5157282174445,903.7901622872138,947.4507151514586,1005.5110261114073,871.0581448984037,742.1618974455379,1253.760101982191,768.6807514949438,1092.526367764162,851.6875043294339,754.6735202697843,868.230178679582,781.1228430868956,679.7586717133271,634.5786668607127,962.2652617929085,675.5183357808604,924.848278997238,1004.267112094165,951.4039220055133,663.07080893067,670.7794748538136,1062.3878655541944,868.509227448609,971.0995966702388,845.9543815588964,937.6709037204536,1047.9194749448122,667.2378608955102,1152.7567511233433,964.9771318427937,763.7656812558234,750.6933692488176,650.1440945474978,853.4072151392626,683.2271272614287,785.515454495519,824.1839638419899,881.6101768651666,974.0670303651337,908.9653502359316,593.349889360141,1112.7480578722864,541.5501626128349,783.8894701508775,731.544806961553,1175.1097017437648,754.3608327489093,988.1204880541995,946.842766082347,967.2968585823791,982.6558843743459,866.5792951478247,733.7715110025052,812.7186944863969,788.5350212287434,1058.7740090951595,863.7912520710523,707.661842941812,936.1694478948684,1078.8766231185932,969.1833738470543,1059.5262091198847,870.033036275744,637.6359878360349,836.6468444822144,685.6597780477846,1273.8796978547523,667.8401520064201,703.441246605585,866.0070627852937,1051.1720924562835,590.0548478357866,800.5049179275675,1125.7659718799932,473.4959673471401,731.687181348659,891.3501972080124,640.2567298540681,961.2765914601122,681.2046355421276,952.6528225642247,1009.537007066213,666.4569650663166,828.094382990011,633.8789257255094,974.1897212354086,967.5134868270493,896.556272151958,731.4800139039625,798.8717150234935,891.5510445347768,808.2688118140329,789.6558669189889,487.03965315445663,823.9899643749537,702.432061720832,573.9888171794533,751.2680799985147,617.2081250615315,762.2874309909927,616.8555502295114,,State,BRA,BRA.5_1,BR.BA,Brazil,Bahia,,Estado,Ba¡a,
000000000000000006dc,843.7777149662243,851.5861838824607,896.700741035556,1122.8261037838556,1059.9280712275038,998.6687743435269,986.1994475578475,756.146760503714,1062.7130335253967,747.6311372695608,860.2567399195901,733.9535568802077,699.7661427321676,764.7271385895752,769.6995858962687,857.3463434811565,688.0291912022744,709.2027606184151,774.6575152327938,1048.67299509796,666.0497246886058,1136.7879185791405,1099.5600633709073,881.1049009785233,311.2809445344323,914.8740136649199,1385.3707298548857,876.9057794530535,214.69810273794891,941.8043599046254,1205.4130695355962,1024.1760607013912,799.3256387323672,1553.581088629488,932.6359322657196,1025.6664965789726,768.9900618775583,633.8816564617583,993.0075341004707,636.1413983039366,620.0473838640908,387.5912778428012,801.2673709358247,1152.2216857088886,1070.0653248761178,529.1239297939883,759.6971167445239,711.9628547605564,814.5930790695401,1074.2829822523627,540.2822021378322,426.6027375281828,612.2969121734137,732.5108706503743,1037.0643727025245,834.2694079329896,974.8839774679745,714.7939301344811,791.0585411673545,865.902455715403,490.7167967720332,616.1351024886025,476.430701847548,586.4924081019635,767.4144725013433,715.4807698397944,838.4640762898806,287.7200841524498,768.2557458028243,749.4667146176228,1041.5280408937867,790.2668796506628,1087.9059684239194,1257.367001674239,938.0845880651771,605.6694700772258,1104.0276154240205,889.2946561015207,815.0512517913966,511.8489961449965,920.9152471031531,656.6532568116938,1119.2350757069241,1581.7633740782867,1032.45664994428,670.2902782823072,983.6200806892258,775.8267151946797,604.4279370034319,661.4844238135738,617.1111150815253,621.5925345401566,348.4541940218953,985.9674866193707,1717.1618605312042,1183.4804747417936,637.2134750548714,1032.2804767564862,1180.732226990643,535.1619638955049,664.2434541324005,649.2839978799034,392.805954471358,1011.3949811388837,971.2095393749162,991.3898223820223,703.5164074124743,457.2010068127346,777.1531277939096,915.2142996996884,649.7937739655716,889.0859639611862,905.5925156485573,1076.9682201855933,644.0516628889961,807.4189746296229,708.583183919938,957.4147123457326,1214.1000589408022,640.7780583093248,1081.1227983061935,433.6536791249469,600.2552221408273,685.4476611382629,595.9324565774618,630.9761895968487,731.3760864235614,822.1993515448708,875.2425778735638,,State,BRA,BRA.6_1,BR.CE,Brazil,Ceará,,Estado,,
000000000000000006de,1216.5434241643295,1265.0811505987517,1275.098220661079,1255.5127107453513,1336.116666574629,1288.0291944548162,1190.7582898401977,1199.0194526057176,1187.32754579065,1206.3969201471568,1205.1660685239917,1183.2425092763408,1170.0754419785185,1216.522034781533,1229.0649029733177,1275.9697982283801,1254.411002399138,1225.909415890889,1225.909415890889,1225.909415890889,1225.909415890889,1223.4251067798937,1257.4079373608777,1237.6751733213832,1208.0051362987729,1264.5394499843217,1259.453409534989,1216.2242105318771,1228.9788431921415,1232.0533096873455,1248.8171960387942,1237.6931155645955,1213.7751061536678,1291.2696724850573,1210.7655290887483,1279.0572854587797,1213.42374174241,1219.6342421931338,1238.2853679613463,1254.4369230086995,1238.0272409080892,1247.2053316868657,1291.2541685925567,1217.040984166491,1149.5854957162323,1455.061957638124,1545.4658051382555,1326.532040572572,1001.0990826866787,1446.1066210218175,1471.432310129858,1650.2422557085072,1256.2543360383968,1357.2015445431473,1551.1259401944433,1195.704688997531,1533.7563292195825,1602.8768142731028,1544.0530531455354,1192.1025832882217,976.7780443513168,1494.6222734619764,1110.9939177299088,851.1479748964047,1106.1582664120237,1197.5355144083237,1400.8846793418738,1223.9574005085176,1142.8350816829507,1446.0359053181878,1084.9124963301722,1339.03031062912,619.0307891907371,1617.1595070596918,1206.3287681588038,1054.877230685566,1249.786578093426,1278.0607853262777,1276.49865088871,1323.5590671673335,1374.8762282305684,1141.4570754120646,1185.2401251753429,1127.4843722905975,1250.49601964526,1189.4202724103934,1148.0139113089833,1307.3562224810657,1560.849780938653,1396.6789242044658,1410.1909544203568,1163.408386127026,1579.6332568578985,1290.3492225590771,1502.4059119970836,912.5428708295734,1135.6113829337028,1075.3555382316483,1150.4869734282506,895.8565407264311,1393.1714399121558,1577.4604021563118,936.3081751891123,1157.8140115918814,1146.5584345716172,1108.1185549325794,1198.6016980417314,965.7094977172268,1145.1172142319738,1379.7107099778384,1215.308267690734,1172.1615648726565,997.3799089437111,1571.5892483498826,1664.2086724873807,1380.8800714561305,944.2681517305415,1384.8802353690041,1471.567494793173,1165.5451615516754,1260.3815540164276,1175.2002621921677,1560.064179049656,976.5577936965091,757.3407037962633,878.8289757125511,1092.1758903302998,1416.8430850744699,1266.8137941991445,,State,BRA,BRA.8_1,BR.ES,Brazil,Espírito Santo,,Estado,Espiritu Santo,
000000000000000006df,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1530.1177817177531,1529.1653773977123,1530.1177817177531,1530.1177817177531,1536.9415372613278,1545.7811151163505,1521.102466148508,1352.269489414547,1343.9304393464831,1739.6126675967084,1608.490907079913,1614.3140059388925,1635.5035952521994,1707.501754589071,1670.9865218608754,1629.4937927406977,1427.2082016035604,1860.7500122906424,1541.7966548752727,1946.3552574881953,1377.7541326606145,1398.7938853945814,1565.393519334465,1629.0499564252293,1450.0160236165202,1409.8107514615,1547.950241448221,1283.5083058915927,1705.8482563079942,1408.2284412137235,1592.318765344143,1453.219563050838,1333.942682029861,1705.883808130487,1521.8677370085127,1666.5091399299197,1762.7993948335386,1425.47041195372,1953.430025328135,1367.3195266027963,1656.1321364261987,1577.762103551002,1443.0316839109864,1444.8507557751357,1402.0792613309507,1472.1030579235412,1511.3990459169631,1160.4130294155414,1540.3971521054511,1600.3963894390588,1594.4440090807723,1714.3103277529744,1523.5027849147978,1727.2775066259933,1430.7710154433892,1688.6407228701185,1057.726536967035,1738.6068238307387,1639.3801630149753,1587.0239959505682,1400.9152265010337,1419.3193306116243,1339.318462151379,1319.036693198709,1323.4611821450992,1532.6320635783234,1528.5817425792252,1472.3825038142438,1279.6712675107701,1530.3529427315736,1506.9838875210148,1648.1849777195785,1673.5099746138071,1821.9175847809393,1539.7295964299271,1728.1463346007652,1906.9281293425404,1252.734366596258,1658.3193382948377,1374.0574591495674,1481.5005973081145,1479.1139147584477,1763.722983471156,1157.5980217862225,1542.827497760779,1815.2356877517427,1335.0028305397964,1463.815952658264,1499.6267991369198,1369.848906617678,1626.775404617007,1323.9260238126444,1352.3535769313964,1609.5972760064476,1367.3109460871024,1287.3515725785546,1363.297497747889,1655.0164494746584,1601.2516282075576,1554.3698624357326,1236.7944615204956,1577.1092659720953,1687.946561414126,1300.8326470898694,1519.9931802723188,1306.1735779436976,1517.86602912992,1376.9298761775947,1259.0250100055653,1270.6488550465453,1307.1435132773875,1438.3044701142194,1178.9067102191455,,State,BRA,BRA.9_1,BR.GO,Brazil,Goiás,,Estado,Goiáz|Goyáz,
000000000000000006e0,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1507.4716297519171,1504.2977267154874,1483.7102633354698,1706.2815747076984,1675.9678161054305,1361.0689627250786,922.633011917259,1573.9612887272062,2244.708613108547,1430.0117862926463,925.6834762264846,1631.9993765495506,1820.8367674697686,1517.9214076409612,1498.178109109966,2176.3943900545232,1514.495934185631,1993.1797852784978,1444.3513148936402,1376.6843915618429,2012.312554573787,1445.4038575307873,1471.2082276379722,962.1626114363924,1746.1858882095546,1777.9551284484423,1661.685655882544,1242.2130166105867,1693.88626025284,1344.177310927489,1538.2695871568467,1567.86662336212,1129.1382178398956,1311.610729846274,1250.4719211547804,1378.1473832727086,1578.3897163635606,1246.1080645189606,1747.7418657457058,1469.1252437733249,1508.1264160422977,1513.2015995567415,946.7511323999682,1387.6945433570102,1191.2719485072435,1186.5307711749206,1581.9113463391377,1387.3082387742209,1618.6241405492617,1046.2116682481872,1431.3565939263542,1399.4871519429096,1566.136868094981,1533.3622543640577,1593.9308266891844,1676.1990215943315,1449.5878616922023,1362.5591148948808,1653.400185069218,1549.3934422614534,1489.101510015545,1373.5793482475526,1677.3896856309377,1379.3081352884024,1722.3190975564294,2077.5640485948306,1644.9532226179088,1242.7563592448173,1612.61426417107,1592.8616034094468,1320.9813260755664,1439.4955276761534,1077.4605181061256,1307.5988165381002,967.2336108008358,1655.2469155474816,2391.6518145623036,1715.9205819915524,1105.626423345512,1707.966430196186,1834.8402626504362,1116.0906163962322,1247.982041766118,1121.803931670387,1225.6341170408912,1592.7822894925025,1598.467988785357,1569.551184858306,1318.7646187550988,1224.2190151728591,1640.435327420162,1664.0673579472307,1427.7084502695948,1415.6837020590635,1440.9091767446544,1600.6665656971222,1433.873082439203,1519.700918934177,1274.0311284698023,1661.3842407793352,1841.4547038879173,1297.5562652360068,1700.8760729173632,1080.3202607612584,1317.1390976474484,1384.0852736632146,1040.9728154301213,1168.2608506049191,1413.0293604879253,1533.2774899020833,1467.6075179786988,,State,BRA,BRA.10_1,BR.MA,Brazil,Maranhão,,Estado,São Luíz de Maranhão,
000000000000000006e1,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1755.3264747886396,1778.7014343240685,1749.018438506771,1752.3846922818975,1740.558262062462,1756.9257746619917,1746.0527016675044,1742.9189029044437,1768.0398331481147,1748.9990017916984,1745.1422212275131,1766.1883466113002,1797.7483922893564,1763.621370613597,1742.2651981374443,1740.5393160064577,1755.2767317374971,1754.2426499329963,1753.3331614192568,1780.116059913326,1758.190331109052,1747.2649275094682,1756.6515661577205,1751.6918343298382,1739.900277389757,1787.5466309649325,1772.4810955804128,1772.9120142235945,1769.4135276584416,1799.4881502509652,1769.2005272415104,1764.3678366577722,1750.4793735168478,1740.4884885820684,1754.249493784519,1812.3887832292592,1650.724105059948,1740.6307685510483,1747.382569755034,1769.1339283894529,1805.8611839336797,1756.268534873277,1783.9808947042068,1783.3877457208905,1647.217694680021,1938.6454970968432,1723.743246991081,1862.1977446739515,1836.0527934511963,1754.0871108499457,1837.6617421729745,1762.4903767430753,1681.2654258811658,1831.3986648292316,1712.77393061526,1727.1002897031397,1887.99293915593,1778.24828990013,1833.5267711054228,1833.5587530971327,1848.145562179489,1749.5635335827083,1788.2871151760908,1551.440430946252,1748.7403206750664,1792.5054867145484,1633.3281584811205,1612.9974279840073,1692.6563350520296,1523.6023370485775,1565.8047805805375,1577.1750526701537,1903.4235695551636,1774.8812624490586,2016.3348664174541,1712.3738407892808,1835.5627847747426,1939.8247408783484,1992.0396148021703,1830.7593435206586,2063.8112596911874,1805.4230813116123,1851.1520053770328,1764.103186963505,1629.6780109533745,1782.931495427908,1806.0505892687859,1675.8633221102123,1825.4240806191385,1967.189685129706,1704.7985664199907,1858.9022349027275,1937.9446554188787,1586.137646806524,1834.6866220064237,1815.6246084301035,1707.0663033474702,1754.722734379095,1662.961978802282,1562.6494628732432,1686.37154575286,1724.5837182992825,1577.8122960590606,1748.7154337617355,1791.5650335006599,1687.0843198338312,1804.7359740781567,1553.8928574318925,1727.4588192194383,1789.0679530332272,1557.2564141446721,1698.1996643087057,1613.1586573538902,1761.074154996346,1770.235946322133,1414.2650795638176,1589.2054164640392,1657.6096272157613,1688.540852891502,1477.419742779718,,State,BRA,BRA.12_1,BR.MT,Brazil,Mato Grosso,,Estado,Matto Grosso,
