CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,State,BRA,BRA.1_1,BR.AC,Brazil,Acre,,Estado,,1873.2716767735474,2008.3951114344925,-0.06949741053718045,0.0002651296331093178,-0.4414838464951725
,State,BRA,BRA.2_1,BR.AL,Brazil,Alagoas,,Estado,,1070.9832833521095,1722.1640684146546,-0.33705462983278284,0.0028591594769862283,-3.7451098979398605
,State,BRA,BRA.3_1,BR.AP,Brazil,Amapá,,Estado,,2678.310493125376,2589.7875741760286,0.04607753098555858,2.9728954336505353e-05,0.20472705466209706
,State,BRA,BRA.4_1,BR.AM,Brazil,Amazonas,,Estado,Amazone,2485.4096461298172,2755.049025970024,-0.1397272225945246,0.0013960027076685977,-0.6690059932228952
,State,BRA,BRA.5_1,BR.BA,Brazil,Bahia,,Estado,Ba¡a,865.4001083131473,2989.3001406860876,-1.0927161679876005,0.058104342041395474,-15.025792433050123
,State,BRA,BRA.6_1,BR.CE,Brazil,Ceará,,Estado,,820.9494863668423,1407.4199819337825,-0.3019980966640114,0.0016129738348840128,-4.377586453225274
,State,BRA,BRA.8_1,BR.ES,Brazil,Espírito Santo,,Estado,Espiritu Santo,1250.5161611194976,2103.0260767538125,-0.4367025038863037,0.006512783716964066,-4.155691831759077
,State,BRA,BRA.9_1,BR.GO,Brazil,Goiás,,Estado,Goiáz|Goyáz,1531.2875543870114,3873.146741875073,-1.2046365749001804,0.060645583371272016,-9.36151750221117
,State,BRA,BRA.10_1,BR.MA,Brazil,Maranhão,,Estado,São Luíz de Maranhão,1491.8298364596835,3360.2902243341423,-0.9589822332185072,0.016251098916339357,-7.649591324961171
,State,BRA,BRA.12_1,BR.MT,Brazil,Mato Grosso,,Estado,Matto Grosso,1766.8705798962735,2974.653794069799,-0.6245277891588955,0.043825405746394375,-4.206239424410561
,State,BRA,BRA.11_1,BR.MS,Brazil,Mato Grosso do Sul,,Estado,,1330.6562888313235,1454.344073762986,-0.06419325778578837,0.0003525003468182186,-0.5740774488968841
,State,BRA,BRA.13_1,BR.MG,Brazil,Minas Gerais,,Estado,Minas|Minas Geraes,1250.3799740467048,2191.049666418639,-0.48582367503484075,0.00943127478166439,-4.62363589701786
,State,BRA,BRA.14_1,BR.PA,Brazil,Pará,,Estado,,2103.836250817844,1567.8747268425684,0.27544890583873644,0.0033431412017737028,1.5580309438088338
,State,BRA,BRA.15_1,BR.PB,Brazil,Paraíba,,Estado,Parahyba,706.3628458183969,-2644.4003170569054,1.714951888221833,0.0685877412242959,28.891564145329657
,State,BRA,BRA.16_1,BR.PR,Brazil,Paraná,,Estado,,1656.977582892064,199.97691829470978,0.7474784140338772,0.01594045406071165,5.368203661197366
,State,BRA,BRA.17_1,BR.PE,Brazil,Pernambuco,,Estado,Pernambouc,692.918459209491,-756.4875167228847,0.7401490482030164,0.02358631176961956,12.711125755928274
,State,BRA,BRA.18_1,BR.PI,Brazil,Piauí,,Estado,Piauhy,973.8196687478203,2828.8455682790895,-0.952751423695802,0.031217816189534786,-11.642547697315054
,State,BRA,BRA.19_1,BR.RJ,Brazil,Rio de Janeiro,,Estado,,1363.1228747487344,1105.8954366245162,0.1326305231698688,0.0005011115002750977,1.157858366959302
,State,BRA,BRA.20_1,BR.RN,Brazil,Rio Grande do Norte,,Estado,,654.1223053502417,-2673.2427043775892,1.7032497068512646,0.054465059553372774,30.986057723069756
,State,BRA,BRA.21_1,BR.RS,Brazil,Rio Grande do Sul,,Estado,,1506.1963904597055,-2774.1212888227556,2.2003272196446435,0.10450661764800218,17.38411675902349
,State,BRA,BRA.22_1,BR.RO,Brazil,Rondônia,,Estado,Guaporé,1865.5387509033917,5589.351371583231,-1.9219776589167716,0.11300919424613554,-12.260015574607596
,State,BRA,BRA.23_1,BR.RR,Brazil,Roraima,,Estado,Rio Branco,1957.8096684748273,2072.963507333224,-0.05987316692033684,8.484363896932301e-05,-0.3639223453764292
,State,BRA,BRA.24_1,BR.SC,Brazil,Santa Catarina,,Estado,Santa Catharina,1708.5615947767362,-119.96688337005867,0.9400044122683126,0.019239107648883036,6.547058379510538
,State,BRA,BRA.25_1,BR.SP,Brazil,São Paulo,,Estado,,1377.0200930170884,-199.76456224110643,0.8051575894813721,0.0319529040554718,6.958050476834564
,State,BRA,BRA.26_1,BR.SE,Brazil,Sergipe,,Estado,,996.3836113567713,1668.3816022146384,-0.34860573990916094,0.0031688427370100136,-4.163465012506724
,State,BRA,BRA.27_1,BR.TO,Brazil,Tocantins,,Estado,,1632.8111017154079,4373.18861365247,-1.4064795944473072,0.07140266080777169,-10.250485899035835
,Federal District,BRA,BRA.7_1,BR.DF,Brazil,Distrito Federal,,Distrito Federal,,1453.7285008191204,5365.039050759429,-2.01037420993255,0.06574587508818863,-16.45661695751125
