system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
00000000000000000736,443.4818383588333,450.5222709744752,451.26345744209823,447.7859868404068,443.04950721976127,456.91671258558716,461.4008239350556,439.121881706012,510.3515513488557,519.318675571397,502.43377875612975,504.2759945720378,467.9320710079518,430.32919202007264,398.9318005159657,447.7594211691487,426.54270671885774,462.141983849592,425.4242192216093,404.56358108049994,463.48811711386895,391.4440133908745,425.5218374778377,473.92020792007105,435.85522085295946,465.35701192379804,370.9587406765384,368.87261525301375,444.936027024861,440.84514573689535,438.62683207309834,395.83194062234537,418.0106819478549,420.48912356400217,437.32899000175996,421.5017707797233,476.341769428517,356.20779245140164,417.4208477717598,434.6964667654346,409.138709600085,457.21133579656464,522.5387447556893,433.2823766677284,550.8942973858592,447.7904354942018,410.42296815348817,367.28177987469957,465.0959088059572,396.7149569397185,469.99413914504726,434.3372199637939,383.39328698709505,434.63321439144875,394.7896171248897,431.2849389644675,466.40175549772164,432.6755983576022,440.73896394124307,410.0994650438314,502.1813785419582,409.76365788397106,482.9335472107234,501.85142217795135,480.8010204680104,484.6057559142451,462.061343223895,361.02106966866893,439.01786686972025,460.8147576182173,421.7715619586798,533.0256568357433,460.29625750701314,498.241605169889,486.10036143311424,468.14456026077664,402.66320453794253,454.86225389087247,428.5384215276597,447.0328694922756,463.17295425079607,487.5366210322617,545.7851659908296,465.9159469079302,513.0437947630296,483.37986882362804,475.62553347453746,510.8487150862249,416.31170957614796,476.1943569963189,367.4350292568735,440.73596812033776,437.14283605241195,499.46259060180375,407.8546729395953,467.810925363686,428.01335465156103,479.35752827620195,498.16830601880025,460.25001526458215,508.03965416057923,415.8343519531416,470.9768481197278,441.9817370358233,437.1453953186888,518.8274698780158,499.06314450086114,376.3879229189843,430.213519845697,435.9003395429855,384.06281043662034,375.1572073567976,430.4325540780447,456.14244293076655,480.977708046691,442.55245969594074,472.8925882268878,421.2116151025432,398.9446607380538,447.79488972480704,444.4600326267,477.45092084669443,486.2909905271755,439.71604405085986,402.836461489569,521.8347998427389,456.6354857917796,442.8472273384898,487.3175560132098,48,Province,CAN,CAN.1_1,CA.AB,Canada,Alberta,,Province,,
00000000000000000737,890.2644859649834,906.3025172824428,895.9595888617581,914.6496337908425,875.9342599715675,867.644586873225,861.0573654909485,829.1053160764735,882.4193565341067,881.7264961486777,881.6031628893921,853.9833238353567,874.7013871466555,858.9871799968299,842.8815731424397,880.8553353405628,831.4882925536244,898.7876759399888,868.2643496848236,866.4987157014269,799.7134553427812,773.62764990435,941.8746876842615,853.5660124863571,837.5424876159037,783.7660006450405,1019.9285295856706,952.0344121744193,897.8109923852988,916.2357933848708,882.0237062908487,731.9445117962484,855.9445800734082,868.6935836629622,818.9019082321623,853.3856692742138,822.7179434217728,767.3578280133947,719.5110967664054,814.7805135116117,840.5631814575202,995.5559241285594,989.7384398053738,920.3145771354386,856.2785507498996,930.051620275463,860.3775761421228,780.2485714094067,1051.0901006511297,822.1195350656872,894.8717864823869,780.9156040922966,798.6697990097504,817.9376209293168,830.0082812712456,852.6102288922096,936.2756446654935,934.218047825237,912.7331819067568,819.2871780224242,753.6886726384768,810.3747328435802,975.6024084446502,954.0974685122374,830.9027096118618,909.5449764494533,813.4087167478822,843.6948510419961,976.7646207718021,880.6616253844622,975.1946737467066,986.542771384959,902.6611829658244,987.1667366228079,833.0661196564619,940.2866791562141,888.0209256914967,967.8582624981572,831.7904289996393,738.2692329815346,929.2452153879078,926.4029482760553,824.0614888113337,946.3253404523981,891.321871474215,953.9369499964916,842.3210282540607,786.4435486728312,790.1702335674704,980.3034848141872,882.9583724960651,857.6777202112236,842.6692263423853,964.7131463618442,756.7904657378272,924.4219071438322,915.2218241541502,953.0648060602841,882.0516930383026,1010.74110160562,941.0653926060295,867.879194120249,843.799656436419,964.3052332992975,858.5502270436399,915.7931283557618,1027.2421723821396,804.6060246024186,963.6838423762676,817.8317733625735,892.5342480720225,798.9050969211402,889.8873928696564,918.9856964856535,951.3952211975131,882.6434745537904,1026.0386109866881,859.6640699421565,846.0205315212205,818.3029475771614,950.7987470497303,851.0151777117236,863.9779305176895,865.2131805601538,848.4917788819637,891.9902305241152,841.8432374911978,835.0341766233178,740.9364857811195,59,Province,CAN,CAN.2_1,CA.BC,Canada,British Columbia,,Province,Colombie britannique|New Caledonia,
00000000000000000738,486.1256063810242,471.51928989373084,490.8858389403512,477.81254251262345,491.5094441791924,536.3966155635453,482.67141956316,507.34769169409947,485.8020355222551,507.23772327460614,510.7895603222225,483.8285999599833,502.52992803515394,483.1425450855852,457.97128072038254,501.2365746987777,504.8312147545942,478.7961011812114,476.637487138021,469.6265699387591,508.4517139464186,482.903059512088,461.22869152756687,455.06365151933727,443.1760088253046,513.6624316600511,466.05786478227697,494.4861654910303,477.6037757473699,469.96048648835045,531.295831108336,524.0796810716149,452.3458406418032,495.38492288796715,498.33107209021813,466.9190972621786,472.8783435867313,431.5733239883419,405.18445137425954,486.69714850840444,455.62997149244114,479.1758512867317,497.4790104092881,470.4953760131015,515.4884803375417,472.945485949232,492.09458909860984,474.02749296335537,469.86607999334353,444.0097597416728,485.0766828707801,503.3424640882196,458.77884936811995,494.79297381377035,479.66715164780334,480.7418497141892,529.3594544315138,425.8538054930563,515.4991997163731,486.6457519418035,453.53668686883356,461.3448243911105,500.1237033778821,488.42609090761806,527.9784485485119,447.1098539492671,459.1890400559467,459.4941921647134,540.5959782803917,454.22847140431116,432.43500067872947,507.3870442044096,462.6262903866438,491.00133237024875,520.8850670166735,495.3957922376895,480.3287080501042,523.7742376544987,488.3401834367033,511.70417893716734,559.1188948021934,436.5285088806472,519.0358494697956,450.2323945223911,521.507606729592,484.12099312337335,504.5543281775541,514.7681840425115,444.2923345376361,529.0546466382999,442.9238558154387,527.596245999649,540.0881591905161,504.76472427601306,505.00110528721007,551.003585832862,468.07925434769044,492.82662410876276,449.5568283781855,494.9945115157719,529.246909993303,454.9443388591865,496.7897822962052,443.9870991079115,490.39139924505486,491.32378205391234,530.7272792492876,516.2231115734629,529.1638382744127,557.2539738918487,526.125045633375,524.518481148418,474.1230024006923,577.7186319246309,665.6429573553047,537.203683664919,538.4293640529263,511.41629866961983,481.0113544070993,597.6938823156188,455.4002864281788,547.0716607557637,409.0106842420025,486.7271622616969,462.5745949614441,550.5279692652695,455.01612194417436,411.123579185503,397.9802659071861,46,Province,CAN,CAN.3_1,CA.MB,Canada,Manitoba,,Province,,
00000000000000000739,1028.1041798763772,1061.5243873924107,996.5296943432838,900.975163392338,1023.4518848478218,977.3031718816461,989.9692047818689,1026.1999656699118,975.1731341255429,1171.0734922567556,984.0144235115822,1127.612895918795,1032.2876229342494,1022.2597453644769,849.3549901679187,986.6253506845738,1103.19803249239,904.9462005650221,1207.050761162614,1005.4117892202478,834.074950930533,1160.5555973348103,997.5630878472542,917.0948404673937,1106.479217973507,986.7060375539353,1122.938247297665,1040.6832740009834,970.078398120957,1154.815990284043,864.5387717767846,941.6090844306839,888.5608035217116,834.4399989646757,1063.6782946672417,1050.374490513843,1170.0732479167602,973.9166266148959,934.1136733562838,899.3908853700308,991.415022193013,1026.3592562805006,1160.635153579494,1005.1454410270982,972.3235789021932,1136.871267654726,994.0031991236119,1086.4150832054343,962.4906414112872,1073.8756163291605,1022.2748077095275,897.6772488779332,1061.023980405092,1007.7901716609407,1135.788686754288,877.7142819327548,925.07014341338,922.218063016963,1019.2312125184692,1137.4044729220768,1202.054800925706,961.8085287222008,1122.6301834779765,1365.0860828965867,910.6799994053887,1047.6111498079063,936.8009735089939,1140.3860351667443,1103.4643126969215,1064.109445907463,1123.4586497257098,1118.721040729862,1262.276951692686,1002.0342263190596,866.40990995828,904.796871736631,1137.567994759022,912.023570294313,1112.4767993881096,1103.4747879404333,972.752280114292,1245.1005462541557,1194.7813365999684,1076.5088283925757,1053.3514346794414,1292.2044464968278,1195.9860335368078,901.7713846533487,1287.3596434340168,1120.7511360636286,1315.0163546971546,1099.2880879871632,1178.1717165849136,1123.847016396947,916.1266420328315,1023.639776230077,932.3412224240024,1017.7129889720496,1048.44204747416,1309.6768261456425,1117.3913329448546,1037.158219100822,1166.4893780570048,1114.732103626503,1045.4643942356943,1191.8867062229285,980.0346598785319,1188.9466769347964,1155.5818688527631,1116.9047294586098,848.8651358040972,1135.1922545162527,1179.3834887765272,946.0312157451124,1379.6266154361938,1155.8774230904573,1071.4354145563775,1351.75695764405,1199.3739279375934,1196.635553688553,1235.5873790139794,1063.1794602918224,1180.102396551532,1383.2259594953923,1113.177558177522,1058.5364184535342,1074.696234328481,1184.4737822454506,1193.887838029835,13,Province,CAN,CAN.4_1,CA.NB,Canada,New Brunswick,,Province,Nouveau-Brunswick|Acadia,
0000000000000000073a,1016.4489679819217,998.8499843225082,970.5115362197328,966.6802692706104,926.1652199186757,927.861563006746,941.5077523786754,976.104019545514,904.4462892670313,938.1408440183399,884.9461498580897,905.3257518908072,916.5360313158932,935.9754400143509,939.8396949402091,978.9440251415933,984.8666993125223,891.0361574630227,951.4025870914189,1001.9296172175657,928.7356639457697,966.7732237279387,895.3457070130302,924.9867815714153,892.1723533379294,893.6743469725783,867.5999469733601,879.3009427227845,890.6757908385326,863.4079297261633,876.5866088798141,946.943793493542,946.3558749370922,896.0692827690002,903.5442410145132,896.8699988939063,845.6439249024745,886.6841367458187,876.2405006022549,849.4790333108512,898.2012564116578,951.2369273820109,891.7526242781857,919.0668046194628,933.282068047618,953.1062542189819,922.7005841564056,908.2119546351234,997.2636477988494,917.7049341275667,927.4519801643568,877.7246827066234,847.9762053307046,891.4228677157861,821.2882797609119,810.9336232271053,746.5595789185628,791.1350657945264,917.2581976489439,908.8896821073611,911.7325870903919,914.1515465922068,932.432664026505,921.7221948605561,859.9672180274796,856.2330094643982,887.8343336363462,1052.1202503391057,844.5536936727558,891.8144062336531,839.4554655853839,898.3374693585148,1031.8584982721688,991.0119976466009,1021.762020688219,970.4174729409993,906.4995249017034,1039.323820677737,997.4364220480613,916.7557250057347,1047.9662018678507,889.641170672405,919.0740615410249,879.4525086300212,920.7241096582208,1017.0583302048551,1002.2301101542325,963.8466700509066,1049.9962118513529,1054.1641970032258,979.8102950906178,952.2067161003781,1080.3052345205722,979.4769940496772,938.5392323886796,870.9197135675599,900.4995595228917,963.5174620724129,962.6257259513773,902.5430251479137,800.1468778392991,871.0824178265209,850.9998480737632,923.9211038505648,853.0728030585587,906.4376330782733,893.7087778116703,988.9434345389817,1039.8248849865588,903.6622965734445,851.3662471586179,908.4049579821161,941.2577790760317,992.3295906611849,945.4618317484806,957.7596950669795,976.220204286248,906.3094413589671,926.2947715336408,987.4051898730916,965.7950442767609,1021.135763649626,980.3366001236317,969.442542600421,880.0271447892725,963.0491130386378,982.1032293337796,934.218092863085,957.4406578844802,10,Province,CAN,CAN.5_1,CA.NF,Canada,Newfoundland and Labrador,,Province,Newfoundland|Terre-Neuve|Terre-Neuve-et-Labrador,
0000000000000000073c,1399.629959697945,1304.6703171753472,1393.8508020527008,1081.7053258503277,1316.6573644116927,1267.7023306979693,1188.8697287280793,1368.1706589479434,1290.4481301238873,1513.4234706258899,1295.9792691552034,1231.3194265452632,1370.8835900638974,1199.17106052033,1120.255635304901,1488.747610562417,1229.3298622073623,1326.7870525577011,1229.8168284975045,1348.9391053088714,1037.2372364139103,1276.4466823967355,1334.8423973269748,1008.7386667840558,1208.078342060172,1106.7378766617978,1308.850343993874,1257.2615180613982,1249.9363072889748,1165.3210244228983,1081.730602202814,1276.2764304053737,1321.7886330164426,1095.3612349703367,1147.1593724331053,1283.8315899197853,1414.161651785088,1230.8623694168516,1270.8747938296117,1094.9335468775132,1232.9880963069545,1190.4694621942497,1473.2417615178351,1257.6207456458574,1257.7238859648676,1434.509274092286,1261.3390789348862,1291.9505148461344,1148.3704825296352,1230.4871040107994,1247.8332171439013,1292.3584901473325,1389.9957092608877,1161.203688640935,1438.107143808235,1104.7734275480466,1195.8609574653178,1378.4951805910357,1219.1817747181099,1152.7225014484482,1287.2317694019907,1183.1533098606876,1415.5561404209238,1391.9523316500818,1114.3591909067147,1395.2406272974463,1120.8409848398785,1449.3190947579442,1467.7723968889086,1061.3584569543195,1206.2407892803053,1459.6896495171952,1337.5217815839821,1406.8283925792482,945.5815686876824,1047.3781174487976,1514.4877051030699,1238.6975948368552,1282.5662145874223,1264.8030619825463,1422.2520188302667,1557.2545022413294,1317.8231833374416,1287.8214003191977,1270.5359026084182,1360.999704176341,1460.9198978793902,1094.5598013449192,1647.4760417707641,1244.8315260925604,1491.5622272245982,1248.8224796074694,1502.2765822268136,1307.0340075551258,1286.2280966337194,1333.9142074805138,1222.2454105475679,1490.4747866249784,1306.0696450383641,1575.102131172848,1374.6387802396566,1182.9598244855315,1414.1268179369608,1400.4092568062124,1249.7477777628503,1533.5000621062832,1170.4637853605923,1342.8067281741019,1331.2007661156993,1345.28602620211,997.9124653174068,1483.3674732407903,1336.3013417037391,1156.5126720024118,1427.0343198384244,1262.657385781853,1239.6182127868447,1525.8992159541222,1389.6523468562664,1376.1703213384583,1499.3578653760298,1318.0972910721043,1415.4666214030908,1560.1480927068283,1469.9108002872943,1314.2547483504459,1237.304847271577,1498.962245645114,1510.875059397523,12,Province,CAN,CAN.7_1,CA.NS,Canada,Nova Scotia,,Province,Acadia|Nouvelle-Écosse,
0000000000000000073e,725.5858909606258,688.3113659353858,717.7112076847836,692.7614833337921,721.2802902461906,712.3335980156558,718.7967159905818,730.0168635690706,715.1129234885785,734.6617020519018,724.2313081379267,738.4696491620607,725.8098273966539,724.7497962632493,726.0759254084032,688.3867316361238,703.7540380128606,691.2951690267463,721.6202263424614,699.1816538658486,724.219977229831,711.7698471209472,700.8858645714635,637.5024134762594,706.4290002609317,722.7494001289311,682.9035792386987,721.7336272183934,720.8240762313588,642.104533520479,745.4494775849158,657.1006460903282,604.3715235455961,614.0247458889266,665.0503769203635,700.3266811889786,686.3970639775389,746.3153946832168,655.4826326505054,617.2558383266061,707.3019129007919,755.7700092695264,687.4629244975185,705.6102427053579,700.8925158428822,682.3396284278944,750.5824430199478,733.4470234565636,687.1460675612948,660.5963948891916,781.8658161065528,745.2560964402809,721.0657702311471,715.7444955562069,761.9600967422205,720.2891710167553,771.1365544083051,676.6290717145209,748.0080193191716,755.1270875248816,754.7255227438254,768.8296541035928,719.2703260573998,764.0781597727275,766.2212481493351,648.3283848933056,708.292943707242,680.0563887620233,783.4997020464248,665.8702185011754,672.9529322179546,684.4038140570841,630.0434655629157,790.7113176374331,778.0885612965126,766.791238014867,689.4221871027152,792.0378500125653,755.2694567697854,788.910470322413,756.9580217384416,692.3857195959868,742.8056712709775,762.4940937928451,736.2727075248857,660.2539972525456,787.9410851182975,700.8135311386526,798.3763692520345,687.8792327630821,633.9590387425133,798.453660504832,744.5599138712533,763.275240606928,842.1500245384492,750.3863992286199,663.9599190272635,788.7497665467914,643.5502317513605,759.2098234486675,744.1783218130951,773.7555473931845,717.4651104815856,713.4127342794175,731.0073070320859,760.6544579530664,624.4050472288332,671.850238168991,798.8617199620437,707.3097627357531,770.9693662807496,704.4164076049743,712.2137437857517,820.5475695062239,740.9048561893565,718.6279921756557,783.1510037097382,803.9515193974498,737.8748471978245,685.9183694919224,676.5930151198507,727.3839057163942,779.2542736196064,823.0896599474262,757.4093116722297,779.702361138362,766.2960751102037,702.2479955422455,753.2453899574356,35,Province,CAN,CAN.9_1,CA.ON,Canada,Ontario,,Province,Upper Canada,
0000000000000000073f,997.0080130150528,1062.8204098672188,1118.9051080577426,959.5585963015989,1113.5408996288484,1009.8581157067592,1013.310570720033,1061.2229974642971,1037.463911490488,1162.8865282606996,837.2642853200942,849.1436869642091,1073.517826126894,955.3605243712495,986.8278378434768,1271.7316785241512,992.1749622769769,1038.7140854056834,1190.1274915124325,1101.4196685892628,778.4729160840888,1097.4379829974073,1068.7745842293286,925.9691086013008,1036.289290947161,929.509140054164,1074.8401043518268,1069.9244404862288,1052.8407644031222,979.1702046283208,927.1467296672316,895.587624649008,826.5895881836296,690.3897651562281,884.9029340952181,1024.4579155258982,1171.4853552205448,979.2094478854151,1008.4849460840311,884.9389496696379,983.5800240220648,859.8145543760693,1075.7062717992378,1048.5877914965,1185.5485617199784,1177.447985717909,1018.2755395887164,963.0814901077429,913.81650149465,986.096469982174,1210.8029704317973,989.8945043340151,1001.7314211513394,1001.0831689471187,1126.0737445138354,826.0111017146021,952.6906299315864,902.4435293611841,952.6989846802886,901.7595959549428,1110.4001421940752,891.2171738116863,1010.5908475671923,1104.583965633165,973.2337369872955,1125.3145853339677,1054.174392615518,1093.6481678433825,1014.308692223665,830.4708828433899,1068.4895660592326,1230.7573631475727,1145.513995318425,1083.2860929352946,758.9056950158822,870.3436430586386,1213.4597718030313,1107.6054869273214,1022.0210507611985,1119.4641569859446,1075.4259926037041,1187.2580789953436,996.0273759949881,1062.961176424524,964.2911808692743,1140.3871186059182,1215.8849284305777,1004.6350738943132,1362.9884734554196,1040.680722410574,1276.0386250023482,1089.5345704660476,1147.6991189440837,1175.1845268901525,951.5241741218522,977.3676572426397,1069.407278407383,1134.2532692308384,1096.9335452018734,1460.2791150566209,1110.6814026262775,1041.7564671749633,1161.1115781139806,1045.2395333626337,1028.3268590003436,1200.1988923259453,938.0992563059276,1175.5761340526221,1068.977893802531,1225.235489168213,851.1973882598255,1294.0285140082342,1088.2817035072428,962.9727978750461,1127.2834374205165,1055.6864260025388,982.2391570807824,1247.6389446025678,1252.2510505814573,1170.8268519552205,1200.3773248907462,988.350962129029,1077.9254416615001,1372.6701344028913,1245.2081714761373,974.5706803367351,921.7494376320509,1111.8990117001438,1177.1199704140943,11,Province,CAN,CAN.10_1,CA.PE,Canada,Prince Edward Island,,Province,Île de Saint-Jean|Île du Prince-Édouard,
00000000000000000740,703.3940980517899,722.5513645401802,729.1761823267315,713.1211865418487,694.7416418719491,682.9802507850931,690.1986393840026,695.7012701888654,683.070101301746,743.5647567067617,724.1550217894988,738.8712512709907,706.169695570199,738.9747672164583,684.7065065324754,688.4533225940562,726.0635416133806,690.8061196846108,733.6130829902148,714.3796808029684,685.5616418723469,718.8834981758952,705.9915416995746,660.5814805410379,692.5203134311282,697.8191330711849,693.3460110450252,729.4492856675263,691.5106660245091,651.4515026599965,651.0529801280974,667.4451068423805,652.2075336565601,712.1058691730827,680.9181887284901,648.3955425586001,721.1407485311056,720.0856211479761,698.6634963421005,702.6601393997157,676.994125157037,783.2666834988826,712.754647141743,722.1511162711035,683.1730263254592,781.2356306236622,765.5459154174123,727.2785341796571,728.6770153218018,720.3228192933093,704.8503896531026,773.0639263658475,665.8223169455423,655.7807689629076,767.0011180492701,694.6413238779811,712.1884685835952,622.0414077277142,707.6085838815785,746.6601466132147,730.8566447824107,771.16944620979,718.8120269143495,743.1849204191616,652.7951192915862,689.5494027504964,705.9916517956544,767.3677469001274,742.3955559520878,724.8686008078481,615.987665384675,635.4265536836039,700.6380243791335,770.7618646431798,751.5050481416272,787.5378128337209,699.1625462267467,716.1812863157337,772.5668132081039,676.2545051673509,762.9795256847503,723.286087233201,775.95007186863,723.470077919283,723.8607064401941,765.5734075652134,751.4836556298218,744.3737634911805,833.9934753610925,766.4682771658893,743.1606723449241,758.8420473793865,815.214565828527,702.7153916425017,685.2050291350753,751.3174730597518,730.0255409813873,746.8490526938514,710.5439604478897,780.1638784342545,677.8107260379223,751.6901236195714,753.5266273559344,720.5380554992753,732.1473295073336,752.9016270245144,693.4602964796161,742.1683117183758,815.2335817427614,752.9311538675511,760.7645507780455,763.6972942289813,781.6714420196358,740.9476430487958,740.6071824515766,756.0305521948505,746.0987441262615,769.4485134007315,720.2969260529655,709.0539916775386,746.2620847714796,772.4647253528037,746.8578759115926,758.1972499477906,746.8145967074504,737.0663307956374,781.9838061051582,668.6194212347018,691.9974752441235,24,Province,CAN,CAN.11_1,CA.QC,Canada,Québec,,Province,Lower Canada,
00000000000000000741,424.0214898885778,405.8309572824937,397.9594196386078,379.44783383285846,406.12206214768366,445.7655173336962,424.0469623828093,432.2508544496285,482.97975947933566,454.1609171840875,471.0033954818589,465.72811770226485,466.4398015883292,433.6945447189818,421.7835063443026,446.16273355095626,421.83652811538025,436.60321524963143,442.231001326775,393.0982670693407,461.8141025208934,438.22668438667563,424.07904743788623,414.4117232432093,398.9734357597168,489.23112713918806,373.4485013590636,390.87177010575476,414.74711232042057,422.9579285689472,477.2353619322016,423.20150298843555,441.98718909982273,391.5057446771351,407.7744848235529,420.8288529582547,483.069909079983,345.8106031162787,397.3000817617709,413.2302542978983,401.88024140018496,455.9969189771464,481.878044691096,371.07269146420276,441.7715965928555,364.2972050350231,333.69456411547685,391.02662739830856,421.31117337127625,352.4301500965932,400.2072788686855,471.52417912118017,399.7403836925386,423.37114269538813,411.91414298239994,426.95751214705643,445.26356715747653,392.5584918751694,417.9069723031442,425.4378416683044,449.5811815911474,407.88809655455736,449.61905017996094,493.9687037290124,449.92450604816287,403.928321314662,397.0393783834742,395.1690433715688,435.3906715212967,415.06823601732583,367.1805343756353,422.7021846043982,448.7198594554855,436.4752803052733,470.5976280209363,430.1694591864645,385.1774260902523,422.7877414174867,416.3714358594468,490.3880077590667,415.413876569954,409.0661359386177,482.18641204791396,470.44415065485725,454.56891248301457,455.7273324068653,468.30463806826356,458.24924036394555,394.3893086649586,397.0967343371752,371.15080991464765,426.9453428508987,436.72380976447414,446.0261293996408,430.9054486778448,446.1311943621015,389.2906645864928,431.9193915121682,446.41191530780736,416.97890785953734,492.8108235520525,408.6037521298819,448.73672261802454,407.591283587268,464.27138395718845,446.5009290944803,452.51863682709984,403.93667599275796,467.4887257392796,462.8282644417547,358.19610571518064,442.966446476203,408.5543470838191,456.5610309150208,532.7873917952592,454.9859834835959,450.41902167839066,412.07770264957026,447.3790535995619,517.066105225491,398.5047517486057,521.765022644672,406.9378698724696,458.06613448093685,456.1530728199205,536.9902141259577,430.7267244995365,411.5419522129048,446.53236044753885,47,Province,CAN,CAN.12_1,CA.SK,Canada,Saskatchewan,,Province,,
