CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
48,Province,CAN,CAN.1_1,CA.AB,Canada,Alberta,,Province,,447.7085446349299,73.87826565087386,0.19057151134412362,0.025266760169088243,5.065351135623912
59,Province,CAN,CAN.2_1,CA.BC,Canada,British Columbia,,Province,Colombie britannique|New Caledonia,878.5847462199424,402.0824925318553,0.2426013387325138,0.014060629058895158,3.285916291328602
46,Province,CAN,CAN.3_1,CA.MB,Canada,Manitoba,,Province,,487.2364897936742,1.7708296024793526,0.24919497205966468,0.04660719318538398,6.086202962273516
13,Province,CAN,CAN.4_1,CA.NB,Canada,New Brunswick,,Province,Nouveau-Brunswick|Acadia,1053.6746679342632,-1908.2190210997999,1.5194502457472359,0.1743379315508572,17.160380214740222
10,Province,CAN,CAN.5_1,CA.NF,Canada,Newfoundland and Labrador,,Province,Newfoundland|Terre-Neuve|Terre-Neuve-et-Labrador,921.4287738442731,88.86607193880627,0.42708871857749275,0.0597190275194065,5.515733711970136
12,Province,CAN,CAN.7_1,CA.NS,Canada,Nova Scotia,,Province,Acadia|Nouvelle-Écosse,1287.3481511429552,-1580.802791317998,1.4700302289807394,0.13158231276502197,13.588678174850797
35,Province,CAN,CAN.9_1,CA.ON,Canada,Ontario,,Province,Upper Canada,718.3984090323139,-215.96356098603792,0.47926300087349216,0.11290701696841587,7.938811721586124
11,Province,CAN,CAN.10_1,CA.PE,Canada,Prince Edward Island,,Province,Île de Saint-Jean|Île du Prince-Édouard,1039.3160359842773,-1803.1453400433209,1.4560460318535402,0.14221871144624199,16.6714908450804
24,Province,CAN,CAN.11_1,CA.QC,Canada,Québec,,Province,Lower Canada,720.399389836191,-221.26465916105303,0.4823757238459719,0.16389913200697503,7.968178755776467
47,Province,CAN,CAN.12_1,CA.SK,Canada,Saskatchewan,,Province,,427.50891553874993,-25.900865544675412,0.2331560017371206,0.04613614002067201,6.490055107213889
61,Territory,CAN,CAN.6_1,CA.NT,Canada,Northwest Territories,,Territoire,Territoires du Nord-Ouest,258.53338293889954,12.10137858939595,0.1263865736072237,0.05887715964371609,5.817431423474661
62,Territory,CAN,CAN.8_1,CA.NU,Canada,Nunavut,,Territoire,,201.7939009409709,158.04939078443738,0.022481696353903267,0.004460150757919612,1.325769437846924
60,Territory,CAN,CAN.13_1,CA.YT,Canada,Yukon,,Territoire,Yukon Territory|Territoire du Yukon|Yukon|Yuk¢n,383.71494802406625,36.904222559007394,0.17752477592172358,0.03612782669004733,5.5055056998613825
