CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48,Province,CAN,CAN.1_1,CA.AB,Canada,Alberta,,Province,,492.96615664946245,480.95086031365355,462.9149381190507,443.99359119665564,432.8229842828728,432.08833870636784,435.5664026443282,436.11821613897416,432.7115279819849,428.66072428053764,426.5546036628181,428.1285898550106,434.3136179057239,440.8240999546766,439.0695434866258,426.3700148605995,412.22030237751875,409.18148064624853,417.58394557552725,425.57816168773985,425.1698616159564,420.491369888314,419.2247792088581,423.18517948483486,428.4326311185354,429.422581157235,423.81753504992645,416.43845602442724,415.2075150794321,423.193952102609,438.4709868203668,457.1588201367891,473.4922783613572,481.01772652921045,474.59291329418494,454.4917861688087,431.46050452161643,419.6080460077596,421.8106199625794,428.9584974903307,431.31539714204314,426.3621132204069,419.0207672659595,416.2521320316537,420.967916507445,430.22970329604186,437.7662083817947,440.1019543885029,440.5217606195369,443.8539831628965,450.5909399781219,459.6645233038435,470.4677423254967,479.00836420959007,478.37893517158534,465.34888586169916,445.54827988793375,431.48102640384934,431.9669020860667,444.75100608093965,461.648949736107,475.7472011054685,483.06825846568813,482.10564158095303,472.8942530116925,458.27548017554784,445.1967064144731,439.81477194060034,443.0647025009586,453.659976083201,470.0038723560113,486.9636129610748,497.1868760075209,498.2908956567082,494.29569629759544,489.1093348334315,482.19783121151585,470.80647069148495,454.55094058515425,438.09680824146994,429.41893821887487,432.80571663698015,442.7952999871782,449.37771023348176,449.874486898431,450.56958112930295,457.0074022555553,467.38030419461813,475.1846947106789,475.51653816233375,468.732177905384,459.67387670969765,454.30122292516774,456.474838139869,464.22907978844916,467.66097357542986,457.93214065422626,439.47590258577844,423.2424655960696,412.36991176945577,406.4140359615688,409.9938009485007,425.13641492610714,443.66238869362934,454.85318806934174,454.7628601975755,446.16205835359153,435.8379690318761,432.04554550316715,438.65075488094016,451.0770165400124,459.96571599363506,459.91655808394944,455.6666673445826,456.02149872407614,461.3213957992894,465.24295287686334,466.3673898919534,467.94467554773877
59,Province,CAN,CAN.2_1,CA.BC,Canada,British Columbia,,Province,Colombie britannique|New Caledonia,869.581014664177,866.7006229720774,863.6410886600718,860.7558829504992,859.2899903173811,860.5722259892128,864.2756912410291,866.4084912816834,860.6594198974309,846.9164902110049,836.7139518821596,840.5222354182332,851.5138681432162,856.9518512247681,862.3120230327651,882.2115538390173,910.8282440229112,925.6949702771789,916.1864638673958,889.133214826424,857.615495952589,836.247991038529,832.2471554475719,837.151273791373,837.3362340630183,826.6699941749207,806.9990490879593,788.7831935733896,789.59987691769,820.4442652287273,872.1001014423756,918.2507603369451,936.017785555363,925.463040076589,904.1458722673661,886.7047987005375,879.8189313571363,884.4953715926517,889.8382394780169,879.9031183224316,854.2193180986013,828.5377628810984,816.8926261170874,822.6790871735471,842.8062729907379,870.884379802681,894.7210799023742,898.6358320877854,877.0160415978727,846.1720949106066,835.0248949531492,855.5240316371091,886.8280066581658,899.643056294459,888.9940939866048,872.647444402678,868.6077952967987,882.123244656865,905.9400271211301,929.0154633151777,944.3139196239587,948.3583732917062,940.5378494301566,925.8119914413503,913.4113752960698,908.3674490464762,903.3943712836283,886.9966411823648,864.2287748241671,855.1540141864033,866.1151271369374,882.4559511207694,893.5340927297035,900.9804761331251,901.9067076980875,887.4909296568943,861.8187863588814,846.2013135008938,854.6268824432726,874.0250528845098,883.0543104995813,879.7640729411205,874.5972540468497,872.33305637437,875.9327940920907,889.4773069480506,908.9052057759404,925.632253278183,936.0616810294678,936.6943941355415,923.8823601345209,905.4646758093899,896.0121443021335,899.7562206299837,910.3821341305523,919.4726075467943,919.0050333358151,906.7486794058564,888.8052689344662,872.1350154296869,862.0391712894518,864.7567962527761,881.7091855777238,904.4932181985537,922.4294347051251,929.0156356276742,919.7600063647955,896.9759738915461,875.8737444626024,869.8050541087193,873.4032525024816,873.6123466997373,868.5061996850527,864.3041046746982,862.2692902899084,856.4522884816648,841.8302356688474,820.625254489375,798.6717310945558
46,Province,CAN,CAN.3_1,CA.MB,Canada,Manitoba,,Province,,498.42711930493255,494.5520156532884,489.74698966214726,485.4652276021257,484.67873833224166,487.20537719635774,488.3679490012211,485.7795781267748,482.9708309841526,483.01254348566226,482.8610057551465,477.9203498975153,469.79190557425204,465.48883571950654,468.9069302430134,476.2671300731186,481.4645451951259,483.49782505565497,486.5806212867922,493.24895601483905,499.1363455614958,498.3127609414517,492.3019482248464,486.70994029896224,481.4850845940806,472.25747720510486,458.90674484926154,448.00450469301455,446.6752365200139,454.98304019167597,466.6503099487252,476.51447471407107,483.47990712818086,487.7452123888544,488.96900580166493,486.8727444158632,481.89700204918216,475.40948438163076,470.4924933443899,470.6975104189413,475.5135774707539,480.18513291762855,482.1100381049685,483.31327216396943,485.58073936929327,487.1864916005161,486.14453782144614,483.7127826933648,481.3378726592816,478.03830908027913,475.1721043604926,477.4293594005431,484.8554194209653,490.0321235329948,486.6019762661111,477.97721802103615,473.8552286721114,476.8326106140431,478.91500275089174,475.2774854226885,471.8561747954248,474.8191337751413,482.8299613522802,491.42484796785715,497.16015259541933,499.16490560468407,499.99307627270525,502.640684717867,506.91582958984384,509.00790022220036,504.842857216906,495.91626136661154,489.094367126736,488.6747865885286,492.59231221127004,496.25063555012497,496.4658253272323,493.0913447235766,489.21587799401584,489.2584436796,495.72497038752766,506.20106146243677,514.5043821808671,517.0673084118594,514.6783357825484,507.558826408959,496.1526197625722,485.96532902891994,483.44323620357244,487.1646683441481,489.0411908544451,484.76320239440327,478.6568296943392,477.92094385336367,485.55873190319807,498.7539996712949,512.3200220822496,523.243494911073,530.6222776142394,532.6272067760023,529.0935406253261,527.8175722399787,539.4790900257957,560.8614224448645,572.9560061998915,563.6381762889479,542.3903071349109,526.3987860587428,520.9259826332188,517.6513193166628,507.38929371331915,490.92363953703784,477.924144350882,476.18990376086197,481.1648517886314,478.68571771668377,461.95133334409996,439.0344991965397,420.17661847491826
13,Province,CAN,CAN.4_1,CA.NB,Canada,New Brunswick,,Province,Nouveau-Brunswick|Acadia,1042.692136273043,1042.2399792580616,1024.224882341116,995.0254324028467,977.3341835898117,986.0009455501458,1011.011582157196,1031.8260205978659,1034.1469137006648,1020.4129867878827,1008.5727092313364,1007.9714831541199,1010.8605039773363,1015.03333743989,1026.775375512248,1042.1527006423446,1049.6893770085644,1045.493070101076,1030.9545476558017,1003.8789270051439,965.4180413284553,930.2597309869071,919.6474932402872,944.9896808554794,995.2019672315581,1037.7839141473664,1042.7899528063815,1011.342217848472,975.2071593428551,966.7807843408002,991.6754687816305,1027.5361751341893,1047.7016356528666,1047.8338917975243,1043.7560955645095,1044.3133758450108,1043.258344436478,1036.6141930807905,1027.7974373266559,1017.4125877644003,1005.8907825270769,1002.1060375392956,1011.343406228282,1018.9556153446085,1005.096724438873,974.8650314877034,958.2668534130976,978.6398909419115,1028.1997917415836,1075.7323336174843,1100.804947480104,1113.2336351886665,1122.980244809564,1113.569467760308,1076.7413789460866,1042.1078446076601,1039.764079323089,1062.3709823668316,1085.4887998238753,1101.9242734845122,1117.437269963877,1123.311976722688,1096.9932972382344,1039.3426086559755,988.7061954146615,978.0171399540008,999.4516937283056,1027.4851451443471,1051.1352433798859,1074.4360907121995,1102.7940810527234,1129.3332653142395,1140.037575253368,1139.2607252263958,1143.5903029531466,1148.5626365732949,1141.4431893988672,1136.2376967936948,1152.5311191336687,1178.2211488968808,1186.42687242245,1167.8544838453577,1128.18132062149,1076.2082194158893,1026.4920103105712,997.4786715727554,1001.3723340510371,1038.772602516328,1092.5245488392459,1130.5838189195501,1135.5296957510257,1122.4324078736547,1112.3478900940513,1107.781046316324,1103.66268117322,1101.9283408029519,1107.1360945052681,1112.779350749736,1101.8323571318883,1073.9121738856436,1056.0800978095829,1068.10187200271,1101.220320654387,1138.7022187540804,1168.935581678402,1186.9955050497279,1199.9856428820497,1213.2406101413924,1217.0897573799737,1204.2654200044547,1186.4475418336895,1183.0000675244735,1194.0888103416253,1193.4410838947194,1164.8679103888624,1131.6438265794898,1124.2147725038762,1141.0115933829302,1163.040760336423
10,Province,CAN,CAN.5_1,CA.NF,Canada,Newfoundland and Labrador,,Province,Newfoundland|Terre-Neuve|Terre-Neuve-et-Labrador,900.2154888825247,908.4967063158202,919.7603704194293,933.6643693297311,947.1515201715753,954.3622222023353,952.97990323335,949.6852522731206,951.5080236041169,954.6371406014707,950.6758998789165,938.7095766742592,924.1485098406462,910.9161465490652,899.4045743364363,889.6205567266285,882.8806662276951,879.8234895641898,880.2331997333249,886.0995792349265,899.0302802950396,913.1489757210951,918.4212908517248,912.0077297292919,899.4161780900137,886.8348702791361,877.8008701728706,873.64242379596,874.8819918657309,882.8483192073305,896.2614170630508,908.8252212405648,916.643942036768,922.5903667614285,928.6999291203215,932.8021235000324,935.1231216597583,938.118011565149,938.6405417437289,929.8421478057413,911.2245331428583,889.7962719810206,870.9697506260411,852.5850661873648,830.7216140658896,810.8786931206557,807.8770612030978,829.601734343284,864.8282916739236,894.3686742241986,910.2043707523536,915.5709620303621,912.5503305092572,901.6533589965131,891.4731769331815,894.9321985769242,910.2459076934085,918.0582649441974,907.3109501963233,892.7700201903283,897.6741536593998,927.1461233513046,964.0494644491049,986.7090055946807,988.1859322573156,979.729395034817,976.0937580614961,979.110972530877,980.1068346965731,973.3629926586301,958.4202660087569,937.9868501730446,921.8669454899399,922.8911410431868,942.8815492101619,969.4854061785855,990.7608387854866,1005.5629146891546,1014.6899392425881,1014.7147307533793,1008.122230249635,1002.7575901260668,995.5492500398594,975.4936728792244,945.510646771149,924.0335722391392,921.6120394605589,926.5556379271923,918.8548612448872,894.8004308124739,870.9683719452673,863.1895501491232,869.9551461476282,880.1384330592908,889.7937718306878,905.2029394453195,929.7856359268396,951.7756329228426,952.9251363325809,933.0754641785265,914.9651287544086,917.5471181013452,935.7335409810236,952.354074950475,958.4847186356859,955.6855317262899,948.7398511695968,944.338424538579,949.3048531942163,963.3731069909608,977.8589379835926,982.7130700630275,973.7929721744805,957.4348973282968,946.6242758988548,947.1317273893658,952.1423684196483,954.2683061672828,953.4992007527029
12,Province,CAN,CAN.7_1,CA.NS,Canada,Nova Scotia,,Province,Acadia|Nouvelle-Écosse,1280.8024623843905,1276.5491432055205,1266.6526585090512,1259.3604235276437,1268.5076743986274,1288.6789439319773,1298.1174321438311,1288.195691873341,1265.5014608322424,1239.3834919492408,1220.9386052444324,1211.481996756031,1197.1182288771233,1176.247410159514,1170.3609620372329,1191.358048065517,1221.2380894337177,1232.50583835079,1217.540671150274,1196.6097348669036,1194.280819116456,1206.8491762086833,1210.9498114680157,1206.963752921663,1220.907336067255,1256.0506522089702,1279.672925731524,1267.4017230117663,1233.3625366328033,1212.1079728756777,1225.4169892870536,1264.2477174386916,1299.7174487868297,1315.6579473981358,1318.7849025418461,1313.5352540359643,1292.8596242177916,1260.1351801905953,1235.7887751266076,1236.2833901194945,1257.9164519285266,1282.185161470028,1292.7024510137917,1284.9072162253221,1264.8439437471175,1247.13446406877,1243.617327329986,1246.460976405194,1241.3069842197751,1235.0154447150521,1246.7255123501752,1276.8352089842863,1301.8090641884244,1301.4592798454007,1284.850984277633,1280.096850614644,1298.0553948074505,1314.9058679358634,1303.8735294550129,1281.0978375126945,1285.466361958954,1310.7099224936057,1305.6824757367192,1252.3263928815102,1201.4001756079917,1206.4073120399214,1252.1693070852461,1289.0299834386299,1309.784569463616,1340.962424818946,1380.4724360371556,1394.3360377316935,1369.999388355592,1336.8416516094198,1325.6271242097723,1333.8385062322498,1345.90104853602,1360.492430002629,1377.5395574940223,1386.3775754276076,1383.620906885036,1376.6519099999937,1365.4888297887428,1345.3556140562773,1323.936299242818,1318.240045280206,1336.8800923724452,1371.6729082261036,1400.9581525847855,1402.5714507848659,1376.7216821590398,1350.6363058845018,1345.6473453461995,1353.692310720094,1355.7100592283718,1344.4443983785561,1326.7570547143102,1310.7841992272795,1293.5655167749765,1275.3022429087578,1271.6428940100639,1286.2242369974808,1299.6377277813226,1302.1984797115401,1304.505357328429,1318.3330429593243,1347.253103177937,1382.1289832068815,1406.1383863787378,1413.3276590915748,1413.1846697849114,1419.6506108179656,1435.7589272658154,1442.4445057661542,1420.6430682059377,1388.1797210163118,1382.6321716882364,1410.7031936869648,1449.8872664088835
35,Province,CAN,CAN.9_1,CA.ON,Canada,Ontario,,Province,Upper Canada,729.4309287444845,729.1560158061877,726.9895841780657,721.98135096507,714.346557235978,706.7339840905474,702.7419638777517,703.5250870871702,706.9984561437087,709.9945155803913,709.2945965048299,702.7164402613306,693.2007840653389,688.5907969913335,692.5129213086576,699.9267402637452,704.4553794455996,704.1236079536234,699.9066750866945,692.5819178948489,679.9861375934439,661.2019415887349,645.0378725900875,644.2207658704787,659.8710437025769,680.2603048574875,692.1741918180688,689.9541572623426,680.7368418428306,679.6056694379166,691.4287173730958,704.4165547778338,707.7811392185513,704.7713641137279,704.5356383797803,709.9734901540396,715.1909597406384,713.9423042270647,710.6169199109937,715.161602791982,726.540440593601,734.0477579183729,734.465350691275,734.172168589698,736.1004389476957,736.3792492951187,733.3158265971698,731.8978339588638,736.9422869287914,745.6735983581713,751.2467712822734,751.3218040656602,747.899276283095,740.2060767167059,725.9036679409237,710.3453482144848,703.883008883411,706.6553581537522,706.8354530516006,697.3549979277911,685.7569645616418,685.9371172075237,704.1908801717955,731.2326414837579,749.496626497919,752.8468083149942,751.9999309514169,756.5175745808458,762.0895455220721,759.6071869799467,749.0144616692717,739.3661099105323,736.0025517211092,734.0851746333647,729.5891414103562,727.5628397278185,731.7405586734477,735.0049093332763,728.9720233503806,718.8490145972808,719.3624685392679,735.533413737346,757.3262794895553,771.5333036227853,770.0361154552635,753.8611313864135,734.1290841389658,722.3804839674017,722.323729351037,730.9485734410719,740.0751566767652,741.3836588952299,735.2970650204526,728.1115388436443,720.306738279021,709.171668271717,701.637357412394,708.0824075866893,724.1701250060908,735.2806353841646,736.8715880019196,737.7188235875136,744.4333506849833,752.353276952955,755.871765417234,758.3129125035687,761.4507377871385,756.5205725821621,738.4571871946346,719.3079606569136,716.9646234495482,735.3221622865437,760.7637529221679,776.5591075448065,777.0207358493801,767.0725588531183,754.2196292739186,744.1356712189241,739.2906954064482
11,Province,CAN,CAN.10_1,CA.PE,Canada,Prince Edward Island,,Province,Île de Saint-Jean|Île du Prince-Édouard,888.6426847041031,924.0196593250819,965.3404514280099,1009.0718909340571,1049.862359540179,1077.1062081010084,1086.3210611223426,1084.1498658147248,1069.3106052263374,1038.4318543012344,1010.2512521124573,1003.1756331009464,1005.6670229979193,1001.7725872264893,998.5877212485777,1008.6852980143397,1027.108457751685,1035.2222891937038,1019.4040546246997,981.5894072703242,931.8477190322359,879.8608539962697,842.4482291724738,846.4045947854094,901.7764928758122,976.8738246176623,1022.0195593449347,1017.9069470116441,985.7924846596424,957.2055296457745,951.146733753248,974.041896957051,1021.2165107982845,1073.975125598149,1104.525228299435,1093.4544600358151,1048.8091543809244,1005.4742106283499,996.33335567782,1019.6381172327651,1042.5965268850061,1042.749162820106,1028.952597296154,1012.7920190435931,988.9393161250799,957.2555741739851,933.680912247861,929.8224079871767,942.8333451606763,962.9533960858934,980.816283946561,995.2091297107495,1011.9978069660181,1031.9919829208056,1050.0692919376731,1061.6338294666427,1059.6282378139206,1038.3654115708982,1012.321052567058,1014.2934645014341,1054.4009407214041,1093.2504573753924,1081.1475202901424,1021.4922984790412,974.1224326702827,985.9843253159673,1036.782133494048,1075.6997118072072,1088.1325072783523,1092.5191690045026,1095.7183785385614,1087.3275545518395,1067.0429361887964,1053.9600533832233,1065.605435139243,1097.3035977700883,1130.8524190739179,1155.8062477364963,1170.5941447010314,1173.8053208943697,1166.0936665908962,1150.5432206476523,1125.436519307028,1088.4030659717405,1052.3119863811971,1042.0274634324219,1069.5632311298455,1123.7558992215097,1177.2940371122968,1197.8164288846817,1174.2993390617485,1131.3844420883418,1099.0651354851477,1084.2819156264798,1079.7799040569976,1079.7825442940225,1084.4179361082647,1093.6495097540853,1099.3931145608046,1096.9509748112391,1094.6861102730088,1094.7812904944649,1086.9837820401156,1071.9223783593948,1063.9301928155207,1074.677973829284,1108.316342346235,1153.8326538772524,1182.665732919045,1175.0877320395984,1145.9970002909124,1133.5520363100977,1154.2403787770095,1173.4528816280829,1147.5798880269779,1090.8479375813677,1057.6892221786231,1068.4563115307524,1101.3220886629579
24,Province,CAN,CAN.11_1,CA.QC,Canada,Québec,,Province,Lower Canada,726.6067344580988,724.5505507672472,720.1338811360008,713.2350734040424,706.4966648446361,703.9071612169495,706.2284847999034,710.1470582166863,711.7899155805136,709.9888555400162,706.2135433673611,701.3493284925742,695.2355120337666,690.2348882418738,690.2032904607676,695.0276078207652,699.4821407605991,697.146932222465,686.1179854972677,672.1584598471876,663.9169287916728,665.0024544081399,671.9375098324764,678.4963923124518,682.6408846469385,688.208686253361,696.8375565395241,703.528364655652,705.3709157899057,707.6508238916263,715.0914317776209,723.067686271674,725.063585548819,724.6048892451047,730.0555402439552,739.9758902202306,744.3523632642117,739.1758612582524,730.5763875319286,724.9909499331665,721.1413585731359,714.0249680130223,705.4503358185171,702.8015167455268,704.9660902485848,702.1316474602835,693.3308738717628,690.6944803537865,702.3337906043613,721.5468640103096,735.8788814382547,738.5694889159139,729.5555173432992,713.8354947417954,701.5813796773666,702.5066045637088,715.4349327151122,726.3984522188632,720.7093205643965,698.4447325958771,677.5903869922129,678.1041437880386,701.6477286050276,730.7757672995517,747.1326893912988,746.4717194116712,737.7476891194623,731.0376703787907,728.945724928467,730.2554907601585,734.6935426603869,740.0607294797127,742.285353709141,741.6277680202135,742.8245344325895,748.7435668250613,758.6696568303772,769.5645824528293,775.6685064343391,773.6926912046857,768.0853606164994,762.3999166149435,752.39367520629,737.487688834777,727.17245658921,727.2578656958882,732.1724393425874,735.1224029964349,734.8945675038767,733.0418115063934,732.1321137976938,733.7270921598631,735.699202349358,735.3768549125767,733.290941190333,732.6078991381097,737.8704987939306,750.1151846005022,762.3313541389635,767.2664700644027,766.3947165245496,764.0967089211895,760.3459059911238,754.8578269928657,750.7698236531578,749.8330513791896,748.7773492379681,743.7901843855502,737.1814671717651,735.9083416841448,742.1789374622354,750.0534779872548,753.4160637656186,752.3045940433337,749.1651645325711,742.9079531016041,730.9977426364294,715.6022033236262,701.9717955229996
47,Province,CAN,CAN.12_1,CA.SK,Canada,Saskatchewan,,Province,,466.27402812040685,461.4687913768308,453.47217349971015,443.9662345634269,436.7206067161929,433.47907564657334,432.41583091451366,431.2110032563689,430.0103463196703,430.7286748490631,432.68279412198353,431.842319814809,427.3814448286592,423.963473738396,423.3291419597257,420.3966370437029,413.326579339697,409.7209196915966,416.274729790034,428.7357328128824,436.7976837760942,434.7555637425389,425.74646909780745,418.266080208588,417.82493143279993,420.08161495340045,416.2911971189923,406.9760046167742,402.34436194125175,408.7590300434742,422.20794532973605,432.78676588218406,432.1126058493673,419.3615590334287,400.54741717896746,383.98293396031744,376.92648327887423,380.07413685587,387.5105325499821,396.41294665992035,407.8366657134279,418.00775199398987,421.62906535356984,420.91748534439614,421.262816105031,422.55136037053745,421.6255101345956,419.55834524892595,420.5360694038725,425.2049889276154,431.30886531026016,439.02305331689934,447.7083954567508,450.2995291991437,440.5969288988859,423.84316814529774,411.79737884274726,408.84113534256414,409.22062743117203,408.2251403871081,409.74088837609395,418.7345247374192,431.8929156373885,440.51630705997974,438.9474013542722,429.4080091265597,421.25858159894466,422.62156521817616,431.12135835782635,437.6506676566355,439.8188461856454,443.94368740022566,452.4169600833081,459.46090311904015,461.123056735062,458.6094362650679,451.28323138275755,436.603628843972,417.82833147516004,404.66581022868854,404.41989600561095,415.00520070192596,427.51620223819856,434.24905661940306,433.3635836721124,428.3267600975365,425.0767205195383,427.5200968808874,434.38868065419155,440.9280723589167,442.8249840598188,439.76866136661414,436.4201704744059,437.44658656440765,441.4997415074884,443.43486200079906,442.03274510487825,440.1855261315129,437.31103512840855,430.2393059875014,422.6434567749985,424.02229874929907,438.2043073862838,457.6597834624769,468.9020816783339,464.9920402162242,453.61576015607875,448.31348862031365,452.6257264047756,458.92040634332795,460.3846579370733,457.45846107741653,455.4576996520953,459.3958152400024,466.48426630020884,466.4828899268193,455.93251460385704,443.27608276030446,436.29470936849685
