system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
00000000000000000835,816.2831969090482,845.7745322692159,745.6319697367735,896.3590066249648,850.6952804029589,913.5928790050561,934.8875301191288,773.4906981102347,803.6446815218048,835.4601009043655,806.4623056191156,797.4645751324449,759.6683819717733,712.7367915199893,843.6460756489545,868.788170468575,763.1550660856735,726.0971851744499,842.3919566869704,998.3197017097459,609.8520796252366,983.7450030637268,899.4818915156069,880.798332045744,881.0832246799664,926.1871028561089,769.1330359124374,774.9131938168233,869.8005451215455,779.4554044115293,630.9112206372174,1085.3402572135722,867.3118888815904,930.7062299379669,852.0841812595369,943.2291906507882,941.4443449928585,807.3911073640921,686.5918279823941,960.350759244943,915.4647334621899,805.727439710896,803.555320278386,681.1434857705723,915.9955010911887,1001.5114643968375,902.8578224887019,830.4379805177869,1066.096859022637,1027.104151520861,1027.9412909414139,738.57434634023,699.015628747879,1070.7194812215178,846.6447601918541,844.2877784283621,773.447487464883,871.5245546304078,709.7106461939612,886.1519089684248,793.5033031523966,966.1285911362954,633.324196820591,1012.7421655308672,925.3841646724958,940.7812183900104,881.1563823243017,1001.2771317651386,719.4532551887017,902.8513513700698,884.0776417101648,783.8893700892771,771.5584961376193,774.1376307177225,1152.790994286271,1143.089844287138,878.9936996551066,935.4762749737919,777.2898563076393,1073.5955876039766,716.0141921203023,715.68025112225,814.9220574387956,1046.9551099612445,818.570208153527,716.4576073551041,943.0110763497561,928.5370055000348,1001.8846613096157,939.8079557833065,1138.5510407707454,831.0319374646008,868.8266220608756,882.0433048932777,877.0945618769057,964.1041811515565,1009.5224953022669,1054.9011288396794,834.1237029265043,908.3958014613952,773.1510976934253,911.3660177904799,970.8698839399037,922.2774044673638,1059.228960128608,830.4996037853066,800.4237626597475,972.428154068341,1005.7989889314532,965.6008646864182,1067.4227958728206,1180.9865243739514,660.903262757517,871.0544906672778,911.6402423346656,866.0882901005211,1023.3191411065249,841.9078429020334,919.6324054907245,965.40837547043,826.8335265120181,906.8278128794169,917.750681934321,802.3277733816102,725.8787353294553,899.8615739668513,945.6622862092487,734.1919690699964,827.540205271426,09,,DEU,DEU.2_1,DE.BY,Germany,Bayern,,Freistaat,Bavaria,
00000000000000000834,845.1325848402636,809.4339051086693,704.0488877430312,856.8574857239662,882.7164624267346,968.3728692370439,869.9002611931327,832.7876084686396,816.504409479191,930.0711155532823,896.8773356022133,836.5651089948833,821.6125675130514,798.2274039570239,882.551166813548,901.0555625915952,749.255651594186,826.0891531571523,883.7246794920181,1100.101200962849,682.0018777380485,980.9903132195994,915.8808771435646,1069.6260962720733,934.1558827602842,992.7574409850639,864.9424099286377,833.6206213841514,909.6429937104728,745.4043059398294,585.286860490754,1208.4009958701438,907.4562122268107,966.4015110767649,880.954033976548,889.0864271745287,1040.603368795882,795.1625084284858,704.8112115848807,1080.6642156789267,1090.0901556094323,831.6311215499005,778.1078188113148,709.9337701309388,1007.0410793240779,1044.7933988916607,890.3781039325319,945.5750381070308,1226.9053725067868,1092.5091343640333,1010.6773468288395,830.947381747476,720.38208294133,1026.7361781277905,907.1882703027107,854.9128084978488,824.733358110761,853.8630473153985,624.5785782040045,981.7010012511303,917.251228558629,1047.5679812513567,697.9908385521904,973.9054085276464,934.282029316442,953.8968591976958,854.1218332881579,1064.5368976579177,727.0280195720466,946.8496100494967,919.470168794007,802.5414912441034,840.8065772597633,759.0268358333957,1280.590425425224,1076.5089680664826,903.0375641664567,1098.2946606130542,925.0328659753403,1073.9743998687686,690.3825354963872,791.8317639414283,900.6772367666158,1003.514844188082,856.4272463526477,759.9626982077267,982.4545639164977,1063.5773074995388,999.0957128881719,967.8735951558149,1145.3628162559255,1042.8761026797936,960.4859378570061,969.6008367958414,842.1544326839283,1136.944162196637,1051.963908788288,1149.5569545930864,790.6416059910148,948.801745848696,751.0137838619243,969.4856591160527,970.8053502715534,1035.5290569414642,1127.3882101512136,871.422850070431,833.4320655273873,975.2086208927086,1129.3075719451092,979.9879791162679,1149.4145117524065,1192.690401099732,692.5543682756064,894.6486625400988,884.3272174712355,951.9208362713689,1018.4323875383385,909.1546249734561,936.533652101476,985.7228887163777,799.7050711517921,980.8140689513241,986.9498523069807,872.2152725869524,736.1080815074179,958.7956998186024,956.8934885765841,757.2445085051469,925.9810525372854,08,State,DEU,DEU.1_1,DE.BW,Germany,Baden-Württemberg,,Land,,
00000000000000000836,625.1398869948675,401.96773860558653,483.44682562623854,604.8705030667311,501.7012598747524,551.9375780387134,541.654865352131,553.4394189909938,534.9696154049182,525.098802594286,501.57527975927024,575.9272186850311,511.4219690271326,434.21720686375227,662.4354628723526,561.5746522138123,647.3270796619186,449.5573932861836,593.9194063119234,610.4881881111129,365.67991596943625,523.0636445043489,464.6499253746873,628.5632070434316,621.1223782799101,606.0186880512198,479.36639131478614,588.3741922041482,528.1383385291467,533.2693061432075,559.8867744556832,636.213247192129,536.7539488857849,455.19377913445294,559.2263497017525,723.4523050224956,656.2116677647073,530.0522142438036,437.59413664058445,709.1950363825364,674.2226811208745,498.2923785108539,474.23994969231177,511.44745101452867,598.0696898398925,459.48974488827395,576.7308312810632,574.4450573197522,727.2186752604844,565.1331552358774,638.8002516018875,481.27694093065793,381.32065333249415,535.9152215969538,580.2338763135882,549.2655543210353,550.0728404467419,582.4998257769864,497.15621117098175,568.6527343242432,507.80060721732474,512.6777988996922,483.59893995511067,674.2273980852472,568.9402724680435,652.410792106898,515.9426481441252,605.930163472705,488.808267637003,597.2951721064514,680.0828305440732,506.1101147816236,417.1845577501706,527.1429639407851,614.2771640706211,694.2781718486065,621.3881526320492,591.5022443426375,540.9234916068411,595.5013456919585,438.55103116422083,494.66376030618585,540.9250155823643,726.3462264285018,449.2611962078515,382.46714576514995,661.195000979608,650.9059506612606,622.3332655305923,634.7407755703045,676.0505081779495,394.6964656964657,563.857651930589,546.748717246581,472.1428867903172,654.7181916742464,665.6663343782485,533.4018865573431,417.093153416243,602.4293583415897,430.232946447424,548.266630240141,647.9223056721837,716.3116543902677,611.0441786672867,493.19075326265266,493.86416771902617,642.0355329929915,487.58352864160366,568.1700784599955,640.0894667532241,717.9539945923613,416.7910301541588,577.9962141707136,637.8444556476173,474.88579434020113,826.4756530634827,586.942757525216,601.1146780795218,657.5589505709135,665.2079230484992,592.6208898342078,624.1968283544212,482.6246717932814,526.761942397532,487.83779767645126,788.5589020980868,385.04022305621424,516.1209934417027,11,State,DEU,DEU.3_1,DE.BE,Germany,Berlin,,Land,,
00000000000000000837,633.8513321613525,415.1723980001776,518.3681907990547,620.0044353296198,543.2472053708859,569.1852255606108,547.6813892662311,571.6823606625427,561.4107853404598,553.3110763271818,523.8635096685219,567.8956464302829,530.8927452084058,421.170759185407,712.8279847716041,587.1075908097508,619.5623500085774,448.7441906724525,570.1778393743455,579.472312434796,382.9759259086317,558.0724724636032,482.08045677185527,586.0291743920037,619.9849999330537,618.5104798161901,481.00771558810914,591.8334773586741,549.4479075946304,558.592388860227,513.8683360255085,620.8770883515164,540.9331104018487,504.28805775846286,567.6569117517007,752.8214909030446,686.4742338022562,536.4843580111873,428.39186232510764,692.5478143177952,628.3120769132231,537.3866050250691,495.0531465543171,482.42828597454064,597.2000864270499,490.15887938367916,607.1939792775155,557.0639994709701,719.2473974904367,561.5875428529998,646.7235307305994,484.63239368335303,388.67773540097755,567.1306775247775,564.8011437257678,603.1888708053606,514.844558518076,576.9627374276367,524.2168634661017,578.8765304814757,518.2887044777772,535.8215851210284,468.25726683469816,643.3259760088159,590.5979411546047,656.5995237240245,544.0555080623266,590.8312264709147,456.338776907207,593.4771115794952,653.8064883676387,491.7725794216675,427.0198567905759,500.9754668763396,630.3377065336756,658.096075996194,655.3700041312696,604.0363517851506,531.6214361380062,610.557294721036,441.68231525778185,498.6053242285473,511.53553319453516,690.019175826156,441.5125731046263,400.71980798346715,635.579161449402,631.9176383699432,582.7589557485065,613.9829427009458,698.3633088998085,396.2056040942074,566.4090189319109,544.049545831644,486.95008990238176,629.4730874624425,645.0545303018973,517.2665860027956,422.4086991230532,563.0161245536292,431.3186504775026,538.1263796799708,670.039748315364,697.6704193346412,611.3907667530326,477.2746736118941,513.1678318498219,638.3819182640786,511.63242492503826,536.8081774381137,623.6067491661651,729.9548516533514,405.7956955633352,578.7946401534094,611.6859193277785,457.92786234133996,779.2985445807233,607.8002504871654,603.098298901705,750.6546032659057,650.084531792297,589.8014989031478,620.8626560284501,533.3404174128347,552.6026299522658,517.588828763972,729.7788958266797,391.80363594178874,501.38857482745857,12,State,DEU,DEU.4_1,DE.BR,Germany,Brandenburg,,Land,,
00000000000000000838,736.3438333860586,601.8519731261921,619.3585428587148,777.6707096010307,688.8221911219924,686.2102323003777,632.4542032877605,732.1635899790017,635.240498860677,639.8696263272998,702.3299162242334,642.6210487616454,881.4822817520358,559.7732770319836,789.296651204427,747.7819500417216,524.8049479739767,617.6124926643192,795.9686213390369,806.2197549309528,581.0268007376944,793.7244311408817,654.8659742471758,741.621014948742,736.5246556241747,814.1178637580692,623.3837503782461,710.6870432392533,602.9607727337332,602.7734713129034,540.8793045545408,660.0840998546618,723.6611746488043,673.5785442226929,763.8341591705179,846.9212741045885,850.8760232701549,756.4126056796508,543.3970786797609,723.7957735016871,822.3005411210753,785.9739313976305,574.0475503984192,537.9982391500697,763.9389270191461,774.8498755799773,772.0334062889707,701.0933313504072,804.2388913150126,816.1827636145649,717.5914673424663,640.9571094781579,621.0683049304944,794.6457496607247,744.0899769957637,684.7690936881053,604.8828881492078,674.8080475856441,759.0163227493214,798.7560631120708,838.4605575346611,748.5927863322513,641.365204860347,853.4730834960938,726.3211836120894,753.6662207948211,792.8198577451035,784.5178079381235,421.67524611782017,821.8444652288732,922.8512960084728,713.0084443428148,625.0633421705362,612.2038155855707,898.095664154196,857.2101735576218,816.3187442116894,756.954727960864,683.6881447375661,819.8914012640294,553.1997921366086,640.8830268394221,688.8711470483056,770.4155686069543,606.0587954812206,592.0484699374633,710.3377100984816,800.4246413539834,749.945848348555,773.06240228644,873.3188797498532,641.5405021273474,758.1630948205509,746.8948404374815,713.4367108412192,682.4090392779856,784.9862269728396,795.1668970528902,665.1733639139525,828.296943485457,644.7408816915164,740.7609937784257,949.2173189691534,883.2856290575485,791.1075158634096,532.2887768096207,679.19101424956,1026.1905437344117,703.4198983778977,754.0332151601012,989.6889806040017,1045.4613426817416,655.8468315590155,876.5954394989731,803.6033646131344,703.8517206756162,945.7407037439482,761.6971504318882,711.6274394003998,735.7418714353176,749.7272315943186,688.2752499289358,730.689228469777,694.2042795100682,837.8912863574676,636.4053015194029,886.7778773061546,516.061562408304,746.2675612185483,04,State,DEU,DEU.5_1,DE.HB,Germany,Bremen,,Freie Hansestadt,,
00000000000000000839,767.6659775167553,567.4624257353962,681.704338577193,800.7917636929433,783.0411445114215,716.384631626497,698.5535022716233,754.8806178678718,604.2401911546737,642.9491721216193,739.9132808162476,718.721584107065,862.6371645854815,630.4520906554867,718.8693398412714,707.9342002287735,565.9585496931512,622.3173360292077,715.0386826568449,779.9333635514158,610.4215027475116,807.5793678554788,591.3334228205803,844.8025938702114,712.4669124390267,842.1550718975552,624.7789170318449,849.6940298322494,606.6008537795944,628.3911216464745,660.4127575249842,668.8953172712762,723.4335877084491,710.32998998032,832.6492521799156,890.7033223573327,930.9503606031391,808.638691084034,549.9422686426774,732.2890519660139,897.5257401054887,727.7661678101207,594.2131668323187,561.9878538489947,823.0314490613598,761.974274301287,839.9475193701421,656.7710865621035,796.4644800176477,752.6802749246513,741.6194848384954,636.3054956736299,611.7635803222657,724.9760892451718,775.713753172589,696.2953943552706,661.8703054050504,747.8264091995162,725.6388706265367,775.0618995627777,826.2857500260251,666.5608060420468,614.1596969372125,922.5050103047174,743.3944857060001,683.0625196737687,739.4949802456775,775.9239371827413,408.8648579398993,838.4099576533749,854.0480747900641,682.6574855746351,652.2297287374585,586.2118311848133,863.9679779207647,847.1857285862648,815.5767572858009,786.3353212617981,675.1805410627182,890.0264186181395,581.6232329237885,630.6181535285136,741.9479416590657,836.9822454307287,555.4217391425583,569.1747135995004,773.2560224968771,826.3641890317657,764.7693371458101,885.7475423280359,929.1546466653119,653.572405974877,780.9487578880968,752.799467135202,735.0935070986675,770.1037521749585,828.0163995578204,816.2184070257973,659.413587386233,848.4817128447714,702.0013732910157,726.5699086455526,901.2862088740779,907.077939880681,738.157196354745,527.1172136800544,693.2234644236299,1011.7847480580289,702.1526475315773,698.1143560264318,981.8869360909246,1071.3116743213634,606.9061381538507,848.763709208687,766.2013320535574,748.4190656787853,1070.8145144699795,819.312171277661,745.8951292086376,803.2580730612508,786.9830082152702,724.8278824084907,755.0699515560559,693.8588290916481,847.6870312376074,710.1761978071959,959.5675010100234,541.375399826747,751.425272055689,02,State,DEU,DEU.6_1,DE.HH,Germany,Hamburg,,Freie und Hansestadt,,
0000000000000000083a,693.4358143717149,489.9115834567111,635.8781295871628,758.7539455317154,684.5386482544167,658.0131887687377,667.9306596075835,700.7334067869658,665.9341393455704,780.0113543994802,758.0095732902894,663.2914044131176,711.1546932252679,664.1674034014984,733.5440593107281,789.5319767285478,656.2822676878225,677.2657259668973,739.3326736041128,771.8931119976961,508.0931729958681,821.4734936706116,735.1735094387741,805.3874339237834,666.6250915135086,850.382982319171,645.5729373003076,677.1595397316004,660.0964508729079,601.9904927713573,471.4672764229328,883.2520552294421,840.3647165792285,821.6180241893329,813.1014062977432,785.3816785528693,787.6705923875464,746.4090060970601,538.6608453723293,788.029698669232,763.8047141118211,709.9951240463901,626.2361503766381,602.5138171444997,760.3167307416263,816.860712982301,668.372260035901,730.5582372109941,892.7434552851469,810.708672536457,807.2417447877815,631.7819384470871,606.8179143036369,789.2635617545102,744.5237249065486,754.5128542269323,661.2358444639746,757.9669456636034,568.611090507045,881.9828226717789,702.918259821348,812.6520923470204,514.6124560593945,778.3134074916833,730.7655878084528,849.4166120458428,775.3780261042183,899.5669795669179,481.77135895089185,880.9157042179394,927.4533465018044,679.295651150415,639.2361666552949,559.9105239571169,1049.4604132768206,1011.2914414365544,840.5986519322165,846.2190184325274,720.7857344365058,867.7116347532519,578.7073016241985,676.5857546635073,616.4801511396784,863.4855093281801,630.6126604868215,503.52472594587226,818.1578495335237,691.5923645938531,806.8049059646163,795.7089993592093,1070.339411180421,721.2627280715454,771.6940251636538,933.2344787182985,710.4841140567753,847.2894242055879,895.4713704266445,830.4355914409748,735.8200890537224,755.5004388849129,579.2940085611052,815.0269207234684,798.0407818399542,856.753192062462,845.4301703512953,673.5338035972949,651.6937920734631,905.3527504384757,787.7728017470084,815.9655049996827,862.1048244794325,971.2181140845023,575.0896249267488,765.8990595071928,720.9568318546671,733.9032476161096,932.2151060745291,694.0259907330566,779.656390954675,783.3926508830305,639.3724951658273,742.3203597781503,765.5455785296745,735.686289282612,611.7662973841717,677.6017480038387,831.8718888657169,559.4192193318848,712.0437474637796,06,State,DEU,DEU.7_1,DE.HE,Germany,Hessen,,Land,Hesse,
0000000000000000083b,635.7507176247595,537.7152036199896,585.28418938736,603.2526265492077,626.6237540555685,613.8717350878807,567.0901513001033,637.2613196094744,517.7186299012229,559.7608865759703,554.3011391036999,582.7584624071112,667.3441325909342,495.5792289656156,643.0166136743699,567.4718580655235,563.1849695896431,498.74996629310397,609.9112271800309,581.4810685395973,437.087798794319,633.5270602446197,541.9006497606003,657.1230620301477,544.1518421744298,664.7800950995191,520.1188571196201,629.3230466403943,572.2645024402378,599.9843158539376,553.0908048087412,707.3566450759116,567.2583229345241,573.0941147010757,597.699508454999,729.385030347795,745.3972126653658,678.7845942493423,485.272055738684,675.105615609367,710.3593258128999,576.9667665364381,510.957555883348,491.54334459955487,659.3658027425154,608.7958685229241,676.0262045275834,499.4921823956783,668.0344457717617,588.2982960365628,633.1277092524097,564.7996547330341,455.11970772055713,606.3535996166486,589.4412818430528,691.9234326543099,566.77746809806,586.9289845310267,608.4134271403233,677.5647557804192,599.0960603238769,584.5079193256562,513.6772390367368,661.0154295376914,611.3154244065173,620.6741753413596,560.6904201289686,626.6174639248118,424.06191000683714,745.8505702170369,646.9861560384591,562.2747905056353,521.8084870515395,498.4285901674115,670.6507498778542,669.0934079421379,670.501075078028,674.4793066229116,537.1344386775318,684.0787976068561,439.3288251494655,536.8779231392699,532.4796461439236,636.2352268587624,465.18897651514544,490.1771808634864,617.4988379671307,619.7941494147032,589.9570950316439,691.3108318125106,739.5466753637837,469.16646165132283,629.8376135076772,590.4802880541855,570.0949930542592,615.610023778837,636.6458176615504,585.050574997245,464.58460170820035,605.1106855881804,504.8688217709556,543.206100065791,729.4395037442307,713.5558442330423,610.3212214272932,488.37198994122144,521.0889439949397,753.8276661716516,623.6919203472931,596.3359510863991,668.083178678903,730.7629854744616,458.3810541141764,631.6154971239041,591.3111658523244,575.8855467746566,801.8443794168046,599.2696097298291,574.4933174889408,724.1797288527783,732.2103719402144,543.3460280797331,615.4446821928244,615.8462893611745,610.8860190692747,521.8709474300373,808.624105511789,432.2904112068875,579.2947158153942,13,State,DEU,DEU.8_1,DE.MV,Germany,Mecklenburg-Vorpommern,,Land,Mecklenburg-West Pomerania,
0000000000000000083c,719.1073753676518,583.4833255630398,622.9577526918564,768.6939078462461,737.6107808685244,710.5781187542906,652.317366059967,736.7842912910107,655.3484321681932,693.2829795624937,726.2346556590754,690.9156004724648,848.7237423819762,587.8715923862271,791.2652718902215,756.6577683101325,607.8491109259325,612.6317274344792,787.362010939037,752.7300082507404,537.9234903528765,811.8006170958931,668.2038071383797,783.563655404501,743.2569138994007,789.941312270079,646.3853105107899,753.2388606978944,618.04068295915,603.4314985062655,569.9928161049022,705.8861296710469,741.5993240145743,687.7817178538007,751.797854001458,887.2038942934566,837.1903777866648,770.4619171465107,535.2749204334725,716.9797139584556,813.8259235038662,731.9170598144342,582.855723621098,562.9638441657152,746.0575596153816,768.0595771726576,758.258272464855,703.0260937511302,796.3565307678398,789.1862105822973,750.3210361383309,643.6569716325469,622.213027525636,768.9397183145848,727.0852644535657,711.0556566891255,659.6068082369654,711.5346790146866,696.6215345092388,778.1352461208893,774.4059457564846,748.905554729857,583.8804727954683,871.6276585158769,724.2589156670143,784.9930179816362,800.5650545352864,809.691236801283,399.3101417090086,837.6319766625444,937.4584387994281,703.8686726935106,620.2860714242129,583.8921569998429,881.1287749747405,890.2901126714731,834.8182710757792,752.944287970544,676.5177068200497,848.1906286697371,551.3292975360613,633.4866619161606,674.7582901025696,775.7510573800531,598.5820031290041,571.512995339632,725.775338305116,738.8980030712222,746.2876188864842,793.7104009386844,926.7733097890089,642.8828595370449,758.3386929620981,786.657358546376,720.7043705141068,777.1059818304607,817.9451715348265,813.2745735646952,633.6588564784976,787.5122372239479,616.1797211239536,758.9620110110756,912.7800680047372,910.0507472128834,761.2463242668324,590.2565249997986,685.8759164407761,990.8238809943559,732.8240229600669,737.4742292436399,917.6869220894026,995.6141252848029,617.1368167697395,826.7639224755677,743.7281576067008,681.5373698185048,989.593675164486,776.0349422950101,731.4622211922729,764.2422339508474,691.8032456639096,703.7560564432675,700.620986351102,689.7850351402037,800.5322112554499,658.7842819330401,901.609279285029,513.1711653715519,713.4026380987858,03,State,DEU,DEU.9_1,DE.NI,Germany,Niedersachsen,,Land,Lower Saxony,
0000000000000000083d,786.9189957163594,650.4977124259088,695.3951664513729,877.3021458582257,827.8413465617006,768.3404996603948,786.7886233834201,806.7788280788184,751.6781162400148,851.8332640673865,855.47708220452,828.192046633284,891.1186627854444,673.602416155904,932.2252676317288,887.8070853890337,734.2997344295245,752.0416836496561,858.1511428298907,884.4250146759301,598.2134074905573,940.102414371607,826.5059252247117,894.7573772431907,843.2236575455015,874.7743720214764,782.9812365835743,814.0322689895011,753.3354056202754,696.1743272000639,560.4594258328356,873.1605532138266,895.8787446712151,876.4242061150085,925.5065741299619,998.7136129065141,888.4283873905667,865.8180206496899,609.6585726506001,875.5496549521154,851.0183763187146,791.9858357232763,653.9440020538314,696.0499003556299,843.5312597645418,899.2294098795928,791.182828465906,840.0676076847458,895.0251662199898,896.5438900500709,860.8099788861089,713.4994955991309,736.1212946781274,992.3972818170749,862.8652597309821,829.8461430067629,747.2628793287394,854.6429095201331,731.1443849816369,883.0297108963023,895.772564948151,896.9542867028126,641.4993122414226,964.9785442313148,781.6236879252791,955.1734684011852,940.8226457751256,986.9092972412046,493.635902540639,1010.596730903943,1046.032941557851,815.269630920102,690.1789173099347,653.9965964376732,1112.8586267936964,1117.197879897277,906.3157097984754,893.0644665089229,769.196123948978,1003.2567446573197,637.7334389752449,715.7658853245741,727.9309000603643,989.0293382050138,688.964424369035,621.7519880017485,841.8041951118191,808.3436352429368,886.4011834556653,891.0384734178033,1096.5979929269238,794.0613622108344,857.8112711541144,1010.2180741271452,833.5319428998595,957.2010450409189,972.719700167089,969.0671313484689,751.770276195814,861.2552827219406,726.3637058755129,904.1119090407359,1029.6128824578618,992.0021976583741,861.8319663720026,725.2077348658005,767.9321820187204,1112.2728127047715,909.7324506336744,923.8177420860086,992.6144251741695,1064.7199107615709,751.5594065837553,944.5843456257944,865.1244439933256,823.519038865205,1101.32197165271,825.3853725569415,845.6680557979765,851.2782289002748,741.8565768900362,815.4857311031881,718.8206015629337,825.2918095932818,840.2298730418645,766.7529754867212,875.3757688493035,610.2161697435943,803.0172561930763,05,State,DEU,DEU.10_1,DE.NW,Germany,Nordrhein-Westfalen,,Land,North Rhine-Westphalia,
