CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
9,,DEU,DEU.2_1,DE.BY,Germany,Bayern,,Freistaat,Bavaria,877.9003446873273,-508.84777180016306,0.7084469098292872,0.04209748926549928,9.603046949447466
8,State,DEU,DEU.1_1,DE.BW,Germany,Baden-Württemberg,,Land,,924.3107686083439,-289.22704131829016,0.6192728581049266,0.0252304587619101,7.9728022887194365
11,State,DEU,DEU.3_1,DE.BE,Germany,Berlin,,Land,,558.7779242381137,0.28240560998438013,0.28747560162416846,0.011790432327317912,6.122216914692967
12,State,DEU,DEU.4_1,DE.BR,Germany,Brandenburg,,Land,,558.6478812675307,153.619131198322,0.2093122131668776,0.006900457197976717,4.458649929960116
4,State,DEU,DEU.5_1,DE.HB,Germany,Bremen,,Freie Hansestadt,,725.7315109482169,-589.0559045662743,0.6747854491560855,0.04481755701935275,11.064624759734842
2,State,DEU,DEU.6_1,DE.HH,Germany,Hamburg,,Freie und Hansestadt,,736.1695196517712,-677.8680483477985,0.7267921005629335,0.047164453508215076,11.748416316923914
6,State,DEU,DEU.7_1,DE.HE,Germany,Hessen,,Land,Hesse,747.4876029734867,-161.2091826852742,0.4631570163857654,0.018824841244616253,7.373458065479252
13,State,DEU,DEU.8_1,DE.MV,Germany,Mecklenburg-Vorpommern,,Land,Mecklenburg-West Pomerania,595.3942041821431,179.9605342098726,0.21411317476142008,0.008118404319969907,4.279428254026858
3,State,DEU,DEU.9_1,DE.NI,Germany,Niedersachsen,,Land,Lower Saxony,728.7995666294265,-280.9242851587941,0.5176093803937095,0.028233040882993388,8.45164007872839
5,State,DEU,DEU.10_1,DE.NW,Germany,Nordrhein-Westfalen,,Land,North Rhine-Westphalia,845.024530995611,-56.165693266174685,0.4598224685328916,0.016674115833122394,6.475418375244576
7,State,DEU,DEU.11_1,DE.RP,Germany,Rheinland-Pfalz,,Land,Rhineland-Palatinate,757.4410214052676,53.25488492500699,0.358029859318085,0.01255547289629011,5.624933434395558
10,State,DEU,DEU.12_1,DE.SL,Germany,Saarland,,Land,,867.3662185583116,75.16436844308168,0.4033236135483599,0.01003493075498918,5.533476977236941
14,State,DEU,DEU.14_1,DE.SN,Germany,Sachsen,,Freistaat,Saxony,707.1368871052848,1055.2542491710435,-0.17715992045738121,0.0028601057287338527,-2.9813224170399537
15,State,DEU,DEU.13_1,DE.ST,Germany,Sachsen-Anhalt,,Land,Saxony-Anhalt,550.9236854177752,172.47464023282748,0.19527914763220222,0.005508959955678128,4.218046742827931
1,State,DEU,DEU.15_1,DE.SH,Germany,Schleswig-Holstein,,Land,,756.1718733253022,-1030.8471222334797,0.9167374555143147,0.08551226598356776,14.42684673346381
16,State,DEU,DEU.16_1,DE.TH,Germany,Thüringen,,Freistaat,Thuringia,667.7438314939335,113.02230199786379,0.2843752353594793,0.00932522958854276,5.067909490390475
