CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
9,,DEU,DEU.2_1,DE.BY,Germany,Bayern,,Freistaat,Bavaria,790.9609368329665,781.2804826601866,775.9698719672091,782.8050904658876,797.2540158482664,803.4986492324057,800.7869994329974,806.0192331845694,822.431156519263,836.4621429185912,847.488825075314,865.0009503221402,883.3278403199015,889.2607130302248,879.4419775385852,857.5101188196351,831.789444085188,811.8917517983255,800.6739563937706,803.2706505909966,830.0689970894883,872.0783519347868,901.2774547106235,907.8173890647622,905.0422060736851,896.9034648887396,874.7265688785724,847.1268233851708,838.6551532423683,850.3570699403659,853.4091688529043,833.0370463047617,812.8081181779264,823.8865175899322,864.0578720216832,902.6403074608065,924.9425011022129,945.9553524021378,969.7156731153427,968.6835574686821,926.6242116417559,875.4902819369734,857.6196780219618,867.7235308322403,868.5662115339097,848.0573430369528,824.0322508049046,811.2262427158034,812.2951142418962,823.3441651988144,834.573750954559,842.1618739217196,857.3618644425203,886.1632852424112,913.4057015009898,922.2839679765244,911.4602035204737,889.1311596259827,866.8507146890245,851.2446279334692,837.2207415431461,826.8198910001389,844.753535557918,905.6700077100941,975.3588372696479,999.6628636618536,969.6912652575411,924.7760540942304,892.2515977757868,862.3065296325464,829.9194882393708,818.8448495457477,838.9109919585494,859.9086693308108,859.9405913787111,860.5636938939446,886.5265141933775,928.9927519555577,965.2745960612746,980.5159731401362,966.9932458264918,931.7253711413318,900.1205400098731,894.3661185058777,915.7609105866939,948.1848529921501,967.2284141240432,955.1275009062414,918.3588825896404,884.2972486805253,876.7704643390291,897.4682344526217,927.7237337844113,943.307085246208,932.6057235837413,910.2249931467455,906.0770282527784,932.1317811248131,972.8409342286732,1005.391647543998,1008.0315535494088,968.9831884128,911.2262565370241,878.467928283516,884.4658208366717,905.2247318965398,916.9343639964138,916.821932433184,911.7225431821734,904.4619198623952,894.8179010079652,881.1606768978188,860.2291335342948,838.5666452401963,832.3914453905251,841.130647384382,844.2731240911853,833.3253839493453,818.6863802321648
8,State,DEU,DEU.1_1,DE.BW,Germany,Baden-Württemberg,,Land,,858.2980483724148,845.2366411506541,837.4208853084561,839.0494872722784,843.7678673866569,841.8566370993749,841.0701823230031,857.8170731052419,885.3804580738694,900.6944149203043,904.3724427791605,919.0039516151592,948.0083353536737,968.9456974026239,964.2811494762491,936.9688239839849,900.2770300163727,862.6262658309699,828.7410337947179,817.2239314979782,849.2501109591708,906.8739372250515,942.9366895211301,941.7047502213821,927.4936769356675,915.4463343971199,898.1862315120404,883.2968603145624,896.3566495581596,929.1402460857979,933.6132707232947,892.5968082551677,852.0066643013259,859.6623988563792,906.2884674224625,951.9902523512042,986.507534375266,1024.5516673451373,1054.605436572467,1040.9394942039607,978.7542345192359,911.3974630011903,881.9854559066564,886.1297476510817,887.705054215703,867.4242959788062,836.0054121016191,816.5112834724455,828.5651603421774,868.407108814394,903.3584207913606,909.4489792432942,901.8292306322745,905.6206918899823,919.3630552175965,927.3216776530736,923.1289110895564,909.7239852336031,894.5967862112096,882.9449887524797,870.9039231482683,862.1872502989138,881.7301467630007,942.0653502099206,1009.0240742489049,1037.6837051534462,1027.1651713097474,1003.065417656989,969.3090793518386,918.2607522674813,869.1630718118013,854.7156555221276,872.9549794343454,889.1186859011414,890.4886361636331,902.38765411407,940.0853524229623,983.8177917497844,1013.7361745586309,1031.6195794030834,1038.030080423974,1023.8619693235511,994.0344098103046,974.80832458064,987.2710735076249,1019.5071673219193,1033.0411938327277,1002.8914582136915,945.3155210616166,900.1431426431486,894.4359942770643,926.6107361778292,972.7278315994881,1000.5112843306831,990.8711122714786,960.3772146025558,949.9353320704523,978.3600297322155,1024.9808296417293,1058.1356672813376,1053.9756132476782,1004.5492933493089,937.1780165780059,899.2648735329553,906.715369889291,933.2289293857197,949.3352701363631,948.1276066722814,937.1543030024118,925.8448756634538,921.7518061835256,921.8008330095329,911.3612379337808,889.2622764660134,875.4763611262147,877.7761650599629,880.9067354362152,876.9655224534436,873.7659970190111
11,State,DEU,DEU.3_1,DE.BE,Germany,Berlin,,Land,,526.4919146015505,525.3967643258833,526.7200435372025,539.6943110614006,562.0280134943072,575.9053251976284,571.6756699464426,558.51087560847,543.3800728115372,522.6213991141368,502.3822355161338,502.27451426943225,529.1109512062925,563.9695767493854,581.3786344545547,574.6936152410111,558.359943602784,547.7319212465425,546.7833595905383,553.6596923791445,562.059444367266,561.0723367242952,551.8158604231297,555.0828350799743,581.5651057058956,607.1612152815361,603.7817601334776,583.171812528632,578.4727388139573,589.7560766962611,585.6738906620446,557.2156876538746,530.1961583471596,523.2805821598196,529.8745467563677,543.0984222331316,566.8174468259059,596.9119199440039,614.3050051632641,602.6422404890992,564.0387935038665,520.4251645196252,499.9243890961589,511.23018264225266,535.5925125609813,551.3247299172032,553.8146385712832,548.7281080695052,540.802009079164,532.1918512461339,526.3067480511577,531.1333857777214,551.753783320191,578.6137626974103,593.9460732974035,590.4525053012891,576.3121106934399,565.8025471162895,567.7351680297613,574.4150888277933,566.246477133519,540.9525053808446,526.3670096565929,546.3800828332961,587.8161178710803,616.7393416094434,615.9507125621031,593.956515463375,565.1635946781372,537.7634583897501,522.082083725384,528.8449248095312,547.3668716350365,550.38556497558,536.8227930686082,538.8936679271552,571.3392966284325,609.5560843572796,625.9095595795003,613.8587904762082,581.6403984505522,547.6826122054935,531.0314542067522,537.398156971049,559.6748088717212,580.6114803748418,578.9745785793494,552.68287808335,524.3445081420847,514.792086379196,529.8833332304647,566.1398355019069,605.4789963028784,618.9140135666934,597.3261030124281,564.9704092029723,548.7054891036107,551.035142212053,563.9455320436098,583.4286271762452,597.8268008227161,592.402690795256,574.957967940834,569.5565237557813,586.3373033742647,614.7694590240407,636.6132446656356,641.9317990697596,638.0443672167288,634.8979087760691,628.0981440868795,608.2541535631783,577.4825516976339,551.4179500497552,546.0117676969377,556.1427201925306,557.7579300165773,540.5071612332299,516.5634086786672
12,State,DEU,DEU.4_1,DE.BR,Germany,Brandenburg,,Land,,536.317747245292,533.7970696319713,536.4129384610411,553.2021793438009,577.349411115943,586.0349270934371,571.1728147803478,548.6228740642716,530.9374750141493,516.0813223185047,505.82730207213075,510.6673028072567,533.3331172440679,561.5828334707687,577.9348081606762,575.3920768812231,563.8548609474625,556.1346546355168,553.9755864872673,554.3023353450129,556.1303892883653,556.9235281753665,558.1426016701296,572.4319640949703,604.307327947776,629.4472689073042,620.6547724352762,590.1022404773513,574.2641544490035,579.7250913450686,578.7094085463477,557.2508769591195,533.4958364043844,526.7230269216172,536.0741060297541,553.4232489414985,576.1816118081302,600.1661972715599,612.8347753166578,601.5518057138495,566.5875775668227,527.1230071554171,510.08268599913043,523.3752150694773,547.0167985941781,558.924459436717,557.402880713337,552.501302872477,548.8088002632534,543.6365602326542,536.5637954795756,535.6556102805316,550.0436679085127,575.7225096599717,595.5870763167915,596.0352677066332,579.18251615984,560.4404124662691,554.7254368651453,558.4008482045779,551.497364791843,529.4428408403684,517.8344230738653,539.6388827443668,583.1658646023087,616.3208916291547,620.5122519710102,600.9847680685898,571.6550551501034,542.1927624509726,522.2210572994487,521.4396156967154,532.6458344533269,534.0379168330813,524.1214829394031,528.3152291790346,557.1865503728437,590.148742594134,606.6299746125042,601.8350718563817,578.7615635137943,550.0219352153235,533.8560805269542,537.7702105814025,555.2863385350823,570.4765235088378,565.1856951577731,538.2993189570063,510.5495131521631,502.41703543452263,521.1749360880348,562.1448325214587,603.7545692408039,616.349834339311,594.0590178956969,563.7589299624918,550.8306328640294,553.818257365701,563.0063517068807,577.6217705489607,590.396311183381,586.1840310460047,568.4870477975933,559.0748516187217,570.2572620385785,596.5878855130685,624.7543153288383,644.77855294585,655.9666497540939,658.005732871226,645.7163757918169,620.2422051963664,591.8374938105535,571.2350783931929,563.8925762495418,562.8095227324661,552.2665605690429,528.8506006163431,504.081755790634
4,State,DEU,DEU.5_1,DE.HB,Germany,Bremen,,Freie Hansestadt,,706.1279731464158,714.2135315824606,717.8560583133441,714.1714706295884,700.8987015692841,678.7877954563625,663.9699848403393,675.8762790272492,703.8746562418244,718.7161355108161,714.9504562991326,710.1637644834921,715.2088174909494,726.5746944667028,733.1577139035078,723.6986668233022,697.1969940673578,662.9581269501521,631.3055077483396,612.870449745599,617.9231735943629,645.5077266905789,683.2998517085689,723.2016248434363,762.1862208496236,786.2045214892553,776.0759758367225,738.8940762410141,711.6384839776536,715.2964921669221,724.0886432654421,705.2103562657261,672.0510580629251,665.897448263258,696.1272017105084,732.7224771819765,752.8485311779058,761.4370869582808,764.3950909538447,752.5274031095103,723.522941927395,698.0767056796473,696.1420255322971,708.0671312808992,708.058172148718,691.8023965750504,682.7025071847047,700.6143216560704,737.9558573933275,768.4964061902722,773.8746503507588,761.1145631315562,751.5482666190242,754.0246991876146,759.8612742340063,756.9024984030657,737.2904397433914,710.1645818182001,705.457533896809,732.274490721349,752.830947807697,738.0744451894448,717.278384738685,732.8494228958525,776.8704028151964,806.0596483503708,798.6738988200262,768.7871536178766,734.6866593763862,701.0418928128453,674.2201308812334,666.4584310513708,673.447214516116,674.593220915593,666.9279563606065,672.1468924972373,701.4854600015381,739.3581486822854,766.3546953548288,775.3092449248676,767.1072848190164,750.0762604503004,736.0611561150617,728.8964267974728,727.4293729307506,733.2600587197871,743.354721342454,748.1385311531908,744.3612651601085,741.3331553790492,754.7099971782433,789.128685721769,819.6274549949895,810.0762539682255,764.5660126925634,733.5084251909749,748.8376468750232,786.9206401842862,819.2559318117134,850.3588362758709,878.1815412671355,878.0317584673566,847.9253272114785,816.6829115818364,803.7512181488003,804.008117871665,800.7942230746221,782.9357522832397,757.0895176952433,737.2910751725587,726.7249028828224,722.325522433984,724.9843782986834,733.8660474282475,740.5714642027734,735.3773231869452,717.6249675630007,697.6782508624553,686.4852211242235
2,State,DEU,DEU.6_1,DE.HH,Germany,Hamburg,,Freie und Hansestadt,,748.2126689608074,749.6113392114336,740.946043877006,720.4379001383925,693.1813648545804,666.8100058699623,652.409185312121,660.2762051512143,683.4050771022206,701.8331488836841,707.906335960185,711.7420138992029,723.7661334475891,741.6124820709229,753.3932351860299,751.1795767545701,736.129950186323,711.3588982179081,682.595698236209,663.2766701836272,664.2793683418769,683.8150658885841,716.3008257180907,760.548574217685,809.7526983954581,840.742676448096,828.9224696927871,782.2577273077168,743.5932092811858,738.2491311415804,739.6298456143609,715.9186195510293,684.924783539046,686.3532298942508,721.4096409354719,754.6724194621071,763.457540079422,756.7924852504343,748.3855435606188,734.8715028920151,710.1429353934254,686.0769800365274,681.9948835233747,697.219948631858,711.3016726504728,713.259538455058,713.5858167367538,724.4292955168613,742.334214218377,752.3124772503896,745.5201174008664,734.5282449558907,738.5157824464256,751.8166787043441,752.4482624730482,734.7709539172613,708.1510911665594,685.9717143991878,687.3587029845584,713.4967700333766,731.149764016195,718.0967321401927,701.2750755124891,717.8095847180654,762.2178690657399,796.7999707175996,799.6385519262499,781.052269488422,756.5970391016928,728.5231386961672,702.7611675431888,694.6087007558891,699.5362620976977,692.9339227954749,675.9854443460553,681.2187058399172,721.4702779242231,773.7496182658346,813.2732685411038,828.3433911733822,815.0957336383424,785.119320442834,761.1788372830088,754.752329242411,762.2540817375717,774.9955889942684,781.7757308628354,776.2808171879823,764.970408094111,759.1509105287834,767.1684593761029,790.3264467710167,809.5944630966575,794.6468401257763,749.7781034024235,722.7963763257575,741.2403887032253,777.3875830433697,804.4555500346394,833.1165592767262,862.56797531111,862.4369173328284,829.2943640318014,801.558503234447,808.2237489883066,838.5364318075519,858.1981625091,845.8344462262799,814.0709774651506,786.5410778758492,768.4082652009685,755.0403766747055,749.5509779483534,757.1158627562113,772.0388160272299,777.576218562308,762.5008081566962,735.489323731261,713.5814605900115
6,State,DEU,DEU.7_1,DE.HE,Germany,Hessen,,Land,Hesse,712.6638249956137,703.0053378093414,699.8160386952709,706.1392294348201,715.8800141974008,717.5653271729614,711.0496507817294,705.8659326948863,702.5994365210596,697.5766758865352,700.2553038697797,719.0048628449657,741.4905600691493,751.4383003508019,746.8947426380148,730.8860832312572,704.477946219169,671.7909736487954,642.5482401328187,635.7731645274066,670.461326489357,735.9351485341055,792.2379771016821,813.478951443831,806.802683819853,786.0476270414346,754.874664327523,721.5842641213998,704.9940906344772,709.2914660929146,712.1570541013087,697.000999474127,679.9163597170763,685.7456863617311,711.4732632422728,735.0991857661467,751.8221188855443,773.0791524105482,793.267409403754,788.6794877715444,753.303066700686,714.0410456778675,701.4882292103184,715.0637954909091,728.7792546566119,725.6956511247893,712.6283593260317,706.7673634371794,717.3153673274263,733.8335427172561,734.8294413668834,717.0236639938414,704.9034071996549,720.191221850237,755.1119059974924,783.0019311586198,784.7127975121473,767.7449981300017,760.5859519981128,771.5432700733246,770.2439036730497,741.3638879103647,726.3894137570819,769.4091189677907,846.6299623026375,892.314524350832,879.173063522888,834.1671135080809,786.502511022483,740.9428338834215,701.4939736393369,683.3044965596395,686.5913858280608,687.7285225380004,676.5478929293821,674.9165431954079,700.8034141798076,746.0167537060372,796.2646461588863,838.0282363755448,853.9039152360579,842.6948231852232,825.7021395048365,818.7518766173489,821.6547018772443,828.7633002758506,828.0975854207695,806.3570924948734,767.2668367148298,733.814493606951,729.2446442624027,755.7801009761994,789.8226792005506,801.5451275096235,783.589280979361,760.3233423126649,760.9679330965414,785.85567847714,814.4641204181287,833.236003220344,833.329818096224,806.5213204129758,765.5449209848047,741.4042375509546,748.5318513700859,771.1770943590178,784.5510188072121,778.6006342905259,760.2036539124866,740.5174844242438,728.2942892491401,725.2931909433761,721.4372363546688,708.9769189895358,697.1124721387271,694.5170588203694,693.2061681778702,685.9419479458776,677.8866980043256
13,State,DEU,DEU.8_1,DE.MV,Germany,Mecklenburg-Vorpommern,,Land,Mecklenburg-West Pomerania,581.1585263190348,588.0961222004338,589.9953721058214,587.1209240295049,581.3012440933255,572.2414789208202,562.2432183230794,556.8222976309459,554.6377733511737,551.1900658995675,551.7252137508057,563.4656156577345,581.1886002779943,593.9008265726541,597.5230667985636,594.92613067935,590.9750158697706,588.9918194915932,589.9925862929912,595.2450091172217,603.793925451106,608.6684864399497,607.7659000352819,614.2565099556582,639.2954901817699,668.4596783115966,674.3036060651148,653.7994932432108,633.2326178539033,627.5216995503254,619.1524291354845,593.329192378954,567.9234721418992,568.0202266695635,589.8445811772758,608.3744493570729,610.6874629570196,606.0420972164783,604.8368643694507,601.9939437876627,587.706933324298,567.1066628752225,559.1854659300429,573.8393849021271,597.7847449594292,610.7243442501539,609.9830179374943,609.1427679022324,614.6860058195209,616.5893516792268,606.2225815883735,592.486477649002,590.442387256303,599.9931325565042,606.87950419788,601.4277822918897,587.9016326742982,580.3193308655477,589.664856966188,606.4699560966193,606.4848900138318,584.7850155864977,567.320045262943,578.5400619612279,612.4593964724876,642.579526787317,650.0559725197293,635.3324418078604,607.8312609192855,575.8384197058961,549.5984172527069,539.667052758765,542.355824925707,542.6638512228621,539.5483720477678,548.1227558260347,573.5148357322882,604.7971639274612,630.8043972826014,642.1649045296272,631.9493628098165,609.1138465880573,592.8937007897463,590.5839416965559,595.8871508572121,599.2761956992598,591.6900923653732,572.4063300918413,553.525101968842,548.8131837774552,565.2931674460489,600.5508797596581,634.3683214934382,638.3839715000065,611.523717274937,588.266954276353,595.5798118618505,620.7775055254339,638.2273379081871,642.9969056232194,638.9740299065011,623.7022830939708,603.3055419649521,595.8477892396661,610.0819900962958,634.8102323763825,650.848726917386,653.0810361442262,654.0696744911276,657.7783977164366,651.1253515872623,631.3586279556553,613.1020285613964,605.8319562496447,607.2840205192767,609.6965573517389,602.8501985560566,584.9274143779032,565.5596422546193
3,State,DEU,DEU.9_1,DE.NI,Germany,Niedersachsen,,Land,Lower Saxony,728.749707486311,731.0910815233684,729.4488016016695,724.7362841266912,716.4383922413546,701.026850819082,685.7135682951694,684.8128273280594,694.0014334460482,697.4212463475724,697.4409036633502,707.1598393632097,725.6360740796437,741.0955841974062,744.6446775491156,733.7949801293971,711.3888749551978,681.8143055078783,651.3533251611555,633.6217995300103,641.4748136463388,670.3683985641487,704.4836137052084,738.3314135017785,773.2312805541484,795.1417779683572,782.2818994996065,740.8289880052649,708.1330211673505,705.5288091492603,709.6263517108606,691.7029976101375,664.7024075220759,663.369680327894,692.9775794579239,726.5952209599969,745.300188956038,754.1046374319404,758.6369914644241,750.5659141158613,725.5574546850621,699.7931160186901,693.3031299124343,703.5100854314937,710.7622683169361,706.4625151490648,701.0724392020527,706.9661521805499,723.9376397017829,739.3356024674002,740.7262565596718,732.5951597587311,732.7590697623694,747.6816264499553,765.1400279903418,769.0181449466877,749.9891472065017,719.4302054013606,711.4136960916773,736.7525411068839,755.1764922951104,735.354172213122,709.0335100611576,724.0504621960339,774.3930576982704,811.6064548918765,807.4249396712053,776.1539807682062,740.5391718444108,705.841783230976,676.037773637412,664.0648180241848,668.3899650140227,668.5685412468923,659.52798048074,661.6236672714374,687.5033682626606,726.5863958350361,763.3189594857371,785.8284641741825,785.5617718960616,769.0246464349344,755.4613266448443,754.7533087355391,763.147237633147,773.1494635713603,774.2481197094069,758.8634685721102,734.6785419271712,721.3765623628714,735.9422747163708,776.7329104325796,813.5505209473614,810.241916012306,771.1488608874622,743.1350030757337,755.4548961352597,786.400235305531,808.7792328230111,826.2234197609414,840.0790719300486,831.7443948809881,800.1831272288091,772.7105818391906,770.8462455430298,789.8463101523035,805.616901015965,797.649126043964,769.7800300409148,740.3398835244559,719.7232303736729,709.5399186024556,710.4861195099297,720.8022445282488,732.6570610940471,733.857026948828,718.021180762755,693.6194135562155,674.795314198911
5,State,DEU,DEU.10_1,DE.NW,Germany,Nordrhein-Westfalen,,Land,North Rhine-Westphalia,843.7700461389676,835.5674970893886,827.4138401786735,826.5790633240073,830.3199766017757,824.5965093494146,809.8304823675365,801.9526563098749,802.3636338633946,801.2312903504753,804.573391936124,822.8373948065516,846.4161265240659,858.2126464742973,853.787893740774,837.5890531077285,813.2809812996495,781.2497537826854,744.7030005148184,721.5944957626823,736.4259723874519,788.8766286168541,849.5944295399281,894.190796038762,917.3270482086876,914.3207103310845,880.2776199838662,831.4848138798944,800.0087713606449,795.0727952976175,791.2540973713036,769.9697473748406,750.5958792745636,760.8959432207702,795.5033277384606,826.4907067561367,842.6504500311281,853.7434060294254,861.872218408898,854.2764804618904,829.7070165146158,812.4863514926396,823.3399420080406,847.0332200014038,852.0236345637413,833.2351007774733,812.1381576086116,806.7765177462076,819.5841177399877,839.3323151283247,847.2775981696573,838.0086613146989,830.1479606828259,842.4439997748556,871.1230579128664,894.3774600484353,889.8969651099986,862.7202980629969,850.3209164027417,867.5055429329194,874.213146675828,843.2086517124279,818.2136927981369,853.0523630140257,926.8388513839473,969.0970738676737,950.3916530878143,902.6968900036112,858.4984074844964,817.3573343674991,779.2117002007569,763.8473676559157,774.1496323275609,779.9866943286371,766.0189743172002,758.1780708377479,781.1990506429341,827.3018696301394,876.4141589422134,912.1753153813797,922.614175164588,913.2476842409499,905.3715337896772,909.6893739394147,920.8241019179399,930.1020310221204,925.4133627187621,897.3297274275247,857.2263998002097,833.9072258637766,848.0775659800489,891.0813470192426,925.5319420665913,917.6168382754773,877.3063656375449,852.7098685801313,873.463882449252,917.4739176301097,948.9471099688145,960.8601095219877,958.770328970316,940.0548195166804,910.6899758794581,890.7288465036322,892.2355623014455,906.3293044709947,910.9128579264402,891.8697631150534,857.0113599686046,822.8328038680282,797.739819728509,784.7859610436386,785.7996033056412,796.0128523377908,802.9632284719168,795.8079852727831,776.1888690252488,756.718517771604,747.6569855452317
