CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
19.0,Autonomous City,ESP,ESP.7_1,ES.ML,Spain,Ceuta y Melilla,,Ciudades Autónomas,,566.608650479998,1170.5950705616192,-0.3063078338593867,0.003958772198903837,-6.43312314388214
1.0,Autonomous Community,ESP,ESP.1_1,ES.AN,Spain,Andalucía,,Comunidad Autónoma,Andalousie|Andaluc¡a|Andalusien|Andaluzia,621.2782656784443,2027.5112536191245,-0.7210653749789097,0.026343483508388443,-13.811328089642421
15.0,Autonomous Community,ESP,ESP.2_1,ES.AR,Spain,Aragón,,Comunidad Autónoma,Aragão|Aragó|Aragón|Aragona|Aragonien,542.929549478783,494.321793146957,0.0236791233049363,7.640120260754557e-05,0.5190020834181058
6.0,Autonomous Community,ESP,ESP.3_1,ES.CB,Spain,Cantabria,,Comunidad Autónoma,Cantàbria|Cantábria|Cantabrie|Kantabrien,1211.6408610654005,759.823729663121,0.2299671098819905,0.002641832011262002,2.258597159879023
8.0,Autonomous Community,ESP,ESP.4_1,ES.CM,Spain,Castilla-La Mancha,,Comunidad Autónoma,Castela-La Mancha|Castela-Mancha|Castella-la Manxa|Castilha-La Mancha,507.5512530161582,813.6802753141294,-0.15809297738082273,0.0028906238660909578,-3.706633408255812
7.0,Autonomous Community,ESP,ESP.5_1,ES.CL,Spain,Castilla y León,,Comunidad Autónoma,Castile and Leon|Castela e Leão|Castella i Lleó|Castile-Leon|Castilha-Leão|Castilla y León|Castille et Léon|Kastilien-León,642.368829824563,898.3061986138109,-0.1323488563287153,0.0018430111655824977,-2.451786757370911
9.0,Autonomous Community,ESP,ESP.6_1,ES.CT,Spain,Cataluña,,Comunidad Autónoma,Catalogna|Catalogne|Catalonia|Catalunha|Catalunya|Katalonien,667.2105255108982,1385.019952090162,-0.37039676687016737,0.011272133748132962,-6.60619303387023
,Autonomous Community,ESP,ESP.8_1,ES.MD,Spain,Comunidad de Madrid,,Comunidad Autónoma,Madrid|Communauté de Madrid| Community of Madrid|Comunidad de Madrid |Comunidade de Madrid|Comunitat de Madrid,564.0587662261603,1588.975770266025,-0.5282882505032453,0.028072384174693932,-11.145346118897095
15.0,Autonomous Community,ESP,ESP.9_1,ES.NA,Spain,Comunidad Foral de Navarra,,Comunidad Autónoma,Communauté forale de Navarre|Comunidade Foral de Navarra|Comunitat Foral|Navarra,940.498376976858,479.82714255907166,0.23468898007840072,0.002660896436811111,2.9694882323031253
10.0,Autonomous Community,ESP,ESP.10_1,ES.VC,Spain,Comunidad Valenciana,,Comunidad Autónoma,Valencia|Communauté de Valence|Comunidade Valenciana|Comunidad Valenciana|Comunitat Valenciana,499.7305352605832,427.86543104889995,0.037549223654357235,0.00011383932114272799,0.8941534086041986
11.0,Autonomous Community,ESP,ESP.11_1,ES.EX,Spain,Extremadura,,Comunidad Autónoma,Estremadura|Estrémadure,645.4742229291558,1878.218237956707,-0.633244528084548,0.021935911155560595,-11.67453264052838
12.0,Autonomous Community,ESP,ESP.12_1,ES.GA,Spain,Galicia,,Comunidad Autónoma,Galice|Gal¡cia|Galicien|Galiza|Galizia,1252.5563620240919,-3022.6196842163254,2.181430973291999,0.08563571603160236,20.724838713226294
4.0,Autonomous Community,ESP,ESP.13_1,ES.PM,Spain,Islas Baleares,,Comunidad Autónoma,Balearic Islands|Balearen|Balearene|Baleares|Islas Baleares|Baleari|Îles Baléares|Ilhas Baleares|Illes Balears,584.0769928661299,1772.8879674054751,-0.6056444565733133,0.031189810543836627,-12.339416072281944
5.0,Autonomous Community,ESP,ESP.14_1,ES.CN,Spain,Islas Canarias,,Comunidad Autónoma,Canarias|Canary Islands|Canárias|Ilhas Canárias|Canarie|Îles Canaries|Illes Canàries|Kanariøyene|Kanarische Inseln,292.94025758893906,944.6967801499868,-0.334661200570923,0.014874835287348231,-13.59481390359901
17.0,Autonomous Community,ESP,ESP.15_1,ES.LO,Spain,La Rioja,,Comunidad Autónoma,Rioja,620.4555791378403,263.6386104490159,0.18330882408449248,0.004266262421940392,3.5157633841194724
16.0,Autonomous Community,ESP,ESP.16_1,ES.PV,Spain,País Vasco,,Comunidad Autónoma,Basque Country|Baskenland|Basque Autonomous Community|Basque Provinces|CAV|Comunidad Autonoma Vasca,1166.9364429240095,25.136761606819846,0.5835100052671178,0.012766895488319219,5.9504260962830156
3.0,Autonomous Community,ESP,ESP.17_1,ES.AS,Spain,Principado de Asturias,,Comunidad Autónoma,Astúrias|Asturie|Asturien|Asturies|Astúries|Asturias,1228.6916212138087,1215.2276084808989,0.006535769107768976,2.1653594173276502e-06,0.0632995708928309
14.0,Autonomous Community,ESP,ESP.18_1,ES.MU,Spain,Región de Murcia,,Comunidad Autónoma,Murcia|Região de Múrcia|Regió de Múrcia|Région de Murcie|Region of Murcia,321.87114414616383,517.9814181886497,-0.09960454279324917,0.0013603992995362413,-3.682511094257692
