CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19.0,Autonomous City,ESP,ESP.7_1,ES.ML,Spain,Ceuta y Melilla,,Ciudades Autónomas,,795.7244290244047,723.1840688826131,659.908735329323,613.5816561402393,578.3434293099812,555.4197042754719,561.8097134573119,594.9676405702318,619.5877451172897,608.7859288283757,571.4862668003354,533.5355715070452,517.4665252821786,532.092131112303,561.8276441352708,579.6095671228,574.9343639143876,558.7586078984397,548.5289566687176,553.5286872131484,569.3330952014243,587.73692212786,605.5639066781316,617.746567615441,617.3441764797485,604.609894505569,582.0125475611005,551.6483842049327,525.64372669799,522.2825428843498,548.4401501374585,588.737583066736,614.4213374427386,615.9152193665504,610.337028171335,600.3557387334961,569.0323223471643,528.5536717261587,517.8071938540254,546.2751268233573,581.2079133689404,585.3814200248037,553.3542955092022,517.2059839878764,509.6935944897788,524.0023559672492,529.1492094184671,514.6679909314428,495.99488601940016,485.33751675912316,481.0051636099816,486.4115394098418,517.8766060130937,575.8811919944627,623.5898748167923,621.798968059676,580.1763144220624,549.6339959927967,565.4213787232127,619.7477029306548,685.2922225168774,730.9670090121881,721.5875284416334,648.278012897287,555.8331793120929,510.1679111293384,544.5504218850816,635.1641748632703,715.0833390014511,727.0241103896072,666.8470308865818,570.5564006567001,487.1609708581652,462.68565802063256,502.40547992501934,554.727514726775,569.0999864978448,545.6209222163474,507.9348058189664,468.4838418364525,434.61884747232716,414.3950401033674,408.5436500396047,413.51710137299125,431.29270376052176,468.8469496028764,528.3601914048195,595.6514004809517,640.5585569824492,642.331217944622,611.4766095876693,572.082341338907,543.2141146574701,548.8791709584849,594.479862655912,626.9134696381433,590.8818893347467,515.6609784364699,475.86817095109393,497.0501014930862,548.0535500475338,585.8841184845992,586.8671155231339,564.670452603272,559.3777184997285,597.5971297110829,672.8259350316865,758.5874967489924,817.2255792873245,807.2563588619232,719.9131097878727,601.2005419220243,508.4605734390872,463.3166559168271,458.58416708026607,476.57229988675164,493.04546802315565,490.19837530625074,467.1224714942818
1.0,Autonomous Community,ESP,ESP.1_1,ES.AN,Spain,Andalucía,,Comunidad Autónoma,Andalousie|Andaluc¡a|Andalusien|Andaluzia,733.9435297760634,700.7496268900765,664.3719951621791,631.4186245122673,606.4284189500597,592.8138828818234,594.8682711688945,611.6449079763012,631.072723595151,636.5077131405528,622.7312274218742,603.4758930544698,598.6939785144689,612.6470522565442,627.5319326122163,625.2639936227862,611.8550284512548,605.8334331272024,608.0150665728619,606.2534666292511,605.2780878808124,623.342999198174,660.0076977077256,692.1321587758214,702.8451455172274,695.3049271901026,678.8024501936526,658.53789052512,638.2560111754217,620.9136347394535,606.9330187046904,595.8973904867057,594.0471650378644,619.5789181336435,677.8657307165169,728.4908116037869,723.5416631389496,682.8018514278265,670.9310085303323,700.5418322491154,716.1858745016601,673.2909255520119,592.7047454451782,536.7604996801526,547.6252588878577,603.8781600253398,639.4099809250118,619.013762883035,578.2991552594509,564.6878593070256,569.0095098010804,556.2961841651631,534.3280421911343,537.8455796547671,566.1190562151043,589.752566218568,604.5937574841804,634.5827845239951,688.8986800911732,748.8165985807881,793.0313813066641,806.4843664343414,774.0325901266345,701.0403541026251,625.9905890057614,589.4334446171123,605.3290890599862,655.1205164322797,696.4659307589177,698.4388873427055,664.0063061400355,609.4631171847359,556.0962241406471,538.0851005913482,571.0186255587082,623.1900349367615,651.1121862394339,640.327841562994,598.4923443690255,543.9458795100671,504.5027433560412,497.76391489264864,515.8781594261017,541.7682094325772,568.3962676033224,596.7112902635888,623.9851373598066,637.09630056417,619.3908910549882,571.220984673268,515.6154501670202,476.31105647916536,470.66430519176816,519.8947718631094,617.9942065911973,696.5054153258476,686.999832780463,613.9477663616772,561.5177174513063,565.3740164708707,592.6469417078665,600.4288804259304,572.6764960221644,525.7801814671328,496.28641794273267,508.5165175473784,560.3487450176058,635.8417343291765,702.5905890076476,717.7835575321709,675.0472539392662,616.0156351041909,573.5463707501499,545.0809097881131,525.9884444022604,521.822527614876,527.444678935511,527.8472520067473,515.8947986185881
15.0,Autonomous Community,ESP,ESP.2_1,ES.AR,Spain,Aragón,,Comunidad Autónoma,Aragão|Aragó|Aragón|Aragona|Aragonien,581.9135690389726,554.9074053798681,520.3198068173881,493.1016068481591,486.52963771824477,497.87504230504203,512.0024795360811,516.4464260547667,510.74539418830216,501.24458492914215,495.1645142120665,503.0715217852913,529.1521650292832,556.363547769235,561.2843758583316,545.2682105209454,534.800075530614,546.5649732359246,565.8907779892103,569.6401649536625,554.6407682031129,531.1532494824131,508.64844438183655,498.4938751023336,507.4945181375268,523.4552564524269,529.1807736116999,527.40137739865,532.8632444143634,551.1269836668158,575.2782999454145,589.7850256790367,585.2808419783563,577.6572313227166,585.4590732314086,592.4774749300104,571.691678438665,533.3634959908084,512.4303096765807,521.5525508462122,540.534073839911,543.2797457690997,525.1552301104307,505.44323989500367,501.45748441763607,505.0970841461727,497.0882728691385,479.7477048147289,476.75058659475576,497.32978258150615,519.0793195027945,518.781327948279,505.2328559340498,502.65032532400846,515.6032451516353,534.3877192171177,562.5459004998046,607.5703624455764,650.1733739339859,659.1782791801663,635.724132429375,608.647234938615,593.1069266720293,582.6517047904211,570.1950682357335,558.8085962778316,558.2449955780493,571.9041337648633,591.0022381977938,607.0915678790565,615.1330668584999,608.0607732573621,590.0544208378028,579.7282497249936,584.422589364556,590.7466902016945,585.5359844008586,569.2373814516596,548.9872751488413,531.595197336158,520.7025292952786,512.3282954097444,500.32987597163344,489.65341072780876,493.6781452829004,516.352363484196,543.6196027168469,555.6597150354671,546.8581812396895,529.143295510288,513.7941669607505,499.17053612551086,484.4640500705252,483.98917659288026,508.78708746662977,541.0560313300336,552.8813471883877,544.1922281157607,534.935735355618,535.3665980983662,546.5532702704468,562.8459287288839,564.2866764711695,538.4275496481746,505.23161364211734,494.4861655748253,508.9889413464253,525.5508137147255,524.7152083426681,511.53784378669843,507.74638402572657,524.4862804698805,546.6569781854987,551.2740402819257,537.6143475549625,526.82419952278,532.3608418937724,545.7930729940888,553.5198241846954
6.0,Autonomous Community,ESP,ESP.3_1,ES.CB,Spain,Cantabria,,Comunidad Autónoma,Cantàbria|Cantábria|Cantabrie|Kantabrien,1133.5957657284252,1123.493480497805,1113.1006384618167,1110.1514372893612,1124.3645098208385,1154.8137743532882,1189.1420003411563,1213.41206291738,1215.7680917638756,1190.1929681742856,1149.1644480530563,1124.2725189770183,1137.1947889764756,1175.646705302969,1213.6755379856709,1243.8177173659176,1266.8361997851669,1262.9507669596833,1210.615410035647,1132.9435792254487,1082.4800031098403,1077.0728681441485,1095.2909230709279,1125.6319888522567,1167.7586555270561,1202.7643224097158,1216.104588954831,1230.7731466329235,1270.7784358127903,1313.4679401118306,1319.1641730823462,1286.8396423203037,1252.4547803547532,1250.3126778743201,1281.2288510632886,1308.2201185794818,1298.975296243471,1266.411858113228,1240.6950838117107,1224.2116244569177,1200.9224732689954,1164.3466835429808,1122.0461698063045,1089.530384937025,1075.7816793505792,1071.0145583840806,1068.6879578142277,1089.4388854336112,1152.6281736347778,1238.4332012511957,1302.091518192798,1313.5808497047587,1275.5304724131108,1213.1219777652086,1155.2754588103207,1129.8158811747107,1160.986982158616,1242.7024777138001,1321.7249350287536,1343.2638413934021,1310.5644168420001,1270.2675651241575,1255.5768668574801,1270.566359896283,1300.7661555170364,1319.1157338495586,1310.1569006723223,1290.7904539141184,1288.306950496062,1310.357009959889,1345.4945864304495,1379.0366761146956,1398.9805547583808,1392.3781634036193,1358.9514191670185,1332.5614122664367,1350.829425670571,1392.8350408066271,1391.614513206562,1322.025570391412,1235.7100683306612,1194.3176653301405,1199.9073026122433,1208.8194050202555,1191.7398990229653,1154.5646056895575,1112.394336416651,1077.3775086207454,1069.2453555135437,1101.233109274852,1150.3816291560993,1170.6546912831475,1146.8405664588356,1114.3879133606995,1109.0072222364245,1121.2740210986246,1124.8613146855114,1116.5320323824835,1104.3396675471033,1092.5182029821046,1091.3393581459984,1109.8707322486023,1135.3392593287265,1143.4303028937518,1134.7441608795111,1142.6610816473349,1186.9730590902482,1236.6405756070692,1245.699739061505,1214.5856969060383,1191.9949166849538,1212.7102172860339,1251.6814445786179,1262.0937012948039,1240.9007457228997,1225.9744358074354,1244.2121161498565,1288.0335258457853,1336.3718570157457
8.0,Autonomous Community,ESP,ESP.4_1,ES.CM,Spain,Castilla-La Mancha,,Comunidad Autónoma,Castela-La Mancha|Castela-Mancha|Castella-la Manxa|Castilha-La Mancha,572.5831603565861,548.8621011933109,526.4332023615342,513.5287867262534,509.32479560048967,504.1208530600847,494.0650095252778,485.1513159758044,481.29744394208393,477.4744114144425,469.983821556342,467.06555983991564,478.3501886688604,497.02792590089416,505.3538634145518,498.1603773806088,489.7816997828843,493.03966955354355,500.5137777545193,496.76225551508355,481.3528285483061,467.35247987179724,464.69290927184784,474.5889778753409,491.7476180770239,507.0170471918393,514.0835431636417,512.2884145126561,502.09384716040285,487.0883158306577,477.20494623013457,478.1999030029309,487.40632159604326,506.5535667358338,536.0623449830853,554.565215370913,539.7441806726033,509.72906366247236,504.14543617004324,526.5972663106318,541.4798801428813,523.2479949564097,483.7385878746583,456.6221415297525,465.9203109970835,500.5021194686318,521.5449318192711,509.10411457399204,488.6070884019456,489.5181765734673,496.79720914125943,479.7152593619859,451.54219253987736,451.57661508662807,481.9355422242152,513.2753851106686,537.693689339506,568.8263671721039,603.5818045725086,623.7697258700548,625.9818398678893,618.4665149970797,600.82391332142,572.078844569149,541.8821641142284,521.1294679991129,516.8472299136025,528.9751827841418,545.2168763208277,553.5060639930048,549.9162668478724,531.3841899277573,506.02245651513266,499.2091158552471,523.5199002809462,559.7264956137349,580.0677305409599,571.6888435952184,537.0692882640853,490.98578566996486,454.36022528342386,439.0191887253095,441.9679141425857,454.99875156843683,474.2277156167498,499.85827506409373,526.0651737936437,536.0544024517644,517.5546227533706,480.42790669987284,446.1535801180532,423.9846844896214,415.6323696288611,434.0029339555696,484.6957620905313,535.3137371171699,542.9141482957932,509.8504049076588,477.52572638336477,472.387957045376,486.7248954388916,498.80370947016024,491.10393335812785,464.27367012352295,442.10681508650356,447.97267927711414,479.77985523102546,518.0009295875134,542.6910125594056,540.4599364648884,516.1943566123016,490.9211230354848,474.3859341306236,459.5984519805831,447.0402756591578,447.6617886684115,462.4701482310663,479.2635815421795,487.6292535486553
7.0,Autonomous Community,ESP,ESP.5_1,ES.CL,Spain,Castilla y León,,Comunidad Autónoma,Castile and Leon|Castela e Leão|Castella i Lleó|Castile-Leon|Castilha-Leão|Castilla y León|Castille et Léon|Kastilien-León,634.1856482328587,628.6332581666773,615.915276616935,604.2793577042945,605.6606759452568,620.501522341875,637.7577564202377,649.4943995817541,655.2325159801825,655.2057010067751,649.5800842991189,645.2739027050873,653.6231770250326,675.887164943639,697.7962203262775,705.9883253817087,703.0907269230904,693.0065160888269,665.7413617843463,621.1029419548478,584.516487435508,574.7035097467833,584.658998911031,605.1819890094552,632.7037764857713,654.1717696180879,655.8913711165445,643.3481382364439,631.9441579348593,626.3989390014342,621.3931954525103,614.7091030966329,615.2883623297121,638.6227315700867,682.9432810761186,714.3828559692901,704.0171744686731,673.6589053847164,666.8645521231202,684.5265018743735,688.3915953157212,655.6461048209494,601.0980382087639,559.0522336441093,555.3113505288097,581.3915167357892,598.6746037175991,586.0565388578457,569.6817297314445,580.7548326648143,604.5513253944132,608.3582074657621,599.3158652854456,606.0989132032606,623.7042871627015,632.4886099324239,649.2278287613261,700.0184195971498,762.632414538322,787.7993806706875,763.1792292515619,718.2619452411277,681.7680733071459,663.57619345572,659.2711495813979,654.2322937842919,641.4110465430418,631.6664358956187,634.6697885368445,647.1604788200823,658.4519799091546,655.0978411144324,635.3979395778337,619.9013503690543,631.8118890039339,671.9728500426052,716.5441665915389,732.7928521040526,704.3537187130968,648.802117293637,604.0995347494434,593.9255908966237,608.5163016270292,620.1984313888704,617.9241459834952,617.4276478352921,629.498690079335,636.4112206573485,616.9495157273017,580.2586075642785,556.2496304137453,559.5712761657192,582.1768601659081,617.1266919320811,661.6405061649887,696.0059309688509,695.715465744301,669.8603885520355,652.7765928381729,658.3816214095112,670.556144238216,667.0695160272961,638.0515496244515,597.5501214534435,574.7346040281669,581.1369152847396,601.6336331897052,618.8378065789875,624.3129878963787,615.2380987286324,602.975027280239,607.3754433426251,625.7383140196843,633.3577649180025,622.6095134205033,612.7078400742571,618.9995861335104,635.9828554283316,651.1735402676675
9.0,Autonomous Community,ESP,ESP.6_1,ES.CT,Spain,Cataluña,,Comunidad Autónoma,Catalogna|Catalogne|Catalonia|Catalunha|Catalunya|Katalonien,705.76460376601,663.7240749140772,620.639402844287,596.1714496342541,609.0109392575649,649.8928888513636,682.6598041269153,681.9854132242738,657.0008852978699,629.4481533803909,611.486581200967,614.1429097727662,646.1912909266665,695.6168271998114,736.8653384790214,757.6709362294082,763.7505655351567,763.8179983172707,758.4852394766585,737.8499562681357,692.6790811207829,632.65316875902,584.7666471309359,570.3710932134488,585.7229088254849,604.830790740464,608.6428548466408,608.6422890364835,628.6606051688163,673.098998813951,721.9314265603103,744.7076544877233,728.3007222177479,699.2900059102383,692.5562228336728,704.4250510657408,710.4382721821823,705.2185719130471,696.4679624220577,688.5704352134472,684.0305138829478,677.9230386823006,657.3086387331235,623.3302377268299,596.2164683152305,586.0887598200418,581.9668359079643,578.4473060664781,587.9446982871054,614.06605037379,634.5312313710897,630.7157226415179,617.3136810106467,619.5221306788214,637.3240682566436,655.9571342565176,677.3872829423501,712.282287621217,746.9673868235839,756.4705337166715,747.3588472373087,743.8554357534787,742.519535441515,722.735140806091,686.5147076716728,660.1559813620927,665.1644306900452,696.5846837438087,732.5691599181752,758.1666701340467,762.9196958688294,735.9494994404602,690.7526540678974,664.833801849136,673.6866525951668,692.7957249532933,691.9483225140259,667.8104044952639,641.9277648658815,636.2957575974484,649.322790202755,655.1265896481341,634.4457469846157,601.3596541514652,586.8393290097681,600.9580720433089,624.0116084965119,636.05649423632,642.8973031198836,661.6584154982908,688.8383397504657,701.1525708528417,691.2372268300568,681.9447236046636,688.7266019705974,690.1013076330015,662.8886966406162,622.5522521036228,599.6732067631078,603.7522656198129,627.1990967697457,652.9559508876921,655.3456864738988,622.670342783357,576.285814656624,552.1616135323907,566.4214211008707,603.2494124799665,634.2868694464839,644.7451040119857,641.6647205390144,640.7282729336392,642.214355788901,629.2336045041723,600.5258279565676,582.9741740531033,593.9060911333421,617.5800112918182,631.8416371268252
,Autonomous Community,ESP,ESP.8_1,ES.MD,Spain,Comunidad de Madrid,,Comunidad Autónoma,Madrid|Communauté de Madrid| Community of Madrid|Comunidad de Madrid |Comunidade de Madrid|Comunitat de Madrid,591.4428448904197,583.6604558735817,575.1722299996727,567.1809794875135,555.3574208871041,537.4024767137349,522.6655256313135,523.3844959744796,538.5152198753816,554.0017851932982,559.4170793353601,559.5427689548875,564.7878381954365,574.3040191632609,579.6197475320902,581.4652611077983,587.9714400498832,597.2405015507866,595.8366532407438,577.1092556069366,550.6123422848331,530.3256513658463,522.7642614270987,528.0147152846325,542.2748692361416,557.9095658894202,567.8177991878943,569.0519256379329,560.3015284099945,542.481503258924,522.5807760155171,509.33694569765225,509.54186327849413,530.7125325188696,568.744197814361,595.5754998318579,589.9580670573545,573.2668545131138,580.6749620891736,609.5170206455548,626.6097417314699,611.5023016324313,571.8887982862744,532.6815178769143,519.4704468891802,534.5666967362997,549.4553830981974,541.894072829939,530.185375437385,541.9982242658027,564.5445563314012,564.8482024634293,547.151616556858,544.3619117163253,561.6487530622983,577.6135112600851,591.6373235271124,619.6183299075758,653.1887316182749,669.7424620571172,670.0860154193862,667.356215529575,659.2947646984271,641.5671397312691,620.6073894904047,600.050828848505,582.5794074244984,576.6790286726819,585.4467247028431,604.8312175893797,622.8381084478316,616.2044302002002,582.2383057672628,558.6309689235832,573.9782529245905,608.414233798223,626.0188636872463,612.6540887966783,575.0755864929268,530.085353787509,495.6518714170858,480.41660363039847,480.93235188085896,489.1513806067314,504.3154075123754,533.6225252428832,572.2097738588917,593.2052582130973,574.1414762210545,526.6352711861223,484.0956617940444,463.7548767474485,461.54861085822665,479.8859790025031,524.2948812854212,571.3394632926086,582.9799041093478,557.6097370792698,530.0020106532819,524.3948432861333,536.0853423537145,545.727417689972,534.8766937041673,504.5132916222516,478.9327489533411,476.02923876625505,487.35904991365874,497.94254929700844,503.10600641849504,499.79327020846284,486.46778901797904,472.46381549477536,466.60456746324076,465.9822108743172,469.7477353246968,484.9338182163211,509.59975720113925,529.8421721446692,536.0511305133821
15.0,Autonomous Community,ESP,ESP.9_1,ES.NA,Spain,Comunidad Foral de Navarra,,Comunidad Autónoma,Communauté forale de Navarre|Comunidade Foral de Navarra|Comunitat Foral|Navarra,843.8400337728112,825.2103437274623,802.3058130942887,790.1929845743808,804.1215192027208,834.8018281049382,856.1302882979741,859.5195672028283,856.1239256731212,849.3547499624813,836.752213690185,832.2982016717791,851.6754809021177,882.0688766813919,894.2779619756918,881.9688497320026,869.8224627639339,874.6170314602477,878.7410712934594,868.0866028445301,866.0242817325062,889.2683301279806,913.6877139996493,928.486102872976,965.602485287032,1032.0779058130963,1080.4679417087596,1085.2074035620346,1079.772033366107,1090.2617661797,1099.7105329635851,1093.4684075736748,1086.3099378789404,1099.2661051268087,1134.0540424776893,1170.5413738382936,1189.5511317007165,1191.663685325778,1178.7351746915429,1134.567730686347,1049.6337148913256,947.5231022698657,865.2479339186555,820.5851413026246,805.1765705771151,799.5447539070226,797.9540719739241,815.8339982921431,862.169239532834,916.9092123869123,947.3142302996869,937.5077186397513,898.736228747171,855.9696329933138,830.118205941698,837.584261594785,891.053168700589,977.6103820752312,1048.9288394203904,1061.3056630127674,1019.0625162534803,964.5188774208968,939.3631346925425,957.1663791656651,992.8663567095017,1005.613922906943,983.7545312590719,950.0677306136462,927.7590622095761,924.2508980556551,933.3603845001247,942.1405004938116,947.6334902978016,956.0826189707077,965.2262429146157,972.6298925911166,990.7882346113611,1026.004586681337,1056.6035887218472,1057.4716146350631,1033.5220751284935,1006.4509411791798,979.7242947105307,942.0366693355891,900.1017539758739,876.0359954026538,869.6416098783019,860.5185480729571,850.8058844308747,863.5314840987119,895.0000334263724,909.7730474011863,891.4412275530578,868.1546804317657,873.7752118514379,902.7884968762836,923.7418031159107,922.1565062971367,905.290981808903,884.4998535425709,874.7716988123775,883.9563324673933,894.1726859709745,885.204395657618,870.4561659841181,879.9859953308703,913.5656600888676,933.6768703444967,912.5502388503878,876.3849077826707,884.2814962757964,954.3410366888587,1030.635434434514,1047.8306421175805,1010.2340981680063,976.3495948588592,982.0369390013096,1013.430956518736,1044.5294245493308
10.0,Autonomous Community,ESP,ESP.10_1,ES.VC,Spain,Comunidad Valenciana,,Comunidad Autónoma,Valencia|Communauté de Valence|Comunidade Valenciana|Comunidad Valenciana|Comunitat Valenciana,543.3792328901164,521.4281665611846,510.66722713360804,518.0422344915952,537.4541075713595,551.7338615100649,546.1600914768035,517.2125833152148,476.0846458684429,442.31143330986185,428.1873170339819,434.5206032588871,456.094043787726,479.00804249431155,488.036402908571,489.3737771609818,504.80712363415716,538.4198350970514,571.1570303851719,583.3463384334051,566.1779734985818,524.436484235412,477.3706633403654,443.79094384314925,427.05801507164546,423.4219389463011,433.0816142537692,452.6663290785042,473.99660726260737,501.65759046546935,544.4575853409093,580.6190897228139,576.555295853381,542.7242004293735,516.6061012974453,502.4323052121081,479.1048866822434,445.72155163323254,421.8668110171112,420.22199171070935,434.43502377121655,445.58405218615627,442.54222574334267,438.30756859225323,454.4698374296605,491.3610184510478,528.9560980834723,551.054431526776,554.9861112765423,543.7396955032337,518.5103182916555,483.17477897955825,453.6493721784618,452.35622508408403,487.56715388067465,541.7274164255583,585.700332028521,600.5424489360037,583.163681448962,546.3620091225316,513.0432506872625,493.5959488086127,478.7884216293912,461.3725337808768,447.11892155293583,446.2019707142056,463.13364290227787,491.68611531905793,524.7381902572943,562.1545137448875,592.0671553326549,590.5609910222297,562.0160059315758,541.5187611325796,541.7944009409105,535.2405515557078,497.9179184335653,446.1029493517162,416.4364601526626,420.73363156812553,436.5052216048016,437.86761242293267,424.50922057886413,421.1486032119357,451.04392007721367,514.7600055344053,593.7645895096141,658.6686901276506,678.2286019664557,644.7494812340008,583.438924233913,521.1452155165448,467.618860128454,434.30276481818373,434.09217921386175,452.34217775719435,455.42083960078406,437.88198149908254,428.67906179946544,448.12594274293537,487.2484671671404,523.2236457953496,534.8318983759636,519.2516350362571,504.2949680829083,519.6511330805403,554.9516156743495,574.0634279114032,562.6208754106831,534.0994138249288,502.3765212849923,473.28227914779234,454.06763740669425,451.51134955500345,462.4078638989974,478.3323372268885,495.78158982471257,512.6300888752576,524.1745683027963
