system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
0000000000000000009d,1044.1671396686052,937.253360667685,802.8348096101156,802.6415919089523,974.3315238750831,1034.5397106959492,979.7054503420418,906.8133863377666,849.5937252185477,1083.7771383804438,1064.9500706846898,1002.2810191539804,969.3180616236207,787.0655707329068,995.0827584200675,732.2247365055804,1091.1394421576792,855.4783590813801,973.8639572354698,1387.7155112968246,911.3648971593644,1048.5597484470857,1140.6702478044488,1159.260365026025,1056.4406169101378,1162.0189962807497,1064.2096037051647,955.1507185920551,1013.8830414443136,861.5803477274951,630.0707027928174,1111.5229070565345,1079.2939685215101,866.1766838293311,874.9406816556707,1068.3036781479082,1154.3485442596257,1101.0178994575215,845.1712713609546,1225.2319907342871,1052.047946908611,1057.3824777761906,983.8993954212294,970.5637776758376,1237.8873285853194,1002.42418696626,1103.2942933728705,829.4691046593333,1090.3594572685824,1092.2845459932942,1014.1925272709436,833.457286253602,911.1534135224995,1049.0520679938238,782.0511960223678,907.6283336023627,863.4879326606172,984.3188402500891,718.8227245689145,951.4627446898851,1209.7918383363658,1064.0330102638293,732.0596761038518,1042.8749404679659,1010.2687621621557,975.8981121807377,855.9312738303253,1147.5722053888328,997.376679569512,1297.9525131051837,914.7522603347393,864.9660016065601,1109.1310015349793,826.1554973863033,1224.712324741413,1047.9439357676729,893.926360918896,1155.9360492680873,1016.4794909835425,1089.1112106078344,935.3371016919288,923.7203869621969,877.1761326869232,1041.4838912992595,1003.0121494127778,972.3047673570196,1282.5733891304726,946.2881167296165,1170.1767483358979,1064.9501522527887,1182.745259061084,1059.8689046056124,1043.4098046780869,1033.4187224855648,830.3692836788264,1039.3811611213266,1094.5828928984358,1140.9818222350075,719.0750615282311,1020.4441863129856,842.8358409097991,1164.7645156756823,1114.7849418106339,1199.3291883258553,1125.9193326109294,1092.5206518732728,902.8432123236706,965.8210477219872,1196.3953884146072,1076.9091206589383,1131.43677540567,1167.314853827486,887.7751322092734,988.8699318802485,837.4654835903043,976.3529941929712,1045.9445906355522,1223.1427744065031,872.6453155332418,1049.2179670009782,884.6663309833399,1051.7477266643475,1171.7558233639113,1184.666870545869,873.5515849406671,1065.3225848761351,839.220129155746,990.113081787131,967.4785748761101,,Region,FRA,FRA.1_1,FR.AR,France,Auvergne-Rhône-Alpes,,Région,,
0000000000000000009e,1023.1418575333703,928.7571768738983,793.6848567249623,834.16308443612,1021.2821160027673,1115.399602830241,950.2998444806192,815.1839769647861,930.6799007064337,954.6529576388451,1061.8668999896702,977.2874488440812,903.797422495361,852.8808973732757,929.3988719411888,871.4972068647095,918.115589240431,882.1250125246005,1004.8801494659638,1395.0659959776226,815.5967058817328,1013.1244837375344,1044.102338252277,1062.369083195252,1050.6568674366085,1221.8985780270673,1013.9441052464095,975.7202974039258,1115.2798995729313,810.8517377448409,627.1286380388219,1186.1140587001726,1121.489854628061,928.3917095373967,995.7064104464224,964.497203164974,1117.1352343699693,1050.5085823175025,818.5367735794525,1264.8551439724329,1099.5057551745153,1009.453822738164,801.9138499420683,835.733779937359,1166.054327412492,981.6642432158379,1016.5899391072784,821.5019308610814,1238.3232883870312,1093.814503529967,1011.8224424707886,847.5117750661593,817.4371208976328,1056.7435942641898,769.0097286433655,814.3320420950465,872.4508412622267,952.2376598463945,678.3441244554261,1038.9522194844762,1118.003479716603,1174.3045945716558,712.174132670621,975.2758211646969,986.9246838408252,1002.5274666718803,893.1598234310103,1198.5702792469233,829.902844723544,1118.2655713119107,915.1146520701584,901.5088588648767,960.2146232069805,677.4756690505402,1278.5364097738673,1107.7506334722898,937.8669537825677,1165.7156996046963,916.0693865782858,1114.8736018667796,759.1588450893881,840.5021479873483,821.7250940193995,1023.5794123900728,941.3396078761353,785.8481331503708,1264.4599590011653,972.7698356816418,1162.5193623329646,1013.7776212327886,1273.4987894737683,1128.1100349233031,1125.6510639925968,1053.4055315543217,839.0160012319283,1108.1782177590787,1104.5053766302524,1159.8301927906011,839.8230402741688,1002.6526996949576,837.2047014856294,1031.3735653751241,1071.4673666080776,1153.0298828926782,1186.1336782905303,956.1608224880074,975.0372608204793,1027.8399734687036,1269.2600350427847,1116.1059135462556,1245.9896459624504,1072.5265406663198,813.9750374595604,1028.3065879745136,828.6461678170294,1064.4114503713906,1089.839128886148,1084.8092912209027,898.7172233324108,1027.4795073244495,876.3071715815994,1126.7960204161052,1209.7370472781352,1033.4764373876242,836.0487568946093,1149.2455693098611,915.9728798036402,987.8483307285659,923.5555195265127,,Region,FRA,FRA.2_1,FR.BF,France,Bourgogne-Franche-Comté,,Région,,
0000000000000000009f,851.9239370808021,754.2498506694398,750.4622750567764,842.7265654367535,850.7080350996491,748.9101590993237,860.7056910815303,707.6652376296406,712.1494300240923,858.4415542848017,721.1576792081501,851.1072387291789,1006.8317940006577,883.1729411043426,817.364906736416,699.9035014474293,763.5250940577179,628.797681203887,819.6696846660103,1064.2818377587357,756.9396872716954,1042.1363850585649,811.1365029501683,890.2594909869732,958.342328606753,866.0231425602624,684.0878006168637,670.4692888180724,948.6469549460558,755.4537721573803,532.4971486946789,947.72612261914,888.9612835571851,864.9359383913384,942.2294849778821,907.9109863155707,1006.73761869596,998.0952171528004,958.6563408151831,1083.7945632996214,1022.3543963596591,853.4793549357404,796.8996025931168,933.5852331050668,1048.6744478293383,937.9790366319976,1027.8750875062913,773.941543775259,972.4151094100794,907.6018727556925,924.0449599676094,811.7113284065697,769.5883609898107,781.9465455419739,812.9921392027326,922.2665247854475,858.7397719282152,838.9736660807624,743.1939255429916,1061.141932196124,1224.7521753184358,1071.8720996396842,663.3446557844953,885.0853358152235,795.0878804068907,890.0010657277203,866.3146207531044,1035.5639493932874,942.1026412346251,1194.228025689304,879.1585594899665,840.3228188510996,930.6012832214536,822.79771424797,986.1786941867954,1097.2440857951372,927.363551247508,896.1406048462476,874.80859357514,826.4316517981144,746.4656968545153,943.9470315231406,749.6966627117189,1073.7486182506855,763.7991156174888,769.4698205744852,984.8265703095224,938.2581764781078,994.9250502583913,925.5741335437918,1087.8104975285717,1158.5749966265441,886.183605689809,1039.7096393293486,814.8443981617054,1115.4111731558726,919.1083890398883,979.7333452082796,737.3378628020613,903.346875768488,862.4990199806493,906.0737151438276,968.7930729980286,1140.652662600741,1079.128254774919,816.7914823805183,871.6705570656696,1080.6248686172642,1175.125480461863,1203.5845870461667,1101.3404517207741,1094.0204070258053,824.8413467177443,930.7212888706022,764.6114124950179,932.8604878637377,956.0769039830235,1029.9699324849757,1021.065328394159,901.5058352846532,779.2713308433129,1050.1076461308883,981.4626223671265,1183.7046159337797,842.8656188700314,842.3771771880938,867.0112349433759,922.0357119106909,1076.2512692963096,,Region,FRA,FRA.3_1,FR.BT,France,Bretagne,,Région,,
000000000000000000a0,618.353442703382,731.4593872705104,501.9392903772792,566.1738766103379,646.204213139717,719.2319682089042,705.2663320667348,474.7381162582929,557.5316704903304,589.6065732482816,568.4310722362977,635.0789325033694,621.9507084553402,592.2441511419003,663.8904399266792,682.0364978522482,617.281456899023,620.9447743924161,731.1248293253263,1047.282723194426,656.5507253026939,754.9361126451894,753.1711822684333,680.1857792005773,779.7951858718881,757.9520721070542,644.2531800919255,616.7658104557826,754.2349054869179,537.228370489556,380.73197023706143,800.8176323107612,761.2023120485367,602.9080963848907,743.4905972818503,698.4323605827534,829.9944130868262,766.1611168855934,571.0317108725608,962.029948186453,749.5846543270911,657.9499231045902,544.6710286823338,636.9254103812834,771.6168252374625,730.428416486513,802.2757655055959,569.2969349544246,799.6848529119388,725.0269556451203,709.4126040485957,688.7293583481621,577.5838777602619,612.880187797844,484.0643595250646,576.6685484268736,600.7404164330636,598.9597924925299,522.5095527954419,690.9770927790238,772.9030004793941,840.7244437992854,483.79531246349956,586.8734295381337,655.1699902451664,586.5921784272495,636.1903868406933,956.3584583236845,599.2449260789036,887.0315344847683,643.7587931791197,671.0258331282959,681.2627330889135,538.211516373863,885.4452146247471,850.2638894464471,664.2545891613497,792.1909586905938,664.9684454653576,701.9020454807452,633.0306412179583,624.5082831039072,575.5426277228092,677.9284580177153,698.2152901191731,531.8595740149186,866.8993549444126,738.8173943085653,874.642516997799,720.8425875421249,899.763321314835,792.5408190333961,772.9358703359366,848.0465334030843,617.7337437939657,757.126591119553,763.9404900688215,777.1766310891694,570.4715551605462,578.5865918743195,590.4124034927218,697.8330549314503,722.8224379644131,902.5260098223754,797.2758962995239,651.9054569397131,710.4341257302636,761.4174743842781,945.787829716802,876.2676504848282,935.0816971182267,804.2622467088626,681.8662438196747,735.1595319679487,575.2274490205683,728.1281386892683,753.8697686047091,763.7158811254794,647.8144604314447,708.1178307146935,625.3290374549553,769.634781377339,848.7245382466665,837.2696861294863,627.5272153730389,768.538877506028,636.6355069894935,693.5539970981163,677.6023872046192,,Region,FRA,FRA.4_1,FR.CN,France,Centre-Val de Loire,,Région,,
000000000000000000a1,737.6025609883642,981.9531123060785,920.2005190944401,654.4489564142273,1035.2039438764903,993.4488045614145,731.2837823898923,1162.1749806793146,762.6509053453327,1135.9106767323933,1100.6544506247876,1016.1624613586283,1019.7935343487713,917.2869067623099,1034.937520961569,980.6522529955761,972.5260288462803,858.1854955776465,837.0382593209742,908.3137496952195,831.8939131524581,899.2295211795945,747.7561145655018,843.7873763583603,1070.8189475477682,1043.7635900679722,853.054859792714,894.6305539620971,867.3034438118668,852.9671259131403,748.7918559531109,897.8725168286935,928.7213787008709,971.5867157654268,820.2897629815659,983.9499595817956,892.1922687569049,927.0911613411004,783.7981345673911,947.6183271706955,977.1589268207922,985.0815573541404,869.5965633713438,1004.2252242160691,950.3790449030315,960.075070048947,978.7209623939973,943.4957693357351,1026.3977166338616,961.0128276264751,929.8022932335676,807.5393121734674,1084.2693629251246,674.202082493922,555.2689992039662,961.443384905116,1066.566648936278,671.9908701618295,790.9265930444518,783.9035147602959,971.5134690884203,761.3658213621593,861.5339962026362,739.086296984582,879.152472775886,781.6060823422274,702.1153027056043,894.7832515452754,939.1091568795425,1131.7690972538387,720.6058146316935,783.5144219229303,1049.3563678368978,956.7583802170594,846.6690616523686,1023.8180280051618,647.0363274578973,882.8342874008766,988.2424488398608,620.1670802545437,924.5383364171818,1096.176855696387,730.5773051513104,804.3320341428862,987.8445721487715,1149.8543223608535,793.8147138167279,1018.0526447271445,1015.3687930518373,1030.222387085119,751.8051637275574,1002.7606056843729,785.9014602815263,1003.0976762472733,657.1058621192899,884.5019131304531,818.7682660470138,664.1186236994342,754.5153439395077,798.5064624864428,795.2450108936927,976.3575987678771,883.9408203061765,727.3847122172624,738.9318772409591,1231.0878193461815,772.5266996639066,770.8516434217729,895.2761735538226,934.1910123116179,702.9221757020829,871.2868613139611,746.2386263570958,910.0179624204283,771.5393184492917,630.8511329459204,710.4177607546444,1209.161722645121,917.349982794441,1090.7180879558812,724.5923527438728,843.3580107907501,1043.7460053035613,862.0301334407782,769.3840891954907,905.6917336519999,665.512450784576,1020.8311576299856,842.5931608629364,,Region,FRA,FRA.5_1,FR.CE,France,Corse,,Région,Corsica,
000000000000000000a2,810.806426542914,731.2134078873229,658.3184149654461,757.331020197961,867.5159602406957,898.0737055000147,825.9697416363982,685.0391187715659,832.1469672667946,799.7153733787428,874.0796914677098,770.3032979024814,821.0188369517201,758.6033069876237,819.9395853260428,778.932839579037,723.3348147060211,771.3208618493462,864.8543418650504,1136.950756323769,681.9099509279042,862.2582672161641,863.8479865177754,952.5725184023539,905.310018092078,1033.100126696828,842.1593520841885,841.3509902550312,957.158862253683,733.8475492153322,500.1679033879781,1046.5951443940478,963.8687575932657,934.4399366862257,959.3212109494006,865.4578715608641,961.3181423920438,906.21919946272,683.1067666800238,1110.645643911122,942.4305835330719,830.7230073169077,645.8531589890584,725.4175702320828,952.5687579885499,890.4858565944147,933.8145094252558,727.7320562389233,1113.674490817609,930.2663001227841,895.5677668898217,750.9084712886544,712.9345615737615,906.0054777310082,691.5163770840356,772.5010470653307,813.688936459852,917.0843301183332,608.5396935465606,944.3290393839966,947.9793564246554,1031.7284182513984,564.8200761141547,847.3957158782019,811.9963304036171,806.1883910388997,808.192144662756,1080.333782544574,690.7501217005309,960.2704847946799,856.2702578892613,727.5652537300723,775.1192012669978,626.0391459674886,1102.28663133924,1015.3264515337502,884.5523605622947,933.0473343299287,827.5930067312079,1001.0553359369043,629.0342682022897,766.4757851008246,752.6105651642947,917.5104335519258,751.1886468786375,600.4528783707892,974.5132993501534,907.2059745278525,1035.6666305265712,949.5370053325848,1141.4546848010214,1005.1321050659855,958.1052882308742,958.3403951087032,742.9086858276534,1044.0650061115907,974.3622776722171,1052.9509176482725,781.4789714653842,891.7210575241894,703.2514432614892,886.1931637500987,912.0001547810754,950.6199232329893,1036.1615194102837,755.2915934294376,888.3162235865683,912.1924316193729,1093.7881568462396,1057.46865045659,1157.046105298225,992.0984383458208,679.0101547496232,860.6804465673757,735.2559086185972,930.8605954332265,990.3844398966072,920.1347292929303,829.2332822773113,920.7681340167113,767.2482962945709,929.6843694044018,1033.9231499653338,845.8658855278841,727.0963920040713,922.4906129056027,846.2774166946617,834.6568293728199,809.9242853531266,,Region,FRA,FRA.6_1,FR.AO,France,Grand Est,,Région,,
000000000000000000a3,753.8770024560613,688.5196104307936,667.180515658907,858.9931622865516,745.6010717898797,719.458890794476,720.1634564092202,651.4776969390595,683.7799757871122,733.8717075937625,606.7242311540268,677.238594495898,822.0145762840132,668.232153960549,778.8230028486504,743.0983527462362,628.8456404668659,638.7166245222251,773.5104014703714,920.0696722632608,680.4012641452022,793.4229583133948,773.487976645059,811.8600216764155,885.0006417664418,834.2288078654617,760.6956074901965,731.5404366286214,741.6640680069312,659.5328816224355,414.46887962928463,807.3990997458095,917.4851893878476,819.5924924832623,959.4505681459326,788.1950945396848,936.2944099952803,871.8227718373558,670.2068512151303,899.2092644785729,847.7739863388404,702.6135777587068,574.9021472782833,688.4235241244785,828.5416648459466,817.5969239549784,956.7460322335468,697.1046750896301,945.3214499798107,727.9922584744957,749.2433552642026,733.5063394219696,632.130203108091,761.9095414399121,691.2236944334205,736.6646518386641,645.2320730355208,686.7746009082794,579.061119366409,864.0452958687684,888.7276181481533,856.4894263708647,508.3754309864044,694.897859201315,641.6172003196585,671.3960999811152,743.2904684277923,883.2842496508993,576.0894309707938,848.4513894323686,760.0195352309591,681.2357520686359,706.2616017836724,675.8929550214737,901.4412968165279,921.1568130538867,717.821224531412,808.6907104850361,756.3157877686247,734.4793157642224,608.9775472986455,709.5209069904062,622.5603989974758,888.6298127968665,735.6337407313417,506.05478384145135,773.8948920360874,743.5265948185236,838.5518756294913,834.3549035470664,930.4769621815885,831.0579932221167,735.7566434262219,864.5777252363293,681.5762847857483,813.5071628798377,852.6303679597239,912.4659817745342,672.6886698460909,700.9078858608327,666.2776961525682,867.3427280500875,878.9945715647669,858.4268879118883,803.1478407553334,656.4728481232794,744.2164934639737,861.7107340718651,955.5338371309965,1031.6403746099775,1058.9848335602364,936.2283892565945,637.4693181075036,705.7775935915674,686.2664181007221,834.7904282115229,852.0707126666167,812.5594488764544,751.1688891947795,752.5109542155514,682.6883336247976,883.0518705926637,789.6663785937129,848.8769482262187,704.7936520795961,799.8310024238855,728.4286061229849,738.5739335722894,765.1437654917887,,Region,FRA,FRA.7_1,FR.NC,France,Hauts-de-France,,Région,,
000000000000000000a4,599.8931899585405,618.6198612621059,510.3802802515529,545.6275282542124,565.2327436266021,698.9365664757609,606.8741272470035,568.5319402261085,537.4707248572917,547.1729625535056,569.6216195222445,630.0921127088411,601.9780695699683,557.3212105887278,663.1957911585447,668.1442704929523,574.8461147951006,607.8288327408536,730.1378380391477,890.1514858167818,548.7955271005433,655.2990216753676,713.5788081207353,653.4184689378254,698.5594957669841,755.2696535233231,618.0871963437536,591.4324426389308,690.7037945190207,554.9482804093328,334.6986500613011,742.092473631351,749.7242364748612,695.3980874182598,759.3177218504601,684.3635942213907,771.2795532064155,734.7732963872872,524.9241996649674,823.8183091400111,809.8501187693593,564.2611282224289,474.89597198115854,601.0281775706267,666.6336448132726,707.4247245896424,770.5312532177192,508.9959771102228,838.2951017018465,673.0743305479729,686.0436723240595,726.0697192520861,566.5879069166058,679.2154550354115,503.3849097777976,603.1470339857717,568.8484401807559,618.9957831487587,460.65042832408045,688.4862036591617,773.1992476688692,769.3123471228192,411.6960038223659,547.049959031433,587.1653470804307,550.3833680640596,571.6866679810931,852.6740514062794,508.8839965495497,772.019455181904,581.0142097568305,568.4965881520216,635.4092942159663,515.3199233894595,806.5910990664433,821.3435443603477,626.0555447226809,707.8633111839226,629.3992179135963,689.13102879755,543.3937917988808,668.385265975234,590.8895375530751,710.9020660212606,678.3359822435505,417.0405400928198,760.7056965969891,757.4676344665497,765.5945755225657,713.7379700955546,864.9381232934923,760.7126845793263,691.8290795053915,815.1703932150101,537.8531263215993,722.1811845006393,768.788805052026,807.2070244897449,589.540450362106,548.9051639944508,571.8305017879555,610.6185604002201,716.6101409389357,757.010844829692,735.025400866888,547.7499556979978,703.1929427666652,719.9831661628484,867.8951085209748,920.6438765609087,953.6606910511437,753.0111064495353,570.6575538765943,630.4777625061878,546.9746701614682,678.301241241714,708.7477380957794,649.0589495363402,619.4866868549946,684.5281980594781,599.5112166132723,730.94224042082,759.3707403997882,768.0420431837789,593.1134749018729,732.9221650210351,693.2569904692178,677.9042360022523,684.8962440103734,,Region,FRA,FRA.8_1,FR.IF,France,Île-de-France,,Région,,
000000000000000000a5,737.8246289984511,687.4266341343025,649.5920596836139,813.0740577317948,693.0111313057625,806.6216021640666,773.6769028586441,628.634168591884,628.4304817408249,722.463902516644,623.0473654714392,707.6457485157163,880.7785508324446,719.7568304489293,765.497329468112,750.2762629167572,679.0877118777463,649.6687594728204,820.4972536073685,1093.1147123160742,810.3292512026013,931.7429347031344,776.8441887591955,863.4431778008502,941.8147627416066,935.4628694484686,873.996126048744,768.319405346554,860.3432196034446,659.155674226026,450.90554803223404,854.100223200239,970.5207189370789,785.1270472165004,885.7960290509612,800.1433250823173,956.4613846371228,912.8002770712395,813.2900753608078,938.5358427846887,905.1618738903579,689.4616586465304,640.7940368188919,714.1633017990936,929.4363615609498,830.8313013910694,1153.8562769197847,671.7836262143682,921.0343424022458,828.5671759030786,867.4276757738353,767.2422834532618,704.9197436294544,816.8721871803572,657.7854668881577,779.4991058305283,722.4905292949729,689.9904248791577,634.006297725172,930.009590571046,977.129087215652,987.1566030093549,565.9298120264677,776.9565435671734,762.4570291585408,738.6102218456662,786.2497598972219,958.6485973938944,730.9791220434903,1031.4300969384644,753.4368282727643,815.2264532524703,774.6293037038771,787.8819619670783,1008.5995348924439,1041.8124226159975,847.8670215050074,808.602322372785,757.9398915094253,840.0032971275227,652.9128650890448,785.459531628155,707.698744407784,996.8537951511862,807.2011900614292,606.7494727104101,828.2570842005974,875.7869941432364,970.3716004997647,929.1157538468024,1030.1141020733157,958.6609074587425,794.0121857056162,886.7594635642444,730.2383939792655,926.0406751402238,848.7235035691666,925.9493736832266,646.8505098873566,742.2427128754408,686.977172819324,862.5859497263742,895.6377079297638,1057.2424518338887,865.2500683935476,635.8451879509652,790.233179483045,951.7826338893558,1050.087199661575,1130.182022431214,1021.545452315883,996.5509015995932,711.9317977101332,801.3626694033863,744.2617140633573,830.1360724648257,962.8163133795252,908.0097492157064,812.2470501434153,802.3618934920485,759.826546991767,974.3075184939827,872.613274375183,968.004995767434,764.1913998547277,781.6573698012843,860.7776759374443,844.8820300805559,892.2066328450928,,Region,FRA,FRA.9_1,FR.ND,France,Normandie,,Région,,
000000000000000000a6,777.4658133737079,868.7520714421972,724.0200047146161,735.789892026414,889.9704729328887,915.0712993180344,963.7734706304191,694.4344748046545,686.8546365822194,953.3211723859422,878.0547526143947,850.419942580355,877.9962890291939,782.5900906360736,851.468734114792,835.617779151518,870.494280857986,818.938188882497,884.4605122892852,1276.63084563465,870.4642988852142,929.8100452142173,976.674936555387,849.9663726603874,1140.8460662874952,1017.7182758199174,860.2815465084593,747.4056348329158,1093.2023842376973,757.3277421136032,577.1407305012485,1008.4337788476729,1019.804111369018,745.5210279774993,901.9922044969567,903.9008692659548,1113.1891703445556,938.1151752302793,776.7561142291198,1172.1610424971836,1004.1455745991437,973.2361270388085,780.5980040438418,923.6968232292102,1099.776151127395,927.1201573338085,1123.6890413693745,810.5090870936384,985.6928526458154,965.170487983283,970.7410714338578,756.9025543207496,811.4045967904059,857.4799350990734,658.0260098127285,766.7565206056403,804.3711574928271,718.6090843201266,758.0696979242551,936.6373300205674,1080.4487560698085,1121.9962683623876,587.796180810869,887.6601238905581,874.7046900198609,695.690744518996,770.2826673346123,1097.522906964591,1024.177346838842,1216.206724331811,907.2695228263065,857.1962748533961,987.8551297900117,774.3863073706104,1162.158094034855,1123.335645313638,825.6834926888075,991.6911320073534,1002.9665398374735,861.7824960343416,958.6032978810813,825.2350044818119,860.798752314843,934.8521266060554,855.9489924420704,897.5347172218376,1075.7178950745238,934.2243945777556,1124.9964459569137,943.6293647684581,1108.1063992019147,1051.833814103212,890.869037588565,1104.293755488739,796.2355136095064,1002.5530655265344,873.2342857779287,1012.928517880262,707.3340744952593,897.6525698844599,814.7462965431349,1056.7002121999778,1019.4783315141772,1161.1599154631244,963.210996151296,952.1261057736002,965.069653490544,929.2571422975022,1097.4980907821339,1140.7539379371506,964.9559745737497,931.8529656486375,905.1031029920024,908.4666642160911,731.2146006864298,968.3170322786065,970.716921210443,1083.4430712378082,957.5303679145495,902.9149860285416,738.7552313433954,922.9658733387482,1148.5404130479683,1092.7704720484242,793.1827054736051,961.5306246190142,817.5638566887991,962.1085781784253,1024.3439590195433,,Region,FRA,FRA.10_1,FR.AC,France,Nouvelle-Aquitaine,,Région,,
