CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,Region,FRA,FRA.1_1,FR.AR,France,Auvergne-Rhône-Alpes,,Région,,1011.6387229861602,430.6483607222498,0.29637028768025986,0.005554125393126608,3.4862311448346373
,Region,FRA,FRA.2_1,FR.BF,France,Bourgogne-Franche-Comté,,Région,,997.4641954148741,65.64910197068139,0.4765386071039194,0.012269277997151273,5.685226046813628
,Region,FRA,FRA.3_1,FR.BT,France,Bretagne,,Région,,908.5737262447337,-1451.7387360552623,1.2078390620707158,0.09852431061029332,15.819613118297376
,Region,FRA,FRA.4_1,FR.CN,France,Centre-Val de Loire,,Région,,699.5758451963717,-520.8276072037834,0.6249105172889211,0.03531343906736917,10.629919839000081
,Region,FRA,FRA.5_1,FR.CE,France,Corse,,Région,Corsica,890.1341878807706,2274.7029697440553,-0.7093036866992057,0.03369222458705001,-9.4825184636669
,Region,FRA,FRA.6_1,FR.AO,France,Grand Est,,Région,,869.5854446197445,-170.72884090033529,0.5316751672145997,0.018848956123421745,7.275805418546767
,Region,FRA,FRA.7_1,FR.NC,France,Hauts-de-France,,Région,,764.3708896230329,-113.22493254324252,0.4496644546881265,0.019320360822728477,7.000537413751689
,Region,FRA,FRA.8_1,FR.IF,France,Île-de-France,,Région,,662.9905393733499,-371.39606352152293,0.5296263481617728,0.027654069937228076,9.506249590050242
,Region,FRA,FRA.9_1,FR.ND,France,Normandie,,Région,,826.612042110629,-492.51915064050183,0.6756159929481133,0.03433550808633801,9.726243880447297
,Region,FRA,FRA.10_1,FR.AC,France,Nouvelle-Aquitaine,,Région,,927.6740895888356,-270.7225180724274,0.612114843123166,0.02440335553540318,7.852075114433959
,Region,FRA,FRA.11_1,FR.LP,France,Occitanie,,Région,,874.591949832809,-121.86477827363831,0.509134665729622,0.018696399025701527,6.9274620276812655
,Region,FRA,FRA.12_1,FR.PL,France,Pays de la Loire,,Région,,741.7930972678897,-590.2032080963209,0.6822422581969716,0.03490390026906198,10.94467298556163
,Region,FRA,FRA.13_1,FR.PR,France,Provence-Alpes-Côte d'Azur,,Région,,812.9554310903385,182.72312950339278,0.3217289874904782,0.004995849539262687,4.709452455470767
