CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Region,FRA,FRA.1_1,FR.AR,France,Auvergne-Rhône-Alpes,,Région,,1012.9248777318766,980.8648837188654,942.0466797427315,908.9074176236787,895.8193338064043,906.2924121244844,936.3303670206376,984.2547226718584,1040.005797399943,1077.2341065191956,1084.7633005463251,1085.5015976360792,1097.7318270168473,1110.2738322852463,1107.9455270862304,1087.6867923655484,1050.6355678858934,998.661694889655,939.3463711291804,896.1528116964375,897.3338173717884,933.758852158948,961.1303806381991,966.1820503410322,981.6183858232828,1020.4507002753617,1052.0005954706346,1057.0423029515634,1054.9820856374547,1060.9006918371497,1061.1274784375098,1047.9688164698512,1040.3353542381558,1052.0763539535526,1065.6956342610388,1056.3301658905064,1029.3297397776898,1013.2029367020378,1015.8948826220368,1011.8899461305831,983.5581826857931,948.574963196928,927.5360838411641,914.4591692021216,899.5424537810501,888.4503481442068,884.9325412182225,889.1175592487128,914.2991979977886,963.5685297248573,1001.0515825013996,995.5484357727323,970.259219670207,962.1661314512272,969.2728950818845,977.9299465663157,997.7227768965984,1035.5122124908776,1067.1531384224536,1061.7559303139117,1023.4717786679219,989.5794345569101,987.9119416587985,1011.7613549507815,1034.6229894357248,1040.8490873414057,1039.500379038297,1042.0549474595002,1038.9484020088669,1015.7349293856884,979.2610237500008,953.5234570537647,955.1481586151984,980.710170950727,1017.6624368519354,1054.997006584451,1081.961021973094,1094.6278346951574,1101.0720661159496,1105.8442527719674,1100.4416257393307,1076.5620035876134,1038.0055108965496,1001.8535099706834,990.5275976834401,1006.3180095295496,1017.2762505961684,994.8926053413082,957.8170116099997,950.6744299494444,990.8643225724057,1055.8882501826217,1109.667871831066,1127.2975191472303,1104.4353452585256,1060.3221524802454,1031.0433610070359,1040.36859968387,1074.971815567196,1101.0796179822796,1096.139562343114,1057.9796136070793,1002.6887007970115,959.281922985788,952.9178244839358,984.5778356599749,1024.7973883428162,1037.4792501659065,1018.0801034581549,997.8682308660758,1007.8356532750294,1045.2687403294376,1074.6891272844687,1064.735497094928,1022.0405409902369,978.6167000338711,955.6588730228573,951.987009486238,957.448642341826
,Region,FRA,FRA.2_1,FR.BF,France,Bourgogne-Franche-Comté,,Région,,994.5862209530243,961.9848255118419,928.7481045387427,905.2886689834809,896.7918200867877,901.1232570482547,923.1785836219378,971.5869215920299,1029.135648192086,1055.8590594658044,1042.3698091965496,1025.0717276396279,1033.2986106467145,1059.609804117425,1081.765253990477,1083.2659832539248,1059.9452008260282,1016.1122699823055,958.9996545558798,914.4516550229375,920.317144345662,970.6154070429059,1010.9031283752984,1013.9960825911937,1006.7241284151829,1012.5559637950626,1021.8967577481338,1027.5571944706376,1041.4574960845985,1057.7414558103508,1043.251761392318,991.6666288325906,948.0759350328249,951.0703554815252,981.6471616452762,999.1107081463791,1002.7785050326371,1019.5310176676146,1044.3468624677455,1039.1335322602251,991.8542886838347,936.2284556667908,902.7271344967951,884.6286737755603,867.2497719838105,855.5829059915543,856.3530359158058,870.0010447241343,906.6942183455602,966.1402811561519,1009.4399208594793,1001.4319087686156,965.1172757223613,948.035030644145,959.8514377872677,980.3067651203775,996.2087974061707,1003.3856773234503,998.6215702629586,981.6749390165539,954.9560416267595,928.0415984957355,924.3604935787671,961.5642757173607,1019.4745558107873,1055.8482248577386,1056.530981838227,1037.0060643670877,1004.0658752608117,954.0472627535923,901.1483361814078,875.2037935030812,886.3655619970502,914.8304059202502,945.5576197771267,985.0006227800852,1032.4099011836138,1071.3462821924502,1097.908257516687,1121.743078957287,1138.5635736060212,1130.056458901354,1091.2247335659624,1045.2088089036647,1025.941539205798,1039.9797978665151,1053.6822739552456,1033.8606064428616,989.3806039786773,957.5075695015407,964.1384804726896,1006.8927440068605,1060.422468272864,1091.0825841741787,1082.134139050524,1054.2753313852502,1049.133672611032,1083.341634131618,1130.1856763153883,1148.7821260820883,1118.617697670018,1052.1637937795904,986.3982370591854,955.8205383059252,968.3891877993561,1003.5654956764589,1027.9212752922497,1022.1229775342408,999.2910849464864,991.188975198459,1015.1946283434659,1052.7857298420215,1065.7472955469634,1042.9300328604274,1011.6903938134259,993.5318885054857,981.9507217594222,968.3274700762959,954.8812689173683
,Region,FRA,FRA.3_1,FR.BT,France,Bretagne,,Région,,823.4176784110067,859.874805100439,878.701624140924,862.3987518072784,815.6948587633655,767.1314979540751,746.2281292342144,767.9362533937551,821.590489716741,874.0760277166763,900.3206900009056,903.1558114896485,898.3117892089582,891.0172528878444,869.955089899319,828.8045737135466,788.4170386587716,771.6095764566412,768.275994434264,763.4791294120456,773.4979074120055,812.5734549973963,860.5117720697152,894.9900972811118,919.4249421984847,944.0361753279637,968.4919668695169,988.7951901038001,1001.3148429747549,995.7691512538166,963.7365986342853,922.2778658169123,906.2817069408974,926.2637503238723,954.385306529572,959.654903200786,940.8584282828018,919.5135796028414,909.0040470423271,899.3430022237619,875.1123264658717,839.64875285888,813.3717462845397,812.1914042269538,831.2940947095346,849.7520360805319,855.677706619438,867.6861470346716,914.8330804875372,984.2680688454823,1015.6672578115954,973.8049304697943,897.6481108608809,849.1636109930951,847.3351291670187,875.8846607547672,919.1094102061205,965.775927196722,997.097909289507,992.9669709431383,955.5900115914078,914.8629997977341,901.2012729154557,920.8200686669915,953.9982004033769,969.5537428501586,951.263817300867,910.7121210000713,869.6612154868963,842.7793129843407,837.2274557557768,850.9410312603793,868.6874393329538,873.081510501194,867.3900531373104,874.79926161469,904.8710686552051,941.603884143079,973.1544610847498,1003.5623817928285,1027.943523351638,1028.139414537227,1002.5509569689062,975.2715402107291,965.647126241924,963.9634194983745,946.9528059164974,911.062813817277,878.5416671913111,871.0430467247847,892.3260757750962,935.69436761491,985.0307470381779,1010.261072768652,994.6095498652721,968.2691985690724,981.3101201523308,1041.0674670714438,1103.9425238759618,1124.7761289647801,1091.7415378085047,1022.4201337115976,947.6322047742468,896.8961060895529,886.1852261234255,911.4098191968508,949.6279891954672,970.7500320973969,960.2999440025271,936.6535738401057,935.2283970696145,965.9309528548808,996.3079902203648,988.3011005901004,944.7309031441149,906.6355065717684,905.6043751176645,935.5177652937506,974.4158670707341
,Region,FRA,FRA.4_1,FR.CN,France,Centre-Val de Loire,,Région,,602.276434126018,610.4698686904404,618.8065508351792,629.2159684186603,640.1495833015232,648.2985818156277,662.6242077974125,700.423960980319,754.607896583823,788.5551949618139,782.2234959935436,756.3489443136081,738.7646507299635,733.9471488662828,729.0377572107303,712.771137644621,687.1405583516672,658.2781741305001,625.5111596074132,599.4569198355102,606.0905906113436,645.4155364664842,682.9708972970149,700.9162891579247,714.6894897593289,733.4378263940554,745.9131234592779,749.1685382875625,754.3685671412752,755.876575191698,731.4678857780905,685.7161747187423,656.8226816583659,668.428524595905,701.8232292195006,723.3594681116051,723.0080969344125,716.7469558628723,716.7570891664169,714.3291658118438,695.8457712222497,660.782098691202,619.3451183960082,584.3369794356222,566.5068359231304,567.2962468251548,577.5485582407415,593.0961141276225,623.363881071229,668.2128355594954,698.4281581723312,685.9867950424886,645.2205102691971,616.2036917631292,619.8608753409476,652.2664232557414,699.1444305148461,738.4385277255958,751.6130401528508,738.0140801065488,709.5575701742761,682.6717292477796,677.2861641154026,703.7105195395599,743.8466185385649,764.436358914534,754.3831136274821,729.1446479360077,702.3443401935195,675.528284729302,650.1908537039582,633.8299116925591,632.4269073328995,642.9839643312754,661.8197429467474,693.3293210865307,736.5092108789671,775.6778168847025,798.8236109905669,809.384085768328,812.6743852579837,806.690865324254,788.7916285912693,763.4339567323186,742.935818779822,734.3642730287011,724.3866265440632,694.2986585919646,651.3979051448564,626.4241810530099,640.7009288545827,688.4049981016326,742.9601279269888,772.8194610889914,766.4018091048044,748.3536860316419,756.1348074267944,798.4458934519356,848.1189136012174,871.2184733305262,853.1171278348147,803.2229332570043,745.1630338940594,702.8005472084042,689.5990645169966,701.2373092707533,716.4560021849518,715.9318822393304,702.3176641043809,696.0322455522486,713.3576265000205,747.7627873922225,771.7775256641384,765.0204174369931,736.1355764014735,707.5848909532717,690.4137545204599,682.7519536576302,680.2013703861652
,Region,FRA,FRA.5_1,FR.CE,France,Corse,,Région,Corsica,1048.3335037830918,1026.578288875142,1005.1539727790098,990.7037800157045,982.2173576119096,967.0155247064863,937.2013690875499,902.5421906406169,878.3677425493821,866.5487554024552,857.3764355873636,850.1176027534109,861.463071166157,900.7486774436676,943.4881472201026,953.7060924957403,928.1325124919307,892.0750396401116,863.1290951646447,846.362038268292,849.0399520359827,872.1041056778233,898.786450238402,912.322869774314,914.2508545814478,912.0473377234699,904.8661850197146,895.2031785181476,897.006143415601,916.2898449374122,938.3612201220631,948.383670201298,950.2658933082477,953.9724161562541,959.8141234392824,964.3948896739558,968.677683466798,972.558696310374,969.1974070993491,953.0675020460267,928.5130131212239,897.1095896927502,851.292905313306,805.2490812779337,797.8334171707166,829.7275249541532,849.7894058683257,834.2911066526393,817.0330742929181,823.5516082747431,836.1103852220658,833.6101943733346,820.970560181144,810.4898956878851,803.2868824815293,801.9923777071436,822.2116503210395,868.9006616867011,912.149362009753,917.6185464703399,897.4079539399787,893.1542505853012,912.5967253546306,924.6545304138715,909.0536975876033,877.0618378102733,851.6870830726573,842.2976134471775,843.3060313766097,854.6437137576467,875.3597990084546,887.289905497584,886.944761777412,901.5968149658684,937.9698268694757,966.3416469378722,973.510203861011,974.0015621361908,968.9501536060446,947.073285462973,916.1292941136176,892.656745761517,874.7758054391177,852.0606498732465,826.0745860681235,802.2294648316079,779.5152423299061,762.9479788851472,766.9663024770568,796.2848663670632,834.4767094621137,855.2624045513171,851.5866250102922,850.4601734976977,872.8475736544807,894.1903522685845,886.0264574452036,863.7417469656677,850.6580364412671,840.4827536823403,825.2529315802138,814.5201687975828,810.1590894794131,797.6826497831051,778.6978957080619,788.1129716638764,849.7483710267944,928.6042255934148,964.0508196909052,942.5616440551327,906.2099632314994,891.9831446770776,890.4274915193715,875.3249029336399,848.3954938762519,832.9679022926582,840.2692451059808,859.765144637536,876.0572556322967
,Region,FRA,FRA.6_1,FR.AO,France,Grand Est,,Région,,823.3120034426615,810.164797089053,799.5037479434401,791.8633407741572,784.420409134063,778.0499272832958,786.2860764262981,821.1384829958913,865.4811891101692,884.2755340651381,873.097105284064,864.8160576665008,881.2869646154485,910.132092759984,928.1465536945539,924.0988767486673,902.0504776395542,868.6481065662123,825.4068072880125,790.0698594999343,798.8793961467263,855.4625475594421,914.0132544700227,937.4174740940658,932.2569712843979,918.005295277513,901.4107550948936,889.9734945449402,895.474572747659,905.6949778452471,886.1900167685861,833.5405443079621,793.123235604424,802.0822027356467,843.4564267964082,876.9409100932162,893.0817251317387,909.5433850740403,925.0956405974111,914.096195755081,869.8274043224811,820.3011453538675,791.7205417629485,782.2129170974895,781.2344515668398,787.8129571267486,798.5944011994139,808.4595647393577,827.5539516284684,861.2610366138903,881.3022334478271,860.1312951557478,818.2365130938772,796.6997045594748,806.3282124291302,832.721595382192,860.0703611147268,874.7893511474836,871.4392166066963,853.7967441905878,824.4668853782175,793.5312554437218,790.155708371256,834.2903646788968,900.4535365395969,939.6116205305811,935.4888142125142,909.7469771410549,877.8554714887332,836.9601115110104,795.7032996712614,776.9883227064578,782.2124275346232,786.9106666059706,785.1670856692948,803.8488291287565,857.450075176648,923.976563382015,977.6380795620353,1011.529657165552,1022.7761905698053,1005.9962756571659,967.7455061066362,932.215441174319,924.3554693732001,942.896126488905,956.1834137670629,936.1308537517913,889.3567070229717,847.4492028106386,836.9035292136634,861.025487703807,899.4179807156984,922.4159234608609,916.6223994108332,901.5229663709987,911.4593235881708,957.4100847876914,1014.9633934086987,1045.0947329600122,1020.3667665085705,947.0688340403487,868.2093411763478,829.8688730291334,843.0523645863888,881.3974226165776,908.1491930399594,906.1094780160936,886.7349433413659,873.5267958772546,880.2601046307169,897.2754770803165,898.705729376929,876.3759238641488,852.5868335582248,844.7779453321294,844.0368629004369,838.655924902698,829.6826465171548
,Region,FRA,FRA.7_1,FR.NC,France,Hauts-de-France,,Région,,672.0070297118868,699.087933870657,721.6855759836182,732.2190797213204,726.89094151867,710.165635172724,699.5117161361983,714.6338125528583,749.7701387500855,776.1619764203742,781.3206634434038,782.0018350577554,794.6869236722653,814.2976511069382,823.085672755748,809.9390294478393,779.0526647355546,738.9856054300461,693.9715051325558,660.4700057619364,670.884380258815,733.0137810254564,808.8477314335257,857.3983449459774,873.5231411317876,871.4966698582475,857.9987898059181,836.7929266212082,818.3867609762416,803.132751101816,774.0473305053046,730.4138274641983,704.8416743712083,724.144016811722,774.2658285824314,818.730780881223,836.4029327394603,830.600833565137,810.9966039182985,782.0418435208292,749.1393988127376,722.4443121414995,709.5050380581478,707.7220476726438,706.1035514188806,696.3214328429816,683.4973225485788,686.3770657904653,719.8277174976649,767.7779504635183,786.5208206246128,753.773578897797,698.9043196593061,666.5105721609931,671.309833505792,699.6965437806958,729.7008085967101,745.5473790669383,748.3010534279881,745.952988407833,737.8430691795771,726.9709954974016,732.0671847446293,764.4169108381304,804.0849373032362,819.70451143629,805.2123543716043,777.2914009554488,746.4039675045788,714.5029053541288,691.9257545552077,692.6952570466716,711.6377647632826,722.0314980044806,710.0365501924963,698.7913739244599,717.0441874903069,761.4215832139452,808.401170786322,839.8698102485519,846.86505407268,831.1379456505504,806.5239647015562,788.8694868895319,787.9269039856058,802.4133833472683,813.2185930307543,797.6908535424793,761.6169502177383,739.8642419853917,756.7637696695381,797.9931349063371,826.5335334844084,819.54400591202,788.9018871949479,770.8772104401642,794.5899985606384,857.2838156506763,928.0738082028619,967.9136881597306,948.8440117394324,875.0626017778729,789.7705989292921,743.1828275839019,749.2892022559313,780.8339511280179,801.2937407892703,795.4901769981893,775.0690988284157,762.7595793931274,770.9822054009423,790.4861206077653,800.8300355608345,793.0151911866176,775.7449179159426,760.857938598633,752.5490222704332,749.8754447178966,751.0407761189429
,Region,FRA,FRA.8_1,FR.IF,France,Île-de-France,,Région,,595.9252951047835,599.5193377855182,603.5323836128035,611.6721975644607,621.8905332228636,628.5227255489751,638.4281976648443,664.7185609593243,696.964193014343,706.7477128961292,690.4233024729166,674.1270710137093,674.5165266882218,684.1078377536465,688.6160106353627,679.302438094476,657.4062683988922,629.0634559857435,596.2959787338085,570.3155210320692,578.3875849884759,627.186801825033,683.5511903528086,715.8692690949661,725.318553993374,724.323421941905,715.3645075338961,703.373578682133,701.2526022452356,703.2906380253428,681.8017445387746,634.0407127433583,599.1635322895539,607.7371098098316,644.7026641664264,675.0957241808935,685.7363735629303,689.5565791054136,696.7260522094598,699.7797165728638,689.4197488787684,666.7263511109031,637.8048359424486,609.4251394209401,588.8620269852075,579.0927236354552,576.3038221218018,581.2834889549752,605.2211424460452,645.1437355640346,666.6826015836524,642.0035792652035,592.0644989659182,560.4744546416198,563.8692572497101,591.8780965057247,628.2184742107064,655.0289174411097,660.3670116995846,646.8394934084101,625.3997453770542,609.9913998195738,616.8248727582128,651.860863959474,695.5345282862513,716.2011189041252,705.0062953906985,680.2061361531818,657.6153157610239,639.5247929248877,628.441709495594,629.2755748806115,636.9151146849242,637.15269871264,629.7218079159943,637.216873343368,673.0658597826026,718.6529512950195,751.1302810863947,768.0977621710916,772.6657448339519,762.2871714207291,738.1928887829177,711.0778117459009,697.7990008140788,705.9053627156823,715.6415634500629,697.1273662258895,651.0324839783175,611.4126358366876,607.622021125633,638.3324502258477,677.3745944672053,696.0380617833943,688.896127565637,681.4291440733217,703.866576890035,759.8214472397659,823.1697077649259,855.7229197648408,831.3056914514738,758.6767488209515,678.9351536557537,631.5100152976261,625.7535434461129,642.9189957690561,657.4048703193426,658.233537743537,653.3456732067594,656.2975815999099,673.7453392020245,699.289435881298,715.4098033368558,711.6985957923871,698.4402134333635,690.6387119418216,689.1588947593614,687.9664297443037,685.7242995402486
,Region,FRA,FRA.9_1,FR.ND,France,Normandie,,Région,,702.0050852530604,734.1410952527366,757.6906568980182,762.5999730456148,749.5507122270262,731.136656772267,728.6523029512779,762.9946521378943,827.0814540551955,880.4102195868102,892.8376335012902,877.2303388674492,866.7682106936605,876.1864194610263,891.2518439207039,888.8498470219142,861.173829182036,814.1171360971056,755.8153004900051,708.8879002315687,709.9893463783828,763.1421073998167,822.8594461951942,851.8060232697226,859.9053179997796,870.2403727449987,883.2677159436104,888.6225382208619,883.4922232877291,863.6191498110179,820.8795030104127,768.7377586998334,745.8961502367212,775.683597623987,838.0726967491343,889.2255808788735,900.7016428729258,881.0086084578369,857.4490013519556,839.7039549013086,817.7065222186598,788.7209324258471,762.7688106626811,746.2469024722269,736.5959311438396,728.3640880348439,721.4571220016409,730.5185186598961,773.6201246793149,836.5163595996365,869.449520799485,843.3891390073369,788.6056596311399,754.2725828784028,755.3879247287708,778.9886634208466,811.2759729227427,841.213601517493,858.1716782346232,855.5055707582911,836.2401346890218,818.3413400125678,826.1715897663129,865.8597814099219,910.1435820693605,919.9466406835144,886.2798648653296,836.2641818014409,795.8360071701716,769.2379274435029,757.2906950155904,767.7535014736217,794.4994964328702,809.2232968669013,797.7573678802502,787.621900755396,812.1783023907205,865.9631223302214,918.5916232625606,948.8340095849547,948.7698958274725,919.9552708998326,878.4164461020226,848.0023640519196,841.3435215108951,848.5483052755275,844.5061877432138,813.9359598574575,772.003127262187,752.611335965974,776.2811932735676,832.2329437599133,883.3171081734383,890.9549496977613,854.8312910330685,824.3261510577966,848.7089962764885,922.9673633365765,997.8995195435167,1027.859518552785,998.0524009927077,925.9892597693395,850.2204482293138,807.4318151897126,810.2557591740117,842.0338512054446,869.5980788919201,869.0724614277927,847.3614426100722,833.5465439459173,846.0646879697717,873.0062652710766,886.2113724571545,871.8769767182388,844.5897915580699,829.6783828645154,835.3702099802179,850.5790225867681,864.3379341606201
,Region,FRA,FRA.10_1,FR.AC,France,Nouvelle-Aquitaine,,Région,,863.7020553345294,855.836276267332,845.7101062131617,837.8342521793817,837.0998764437035,843.7213687670493,861.0077376849931,899.3514356714259,952.9785480141245,988.5462385391576,984.2482820962535,961.3684826376818,954.8865242778326,970.6235096796925,981.5067914230837,962.015617919737,922.0006736410343,886.7854593283026,857.0583061598161,830.1546270437769,828.7201767163891,858.2496267210897,884.842576576599,892.8535856180134,906.8639879912282,936.7894849831612,958.7753890234522,963.2913715601497,970.8338094772607,985.4589808606343,981.0383138154156,951.6940741893712,931.5414397369823,945.9963020914305,977.3824957121924,992.339690432675,981.3315634946124,961.28866167314,947.1248495670291,930.7621447836152,897.7825046184917,853.6897053776753,814.2761700648161,784.6048473764316,764.8190906436351,757.6055648332115,763.210649182788,786.6469763821134,839.4120317964779,909.5716865279039,949.7201896566942,927.8057769241743,871.1631409180152,827.2324430615595,811.6561101012627,826.7060945547511,882.1658153045452,964.2583730881669,1025.4624645727038,1029.5422340791615,987.7502280229376,943.6674482546373,933.7056904634724,961.4617101377823,996.4996589051348,1004.095095542853,983.9790727403437,960.8273494801165,943.6473950766729,924.2057155792519,901.7758500581378,885.6222057269346,881.9588995037861,890.1783250420709,909.8118507364209,941.3677517774568,977.8984073190558,1007.3727894054407,1024.9937822685283,1033.015502499097,1031.006711364988,1016.4823123098785,992.1610947701694,965.2677099352504,943.1575785677638,928.462337060719,913.3379026534623,889.3415260442756,867.4184472711645,872.3718712173261,914.2808463737832,975.2412453272133,1022.7229987649237,1033.6889478413939,1012.2501317315807,985.5370583199227,980.5153797021328,1002.6202480894855,1030.1810590008256,1032.35648890575,1000.3273943473756,952.5721426003989,909.5651381362056,883.3624922598824,886.1434545585997,920.3111945209613,961.9864099170707,975.8146518907803,949.759435512167,911.6821844022686,906.663219369259,946.1954622216635,987.7499437332001,985.593382390155,947.1025982486669,915.1043351398285,913.9057332798222,935.4133687549161,962.9409398716072
