system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
000000000000000001a6,2280.3887763977045,2897.821408940977,2593.8240215495453,2413.9763548964165,2696.6912652937012,3151.4371561729286,2849.8593666787856,2929.4077827130322,2392.8143119488723,2872.893554137924,3137.469364217983,2556.160814957698,3027.352597582541,2653.3390248638066,2350.847197244934,2749.3867362588126,2465.1086008750776,2653.719377297869,2449.1200169708763,2887.749983034293,2501.6505095401035,2786.586400843474,2812.2467209185565,2474.7194669755836,2810.7486301680724,2680.451031410087,2478.066668300303,2305.0076511318393,2609.121571337166,2477.569645057289,3235.2420135498037,2514.4024905770493,1966.4554609848278,2094.0519524784395,2168.589386367797,2321.688234833539,2856.785714314347,2423.3784359172237,2311.9356126365005,2635.0642113960375,3140.0313256473846,2725.1404666060084,2863.881563703892,2662.172268605634,2424.003528866525,2580.3175053224713,2500.532951426102,2344.315534630468,2394.960506161188,2586.7802956597257,2940.970863206506,2678.9356010501656,2803.5785642785536,2427.755440734603,2711.9253492516964,2633.2587198419087,3123.1079479217515,1963.7691508212326,2570.7681947611136,2614.593777892548,2708.3491747646003,2378.106121554616,2518.8588219335497,2852.9409525467163,2398.3652097023128,3042.735310848688,2626.569646906447,2312.7123298063116,2456.30341447733,2462.953139941973,2548.1745236606916,2214.6387736175006,2425.8632939807417,2451.8105443016943,2362.6557051028226,2904.796850838093,2469.330975273906,2412.6801071425607,2852.7037246962695,2289.0983448901416,2386.6508042448654,2502.399111673385,3152.0049540374225,2243.689281531512,2369.54983567868,2783.1568449117362,2633.8867108102563,2717.46751964375,2429.150409834263,2722.734513867911,2422.4252291210623,2554.4580354334926,2291.9634800474505,2388.665822898735,2449.0625565415708,2551.596978287776,2603.4098070758873,3005.214188184574,2808.768593481028,2477.1050269951243,2377.787633527334,2547.2820375022234,2903.7894607673243,2711.9115175214843,2876.625895225394,2700.605713692356,2656.9654027259944,2829.9477469428093,2788.640123619466,2803.8241637343062,2833.592267097859,2578.2748858371,2684.687846497356,2821.4451418472536,2676.0960799653635,2649.7910351058167,2998.6323411004014,2559.7300479500977,2427.6577898769046,3030.86664863845,2728.306098472465,2435.204984050684,2617.003226587326,2764.5449676772278,2430.122956608917,2771.6096497939793,2797.6329832432616,2766.793459617486,2320.023381789254,11,Province,IDN,IDN.1_1,ID.AC,Indonesia,Aceh,,Propinisi,,
000000000000000001a7,1595.0230320239891,2585.1112235496785,1822.2187600629084,1957.2206076917973,2147.2184660681364,1766.416953777445,1459.952283859253,1865.8813449596535,1884.4741533871356,2327.8587735274746,2074.319093967306,1852.7986093060722,1844.2804996227399,1995.568356809945,1772.7910423278809,2369.484178871944,1874.9287838113717,2716.9100334562104,3510.542077557794,3055.806534602725,1765.9131184281973,2147.485224559389,2019.7929488872658,1708.8957341950518,1984.209313096671,2542.0676703617487,3158.7043176848306,1761.9688519444958,1466.0658348346576,2830.146346388192,2148.106976739292,2656.9599422586375,2142.1697582376414,2001.4781968346958,1658.6437559456663,1887.6293302733322,1682.3894950603615,1975.6292680543042,1454.3279137446964,1784.6489168364426,1545.952618007002,2316.883634304178,2158.2521802310284,2540.7685172640045,1596.7768025233827,2040.5337060731033,1971.7244040390542,1971.5989291092444,2080.298522357283,1634.8098593087032,2017.705804298664,2366.332045588,2242.2715462651745,1528.5724329455143,1951.6099128065441,1356.7357022186804,1838.930990219116,1139.8244881136663,1667.7160979961525,2241.6787149495094,2039.726534942101,2021.9701797879975,1628.3012455249655,2202.891029620993,2741.441982663911,2253.354280603343,2011.1068989983924,1876.9967803297372,2009.2580566406248,1773.2907901632377,1155.047783917394,2038.4209628269596,1649.6712142023553,2091.5813274383545,1369.4593938959058,1881.0958109888536,1546.1213008617535,2578.182485909298,1547.2538802705963,1877.149523307537,1949.1772800314016,1217.8045233364762,2475.574895266828,2131.0460143911428,2559.375580623233,1306.1063857242978,1354.6481921097327,2567.9344919138944,1816.9670916590198,1553.0430137371193,2748.994564187938,1296.132142297153,2103.548328333887,2693.2691384677223,2161.4419334674703,1849.6074933676884,2019.7680655512315,1789.6490127958098,2384.7563844878096,2136.2388507579935,2021.3496114138902,2028.2374136694548,1855.5272764008619,1742.7398873033194,2451.1934917713033,2092.9470886362014,1457.9340467781858,2126.7456371701996,3041.540933411697,2530.1423884424667,2129.262968852602,1825.4443704670873,2094.4256058396963,2028.3466924470044,2027.1446485190556,1758.628671119953,1802.602076168718,2035.3614128375875,1959.2082479411156,2816.9215844253004,2066.656245527596,1967.0099826023497,2271.285736083985,1733.3206058370656,1368.4238574587068,2425.8843606751548,2354.052380068549,1884.8032528449748,1376.9962033238905,51,Province,IDN,IDN.2_1,ID.BA,Indonesia,Bali,,Propinisi,,
000000000000000001a8,2625.8667930340903,3351.5026779533505,2879.9884193461803,3281.386640430748,2951.485276730971,2107.8330800834237,3019.8437719417534,3087.700679090613,2881.390723804109,3242.81602388075,2880.679862018606,2154.5610236555926,3410.9202551070866,3054.81090915673,2746.824519842055,3480.9233681870196,2746.3560645767407,3627.2374024761953,3132.373492817939,3276.0306792936967,2739.90655616912,3009.236725239815,2744.8400541612514,1707.091717739002,2971.007942649469,3132.4573615682925,3170.5444183184054,2260.298733448766,2522.912442386345,2360.333798090847,3035.073076277831,2586.4742391907066,2338.424068049453,2954.284611326359,2691.9653914549895,2716.823208104939,2796.706474627034,2919.2956358428464,2623.605507468142,2425.6048488623846,2697.2691615513386,3236.9788474001894,2830.028966071075,2324.23610020891,2444.6165190932984,2171.8320042091077,2488.4601137571703,2811.213738318335,2997.571656244701,1872.3329432454716,2506.594212101251,2955.3825774097954,2955.277558046309,2955.3825774097954,2955.3825774097954,2955.3825774097954,3033.0548101883896,3890.9850962081828,3058.0863195160637,3193.5512578319244,2803.9073579481246,2825.434676930875,3036.7102211039933,3005.594149896163,3145.0033138226854,3163.2274860402767,2681.0041497725465,3141.927272626935,3162.1093901870477,3656.3636832652855,2584.285363968199,3728.218895689703,2759.603837908284,3427.4264372510024,2099.90757606327,3443.2073229384455,2199.608741006972,3346.986823646586,3865.257563723792,3160.549409691809,2910.256828520569,1907.438469763646,3476.4738962018255,3215.1432516087675,2937.9611692349254,2247.153001516939,2254.8455622695446,3147.925899082065,2838.5647324077463,2825.7672555768245,3216.922090046832,2354.3069800820103,2885.9410181856065,3524.6094122612453,2718.502833090811,3390.5016641737534,2833.116222901715,3408.961444235278,3337.208686549926,2927.3916091560236,2055.643882665928,2462.3653409050776,3311.5807945651554,2385.795008229261,3475.4370072156134,2932.204357225856,1803.63469657691,3290.512614609232,3066.4188907450825,3000.9238860918417,3434.5616958369833,2330.259051436413,2755.371033090105,2743.3403546573018,3018.740073542396,2229.546246657966,2885.0845343315577,2577.1352994673935,2122.807691996955,3707.916198531802,2867.182659437515,2475.4704408835337,3235.074229831247,2044.7591712772312,2008.733211535269,3331.5262161558394,3044.3583938902148,2613.0104420667094,2400.504901398974,19,Province,IDN,IDN.3_1,ID.BB,Indonesia,Bangka Belitung,,Propinisi,,
000000000000000001a9,2062.8320734282893,2737.47377544326,2980.353884068215,2874.8941541909794,3091.3358226747982,2822.32025594898,3055.4500084669876,3178.4719678470633,3229.9273129054136,2878.6342249439817,3443.3297409336647,2841.185528233528,3096.15347061916,3501.939034475132,3263.7469917128474,3557.0547516485954,3531.876574891098,3457.8267217201037,3435.529357890575,3664.129861586286,2732.6927094690527,3414.7761250833382,3016.6979955012957,2291.527028333158,3211.2582725449033,3943.4375314085305,3811.154007227252,3101.057291353365,2689.694696783141,2957.928788205619,3074.2261160445746,2960.1406237859546,2780.7550798403295,3052.4341660353625,2259.650313121904,2847.9304708726213,3279.042597800369,3397.460542896065,2882.323834406706,3120.2512703615007,3767.5018733896277,3370.8031226345697,3645.069527051752,2873.6520564520165,2935.1012593802634,3429.2866746292384,3763.7047702274062,3684.312496788654,3484.691727149628,2729.5106042562707,3002.4035862276173,3201.395640104292,3564.8871928543317,2643.2144566653137,2808.956380834937,2648.719017873256,3183.2187250533243,2544.39733620412,2936.813136786423,3141.887207266226,2739.7136257491056,3154.699557507845,2483.5608771736893,3458.5641312463035,3763.9642944531756,3355.4659919237,2600.10622055744,3785.9918067596805,2871.4060487817565,3366.87490933822,2500.4189532625396,2992.1861389375536,2217.2355420109852,3087.4496805180647,3056.8124614638473,3234.4750663260447,2695.297926950807,3922.1811303342815,2458.5194905207336,3737.552776905754,3291.0690324261354,2481.6717322909144,3733.805399008963,3411.7808207761873,3411.817066338264,2782.4827774336677,3109.816459589674,3228.360774246132,3100.329725033586,3420.9665836729523,3563.4972994146265,2701.3789340555577,2945.632607326318,3535.3372640992193,3056.7597840314957,3763.5168681825485,3068.94258497065,3399.8650466287445,3438.4077280807624,3569.293066891869,3046.620268316579,3791.4914882098174,3473.019895150336,2977.386259762492,3824.997767801196,3931.3762141237817,2613.107921278473,3533.376582566997,3270.64097292193,3014.812698555177,3240.888057802976,3333.5066738820133,2971.6627475321193,3171.2540245215255,3526.411881839384,2826.6398782837186,3259.4086608592997,3189.55462029671,3085.5310971869235,3961.9232914385843,2722.256632252003,2935.079365167015,3795.0732664684087,3375.74607174053,2845.4061848723354,3557.2178721276473,3288.945325580361,2836.086252055262,2687.849668354112,36,Province,IDN,IDN.4_1,ID.BT,Indonesia,Banten,,Propinisi,,
000000000000000001aa,3122.602257090474,3123.585760019123,3362.466300351777,3076.476230147982,3488.765056266692,2915.242110630602,3419.562758731147,3089.2775366567344,3315.351083537378,4524.4508288306915,2925.0316095282546,3013.6024316755243,2897.1490173339844,3369.8457472678224,3131.098337642179,3526.5547213217933,3151.828877098658,2693.759560355304,2625.7742444152095,2628.025526599002,2721.3622972066096,2937.248297494113,2658.442040603526,2766.5952818005057,2770.8973157933733,3059.8116241232315,3451.2908619047666,2915.0867258150793,2905.8015595410575,3389.8292095063657,2819.833921075158,2992.061444860305,3209.347829275759,3861.01265039003,2732.799377998296,3311.0936554957493,3062.7385563722783,2917.4838679329914,3534.0579963182886,3648.7967424415897,3136.5385941554177,3408.082039250654,3543.074220513485,2358.453142356409,2838.845248851173,3268.6237594530244,3481.762570977501,3022.9589408818833,2941.9476814919726,3014.751896786284,3472.0609000175828,2888.7055000620753,2852.9493458508864,2888.7055000620753,2888.7055000620753,2888.7055000620753,2888.7055000620753,3588.3155849484633,2664.934858633074,2254.0970047071332,2166.6650006742084,2225.9508897544697,2360.44529260046,2374.952923312964,2614.8840357462573,2124.5656258427607,2682.7852304277635,3613.061088209316,3730.82423265369,3762.4744288683523,3651.8415286581594,3642.8842384356935,2294.735231756874,3532.0619881066095,2736.918023585113,2493.680870483102,2742.884085606485,3788.3763721772357,3610.1583140203834,2934.539794606305,2664.1793830296124,2063.3683774256647,3005.649113768789,2716.961130963625,2559.94660145929,2665.854358144051,2411.1284338401183,3304.7867891446235,3001.8259513465155,3001.1693985839242,2761.194644306119,2354.5675312794037,2789.0538561744415,3036.58379458685,3002.0724687042616,3006.4855565351872,2721.7458280948536,2823.774378273029,3297.5619413835293,2760.3773618637792,2609.0813046940343,2884.7858801700186,3063.1514738505193,1996.1659665444183,3280.9579867434904,2927.071435431785,1234.6393004554325,3425.2599093026483,2723.5285314481052,3012.7860389950806,3015.598278277691,2797.5221821583104,2784.7694475122908,2612.232862393643,3245.4582280068516,2429.2242371682123,2678.7222817599613,3165.2432459624724,3177.424126970797,3563.192318176122,2345.7071219117106,2772.611850766369,3450.658639634034,2778.1612210053313,2303.6602719717666,3143.3531100604946,2935.2983140783,2623.3705503737556,1851.4419102912411,17,Province,IDN,IDN.5_1,ID.BE,Indonesia,Bengkulu,,Propinisi,,
000000000000000001ab,1448.8165479031286,2001.0654037203183,2088.272297583665,1504.1207606579633,1713.1215867581373,1497.2347246054467,1514.778582869567,1645.5697266423053,1536.020455755359,1210.03778080776,1856.2421639883435,1457.6420212732003,1479.6068898853962,1522.0853899791978,1085.671987877439,2020.4369508217178,1652.5988920239129,1740.4852016526672,1749.7803706763104,2282.9245307736287,1128.8052152691698,1344.425775609965,1606.1535697018119,821.9801975372063,1874.9915804940917,2336.155110605465,2593.939659020816,1468.6214101444637,1411.0450051940506,2016.3330038222716,2001.8997399721259,2104.6519785212736,1373.0349105132834,2427.937296344853,1716.3390826291704,1766.441521168595,1996.5591970419268,1934.2033653038668,1850.930699575538,1240.4469774383863,1563.706837294178,2332.334521030103,2036.9643618838113,2282.5704617038696,1751.4940555410406,1465.1633960396794,2025.9514469552473,2209.3020999285945,1673.792867121938,1115.3791931167693,1243.8499419912791,1755.963721544143,1755.963721544143,1755.963721544143,1755.963721544143,1411.428692920082,1728.7198050165407,1662.7631794807453,1998.4558284108236,1774.4312471577302,1575.5899940895508,1251.3025928139543,1406.4322615353228,1947.7170284617514,2252.6844995933657,1557.5663150886153,1265.9924117815624,1034.6013385867666,1100.6239258303608,1596.8095598151283,1363.613919395043,1437.8420771118506,1271.9938760114314,1892.897569655893,1584.0269750835375,1820.517476711797,1629.6232571600672,2138.694942636469,1403.7396008494156,1891.735738522628,1877.8469791388377,905.5152565637426,2209.1266527528405,1645.4964401018751,2332.3343054042684,1462.5134402882495,1598.5575466832238,1824.1336132468732,1626.5000359734495,1456.0654087234514,1548.3589161236682,1226.6910092529115,1758.7582505964476,2216.170373169897,1929.9491764228794,1811.4290364481024,1501.131727679519,2334.9411638282436,2041.3400098663021,1553.7022632640126,1519.9988702740957,1593.4605242350547,1501.6042445170576,1728.5903884162549,2200.0443248446645,2058.0592149058753,1476.4425766148522,2204.2490226394552,2077.200674047895,2416.362070062037,2389.0915965655063,1450.400476752558,2093.0254120187665,1659.0651592420581,2024.2965370583001,1646.354360786191,2336.354402959842,2999.3240597547237,1861.382913636958,2780.498433681659,2280.8214568976705,2473.396474307346,2289.765410908869,1789.5734993117164,1155.33615931069,1836.065383124598,2236.81138727861,1991.4440781380147,1262.6752855868265,75,Province,IDN,IDN.6_1,ID.GO,Indonesia,Gorontalo,,Propinisi,,
000000000000000001ac,1475.219749273256,2288.4712044649345,2558.977860419695,2358.9910973837214,2718.908016896803,1892.9817223837213,1991.431065475109,2343.683611350836,2467.2584279614834,2291.3369782203854,2494.04743027798,1970.0994384765627,2448.5735578670055,2587.551171875001,2014.2990705623185,2275.5246161882274,2596.5246638808144,2175.7578374818318,2175.75129564862,2147.6806606558866,1910.3402281295423,2235.7450138535614,2010.2506256813226,1563.285276617006,2249.540397892442,2339.5924577579945,2494.5728254451315,2224.272106081941,2067.222509197856,2330.522030000909,2434.3778303279437,2052.8356950626817,2085.8518543332125,2246.6229753361195,1638.0945783748184,2533.277859851926,2314.3012303551964,2191.988114325945,1774.0726857739828,2075.475373591933,2202.5200240734016,2229.278204487646,2298.5554074309593,2299.218246956759,2161.1118067541793,2200.0807543377546,2499.7976607921514,2511.7431095566867,2412.804412699855,2378.5803432730745,2203.035466251817,2054.9882721656977,2377.115606831396,1866.8050883448402,1857.2420239825585,1851.49326171875,2054.3001521620645,1542.4361958348477,2312.337024777435,2150.4144417696225,2153.862750953852,2320.68419501726,1737.6023392078491,2139.810046102835,2916.401337663518,2515.7501720339756,1922.0501033339392,2477.5757244731108,2003.1589168105018,2364.7113366415338,1981.926986055596,2406.658882176599,2135.226134970022,1787.3478600790336,2071.4975898210396,1858.1594584620277,2115.303163040516,2683.1943200399714,1806.9614899391352,2424.3482955577765,2274.2000442859744,2010.408958257631,2786.256463481105,2675.47203965298,2320.0990047011264,2245.620861532522,2671.626392169332,2352.1201029932777,2229.141922919695,2316.4456088753636,2637.604536473474,1579.471789834666,2098.2229106104655,2635.7106479378635,2293.8278343023258,2884.1818075490555,2429.6717773437504,2173.9650413335758,2450.1842841569764,2574.8918831758724,2209.2513768395715,3007.7602834302324,2582.814073855378,2040.390898096839,2706.7573389807417,2932.7109034338664,1663.2034548737286,2656.979883948038,2188.959241006541,2060.8145587300146,2406.9021086936777,2645.0227209756545,2130.3788653706397,2353.421899414063,2649.46003815407,1982.2415135583212,2678.3887570403344,2367.3632761400804,2335.4857932867008,2997.5890511446228,1577.6186977652617,2131.2628100018173,2824.8068200399707,3022.054453579215,2313.738108648256,2865.8346691042884,2423.070419240553,1917.058265579579,1960.2513189271442,31,Province,IDN,IDN.7_1,ID.JK,Indonesia,Jakarta Raya,,Propinisi,,
000000000000000001ad,2744.8841244868913,2744.399181839248,2959.845520858411,2666.4420861722365,3109.4107482966588,2536.0632429549064,3037.5185557107075,2667.288923539218,2923.161703875853,3356.684645638724,2500.5776077303426,2205.9391804172883,2549.6040957016207,2995.6203140649077,2627.909738592727,3085.5550636646517,2664.4403800393025,2701.6323609865535,2440.3236616429117,2571.3571510105694,2555.659247926497,2620.6085601721998,2868.692018715693,2004.155648849793,2454.855799389384,2390.566124807395,2618.975858976248,2170.1456347355306,2553.643095763314,2556.195482292469,2821.0394917210365,2319.963432805276,2142.7766805978545,2781.1311577682604,2084.306878438282,2240.745052025653,2451.350724213634,2432.055041846229,2198.3163671724533,2398.0276461909543,2905.926186756668,2950.743169577294,2491.822146947827,2147.823670595989,2246.792901052702,2718.5199769702785,2421.280094383487,2094.958986850261,2381.9846882674065,2229.134954369403,2481.861126861336,2489.0735119610085,2442.5146181023692,2489.0735119610085,2489.0735119610085,2489.0735119610085,2489.0735119610085,3429.891880010712,2369.601436336852,2147.679962615261,2514.970632117321,2356.3564547922274,2948.9282441887763,2654.7557000478496,2910.8168908597363,2908.496895501793,3297.8598050937735,3367.11902980246,2838.5016691996093,3109.30876538575,2425.3560851505313,3552.1405727110214,1997.3138122201224,2958.0475870329346,2182.4458213733265,3142.9557440834446,2011.9566810868878,2828.9078759163745,2782.6795924469125,2625.3202169804513,2202.071715176293,1850.1957649839894,2325.077270003732,2360.447821362794,2237.2917170496676,2366.7260794476483,2344.524140986133,2601.9100674038787,2816.4512974814015,2968.641471419371,2539.472056596988,2363.125639979475,2377.1196664565073,2836.3037118403304,2876.051800877552,2921.628211686851,2340.5657982984635,2443.877889729691,2802.2597338001965,2374.3133707732445,2320.062961173741,2354.171959128827,2438.013385301305,2001.740009269067,2634.3782685802676,2333.536641858869,1476.3474867547127,2706.843615162148,2492.847933027976,2516.0952168525487,2531.751260111711,2324.56831292433,2639.9089091089654,2424.831787320036,2219.1604179883097,2361.038723200958,2638.776161056072,2672.676976523377,2498.34768645723,3304.1498956928926,2348.3499410300697,2307.554866230499,2817.538596992669,2255.8358115926535,2223.675201624796,2331.3828960645583,2622.501424005681,2765.4436556240366,2096.7276860584793,15,Province,IDN,IDN.8_1,ID.JA,Indonesia,Jambi,,Propinisi,,
000000000000000001ae,1851.1657755362548,3461.061557512826,2917.7490104023036,2787.044958796526,3155.3707236848345,2683.412643867453,2663.025910135378,3107.431019580425,2917.6920241518965,3449.1681093799016,3053.1138246763544,2551.794778606434,3597.945198474153,3620.9352660500317,3079.11898924279,3023.591497846217,3010.0187692197496,3127.5019526901638,3492.304915492399,3285.4836704866866,2491.5817471835276,2840.6591867832312,2739.1159460631056,2412.3980443094674,3134.812984940919,3598.8037145940752,3304.6663042671307,2497.9393092239447,3085.5132893675964,3469.4383988454556,2760.744275631682,3011.5764736116244,2722.875345526581,3267.2495600744846,2059.7162087890147,2732.378386423378,3010.4476004388052,3203.1568895349847,2466.865843995247,2835.9715578741366,2976.6410625141516,2847.8444202008027,3352.374465201185,2803.178511584978,2569.3164189343624,2932.3634754635505,3056.504336213819,3287.9311685413895,3056.829593727625,2816.3217620058986,3016.792892960069,2955.7286911702513,3224.2099391561705,2245.2979595500565,2501.1310792142244,2418.1242026689756,2352.3276727113075,2058.066238996278,2735.902957441893,3083.422416637599,2643.6860253230275,3061.164666921981,2339.69901111583,3146.2229576802624,3739.859651792853,3125.8426499045563,2852.2224950148034,3499.8894374531164,2804.74301312501,3087.340086704708,2122.817666108126,2926.1825888441003,1946.1555293878741,2945.2530001111604,2327.4104556246734,2668.591434429346,1996.29717645991,3674.4370630985713,2381.7826424237965,2937.5634789936275,2885.497258102338,2042.6431381047696,3523.483031939966,2882.8699022204146,3094.4161080078757,2465.6459421345603,2937.02716457782,3287.3472775276455,2882.3408283075514,2894.5563013640094,2990.1108254447504,2358.898483711203,2990.4626367005662,3167.1444268696046,2854.312696733623,3314.257621132648,2595.4076536405887,2729.005620788416,3024.3846986009667,2870.2636185186507,2685.4586317625685,3506.292430739328,3008.604798687554,2398.6034881018604,3163.346242993606,3329.0889232022773,2186.9401511207147,3380.596278412971,2728.001421854285,2522.8571517430437,3185.122172192587,2611.43438873884,2478.775439573693,2678.7230705597235,3340.08093918914,2564.258344274728,3107.555886639214,2958.0428792429707,2843.0628612992673,4159.744344009635,2579.089029697556,2795.7743143170605,3322.7946103545655,3530.3574892844554,2535.358242212799,3743.590901824476,3007.1141239917342,2609.255968805421,2605.3414097227574,32,Province,IDN,IDN.9_1,ID.JR,Indonesia,Jawa Barat,,Propinisi,,
000000000000000001af,1800.0501141417935,3334.359732866245,3239.0648442107627,2728.7593919717865,3035.9536458850002,2652.3680211092237,2481.080831589087,2965.6817307497936,2678.298999775096,3463.104694434799,2842.675734388079,2252.8746313578476,3163.417341634737,3171.2000548116725,2687.783509298746,3331.2122347279824,2915.7016898935026,3191.3383231475714,3460.464651312489,3382.5574186029457,2674.3374674344677,2645.1367553562295,2349.708277316316,2290.72911464859,3015.558574979751,3307.7661201820756,3265.066994465834,2446.539125010871,2718.097997065896,3143.07750184475,2529.755688744102,2883.0869501272805,2524.593884470566,2830.7182000041275,2041.1479512359144,2704.581826571486,2929.1500990173054,2977.6379328070975,2082.9604111686535,2580.9587211456274,2704.0782797696133,2699.0266687430008,2941.8020887655216,2662.3694722999544,2248.1071619898735,2506.9835901743095,2750.72640987495,3160.775704697539,2878.104402551071,2363.421870073871,2785.2763355180145,2829.242248418372,3185.357222865779,1925.8251906199378,2468.253602029717,2153.052310876586,2324.0990188447345,2281.318619605167,2397.7719057607,2666.282975631291,2402.4660384423164,2867.9133246211627,2096.9417162457426,3073.8606753068125,3296.772466564327,2844.7555066472146,2502.0143807597483,3261.1369858013686,2742.878795804925,2702.8348293015792,1992.4644376098183,2897.1585059014164,2065.0281148058857,2801.0928561731007,2197.7182854469766,2595.5373848772274,2119.105340819293,3819.125394069043,2164.702140963373,2780.857645748428,2975.4027634582667,2161.697314312984,3379.487276723227,2998.9633624504313,3051.0927085166477,1932.492898699179,2303.7215589018024,3184.3255206068443,2784.801515657189,2553.6573862157743,3293.268984725773,1900.3398682957086,2568.4488419967224,3082.352030089386,2386.7373635834,2846.9605887428447,2316.578291246218,2436.7868434808443,2653.8037956902654,2716.210420076028,2298.7536191650006,2714.6008831720214,2428.542960893674,2088.97601801948,2735.937623737127,2531.254268193041,1977.8246196083937,2900.676939336087,2529.052545568386,2863.8751961745716,3104.3039821824486,2309.3234149523446,2593.3609661607243,2645.542459745038,3017.000983367776,2303.286544579508,2471.268588639566,2936.946848666445,2559.595559375475,3938.904348004815,2438.9555419242406,2523.952018882444,2921.791118351764,2751.0866479984797,2063.8243295135735,3170.9915561380735,2778.359430949777,2287.14290066963,2050.0096996849484,33,Province,IDN,IDN.10_1,ID.JT,Indonesia,Jawa Tengah,,Propinisi,,
