CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
11,Province,IDN,IDN.1_1,ID.AC,Indonesia,Aceh,,Propinisi,,2594.652014439775,1502.9883022237186,0.5638038469864181,0.006252384458569571,2.5858056270358887
51,Province,IDN,IDN.2_1,ID.BA,Indonesia,Bali,,Propinisi,,2018.0940165371733,3847.389449864929,-0.9351061738002434,0.005559584297401776,-5.513996561625464
19,Province,IDN,IDN.3_1,ID.BB,Indonesia,Bangka Belitung,,Propinisi,,2879.3106618091642,3200.4739755337023,-0.17621314980950412,0.0001735264684398219,-0.7282772611328872
36,Province,IDN,IDN.4_1,ID.BT,Indonesia,Banten,,Propinisi,,3179.507765405219,2023.7447620799421,0.5905316044643701,0.0025378087847228725,2.210193090133998
17,Province,IDN,IDN.5_1,ID.BE,Indonesia,Bengkulu,,Propinisi,,2941.095885404416,8209.342212227502,-2.6973438711891267,0.043109590975318746,-10.91375232832197
75,Province,IDN,IDN.6_1,ID.GO,Indonesia,Gorontalo,,Propinisi,,1722.2311139344963,-3205.7012273079354,2.5392610183948503,0.047256640019152196,17.545383935066923
31,Province,IDN,IDN.7_1,ID.JK,Indonesia,Jakarta Raya,,Propinisi,,2246.3290594226933,-2266.054355827541,2.3146772589281897,0.060237844332154844,12.262076771746184
15,Province,IDN,IDN.8_1,ID.JA,Indonesia,Jambi,,Propinisi,,2535.484036362168,3671.0314993859306,-0.5827479188008123,0.0036028621477718348,-2.735059710207979
32,Province,IDN,IDN.9_1,ID.JR,Indonesia,Jawa Barat,,Propinisi,,2887.050549787215,3812.348740365087,-0.46436704128276984,0.0014768274943038895,-1.9140530087608763
33,Province,IDN,IDN.10_1,ID.JT,Indonesia,Jawa Tengah,,Propinisi,,2680.9269909512955,6496.972396166935,-1.9472704900915305,0.02673707288219529,-8.64347254151323
35,Province,IDN,IDN.11_1,ID.JI,Indonesia,Jawa Timur,,Propinisi,,2109.2041619541465,2670.289587391492,-0.2807811686553568,0.000704554955747061,-1.5841500634547794
61,Province,IDN,IDN.12_1,ID.KB,Indonesia,Kalimantan Barat,,Propinisi,,3525.58510710003,845.1879302452166,1.3753589719635424,0.0178539241847816,4.64228525739055
63,Province,IDN,IDN.13_1,ID.KS,Indonesia,Kalimantan Selatan,,Propinisi,,2593.2679494008507,8361.947724964088,-2.9509117759656456,0.0653157324284327,-13.541157650949396
62,Province,IDN,IDN.14_1,ID.KT,Indonesia,Kalimantan Tengah,,Propinisi,,3076.1799581439623,2688.806636935845,0.20561017971385254,0.0003262952926319507,0.7953894674195583
64,Province,IDN,IDN.15_1,ID.KM,Indonesia,Kalimantan Timur,,Propinisi,,2735.1679252570757,703.8289702213847,1.052960648784059,0.015702706420886003,4.5811562810545166
21,Province,IDN,IDN.16_1,ID.KR,Indonesia,Kepulauan Riau,,Propinisi,,2479.39107002812,5142.1946869095655,-1.3654916335063934,0.025668376682740135,-6.553766622439997
18,Province,IDN,IDN.17_1,ID.LA,Indonesia,Lampung,,Propinisi,,2436.698000638631,6068.421914770168,-1.8676744847291744,0.03494943955321139,-9.121083680641657
81,Province,IDN,IDN.19_1,ID.MA,Indonesia,Maluku,,Propinisi,,2309.064593515893,3272.3573198009235,-0.48131078440301406,0.0011406800985228616,-2.4804842404493974
