CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11,Province,IDN,IDN.1_1,ID.AC,Indonesia,Aceh,,Propinisi,,2890.253332891757,2831.1002005400596,2760.241858593884,2678.2062540506263,2610.0253551017922,2578.1403250304056,2575.735709331171,2590.0659930875736,2618.2844510670675,2652.957651806861,2681.640663324598,2696.0998326204076,2694.181131932896,2680.568927770044,2653.9619195944165,2602.627697671444,2539.3457823290905,2515.6824337785515,2565.513726324398,2640.579687084762,2632.7057434866224,2492.8008640349153,2308.174142978579,2215.6010091430544,2262.433146413023,2382.0462040725392,2476.9251938820134,2520.1644977854967,2571.9775734945865,2674.501450546312,2776.8036350793996,2805.4405663257926,2751.912972091112,2660.6653951677717,2576.382502445199,2515.471031565458,2474.7821201523475,2465.583447198291,2513.4856081303637,2609.2920869200143,2694.1256668598458,2716.6403192558264,2686.6588764311387,2658.6551598812553,2663.485026775198,2665.394402521368,2616.4736634065534,2544.6438759324656,2519.314843667285,2542.369447670598,2561.485730681959,2566.5688299749854,2588.6825273503678,2634.611832961868,2675.025909206851,2670.579971828778,2606.6009793854105,2520.820034137266,2465.447512791443,2442.723924256961,2422.3571874893682,2402.1617079580224,2408.2127855605354,2453.6862373949853,2518.9093059320053,2565.879082687993,2575.787996727441,2559.762804333813,2530.1897352669052,2505.398943190313,2521.9183312093223,2575.096012717989,2600.2326041948227,2575.9052761744756,2562.3108299167216,2592.969502799313,2625.2986780958654,2621.2957461419874,2592.308629850064,2556.531998004246,2512.5615379833307,2461.8429994226,2425.3173821196706,2428.1571680770326,2479.953591700604,2571.9386750144968,2672.7941481684456,2725.7866763007064,2692.3480081025555,2611.8574123434073,2574.1385813502675,2619.3730428267572,2702.308984616498,2758.0585947637064,2766.992889938565,2753.8520114260696,2750.739405046705,2766.1961719970063,2782.125034938701,2776.555530893498,2748.228098551296,2719.562880222422,2710.9372600716792,2719.1885026362975,2731.3054933084254,2736.136624909709,2721.773598252337,2697.6704429276406,2692.721890891355,2699.579080439699,2681.0738367476183,2641.66711723971,2618.9739760184925,2624.817173851671,2650.0288923667003,2680.6898115004547,2687.1349935110293,2648.743823880479,2578.39751012024
51,Province,IDN,IDN.2_1,ID.BA,Indonesia,Bali,,Propinisi,,1952.9831324238999,1924.955280368224,1915.6197210815421,1940.3160880415726,2011.0105672301404,2147.7843104439053,2375.146917434859,2641.136318059831,2776.8827567254675,2659.4811304550744,2379.3485225845,2128.719366578963,2007.0254227734843,2028.7852499921773,2173.6489750049236,2328.1117597723314,2340.7159695291307,2227.2317446927573,2164.4233428173025,2231.189321904604,2318.7537562728953,2305.3728720137274,2180.875391110264,2014.2471780954252,1881.4292660139758,1811.7363844817055,1778.3206726465503,1745.0357320262437,1719.6293403698965,1751.1133846584064,1869.004286468029,2027.945359225417,2129.4144928902388,2117.3467531078336,2038.6748308232375,1979.9992758022818,1965.7766794793567,1959.6007428279727,1946.7883160622985,1963.5471620207716,2024.4532035540403,2063.907348119108,2008.0706762507043,1873.9494439701327,1735.1495885121926,1632.2063102696477,1579.365920081221,1610.924956966577,1739.5166998053421,1892.0391906642453,1973.2647589242151,1992.4291584112777,2047.2075014376433,2168.525080897685,2260.136033118028,2230.5083245360133,2108.162293087434,1971.443375958708,1845.4758366343788,1736.6966394715269,1687.0641163293403,1713.898370238471,1758.7257281035702,1762.4582132630312,1747.849207033243,1778.0999362941448,1855.3310260292274,1909.3403623420104,1891.8396928275713,1834.663903366132,1813.1967453640593,1882.8095236898491,2013.411336814021,2080.76422227842,2003.652843712219,1872.2477182920638,1832.0567933742345,1887.9538782231257,1946.6611954767643,1969.7878013073373,1981.888981091822,2021.9265874611406,2106.2695931820517,2175.55389537765,2152.245648217612,2064.378130514817,2012.6431394142323,2037.9544400179693,2089.7409792747985,2100.680411644023,2055.3248393355775,1993.2161111394907,1968.6289962427368,1994.7600583863152,2021.334715145158,2021.4764005045952,2071.5726104530286,2228.5200577871556,2382.9213358641696,2382.3299880220457,2240.211510741762,2095.2352318129147,2023.2649090017737,1988.9323126612037,1945.5563997482432,1907.9104972422638,1926.5105437525901,2023.4290938729355,2153.5749915018673,2229.6186460598274,2204.454760063311,2105.877084751838,1986.9002560582658,1907.1274027374798,1923.7217723886517,2002.8678748617633,2021.0193734680927,1924.5681366828126,1770.7219740906148
19,Province,IDN,IDN.3_1,ID.BB,Indonesia,Bangka Belitung,,Propinisi,,2730.025071178589,2804.2881424577267,2909.526768409545,3000.4217993135494,3058.398490762625,3109.9884488774037,3170.769654495591,3211.9846990600845,3190.9275616354366,3098.0808199441885,2955.9469135550003,2784.7912277733876,2631.7563468869303,2595.2003113375004,2703.2623918912727,2819.5213697380873,2797.1935103176725,2668.729930155014,2578.818232026281,2587.260500036312,2629.5818917476245,2646.384753522045,2657.2895799043595,2691.12471441619,2732.453547144367,2760.593014378401,2766.808213148152,2738.989417906998,2695.1193018782205,2696.0623017584435,2757.0502751583213,2791.990878482063,2716.3844695114526,2563.4610578849133,2444.9259606354494,2436.731421805463,2517.7078671086338,2586.440093196452,2571.827195151675,2536.868779105433,2594.0236532067297,2739.4838449619556,2872.8905409028253,2943.1862599880737,2991.7521770301382,3078.841460317298,3199.3680122954934,3271.4771254765406,3228.4126942712187,3103.1214242647184,2989.6161040363004,2949.6484878024407,2977.617769568135,3025.2533578282882,3044.5513996451928,3030.80194166142,3032.323323953431,3088.5388380081695,3166.0790446615993,3203.9967757768263,3193.673092542117,3153.3613738413524,3075.015999218611,2961.4333096026503,2865.852194480654,2856.9088171296694,2967.2725602939804,3141.574060068423,3228.311883938549,3124.4460333274023,2932.532775922451,2850.456631535776,2903.709279233594,2922.7587769844645,2805.525599103034,2662.1771017343613,2643.4648948521117,2743.8909099306375,2847.9352509160576,2882.3107250853427,2866.8300601675537,2872.5286619276076,2940.737966427277,3031.489030360658,3087.2472637433466,3114.971343112379,3145.3343175631103,3145.494750618029,3039.760475283548,2836.906950441709,2674.0397316839553,2666.1785641666784,2774.2012156326127,2871.948171410724,2872.889356015948,2798.071174090421,2764.603273324293,2848.369212537734,2976.444455814878,3022.065554974695,2949.4878109445617,2831.2308427226912,2755.801769872083,2731.225875667896,2705.245058220678,2659.0599166920124,2626.2735450756695,2653.892877975812,2755.925201394459,2866.0239446821097,2886.1800987925717,2793.145374060281,2646.8609537492825,2550.763750665054,2591.7302913764065,2722.1867360748683,2789.6799805465007,2736.1663671086167,2627.4043302047353
36,Province,IDN,IDN.4_1,ID.BT,Indonesia,Banten,,Propinisi,,3178.5952631367145,3163.5405044473064,3205.3934476000345,3292.9426015249774,3385.2411711545647,3449.925670064793,3479.694757376951,3473.8437683428565,3424.920530002547,3330.389000534361,3207.451389293622,3079.430337689571,2989.2956495386,3024.681196336682,3213.574239210246,3407.468446361816,3416.3505639281843,3241.778662224018,3053.0981690456065,2965.9346355884018,2949.5275192170484,2925.47930154213,2863.7546687604986,2795.861809846335,2793.311077512607,2896.500043089588,3043.6714655948363,3143.0011786782743,3202.0014208298603,3286.850354386325,3384.274359054125,3407.248664561471,3326.404596892924,3230.8669501222935,3240.470531159806,3366.971156770769,3488.468224754309,3475.912066009896,3328.5117012102864,3171.266189515686,3112.8128408551943,3121.033189532158,3083.01599775739,2970.7904255751964,2866.5146385449266,2830.399034631684,2840.260887521561,2863.8822115940047,2896.761037862947,2925.132172662094,2934.102186639759,2959.5744587719573,3061.760760503585,3218.328015495731,3314.6192063843173,3294.841579741839,3231.667710667893,3188.341699388344,3129.43781744734,3012.789359455733,2868.2154709150823,2768.7850973905183,2772.0549891549576,2869.802619764122,2991.521374432139,3081.784680757838,3140.5516437067604,3182.5601854540046,3207.7325400541254,3207.0023996746613,3190.6848136478407,3206.8698692127496,3268.7857502055235,3299.0189034115024,3239.8399491951104,3150.331858754885,3119.5069654600566,3161.584755187391,3228.3849273965566,3255.60976029498,3210.387757063601,3143.0972719295005,3142.432530745505,3220.722717074351,3308.316322450268,3351.6178625839284,3361.9896642191125,3374.510617765893,3395.183600567074,3411.901048535448,3425.387805164951,3434.5693738397067,3439.9637556865428,3459.8703833602362,3476.438777153027,3432.7625167722463,3337.0042791559326,3258.4279997984413,3220.590151879051,3202.0939116764043,3191.1293661532436,3184.353983654669,3183.7072656106448,3189.729708945709,3186.37421573918,3170.80611191004,3175.6220293002216,3221.7222661171963,3270.983621731606,3268.3544383238705,3234.665060905987,3242.4806359685454,3287.0449911343344,3300.1602427629764,3270.923303177466,3220.6223668404537,3133.536070751423,3008.984718148366,2885.668252625927
17,Province,IDN,IDN.5_1,ID.BE,Indonesia,Bengkulu,,Propinisi,,2973.7667830794076,3013.3575692581294,3081.8195724803704,3168.2513644106207,3226.3921590245122,3196.5184264989375,3061.560683491819,2881.1092581835246,2749.115153858696,2710.3319162393573,2733.259046345079,2761.1435548565973,2776.83287015173,2814.635503964267,2905.3123599637447,3017.8026334418573,3085.3980794194404,3090.342563950232,3072.1411139306647,3060.662945948523,3071.841090844568,3130.6134340570215,3216.703721848862,3253.4662689126467,3211.650714091286,3151.221435603725,3144.8765949414747,3213.8484660745976,3315.2531769316997,3377.3479509824965,3363.326934861224,3273.4234012972265,3127.3714757522525,3004.0825688182003,3000.225461716272,3092.735345917462,3155.917924493987,3136.7336961253577,3100.412619033362,3096.010712031829,3084.213974956759,3024.4674053832423,2946.879850683929,2902.338918208279,2908.0621138109204,2954.636201297788,2994.4786335667127,2936.4923498537714,2739.9895353782786,2493.7996426057216,2329.959429583918,2292.576441627277,2332.586633465006,2388.056130460071,2456.386566237449,2608.484556867259,2898.021872151435,3254.160817641049,3525.806455774392,3615.0224730927143,3521.974004855991,3320.72615217829,3116.5495042391935,2966.989844654309,2878.0909661942883,2891.4665059990402,3039.8709293393617,3209.965268251815,3214.027834233359,3014.954911103794,2769.3888794380964,2640.637805510249,2637.476007692063,2660.6275974019018,2659.8240136412815,2682.51284026099,2774.907867539031,2893.663455575487,2943.745253391292,2885.0657371177435,2779.272239674835,2730.5984075442866,2782.4005264273674,2877.585522770157,2931.034529272585,2925.334819108973,2910.860750823561,2918.0789185430303,2914.0640175734125,2871.562321429125,2818.07435579065,2777.899475174011,2744.9484311171836,2713.5513843772915,2662.185435215632,2584.9975978462367,2564.1847446985053,2667.6083585570623,2820.4949175216575,2907.1038942061496,2904.2246991287184,2858.4142689699825,2820.8127305439507,2807.1505613399545,2798.3460460382084,2803.2320284331513,2871.778604421375,2997.70725456424,3078.933239662662,3043.832764638602,2957.5018271445647,2915.603448612702,2899.753006598738,2854.667069452813,2808.7219707928875,2783.72040930126,2714.276180084372,2561.2544363896372,2369.009340416965
75,Province,IDN,IDN.6_1,ID.GO,Indonesia,Gorontalo,,Propinisi,,1633.4739429140207,1562.4049875767682,1500.5137978662008,1479.9961542026313,1528.4027048742353,1623.8335821649557,1713.8075019176624,1771.2642699309802,1778.459427095521,1704.2791178617945,1563.052524308389,1434.6861115835832,1402.9380930369907,1519.81449995252,1760.7493203176102,1974.3210919879034,2003.7767367705892,1886.3049603512104,1802.2991559435325,1831.3271868856589,1891.97315172913,1910.2175115712905,1905.1481662634064,1903.4741414713749,1896.6455381503504,1886.132705102412,1871.729012793742,1820.4968239047107,1732.7208160444036,1694.653327175862,1780.7755785716192,1936.5791278294294,2028.7874003855889,1993.8693778296051,1897.6949814105117,1847.6741763065297,1851.402790773806,1805.0519814187933,1656.9475262395881,1507.6891886536314,1482.0387710286413,1571.7320733545178,1668.7388892986685,1698.5589268542672,1673.6511540640113,1653.2515257376663,1679.1546565218437,1734.293095301527,1755.3113926735728,1696.839676715275,1593.494168403613,1547.00793612468,1619.9510611726444,1740.002936990291,1756.9340563841974,1611.2696289926255,1401.5615321466425,1271.8401545395586,1271.560968378066,1338.8935872903567,1398.8155278513295,1446.4340140171503,1516.2648439859372,1606.8572928093179,1685.3830478885595,1738.362001367871,1769.0386520758154,1773.4900801548686,1749.126844979604,1701.5790974595661,1654.2620624605065,1659.3316092962355,1739.1284658250001,1825.5409122426997,1833.080664992003,1768.367657054451,1700.6586139994054,1655.9785880857842,1606.5020971070417,1545.6132013662877,1520.5377116161349,1585.8464461949598,1728.8028471631146,1855.2884181155493,1890.6315819944366,1873.2533811455794,1882.460107740159,1904.1296501307147,1859.0631220973196,1741.215977283408,1633.019158641987,1605.3917204227646,1670.7821566399723,1790.1003227748258,1888.3580759225677,1924.6374100684407,1948.646160716714,2025.302061864951,2127.9452050539735,2163.518618456587,2089.643349061698,1966.0200365085477,1879.4219090713761,1861.8475776264231,1916.6998294426749,2053.680943529841,2235.906953083022,2373.2471005568304,2423.9056886396497,2422.9663923142216,2390.2759412199466,2289.147554488107,2094.7383413105,1874.1162896774993,1757.483125310464,1785.279426049365,1843.0283433309396,1816.504258682244,1707.8694259810752
31,Province,IDN,IDN.7_1,ID.JK,Indonesia,Jakarta Raya,,Propinisi,,2307.875194723832,2308.379388231349,2322.522294928311,2324.8127739006213,2314.1897898962334,2312.4136072314063,2306.995010067696,2264.1432057979496,2190.320587124936,2122.5541547819635,2074.8520215367166,2030.7811283998712,1994.1734635197843,2014.4491136085157,2116.4911613508716,2237.0291851110237,2291.6443814987365,2277.383822736075,2254.919855862995,2250.8390328784326,2234.6109021896546,2185.1230773881425,2125.3924439363705,2096.5926979397623,2123.8765414814616,2179.501692885022,2191.491495096961,2135.2891243823738,2076.840378719153,2083.997164213935,2147.192392948062,2212.7916588384055,2246.6980095087097,2253.5720784786145,2266.1560601744545,2312.586867489926,2378.2875248975533,2415.615739143727,2394.580193087113,2327.88409344651,2249.9824645197673,2178.6407777120908,2101.6171242115115,2012.3498747847805,1935.961167067151,1897.776054329096,1903.429719680964,1956.3748390530434,2044.781456033574,2121.6019240135374,2144.448788452149,2134.3137407347217,2167.777108465239,2277.6029859764635,2382.3157627615824,2386.5393745865936,2311.223222461967,2240.7344671959104,2207.5447578452354,2196.1503166021303,2187.1849183481795,2157.098989351406,2092.6856389821965,2023.1700749264212,2002.6397482960724,2054.9831776286283,2144.8706354163414,2210.718663958616,2231.3362576617756,2239.907917610435,2279.122050995051,2362.7127345218214,2452.835948582583,2487.3080618680915,2461.767293792547,2429.5027507205346,2411.036287604931,2385.7260397844543,2348.2700921768374,2296.147239367907,2222.0234666158995,2171.2882714227194,2215.8974987163106,2345.5683943681943,2467.1025806293937,2506.3329894975177,2469.3667257996494,2421.7642980398136,2419.33951022126,2465.9515525263414,2527.5443295501004,2556.597702673979,2536.390255508867,2506.2033814008846,2486.6067866236667,2440.5340271661453,2360.6498047318573,2293.449628854353,2268.92811187478,2287.953589831951,2333.388203166252,2367.9082870106367,2374.3334218978885,2371.423495640866,2374.00907462364,2385.4216892065006,2410.779881499535,2438.3944318616113,2427.624398590798,2359.2049846671352,2305.643261501401,2369.926691368015,2527.1335184274717,2641.176630565732,2634.954921081454,2527.751327283366,2364.8983000401627,2198.335278473273,2071.529094463647
15,Province,IDN,IDN.8_1,ID.JA,Indonesia,Jambi,,Propinisi,,2432.8516170260705,2489.553058390977,2593.9520039535178,2713.0110266763336,2791.774303811313,2799.14161871697,2742.7536744298773,2658.0444311740616,2591.479567648001,2570.8889031313524,2582.2822909736337,2576.4619637271835,2518.923219013038,2440.863468960026,2402.4779756265057,2409.8051660299952,2426.3229620569987,2447.724462133739,2492.3141328805177,2534.7839068355765,2524.8082596933746,2466.1358685480527,2407.757348331839,2368.2151178776717,2339.0532040233047,2329.1598767213573,2342.448359874643,2367.8304079915124,2423.744392724735,2532.6242963483187,2639.090040922503,2643.8328695020095,2538.1851767248436,2427.969158653294,2394.574758676256,2401.0809896348032,2377.4982552941,2330.587595278706,2314.555462939375,2347.2096625336,2400.8536998827535,2443.9942293481568,2467.0123141589693,2481.3230536546685,2512.886845772071,2585.453484617976,2671.06101322991,2683.1449574724434,2588.010942402356,2478.6579291101225,2465.8979910978073,2554.582901782225,2676.1179082577473,2786.765479939083,2895.901051831825,3014.2901352406866,3104.501554328406,3112.2242704386476,3039.915424805216,2946.854883250132,2868.361566151794,2784.6991676121897,2688.552857850696,2617.3018992772854,2589.622621554152,2583.3812625516466,2590.4342575880555,2609.059739008758,2588.554198956218,2477.0822872457516,2318.575004598973,2218.714672749641,2218.42656227682,2267.178982609983,2315.2983117903846,2371.678126066764,2466.25930534548,2591.7043138564277,2688.701545582229,2694.272620645737,2619.0948256492316,2556.0545292452853,2583.907277046021,2676.3468439316416,2733.049870391252,2697.898904018373,2615.9483977333384,2555.138438104943,2515.6053272347817,2463.0836106658603,2400.2621888687063,2351.7356473962404,2325.225659984756,2308.1406822782083,2273.769965507349,2225.4129157639427,2227.657806896186,2317.183723300117,2428.7102407538905,2484.656928039104,2487.366596014687,2474.3853775171356,2452.8681712993152,2420.297250015922,2406.8797698247226,2448.3678727004485,2537.159178504708,2635.406541687917,2701.607896425632,2696.950953258138,2624.1223911875827,2536.2439122915926,2464.8413874470393,2406.027895898158,2382.3894458297586,2418.8243293040505,2473.007662023582,2480.2823953044485,2429.08319620454
32,Province,IDN,IDN.9_1,ID.JR,Indonesia,Jawa Barat,,Propinisi,,3002.5002576946285,3105.605802100768,3224.414234557402,3274.9978101183697,3221.2289519967035,3141.2446906589394,3126.965995492018,3166.9397191006133,3165.490600992206,3061.0120672405997,2900.0724147018523,2777.5357452409407,2755.154859240229,2852.6025463584706,3021.7812244465545,3136.420615567367,3122.921633125316,3059.3946119844904,3041.919171800383,3045.3278904357644,3009.022294516777,2941.064329954434,2862.8864094102323,2774.240088378171,2717.335230980242,2748.955150402812,2829.6519152889596,2864.337053698386,2845.953741500955,2848.5178355915873,2903.2333790391417,2961.3092163258043,2961.251393248264,2906.531532489767,2873.4796187731345,2921.094825265321,3012.3010214869837,3062.159571178411,3042.0578975766084,2998.0907590032157,2969.1519658045904,2923.0166403856992,2807.573376507763,2640.957764652803,2493.112988489395,2403.4243599005777,2384.625835247646,2459.0385032096597,2609.375376283003,2748.185852328692,2808.5869315214104,2831.13737878435,2911.6959480463765,3064.3659259704727,3188.8145066224847,3208.440522366546,3157.3299499729287,3080.9580851263254,2963.360179196097,2798.614612062283,2637.1892113274084,2534.506231326513,2501.8990617414906,2507.2491160565933,2519.50099029612,2557.685941480447,2651.179646794698,2757.9943738213397,2801.6712092281614,2774.941666392812,2749.1132285698395,2792.225482782744,2884.588288754379,2935.314239754578,2911.8283662437393,2887.9137131586435,2921.256716892278,2968.7600144532366,2963.2482666858114,2900.8743117169083,2833.464829148676,2821.31820792755,2881.183226736253,2961.5765986080078,2991.7285154260735,2951.6504500754218,2885.468710950619,2851.1600288145746,2865.459297675581,2913.292913934766,2971.767873725241,2997.6415754651616,2968.1608946870992,2930.2821506704613,2922.534532672074,2915.5931855616946,2888.0911272432977,2857.5419643449495,2832.5685345679904,2807.989520657054,2774.4929934474276,2734.814192211496,2730.4736987742267,2789.485520218436,2868.8043175206126,2920.863586249322,2967.46644836421,3052.3343118730295,3149.920622143759,3177.6051218972148,3125.9351688613383,3090.865389791061,3121.642133952962,3163.0563890155336,3165.9308754808308,3115.9209997514486,3003.087685074986,2856.5260108788275,2731.13812185444
33,Province,IDN,IDN.10_1,ID.JT,Indonesia,Jawa Tengah,,Propinisi,,2710.315032372821,2774.7466588866296,2872.8973875743854,2961.8197704191984,3017.0004326940134,3061.5530865707897,3124.143408699519,3192.022861895176,3202.1096376655278,3091.775239207802,2879.793508714749,2670.5681553347285,2579.8956143596433,2659.498416046366,2843.5327481110826,2977.4720135328967,2967.5315791355415,2876.8551947963115,2814.8726681653548,2795.236456992336,2769.0146630912636,2716.214964057408,2644.9550193873124,2578.4316573600013,2566.6425967804553,2627.4057438643954,2684.538809129602,2658.5919293741445,2589.96427348324,2578.2127141299748,2640.450499678346,2703.3106209949356,2696.729483565862,2625.5829699061846,2573.0573143344845,2617.551940476216,2732.0808678691033,2807.0267867672474,2788.8817200405233,2743.089190496115,2740.028307843527,2736.664243790725,2647.2328801058043,2486.0701582905594,2349.7156335126833,2293.148411990995,2303.066821232653,2354.7576516074373,2429.634627901506,2500.8861971672018,2548.4449326796284,2594.2469465512977,2687.8595172582154,2821.625906638299,2910.8011596980846,2912.2429518625404,2876.8913740912685,2834.41816685502,2746.5877224539727,2613.2504735053103,2503.480868371719,2459.031658446732,2454.016103157148,2453.1261786675113,2465.213859437299,2532.467614128519,2653.9152199666714,2750.464124937144,2763.3183991120236,2732.6257319233064,2734.4276679774775,2798.8500764462847,2876.868002109847,2862.7946025567953,2724.204197564525,2587.1322486310605,2587.113676296522,2691.900325672214,2770.5511241645095,2755.8234534445246,2674.482673928952,2603.4837885819466,2602.2213539397076,2640.8152533331872,2642.7264387143505,2592.200694266765,2540.7859027887093,2531.117753649528,2550.2780392531777,2557.084795341322,2533.6035715420976,2489.772902496463,2447.5820877030933,2430.283951205115,2435.0658230013914,2445.73440366352,2481.2939546539124,2568.8139229923727,2680.4770261077674,2748.30281492357,2733.5646878903085,2674.0545399806088,2643.5230887107464,2652.0575110705377,2647.5319619642,2626.385682639629,2657.4002554431167,2777.004544409446,2915.087236074514,2956.0397858320257,2875.644657610229,2762.8652332079546,2688.3691494284467,2653.0996780179435,2651.117275297133,2652.9430801627295,2592.139784889126,2459.078169946995,2311.69633288747
