system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
000000000000000001ce,497.64918922605455,1094.6358105698914,1137.549760263388,914.0018580259944,893.6045376936374,626.7118253199818,802.2828157673857,895.3534763086066,567.9349912406702,654.7538435549043,795.962300305904,916.6582165759725,1180.8849096843048,619.4747892521464,713.0528144141427,941.1170217679878,708.258288248057,717.2236821420745,827.0716080915457,1073.7214881733003,717.0321746918282,840.6025192436639,705.7507335322001,799.8396336649012,1086.4956916657322,1176.567869588901,1125.4954861628755,738.2649051795682,983.4852805754768,660.9849526266506,845.2902827370215,779.8776673205596,737.3019522906188,876.4662783513947,1026.6162592502474,717.0678870688956,853.6035897565571,868.6180912532338,752.6283467869621,1022.9750686951248,934.7010020379471,809.8291536118445,894.7089732190315,720.4380565529419,758.9626169972188,959.2702538054605,827.881920824398,889.3314872577172,912.9639248417404,992.3729795441153,784.7238075514089,684.254438742286,972.6019541973704,1003.214820858487,759.6126859444279,986.1797598070948,891.5833936891252,785.5212717535209,1015.7725401151833,730.6094225913964,748.401592624608,755.9151680228223,876.9090588512518,899.033232492301,1004.745504011314,1151.9660764630605,775.0759688996459,1035.3077389842538,837.0081066307899,850.0678694457408,856.6861210103128,1014.9177502461824,828.4433402575387,889.8833213974559,674.7495642855249,935.8794769616709,756.0717597721995,665.8455136389055,1016.6263836318567,854.8904829144223,797.9143181556034,826.2530975452775,760.1404074361581,808.8325516102753,1062.41158284773,900.090251001914,924.6959003232216,1007.2564114902469,830.4373755764187,760.4343929387178,885.6545442772401,654.0194182850763,1061.4470776803767,657.4600504049753,803.453220979886,786.6788040272661,909.9980760669571,970.4105347039249,884.6066424632232,1084.8794125938737,998.9461199445777,786.8623757838352,809.0878984533208,866.1073409039271,1141.6490183699545,1197.010184333629,901.0770747712136,1052.98803768479,687.0656117963949,919.2355486538512,914.5599994191238,745.0882201691211,799.6303514266748,823.9516046877023,1197.1689820869638,972.1347171629878,1147.0789568328937,937.8925692335191,804.6598879596597,1311.4474986856762,760.650583049766,860.3363783152568,960.1680084847765,729.3220270182453,929.1882845938493,718.2463993880002,889.0953847534922,649.461961127311,861.0322665053584,,State,IND,IND.2_1,IN.AP,India,Andhra Pradesh,,State,,
000000000000000001cf,2739.9048961694907,2812.540949254692,2754.9262349911533,2821.8654536049817,2790.1911138063024,2794.9636082988022,2801.607695758665,2815.482905316882,2836.8426129568907,2757.6975765535653,2516.8244625317298,2877.9229273805718,2724.577541609912,2737.853173757241,2449.5876844128256,2600.599321149446,2589.5836578864914,2685.8423757209002,2726.44361752251,2957.764270300874,3321.6867604699005,2949.5537345728435,3284.6449421710686,2415.4378252749325,2800.5059293083787,2751.828524029232,2545.3566598584207,3231.9320459152427,2696.383120836651,2397.2961999287513,3321.0189108911727,2445.505287520347,2410.593944879336,2630.621911948431,2797.477524282072,2324.1717498195903,2971.187212696326,3151.162302253655,2870.5776897317664,2837.211386283816,3085.014872720892,3292.2325620563497,2347.5764368127793,3065.486041395261,2861.764305172983,2974.410749071925,2264.3284124057177,3659.211735823276,2579.1745596668093,2528.764273721083,2582.6926043013823,2527.6764996216825,2771.268300883076,2616.367126769483,2431.81117787227,2552.306904384921,2832.8432635187037,3798.136588934312,3197.996441073369,2695.317920933951,2574.7510522496586,2743.1080466739786,2801.222982723575,3108.7212747934864,2907.013975418081,2801.9153498263013,2753.3873160738017,3202.6414310517284,2852.404689901066,2461.757845781222,2450.1383191746654,2915.5562191232266,2626.768684009396,3014.4158432291556,2728.0318162805725,2790.536802027925,2307.745434272544,2573.9635524424953,2757.243693568464,3163.4796671404124,2780.4550156522687,2618.2442239440425,2859.817152170532,3632.014974753778,2664.960030301423,2403.787470567869,3005.2157407889913,2339.666700734375,2700.865873835437,2836.189208961479,2693.4354015078316,2503.417285200653,2732.4211662995835,3119.0124097181833,3134.1793271150195,2448.45635591792,3022.6085863823346,3063.559064608135,2772.1997535856412,3048.306144514748,3121.8361342992534,2127.833984337666,3018.7471345130043,2474.617173711637,2814.955174925275,2872.5644192444547,2552.405132818107,3401.999679169202,2668.319150724453,2717.0276471089023,2665.6172007686855,2620.431201300401,2704.186481219227,2957.693747565682,2623.7806037937166,2636.6282175596343,2831.745017454333,2745.829082634114,2463.4185951677423,3051.415882030203,2554.960072918914,2872.6993567988848,2466.4085441953225,2483.80290267565,2760.087511857194,2576.677246739863,2891.060099314716,2532.5258002428955,2558.1587762400204,,State,IND,IND.3_1,IN.AR,India,Arunachal Pradesh,,State,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency,
000000000000000001d0,2009.8268201429153,2779.2283387080197,2485.9456902318598,2577.543651166356,2413.9297954348344,2104.117383935494,2477.126957531794,2266.2864121589832,2779.3148872132206,2230.691869404088,2281.1433578113256,2701.9024195637307,2385.061600022947,2566.8548284027156,2518.7295740737513,2382.795604721493,2363.982119834577,2192.0279366557165,2216.313948296132,2542.9629829821324,2817.81257148706,2523.7769373001806,2585.5585284324516,2211.1621213429257,2723.9826226308383,2428.201731816209,2413.9559364673337,2710.6059589078263,2242.0595412951293,2431.1867302742944,2828.989296933871,2136.114357562082,2390.6741636064526,2488.3655849491965,2454.3553682750885,2367.5525585586643,2684.8311186176456,2533.360599089397,2810.049448546824,2432.755805477164,2582.0477853256407,2678.964562592301,2169.8281763802697,2796.876640385977,2522.9302407277,2432.0411864568077,2189.290766639009,2529.656575478663,2260.7821194710714,2288.986698953582,2460.3946092397177,2456.24881606936,2563.273176799105,2435.111401421166,2523.8852618173937,2457.881968061206,2578.7025384240405,2914.9534200022017,2701.427069197853,2393.8330341815767,2382.239405425351,2651.364201367578,2447.351228140276,2564.1609955018475,2575.612623659289,2576.249184903287,2368.132971553648,2576.08317219647,2628.0352544688008,2253.7915119987265,2285.6377663525545,2162.2266472854585,2320.8069743816886,2738.5374479306674,2376.491152257554,2604.816499610785,2087.795727262003,2417.5021721321364,2243.048524271257,2662.6379367331424,2276.567560726807,2306.4676521410124,2558.5304790555724,3128.2770798483803,2270.1144343668143,2299.6732338023603,2917.3434024536273,2158.404863905033,2281.1383127486693,2525.755088911313,2258.619811077647,2334.15455321127,2611.422809147631,2702.160453980618,2621.1248024406655,2215.294494951508,2643.9056725075197,3077.8514571797227,2619.5622540376175,2711.6892264133517,2566.0533396302844,2082.9871661243897,2804.4435110825852,2381.1107546176117,2393.426561575205,2344.558155326672,2066.991394186348,2687.53727777991,2488.4417692897323,2490.675158867256,2104.7384692936084,2119.255247163728,2322.785910271492,2846.023843047374,2357.547252529441,1848.325115475723,2605.2520401180736,2308.730238146035,1924.9338542432045,2798.766102928445,1974.5286216233749,2602.0062523640663,1787.4182860845285,1959.1010450326983,2305.481053440946,2120.5662611526054,2448.146788578757,2002.2913296586476,2320.153383137784,,State,IND,IND.4_1,IN.AS,India,Assam,,State,,
000000000000000001d1,1144.9564490456755,1302.520089742088,1581.8525356099137,1523.2562002092502,1128.8542444971074,1047.4384448425246,1428.2712091292922,1509.4254974028638,1578.756893815148,1251.6745522034194,964.5351390453767,1195.0489359909413,969.3102527814209,1248.321372081834,1486.4509752418953,1239.7525607077794,1118.7245752661322,723.6614981223019,1392.2392984466524,1362.9862014288578,1452.4989603403335,1134.6566710317916,1527.0547522404142,1082.9871705349021,1329.0037072014982,1494.6910928456134,1303.0379136244565,1422.4159069073985,1254.1620606005902,1131.6680409557052,1306.2893725101098,1474.3768773518589,983.9628525316979,1459.6160400079652,1196.172850979413,1122.6631060222244,1085.1909556309208,1254.1355210788436,1364.7408245481906,1096.5878712965239,1147.9008680449151,927.1776502106953,1384.5046472220629,1219.7061125227415,1243.3753101779682,1556.0175884933622,1306.1666210273845,1508.4747749984376,1258.1046476122008,1067.974991968938,1236.8684941255287,1257.6701481978762,1169.2396884246004,1217.4451631288111,1204.8062760820471,1371.9527231641655,1089.587322598544,1301.1744350434126,1466.556470471149,1147.6395626670535,930.724022710938,1227.2079184834508,1410.8705641773004,1064.3214356631393,1279.6699300541318,1494.8012658259925,980.7992470488414,1195.697065666528,1177.207978371868,1221.1042977135871,1254.7549400681878,1165.8080891776308,1313.7165448874282,1206.9713516246397,1023.3567150418446,776.6833500970487,999.3314456284279,1135.3252090398016,1331.057947040264,1081.4207022425942,1559.4770319740182,790.0674808074716,1271.0656160476594,1270.440975573407,1098.3195499042156,1140.0274759819433,1242.1962820159729,1314.9820540897258,1059.172248223894,1246.4141156281325,1282.0142680716647,884.6574149793694,1098.6397768723045,1512.0428216528537,1610.380653712869,1322.9176061718765,1729.6098543335033,1275.55586092354,1205.3845209878675,1247.365652894213,1100.811515431528,905.1432819967772,1273.3023620292724,1057.8887778644585,1223.3537900967924,1219.8579517904857,1354.525185862238,1468.9042195822958,1460.62624127729,1293.2996721675481,1378.2800783062876,1190.1645248515126,1242.7415705507112,1212.5476778076397,984.4162768942708,1090.814581425518,1514.0043236207075,1323.3023905051605,855.6633650678101,941.401577205121,1276.5236855720507,940.4930083321202,994.9264088963007,1095.8343087520395,872.881297388782,1091.9670738876412,959.6655248294052,741.6917406119757,1018.01500135757,,State,IND,IND.5_1,IN.BR,India,Bihar,,State,,
000000000000000001d3,1371.0946841390291,1396.6309323744488,1579.7827268639028,1559.1213643557812,1209.2677637810064,1362.589768577072,1412.7868410493402,1492.8776687785842,932.2919751030902,1407.1745074121632,1305.0568937109138,1062.9873372757231,1391.11800918687,1438.4488354076789,1266.7184473061996,1442.9741392204644,1396.6835108772177,1471.9616727910702,1322.90569709329,1467.9765135446653,1488.4372175416468,1287.916845543669,1217.5128811322786,1484.5570875466667,1441.1349055858907,1441.6779227783245,1788.3192517177179,1377.4506423928606,1785.5401981911414,1104.8115115062158,1376.4139803724468,1368.5199556472107,1306.6866048731454,1307.3503734151577,1690.3534523503467,1587.234197384089,1496.2764897656343,1264.948485708582,1580.8414994904817,1338.5007751271871,1481.5529924578848,1373.6705322125972,1653.4705240694134,1522.4958493122988,1315.6793397382444,1823.0546696855947,1589.7013069074758,1559.5796295249809,1466.9038759563712,1442.2419870016188,1009.4499168621339,1558.4275060809687,1604.3734328732314,1723.955920452305,1558.5408608458565,1570.4894921115294,1563.5473930726419,1472.0238522308139,1481.5697960371538,1296.059622291916,1368.4140076475799,1357.205441355021,1387.3639245706522,1185.3192524032781,1443.0930492078332,1562.1170680957543,1217.3461946067994,1489.5343320011664,1532.405278072648,1378.1203085844359,1931.9715383047067,1147.6151381084055,1365.2219045169145,1465.2514343134762,930.0526681613259,1067.5509461144936,1483.6565405327265,1166.011094925913,1255.9080471537436,1476.5393380113444,1576.258863069976,1284.075160374329,1508.5808838535559,1022.6827324942547,1601.9063632595962,1310.6554226026683,1440.3659947245592,1500.7561155890985,1029.3234985171287,1577.7855268078956,1305.0398254204101,1278.9576441978038,1437.8479374007097,1342.4143894765907,1402.7259471273444,1493.6822794273041,1155.633245231843,1204.108406014208,1292.135803979311,1735.4626008336936,1281.8152306059435,1101.0569411072336,1282.2523346163084,1765.253037421991,1389.1642330470245,1164.5577098371305,1407.4353640310592,1360.6121016106513,1362.408888761211,1140.189599307982,1437.2143303112357,1020.0127599925503,1569.0668051519945,1342.7490737753803,1500.269079685568,1315.5004320462833,1407.7092341867294,1317.431346079208,1186.572195207827,1397.1908983388803,1481.6494866252217,1576.8519888434396,1610.9484536954665,1384.2318567386608,1366.3255293236975,1497.4485117243153,1241.9712876195233,1238.873301870325,1509.393087587516,,State,IND,IND.7_1,IN.CT,India,Chhattisgarh,,State,,
000000000000000001d6,2274.7593135198963,4079.2882778451853,2807.4565460640356,2588.840421794522,2515.922485738473,2582.4339661515073,3279.682546963215,3326.1648283896466,1985.9308813128343,2992.1241513114724,3008.2235072599915,3346.1655439809083,2924.903756747722,2998.3416243128463,1946.964277312797,2511.0157710587737,2954.6589624371654,3204.5981542040163,2724.8757960686776,2586.4321147840105,2354.0122788031767,3246.1560551904836,2616.437128178858,3666.578834787602,2658.613020859128,3426.930637172209,3192.961106966868,2258.4506525441698,2716.42739931037,2285.5327760723612,2672.703104880646,2994.667859254284,3254.5874570916076,2891.6173441988158,2861.066177392346,2747.737455969567,2743.641225872251,3141.1700491686065,3285.1457629800784,2754.4051784509334,3677.0039263693548,3242.875754282327,3720.7573946364896,3002.784405062958,2274.4836554429044,2775.233307126585,2939.5624854908506,2761.5381718316657,2706.402819843564,3233.598165617881,2236.7274131230806,3359.183363538158,3233.3453237590993,2758.59889494447,3131.3397628856724,3296.6258092236408,2798.030151754098,3229.7153258406793,2912.7759402315887,3280.243968836668,3011.274124459873,2802.580943644141,3689.0819753414103,3457.25617993048,3449.4473613853875,3568.219453790486,2922.2089806993495,3745.310019709229,3679.5585802081273,3036.968514371409,4741.344151613262,3561.7604415579185,2911.921652332917,3297.7209958229123,2860.8313313286203,3012.0958660143865,3103.3578246489947,2898.218260364564,2984.997300717797,3820.0845676428166,2984.4637619478012,2322.373002090091,3053.815030395701,3779.3388780209984,3879.205430794065,3019.00575916514,3311.071034281832,3204.5014648437495,2619.5335333532457,3057.4585218233087,3670.5691987776718,3616.559935943071,3846.004515827741,2754.3185866850117,3055.177699553041,2175.5187552039483,3007.4888863782685,3495.269798992175,2871.3794577911426,3389.472808112433,2739.102802742113,3212.9408798580503,2995.7670356762583,3344.8847037192945,3603.7984516609295,3361.276232736046,3622.170005060791,3384.496274437278,3735.1267445801554,3543.523341739612,2559.4662184435665,2650.167252191462,2940.8942577041644,2592.1371491881064,3569.254589727677,3291.7708262399715,3925.136373238783,3097.5531058092315,3421.737637237209,3946.547343161896,3238.4416761201833,3026.4850484179997,3183.445353512529,3224.268909291118,2696.1058997684727,3134.6742448277782,2671.724969201912,2572.9717673227638,4189.689021913072,,State,IND,IND.10_1,IN.GA,India,Goa,,State,Gôa,
000000000000000001d7,681.9167205184984,969.6245350758751,864.3054059874133,1206.5365791981123,598.9377568225872,848.4088429509264,749.8357954254894,666.2375984852224,201.58409002029364,796.1061172080321,360.2865671903617,631.0802952402681,689.740944511649,338.1644763362796,542.2979186869555,725.0192467195833,733.565524431837,768.278428746215,766.1779598855512,771.1746459784697,267.2528076121962,869.1671222868458,920.1551993394456,827.3978000083407,389.9585920084332,705.3618928427023,1173.6552762720332,252.56099299384275,725.3382275403385,599.3689045560917,872.130797500866,600.5219058593193,378.0933356863457,606.7467975538143,452.49941529556867,1053.4583687307188,1025.0213334825053,637.3570988071509,558.6771224290129,669.618683695257,722.3579013716549,671.8739586716933,939.7184020258086,666.7177931718301,639.6502559792037,480.0324786405958,872.6891634810886,574.4225273116836,392.95051142992725,595.9003146938619,693.7662182869984,734.3788064798294,720.8332095751217,1015.1201086861975,964.1467726948138,805.5156317551916,669.9607243967245,382.4119047677489,669.5439387640695,802.0909924373684,388.7227236626249,578.8218820514043,864.5518792035534,887.5382375009933,657.8603844001176,1039.6834232847286,525.0011507869921,802.8759915805648,1255.4981937112134,470.69134994774635,816.0002675181739,557.0875043825561,659.7588339505514,695.0933955872985,518.0905167208165,507.3411358261094,794.5363128016356,478.34632952190725,519.2459221835275,1042.6736919325112,680.4046203777131,395.16210224483837,819.6018346853306,312.5939964491325,886.9562557717799,914.1742326464141,903.8914652272745,713.72029138255,936.857208318043,766.1296408450469,880.9718425014619,592.0171035016891,966.7669655922335,699.1382697702355,496.1090444102676,417.1306798797048,299.15251835631045,914.3723321579373,664.26913435121,764.2092476941557,439.9344620161286,744.0845229260581,527.6223004627847,1088.3557192449161,529.2922531664224,720.0433143553878,888.9580816425229,857.9604228024318,505.3765774211785,489.37907068718613,627.9315317306051,460.24422536259095,961.2692848425751,822.6898431302213,1013.4884917341095,1029.7442622014728,1169.1324546203202,773.6180403300668,743.5037486771232,1282.7882769792916,907.5033409250944,551.4479955019463,959.8174657868266,720.673475208047,615.4870397970975,623.5186558244512,910.6142762264041,561.3689343759368,1035.978458247749,,State,IND,IND.11_1,IN.GJ,India,Gujarat,,State,Goudjerate|Gujerat|Gujerate,
000000000000000001d8,672.4899153453262,646.2194907340275,701.8689703028084,954.9488132001258,437.10957567491874,404.8362256366016,412.1293148349638,401.6810637464272,223.8728859526335,775.4509515553402,414.1949139416384,425.78562336346937,459.61545981419823,540.9165980636295,341.0859839650778,611.9369745448557,475.35099052024844,713.2282022085017,772.7993472260548,613.9116401239628,523.2273010909647,540.8371799634531,501.75411512533884,670.907954848447,430.4750418468695,644.284756990106,1003.1090225156535,259.96804817767065,562.8520086160349,389.94211618895,442.42121139974205,553.4143623712431,615.8114748229484,675.2205897881255,565.9786331848064,623.7545431718755,509.1594410541356,413.3603706128614,328.8667211933844,532.1856010725043,517.2272053198772,490.16627999192326,854.0111140839645,533.5799835335129,595.1732134232036,562.2758219520709,528.3634971608118,302.55219102070373,329.0890154077556,430.7171498960281,408.1693397514189,869.8499056158585,446.36800466672224,514.3106444228144,691.5211317880793,481.28166084342206,527.5594261924547,627.4256694389128,553.2658449240173,603.7877035894842,353.40351166601226,527.3064732060168,563.9347996357703,543.9165583583575,708.0816562067135,687.6685960848758,653.594411607393,683.2683082142337,504.8212958387907,720.4309195613567,621.9500217491551,550.6088795147626,562.150913103668,737.5958902619908,400.23399392499994,559.2774441790433,689.3810220792453,466.43767527779505,505.4734957297591,549.1252943432407,642.2495640699235,517.3926346349972,538.6626731873016,412.88121716846365,712.9437473426024,702.5724065029764,781.1083359113578,707.3356372715792,355.4890476861254,530.2827174831973,540.2189638245316,560.3667311998383,762.6197236296181,498.21127551592633,592.548694797198,441.8518355957822,249.56828571088565,858.2705342765759,386.36726653321904,642.0325252669646,396.4900124718551,451.75617967677374,576.3636044384973,617.5080738950267,857.6456361526444,690.5428973658662,703.8504218485066,744.36884219895,360.3657496295323,389.5981179961964,570.1377655005483,354.1555705832073,796.0365736221652,483.8828214129425,595.3513511812034,401.5521260062283,579.6708461540985,813.9081142739892,438.899207987796,826.0226022111187,643.4667719879983,482.8905353870121,786.8653202641873,340.59759981693327,569.2696469094413,506.2090032064759,498.03612919218943,553.7392287657588,533.5930180909945,,State,IND,IND.12_1,IN.HR,India,Haryana,,State,,
000000000000000001da,574.491243856234,615.7303359109491,613.3087414562856,722.968636905788,598.7339857884865,534.113554716991,669.9389452504041,513.9861984523907,510.2830518299834,696.2338901905414,578.7812498583276,474.2098674737341,701.0542765451395,581.6579246089976,696.6596471552756,651.2431787188629,637.6748160416596,701.5366754126528,691.6975441161775,679.7868522066985,730.8897986143227,564.7939259072018,585.8441303567162,863.1636657907617,524.5248388167782,572.0841416398979,753.9804545254739,533.7714663623742,648.9225051796953,557.3089289271369,621.0517139016979,551.9285601893499,684.2353322888719,678.254806398706,581.0355453442105,604.1004727990947,529.0586323596355,716.0395099792385,643.0664003615935,690.1742337022199,567.5054225761135,556.6661858048183,723.5476072827487,472.34479681636367,618.0513970621328,670.8338684291539,574.0294252460053,630.3090677802626,594.359161645976,528.2878451630036,582.3383278362638,768.9477403899039,703.0667351860045,609.2845777128907,529.6214587428094,551.120517694067,574.9394455552566,738.2471883130502,552.4411630499777,813.7524506944297,501.3686311872795,554.4608357963208,628.8697682456808,679.8077206769055,689.2311641426409,765.3912540534086,1046.258362932508,694.5815258058402,809.5392739899586,437.8971191142181,647.0708437522671,548.1580203702565,547.6975516981055,592.3193046677305,548.8146339138794,728.6075376069734,536.3895122766044,595.8402504874241,557.2165037559207,422.18779919717014,404.833434632292,733.3961347490069,737.4385473972388,492.99162917823855,863.9378349283465,654.212196549239,589.1299456610265,640.947636335809,612.6892389781834,504.78122082858226,647.5460698362646,849.8281061506614,792.7542822274206,564.8055161388862,560.3416079375027,777.3476462161753,605.6271871656021,1014.9768093509502,623.6703401232602,816.1478382923617,652.2437626700761,876.6893796024866,709.1432758349574,893.1664446033521,945.6457467916302,1033.6434746064097,835.3193700701788,673.9371748115844,455.48814644062986,466.07390412336093,490.29070084032077,520.0670752004628,756.3070690353895,551.3070107995815,585.2666581044227,752.9463340979514,504.82632868678263,622.5463251663712,484.3009758811266,711.6495063321438,580.7577720931798,528.098902594645,689.1063458910372,759.3125633504724,928.2490184478672,443.8874367824887,666.947438768299,578.9919263488674,757.5695912331429,,State,IND,IND.14_1,IN.JK,India,Jammu and Kashmir,,State,,
000000000000000001db,1321.0959511944557,1252.0835793803162,1636.3419207186691,1533.9192911340501,1037.4100930551479,1208.4219556793093,1423.565572189421,1371.1151469020417,1341.9397290868314,1362.1945406715927,1269.9666540395185,1193.876741728149,1143.9963512583604,1455.6306065069239,1355.8985619179,1331.6755495270977,1482.211911018236,1200.9494731064292,1457.4038283582383,1308.0414359697777,1448.0992640263428,1127.6940932134492,1579.5910379456557,1208.8366617412082,1101.421244195717,1373.7488334771608,1710.1255101653226,1184.8860501816525,1631.5214532568016,1437.2875686090806,1239.1604373419004,1478.2692347953362,1411.6679415416327,1428.4781212514604,1362.7058808267107,1467.1270938704522,1272.1918929816732,1373.7954127086177,1598.2118257408654,1433.1629901023175,1309.509670687053,1178.8805237713636,1505.2874585194847,1207.581224798904,1163.865316781222,1643.6797722706985,1458.4452030944135,1253.600035907528,1521.0326550224988,1233.0736336835557,1479.6260211476558,1585.1512119807394,1560.7577549017785,1388.4379238302697,1294.9223425477478,1559.7846535834447,1226.4414642767813,1416.1686799380325,1459.9320287284545,1390.254652723619,1110.1629016476816,1375.9798407176424,1483.2787938959957,1037.263446994301,1074.251756227456,1541.3315088696233,1145.3797446531921,1173.0938166381202,1495.4470980912965,1278.1753581734063,1563.3612564243672,1075.3947542876735,1304.7945742420898,1260.1981565850117,1051.508650453519,903.4969575502013,1224.1794330506805,1276.9491480141583,1197.3636129248046,1256.0058893215144,1842.8257979457353,1124.2827747114457,1552.5786032195579,1184.485230148752,1391.095771606145,1258.4907994257287,1597.5451713673626,1593.785859664817,930.0578445002313,1329.1131185444726,1231.894355632743,1080.6022677219523,1243.6438900335763,1497.1120600190895,1273.911386094359,1350.773278750749,1406.885814095024,1283.8890968896185,1250.2895424316923,1639.2322028527133,1412.885785695975,1006.168003161575,1300.2700144075138,1519.7074010815418,1542.98602584359,1357.4298113457799,1551.8237057430827,1662.7746881580836,1735.435199571428,1280.0745619875163,1242.5066904842047,1137.9104189179852,1275.9957208214157,1223.700392900386,1030.7210081445567,1452.0357128582816,1445.5778611856647,1366.3971726107236,1095.2206584585642,886.818848452149,1633.7885797414906,1278.8507689606333,1488.233313607689,1095.2826766553458,1199.9949512265953,1305.1303530223954,1434.2895272019312,1183.4933123172761,1330.1196316823973,,State,IND,IND.15_1,IN.JH,India,Jharkhand,,State,Vananchal,
