CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,State,IND,IND.2_1,IN.AP,India,Andhra Pradesh,,State,,872.8845156468628,30.46433747892081,0.4316339799588196,0.01106670054368486,5.884448938475581
,State,IND,IND.3_1,IN.AR,India,Arunachal Pradesh,,State,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency,2793.6945498525856,3811.170667258716,-0.5280514837851626,0.003737800384153167,-2.2492840734413906
,State,IND,IND.4_1,IN.AS,India,Assam,,State,,2480.510455303794,5386.037792371264,-1.501163611162367,0.044385240006705184,-7.201681788776955
,State,IND,IND.5_1,IN.BR,India,Bihar,,State,,1230.4856113304436,3150.8749551441806,-0.9911688565994277,0.030914590878960868,-9.585572789250357
,State,IND,IND.7_1,IN.CT,India,Chhattisgarh,,State,,1403.3394542164688,2707.7744869885955,-0.666651555784566,0.015768789508750602,-5.6530538566420345
,State,IND,IND.10_1,IN.GA,India,Goa,,State,Gôa,3097.5569811092823,-4139.715596566342,3.697111669291891,0.07825069526105999,14.203331571585165
,State,IND,IND.11_1,IN.GJ,India,Gujarat,,State,Goudjerate|Gujerat|Gujerate,687.9826393429279,-1674.1677769158812,1.2167511970021632,0.03660793277548724,21.046082293812727
,State,IND,IND.12_1,IN.HR,India,Haryana,,State,,558.3317554465589,-151.74903730512608,0.3629977500279548,0.007669185230090969,7.7367500293400795
,State,IND,IND.14_1,IN.JK,India,Jammu and Kashmir,,State,,649.4868699446655,-235.08357736833227,0.4494771980833161,0.014480908523711644,8.235391513991905
,State,IND,IND.15_1,IN.JH,India,Jharkhand,,State,Vananchal,1351.6373265101386,2339.443483157509,-0.5107356124398904,0.008950999733427056,-4.496586228294803
,State,IND,IND.16_1,IN.KA,India,Karnataka,,State,Maisur|Mysore,1167.5428215552447,851.4123937618681,0.15679363264232693,0.0013402597046118236,1.5980948998155478
,State,IND,IND.17_1,IN.KL,India,Kerala,,State,,2903.952172485216,7445.102866677282,-2.3279958263207314,0.047367350751389314,-9.53980943477737
,State,IND,IND.19_1,IN.MP,India,Madhya Pradesh,,State,,1073.1612648618366,982.3684876384631,0.04451811577979139,7.374650064129185e-05,0.4936495521460345
,State,IND,IND.20_1,IN.MH,India,Maharashtra,,State,,1183.2747586140674,-951.4911531329692,1.0922983069000602,0.046409757683258834,10.98506475988322
,State,IND,IND.21_1,IN.MN,India,Manipur,,State,,2199.818739760543,3292.8303454956813,-0.5710278358132377,0.007431255560101047,-3.088995981058517
,State,IND,IND.22_1,IN.ML,India,Meghalaya,,State,,3841.964790400202,5075.036884977072,-0.6564646628599389,0.0014258925150395507,-2.033316262437568
,State,IND,IND.23_1,IN.MZ,India,Mizoram,,State,,2802.5794062181712,54.535737541915296,1.3986483037613366,0.02256370117844919,5.938784384781936
,State,IND,IND.24_1,IN.NL,India,Nagaland,,State,,2438.8898521800675,3478.9245768258615,-0.5429844640878341,0.005185884458929979,-2.649367340993045
,State,IND,IND.26_1,IN.OR,India,Odisha,,State,,1471.0252153893227,1519.5674990192347,-0.02321816605657846,2.1788505419673143e-05,-0.187825588020365
,State,IND,IND.28_1,IN.PB,India,Punjab,,State,,626.821992239767,-267.2213132057839,0.45551908109331124,0.011274169459618566,8.64787313163851
,State,IND,IND.29_1,IN.RJ,India,Rajasthan,,State,Greater Rajasthan|Rajputana,441.489358795172,-35.94407137209174,0.24500259009423675,0.0046352881649186495,6.6038529899744915
,State,IND,IND.30_1,IN.SK,India,Sikkim,,State,,1807.4853243966552,4790.686540714826,-1.5328427654103984,0.04133896162321238,-10.091826839298179
,State,IND,IND.31_1,IN.TN,India,Tamil Nadu,,State,Madras|Tamilnad,964.0515316501584,1569.4921456609752,-0.30826758929852177,0.005377396928694433,-3.8051745080195745
,State,IND,IND.32_1,IN.TG,India,Telangana,,State,,924.3650655225581,640.2184613485504,0.1402039214581366,0.0007773746424496464,1.8049434445130588
,State,IND,IND.33_1,IN.TR,India,Tripura,,State,,2328.3550671521507,1453.688252669527,0.4414492683600516,0.0017671438627384628,2.256204978182278
,State,IND,IND.34_1,IN.UP,India,Uttar Pradesh,,State,United Provinces,985.8126324936013,1179.7846593554596,-0.10414380650800494,0.0004921222406397696,-1.2571469025614286
,State,IND,IND.35_1,IN.UT,India,Uttarakhand,,State,Uttarakhand,1566.6506398314316,2867.3290316782395,-0.6698206522659802,0.011365584302349241,-5.087838704628375
,State,IND,IND.36_1,IN.WB,India,West Bengal,,State,Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental,1795.4327049444555,1410.8101800109166,0.19263639238329108,0.001147343328164241,1.276780278674985
,Union Territory,IND,IND.1_1,IN.AN,India,Andaman and Nicobar,,Union Territor,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare,2861.7566951415233,3398.943232046032,-0.26899927697929416,0.00066756914519428,-1.1185756642024018
,Union Territory,IND,IND.6_1,IN.CH,India,Chandigarh,,Union Territor,,1003.4991057332355,1313.0402574738603,-0.16712541687507265,0.0006288688533067077,-1.981857731064141
,Union Territory,IND,IND.8_1,IN.DN,India,Dadra and Nagar Haveli,,Union Territor,DAdra et Nagar Haveli|Dadra e Nagar Haveli,2281.569782645816,-5624.366554343564,4.06126998179881,0.10190532797747653,21.1823951873
,Union Territory,IND,IND.9_1,IN.DD,India,Daman and Diu,,Union Territor,,1573.4030768403557,-5718.077360522055,3.748026788198894,0.09577138782697359,28.347166365743863
,Union Territory,IND,IND.13_1,IN.HP,India,Himachal Pradesh,,Union Territor,,1403.8932289340414,900.4047533297162,0.25120458593460077,0.0012725455301395572,2.1293176083565224
,Union Territory,IND,IND.18_1,IN.LD,India,Lakshadweep,,Union Territor,Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi,1522.1509420776367,1193.3110102936162,0.16503541004010888,0.00030457738919509314,1.290227746268495
,Union Territory,IND,IND.25_1,IN.DL,India,NCT of Delhi,,Union Territor,,544.4632290113733,-1273.57570197754,0.9301382433686199,0.027393678193958215,20.329463049662376
