system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
000000000000000001f4,1374.013570953288,1434.3074598300827,1152.2497462020074,1415.5631057373223,1424.9875061316154,1178.290392421596,1531.9047832632286,1316.801438808788,1483.148028163665,1513.8397347533678,1283.6336272978915,1270.1636848126193,1667.9523805692693,1357.7032404151587,1262.523492649042,1167.9158414374374,1291.8101452290653,1217.3020918420707,1140.4762654435067,1407.1142567180973,1330.2384984742248,1373.4410628440567,1436.147550826446,1498.7174174015536,1428.4409765341045,1527.0937116367347,1188.1303031668124,1505.8274357035227,1108.376344281939,1519.4555086395137,1066.4910595992997,1270.4444746604868,1415.785091206962,1614.2314555762264,1349.5961711154252,1250.1140376008511,1479.0524894949133,1711.34614390324,1472.3392610542996,1616.0793567358912,1468.894306512846,1314.5761944581554,1055.8319997045703,1382.2728565790069,1212.0973115278148,1307.4443006799734,1420.8995445183068,1431.1703458822524,1306.9951034483045,1312.5009877431587,1203.288135096904,1211.0143489259942,1387.1541820957787,1326.3167121652427,1375.2196402673371,1600.2382463769934,1614.5556528818415,1561.8860044597222,1219.3026053241704,1449.2299548390129,1531.6030984503725,1088.3104390171384,1154.842577509768,1471.5167919294809,1225.212972305923,1365.869340841609,1367.4889277316538,1651.2027844631677,1398.520821625192,1789.801715426564,1297.2325554809129,1241.1191503711032,1349.2264560914832,1426.444735276315,1499.271184212768,1550.2148677381324,1309.6586856976066,1364.1173499744914,1101.8290258416373,1298.4578881528323,1080.370941494867,1361.1517228537157,1288.1930502061264,1499.585806437835,1146.31977344732,1288.3411911228884,1525.5636382975301,1384.1377993103724,1469.629008384429,1557.1425467126735,1402.5173101737132,1693.4411143105806,1375.0697925550064,1299.9944362765166,1415.8532166606956,1530.8447288400419,1304.2414104146476,1592.7817159790895,1342.8474242069658,1343.424282923431,1281.6976556465995,1257.150517915911,1430.594003871939,1667.6787972770305,1443.3515670846618,1498.1976602016825,1426.2359681255398,1609.2304364503195,1446.2794609615178,1507.010403070434,1187.8225081240203,1666.7482755460896,1189.9521758567344,1331.5810828609851,1316.8074064409584,1452.9048122796999,1262.9067868490847,1508.7127805339644,1776.7852591534693,1107.0390782357417,1282.201112466659,1436.740236622963,1412.415513323559,1555.3541360332395,1698.932842604959,1341.0358837618505,1386.99452313367,1451.75992351483,1469.1463533128351,,County,IRL,IRL.4_1,IE.CK,Ireland,Cork,,Traditional County,Corcaigh,
000000000000000001f7,1218.332262692156,1273.7809607869842,1129.3475853322782,1317.7120272725815,1144.6389681188075,1217.3397944089143,1420.4260655307014,1252.735839556779,1282.3720092594083,1388.5558909489905,1217.7992396056216,1105.7412142735386,1495.8965698206318,1250.2894135732145,1090.7216399599447,1287.2026775045115,1309.5407549117965,1290.4151018374184,1184.5853020564061,1383.754478972483,1208.1116244046787,1359.5737300382934,1337.790525065917,1347.1053883981047,1291.4006902945243,1469.7911794854722,1251.754942825322,1394.3046145914166,1168.8237525117145,1360.296951334301,1187.6663173033219,1219.0616405754977,1438.4379743272827,1521.4680419347935,1258.3205337367478,1245.5421332158378,1337.07106725181,1511.7077251818826,1295.8198114485378,1412.0687152549795,1297.72631900506,1192.578620957726,1017.9665271042727,1279.8884806805347,1295.425031753347,1299.7876292589376,1238.6759241077784,1494.0572634956748,1203.0476991808698,1236.0457162646874,1119.8657395516707,1290.1053598624205,1329.165533244592,1264.5191897365094,1254.39039553077,1306.5964510074407,1347.3170311653435,1370.9078127367513,1297.3431883617743,1429.9828118327925,1352.7637341656548,1053.9322483220803,1125.3035141829707,1554.6776228150027,1128.1124180769382,1269.5999564664912,1228.8089848736122,1324.7963620033681,1291.6804112410011,1442.08330866578,1333.1048184377184,1188.837106924985,1142.3378704114764,1246.7295573837366,1288.617705841468,1300.5863622889042,1266.7892492284784,1315.4034954724577,1076.738565548637,1249.4965289416052,968.5042992927312,1165.170017741268,1169.1686422351945,1305.9378985310532,1112.999236585251,1157.670890958317,1308.709447079955,1170.0492320546955,1320.9467844821552,1358.6005019087881,1275.2479500222687,1415.929993285595,1265.0423792397107,1216.9065539023472,1326.8250081715012,1517.7071348824227,1065.2696155298122,1417.0837556590693,1327.481147920809,1402.6438573522846,1232.7822774460556,1384.746889395186,1273.4348948050206,1511.7429853154044,1232.9072778585762,1106.0884559579783,1247.0595669585257,1448.637514592478,1458.669826421253,1380.096925567887,1011.9879505876019,1488.3372967025305,1057.3802918000604,1208.3035194201925,1174.3554937882247,1362.3721137706793,1207.6706990284883,1512.5210225668302,1493.8701721424572,1012.1715869169323,1395.064669016912,1308.058388709181,1160.5547733581525,1387.156015150063,1617.7114482726063,1203.8607460938936,1303.6989551670863,1228.3231255696376,1448.312034999277,,County,IRL,IRL.7_1,IE.GY,Ireland,Galway,,Traditional County,Gaillimh,
000000000000000001fd,1107.245131960878,1153.3987316168523,960.1570644774376,1193.64365767905,1093.8778117537333,1023.99320888915,1342.9499004358736,1126.6996731791096,1193.825393529024,1314.6217237712603,1040.5016678721745,1000.0176134122687,1433.6678119833537,1104.1898098809754,966.2599724945026,1077.3078942516534,1147.9950556458277,1081.2054911042314,980.915258594898,1217.5099810630618,1081.7444484177795,1201.4144688101064,1221.945270459187,1260.6363896835558,1152.2661078784147,1280.0704032507508,984.1057791175683,1289.8852514580901,923.3040809050965,1257.2224857230074,939.3989028191995,1043.0058328251291,1256.0570782546679,1362.6463023669824,1120.1915882580176,1069.1907264213507,1246.4092556648727,1453.293967261519,1229.7541950484365,1364.302557010044,1154.250191547399,1041.8704466760405,822.1537183917245,1115.6346313138886,1097.9687803909492,1133.1875054028353,1131.1256185402347,1303.983089125173,1067.7432602160864,1033.9363618589534,1017.0359491160962,1060.4304327113994,1115.0462746943347,1139.2787117648093,1047.198298157498,1311.890304037809,1260.7444089095457,1245.760785410183,1066.5593815087282,1153.8784886277067,1223.4845738074591,938.2921019748038,968.9205893784308,1204.115800322009,980.4500287954243,1134.442294932005,1069.3366169065525,1227.3823591683417,1155.3888760008751,1379.980583475833,1042.4213727051456,1070.0998761399983,1018.5151896496532,1100.1814653705264,1194.885967333782,1210.636838963088,1089.962494782887,1098.97344742771,926.6803803292219,1105.6690438720366,849.0592393044119,1106.2922598811106,1114.842481895436,1221.1377402235694,943.9655727106835,976.5941233443685,1136.8064807348396,1094.7604519539352,1270.1454330169972,1190.9923266230116,1116.475299756062,1306.3540254331724,1132.4629534329617,1056.2272246005953,1062.6994903268987,1234.4750992602167,922.1626976087051,1297.247740686187,1025.0462143767422,1187.5039130879636,1039.7151183659935,1092.7064212361147,1133.226061977951,1273.9185212743396,1166.7657918969626,1094.8594615297857,1200.3667020045868,1317.7916906417486,1209.0939774256028,1294.11344240645,896.5343140830307,1248.5917878421346,922.6866378256559,1095.265040396325,1075.0723326539267,1132.8381292783704,1066.7415932725244,1369.5562050213953,1345.3058839747848,857.4167371145752,1086.2440746091047,1255.6992954027273,1080.1241975523128,1316.9640822878846,1352.703094355793,1033.77964459811,1179.677835171648,1088.9823368647617,1273.962807894083,,County,IRL,IRL.13_1,IE.LK,Ireland,Limerick,,Traditional County,Luimneach,
00000000000000000207,1182.6454139311152,1093.1523537999656,884.4221470231513,1127.6019680528755,1286.5830820841961,1016.5629042047095,1365.4261931760243,1150.7323980982521,1221.6743530518559,1375.709872939022,1056.0372068719214,1147.024758947901,1539.4981434527172,1184.1976656013705,989.5575594001984,943.3680119648517,1112.6976265045535,1049.6997478439148,932.654543895798,1161.4757046986779,1160.5082262644326,1141.499664613042,1162.3802297201503,1112.668639523916,1084.909184773763,1083.8908160719047,941.1758020240139,1170.9422754494542,848.8947302270606,1283.657583581396,803.9746759253813,971.8639582745044,1141.795150818116,1464.40860965836,1043.5359387378617,1007.9134000602016,1256.2107804999291,1519.0344043409964,1420.8269365303008,1467.2126548184926,1303.216190445375,1078.251164141429,847.9988780194019,1094.9577951699378,1000.7025248209635,1090.7705119182785,1180.138746759499,1233.3696950889496,1127.6000073904017,1146.8641109849552,1060.746470256024,982.935881832996,1096.8001576006172,1052.9506140406354,1071.030528179613,1313.191951521908,1351.3699647221702,1295.520230335404,873.8396626667804,1133.302341568422,1229.1316101809582,947.2554640559309,917.8734027908508,1156.5350297675072,1029.1759649682717,1119.537783396771,1158.68116778638,1459.8477658191362,1045.0931109692679,1436.7138225754584,1035.153900269045,1044.0864466165442,1145.6479687058784,1142.0628895587233,1224.799029859673,1336.6923090310459,1106.1140927847132,1173.1332558015265,909.5387693351531,1020.9261682349517,872.8880242650287,1167.6907764113093,1016.1865009476383,1169.5094452517098,920.8023236133008,995.8644798309448,1289.3340090096713,1168.9214267960515,1164.5720518793928,1253.8234268862561,1148.8374060205665,1333.9289392678136,1096.8510385536285,1110.8174953843695,1190.0245829509445,1222.910249273461,1093.1644038311451,1249.4802264477833,1003.3993835449219,1030.2197782217738,982.6342824912934,983.1065472828815,1237.5556924965488,1303.7624793608024,1122.1179553418754,1290.1322396519672,1201.131012453133,1289.3923391319183,984.5356441635683,1199.2472286607367,1027.3384341810602,1400.7568079936937,975.3848231671805,1047.1507115498125,1048.2879832930355,1232.6466989785315,1028.985915402332,1143.870736608544,1449.852718246031,946.323752958612,880.3586541600974,1183.270960551189,1015.0516737359593,1207.1544645378387,1180.8533273719881,964.7108634121447,1106.9742977647895,1176.8642939678637,1169.599336922887,,County,IRL,IRL.23_1,IE.WD,Ireland,Waterford,,Traditional County,Port Láirge,
000000000000000001f1,940.1232107759167,818.8158514150442,614.1997686182611,905.8687103988893,1107.2040617185733,975.6896534483427,1253.6350391243075,1039.4918840901546,1015.3534835070425,1272.5102737730278,972.7066649286912,964.8398675901332,1240.1532481298739,837.0068872600092,748.0469513767234,750.7258503863867,877.5740318919175,944.3527158768223,808.8349948213933,965.2469683297071,974.247665763979,966.835536963685,988.8590334017928,942.0188212334353,956.4640382625308,1058.559362042446,820.7399601030951,1034.3356524117385,818.9951110067245,1072.9157989667506,797.241968634331,777.7634648190269,965.6080962417353,1206.84770657917,947.7148449640806,950.6195340975714,1098.8272729359742,1223.2288509320608,1069.9879339125011,1274.0728320489095,1101.941724339187,897.4424297201696,849.6017957138971,1004.7937311927834,833.4653091844555,950.9575084941512,1016.7919144863243,1074.5923704730235,1003.4247570072332,979.6744897990716,851.1549828306889,874.3497283549247,937.370269609834,919.8000552296422,920.2876550491635,1189.5708003397658,1234.7547165937924,1141.3878692571766,752.295237536025,1046.8588850631852,1098.1942931135568,803.4109909857805,816.065230026383,1082.659412459913,906.471307847642,989.2521551039076,974.6432145241155,1271.9676103091797,920.2979430600486,1381.9301263350471,906.3634089492328,944.6448794704663,1038.9009667615562,932.6081378515977,1188.8238540842563,1327.8410542989939,1023.5994486748414,1045.2479125535078,828.0811043544443,980.4099015137599,718.6593932553612,1077.7886860245603,894.6839342444972,1088.6637088713549,793.8556969972026,883.5781946440932,1187.0623399620672,985.0183156239405,1052.747482437768,1118.1082021978834,1079.8883843585768,1130.1597859553358,1012.4243859399721,952.874771311313,969.5100445324858,1048.5161329272858,915.0247050004236,1052.1960772605742,902.1350915505268,937.6737862943954,931.5868988313035,848.8756670822501,1076.8792072316835,1159.888977602636,928.6821052868584,1113.4833662091714,1056.44408009755,1117.751950586467,919.6510899355784,1105.387059906723,858.7196566976646,1244.1043935158366,856.0186576636314,934.1376495085399,908.970674980398,1054.4682912981748,949.6533944818036,1133.6786997900304,1336.1205635277745,913.7025295485206,851.1621204120986,1067.790887815396,912.7214798056409,1207.8615848479176,1046.119345583924,888.4551174170715,940.0286262608779,1049.9843971845685,1030.610702321499,,County,IRL,IRL.1_1,IE.CW,Ireland,Carlow,,Administrative County,Ceatharlach,
000000000000000001f2,969.7041156433704,1034.3120598103374,893.1750234825589,1072.422953215551,993.7170384702371,1023.8443190296247,1149.9499509552463,1037.427085950931,1062.5207456708906,1176.314634010024,1052.2137727915133,988.6560862286491,1261.6822007186877,1043.1559526228546,956.9651836946989,1038.8967471998567,1062.892461849507,1083.2831101912575,1002.6199393894364,1159.6323916986125,974.1034266447325,1164.8353264985515,1090.5090675387855,1079.9300520320646,1048.5484756158326,1235.4888730798025,1148.7578874535548,1136.4337545968624,1022.1148915058128,1175.356347179667,989.1559332345796,1033.087936333671,1237.9171555255937,1255.7977640444767,1042.8807093595763,1039.4848961005089,1091.832907675851,1305.8068034215216,1094.2751575324426,1168.388157706612,1176.8285593406858,1063.2145839579464,805.8662298383604,1095.4147324244748,1059.8504378175778,1118.3549598890172,1015.248706509608,1194.8778763968226,1007.3608991458763,1108.637198907671,919.6169883640025,1108.004722669681,1067.364958389946,1094.7983491587875,988.3610217036035,1174.8926179846942,1191.83332073276,1185.1973201071362,1024.578037265348,1168.5469565607325,1073.6959989424188,887.7241742761134,857.5810563122159,1308.2335952447386,977.1951966577648,1025.9939250793727,1091.8380637113883,1194.2160734432193,1032.9922572544644,1212.7705699849575,1067.8514455204638,1054.2599309127527,982.7742078860674,1057.0330082132634,1242.6336594101806,1284.9769005491978,1141.1596492303615,1111.230576089556,918.5453097488148,1129.1502010748256,804.6715283398091,1010.7066919010301,964.6670167748657,1138.7431577802658,834.592031971374,1003.7279877548423,1076.259255680873,1040.675462859864,1111.8566560381373,1145.82375787229,1126.736455935975,1135.8542915892583,1056.2628378000743,1082.7953732752019,1132.8678982589981,1204.6581902355883,981.3759890728118,1180.3721463491988,981.6060343135641,1170.2668767893538,1002.9209052613065,1129.5441786216866,1118.896843653817,1197.9036003051867,1091.2728788143995,1055.2633567884527,1055.7436085847385,1242.4415389351225,1224.0194074466574,1144.639075021143,805.9351027860195,1368.6927234612428,887.8736957323268,1018.7190120666559,986.5247714999725,1213.205999013906,1084.2610799659112,1185.668020632591,1255.759030062008,926.9538400374163,1162.6541551997839,1081.5341213602035,1041.1059274072659,1210.311593300279,1352.6854241548015,976.9655911734174,1054.6045832798984,976.7266954559086,1185.9865873213248,,County,IRL,IRL.2_1,IE.CN,Ireland,Cavan,,Administrative County,An Cabhán,
000000000000000001f3,1197.0817911032864,1244.3795103888122,1087.9583216929598,1311.0302399159546,1130.0620763723216,1170.0264996692906,1464.6650329180209,1243.4545995383721,1280.5008472553573,1409.965544084041,1153.4696399594848,1063.2933032144638,1494.9050744929302,1195.1826349040807,1049.7285146009203,1256.3020585506024,1283.8596739630307,1229.231083266154,1133.0993321565975,1344.7014280997666,1182.3224718746726,1344.2376173731996,1342.8431040787325,1386.2184830565316,1261.327539635985,1416.321741091325,1116.1311184671902,1412.7507232051573,1070.2563673527184,1352.5885111490886,1137.7907611753053,1175.9812625825273,1408.1911578765119,1437.6084935403778,1243.8122837826177,1212.2662008059374,1339.6859269451513,1519.9287927273404,1283.7310585516946,1426.2822574897102,1204.8992817855255,1129.397773315976,943.6697223159825,1221.892292952911,1266.72428706295,1269.8611375096125,1218.2198595563304,1462.645673986516,1163.162161637206,1118.8506189470056,1139.7839839858498,1208.5101325869296,1228.864057673171,1262.7244067437434,1140.4062378134506,1354.218890435477,1281.416405116685,1367.9640784210274,1258.132127117524,1323.1327199914576,1315.8840854311952,1026.9910732329029,1064.5478337093755,1399.7004180157212,1020.962007117218,1207.2621505020452,1131.0355371394148,1255.5797960251502,1250.0037073737024,1415.0658410944927,1196.9637455950915,1159.0637061270559,1081.7946517568842,1191.0651575894965,1237.4200558246384,1250.5875717265496,1203.2284274858653,1232.7275031514353,1038.9961549558363,1212.8390870915698,938.6323361322117,1138.523673174899,1181.6045188477112,1293.5050755443194,1058.9508648900112,1071.043853111182,1219.1824300539838,1136.205069044826,1349.4870090697973,1298.5225566548254,1176.2529740642915,1426.210398424392,1233.4370506337825,1148.8575594089177,1188.097839833373,1396.970989730801,1009.3934063324726,1374.9900862930608,1255.863873338806,1351.7724076170782,1162.277358428477,1300.3122103902317,1230.556188664447,1443.619654508245,1239.195140795953,1052.1808533124477,1222.252691486538,1444.5897810763163,1397.7018789679682,1365.9316621306757,963.0675425689493,1386.3937323994824,1003.0942798588902,1153.0216967691513,1119.3032608544268,1297.1826298860897,1153.3599835764908,1513.1253188984508,1548.0904995024339,961.9951042158224,1302.1433901520118,1338.191221164644,1183.2771869292462,1424.9942185233372,1559.4051840694697,1189.3366443881519,1337.5637099844234,1182.7875707229516,1406.1116693483907,,County,IRL,IRL.3_1,IE.CE,Ireland,Clare,,Administrative County,An Clár,
000000000000000001f5,1216.5804545634503,1316.9182823057436,1285.0404254425323,1324.197154376056,1239.5470394759996,1376.1709162971567,1427.3482224143092,1364.3905926238742,1342.2427238835517,1347.0957049945457,1347.5612138187996,1167.8324271537163,1570.2511389710025,1366.3033332453547,1228.4892774317289,1415.4991080729167,1433.6677091691306,1401.2403021405196,1370.7575387545749,1423.02962228586,1184.6399737823763,1435.101705531215,1300.9107720122468,1345.690181411881,1249.6890051819396,1500.857733275268,1502.3801785525761,1407.4913382865286,1291.0986349239865,1377.1705066687784,1248.495599002323,1298.0936112137526,1624.0746329092763,1497.850606436515,1323.8087123451576,1399.4929228691585,1363.3553136877113,1602.959120038007,1333.5762764815602,1294.0571017208615,1290.6170804300396,1255.121699614654,1025.7238057344455,1437.711007838894,1430.370772936022,1496.4904814629085,1318.0600164739938,1614.244421760628,1237.0435220254435,1448.096554142033,1133.209791182784,1515.945130780194,1439.2850864829675,1411.107322635135,1307.648907393722,1391.6993840178072,1373.2284580430037,1449.7276145921314,1472.8354220333617,1733.1206954268723,1420.1489847269145,1312.622421325134,1301.4147491949961,1807.056981894004,1162.3541300015836,1361.5476728339668,1435.738393158784,1383.7005421241558,1179.2394081679338,1351.0651001636402,1437.7720085515207,1312.2153221336573,1302.0540854184264,1315.7389594330664,1487.2109235993807,1418.3108455183701,1528.6318944872608,1270.1158803139078,1280.06013104413,1494.7453231894003,1206.8408638179196,1292.1485183963264,1279.4942293734166,1486.1652828952,1231.2214887519358,1307.7471903812996,1373.159092192779,1461.0594894601634,1558.2549218750003,1494.6851826435814,1559.7672153452284,1463.1207479940879,1331.9272384836008,1348.0071851025832,1521.4692613316445,1697.1112741061374,1295.4375031892246,1499.8174263179194,1411.4009350805889,1769.7438488439616,1465.4523085585588,1695.4167305391327,1444.827401463964,1493.4972925024636,1447.798022812852,1226.450048586184,1326.2217274158922,1592.4991619598115,1671.773238316442,1593.9262489442567,1170.7118508278788,1561.7043646185248,1162.6488229782517,1469.0182104712135,1358.4516905528578,1446.1479011824326,1408.1925377868106,1598.168805162585,1601.1447889393303,1164.144066986909,1721.9436462292374,1472.2722202720304,1391.7020680250566,1569.6259970175254,1844.9140737612615,1366.153664088894,1482.9120980697496,1365.2571372202283,1533.7234326171877,,County,IRL,IRL.5_1,IE.DL,Ireland,Donegal,,Administrative County,Dún na nGall|Tyrconnel,
000000000000000001f6,808.755511613613,868.5121010095189,696.9076550722616,898.6203753548378,961.5548989116284,865.5480509692837,927.0007238289339,893.778507335339,825.1133147371977,1083.2300861113806,796.2362485139269,811.8403269765788,980.4618027333642,718.1632555217229,755.5454734660084,733.4053083147323,802.9048322910601,763.240800750922,805.490269378599,930.3831587449857,734.9417872458512,830.5005610685171,862.9093338549753,873.4495121736705,964.1682689974766,1150.8845692510188,895.1127498776768,886.6735961155862,798.5641626077656,987.3514502862968,792.090543569245,684.6464570797749,906.5926907936239,993.38900459874,876.0474541389672,830.9522385370162,993.0959844174591,941.2661313517001,862.8844361867965,1116.5641174948241,934.7670015133687,883.8611705456215,676.4957238744258,809.399626232329,807.6277815856303,888.5907735567904,864.5550749405569,852.6412759153,891.268428826184,916.8959494644071,891.9661748976935,854.0531446879448,845.1193415481852,871.4175028356705,668.8815657653176,1117.3553941935982,1042.154585243999,989.870037323693,679.4058842945296,907.4494727472339,941.3320745938066,775.3804157012246,691.4332596362256,1062.8744159327284,829.2253506425499,926.0183809331733,909.2127266009156,1167.1932140531994,842.0784877990344,1200.9091713472924,782.907876340499,803.4874128574663,880.3472469479894,815.1627904919611,1037.8878425298024,1175.3382073001585,956.5583050019005,924.2202348097019,803.8293627626408,853.425554547991,670.7390261821865,882.5303816074664,823.9380742106625,913.3602744787623,704.6693071006002,842.9910039487092,925.6283479615522,901.350408265803,927.5883633631356,955.6435784444552,973.2381777556047,928.8316946088898,863.7743494890738,876.0417611890206,909.955802964868,977.4874985341453,837.4568423316592,864.9673129569424,741.1581457544805,891.0404479854103,872.7952647080826,750.105680793462,1072.1532246528452,1052.375699313778,879.2288216853489,942.383843905684,872.6306474579047,1009.1477945458075,885.0028197483987,962.5936644496879,694.3186121085663,1113.2353237618076,703.036761613613,795.5999724267679,751.9811579544352,843.3356757943922,859.0946837241606,1047.8790399460565,1058.3283374225625,833.9105246091727,769.985215339108,1018.6152165572837,830.6926786371392,1051.3581108267017,917.976103914944,779.02910517659,778.0603614949292,805.0911534153404,993.6398085442145,,County,IRL,IRL.6_1,IE.DN,Ireland,Dublin,,Administrative County,Baile Átha Cliath,
000000000000000001f8,1705.5877752393721,1699.2401680769026,1404.2092343273098,1783.8168799646257,1612.9170197244077,1530.7375203932754,1882.3682864820128,1627.3226606698736,1781.91644204798,1922.5153426469278,1587.9936833726572,1549.1400475231153,1991.799974648087,1762.0088750155649,1581.7776791565168,1549.1581727446078,1597.1885058454072,1567.720594773256,1468.6686444019465,1754.594439619943,1718.224054695881,1757.6498741084429,1847.1641764389437,1976.8414785543368,1781.300553372114,1958.9334314718124,1540.151949702841,1871.7448253561445,1437.1109370460404,1851.514932985544,1439.94612344197,1630.2981541192821,1811.8394176263346,1879.0253398413556,1695.7417618253062,1590.8167170379231,1773.3558619989885,1988.243399722556,1713.2693116032553,1923.2397091284456,1675.6217363776118,1562.573443401479,1388.491302851906,1731.126067853335,1524.710296468731,1591.3949434056692,1785.1502513441208,1816.396138716972,1563.0389680663666,1541.9467299024477,1504.7631790541516,1540.148447975998,1716.1358027986282,1578.0381272428615,1739.4583412485315,1842.5244493815776,1782.3636386810542,1889.7776755398036,1575.0406469696636,1893.9904584116875,1894.7245960056323,1377.148444209627,1524.6642144019625,1871.5536673373972,1399.0833490057582,1585.2898188670122,1671.0920353286554,1789.340681031621,1697.1871994885323,1981.176187120071,1626.1229835201589,1510.0067318759263,1640.6658797612915,1814.0231156374516,1741.264676273722,1772.645015889594,1679.0949617735848,1639.2846884218884,1360.0012330498364,1643.1766238693908,1234.9885604852166,1687.1055289620426,1541.2097515672094,1852.5399508146936,1397.5058029542715,1508.2593256331095,1739.4469214136575,1622.583289517059,1813.0082061979595,1856.8337740069956,1691.9930245321925,2074.513757578636,1693.1081900649235,1634.5325233824265,1808.429523725241,1953.0257314441158,1554.039273865719,1936.1948902175343,1775.9833340849448,1803.8933478613806,1671.8752464353677,1840.668940473587,1729.2351315665553,2097.547752040525,1895.8103337133964,1762.8962103029544,1699.8127125130904,2028.5054845837224,2017.678433124027,2045.5694443391305,1383.7068593438719,1999.7088546222901,1472.8813452367938,1596.9031008154122,1617.0144197115571,1821.267011124113,1559.6265001628274,2015.9486630731676,2223.251113997609,1357.3164644666144,1750.4052887524108,1670.2366243961837,1722.2284942240342,1931.087856602952,2072.9674064283918,1707.7927719509066,1739.3568620576539,1726.9230482119372,1750.5299413982686,,County,IRL,IRL.8_1,IE.KY,Ireland,Kerry,,Administrative County,Ciarraí,
