CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,County,IRL,IRL.4_1,IE.CK,Ireland,Cork,,Traditional County,Corcaigh,1383.3965055971025,-173.65096714765468,0.796775666013276,0.029630498811928696,6.853877675125047
,County,IRL,IRL.7_1,IE.GY,Ireland,Galway,,Traditional County,Gaillimh,1285.2191725898092,1067.9441426172623,0.1115515117072008,0.0008943113764616761,1.032868959339251
,County,IRL,IRL.13_1,IE.LK,Ireland,Limerick,,Traditional County,Luimneach,1133.1372014469127,916.0540097360343,0.11139358178829675,0.0008766558831463378,1.169835057562387
,County,IRL,IRL.23_1,IE.WD,Ireland,Waterford,,Traditional County,Port Láirge,1132.6991340048914,1054.9914286806927,0.038206867785501517,7.583259096088923e-05,0.4013967283968143
,County,IRL,IRL.1_1,IE.CW,Ireland,Carlow,,Administrative County,Ceatharlach,991.5650037062574,-238.3612413478886,0.6289907257060791,0.025429356576717188,7.548662576760025
,County,IRL,IRL.2_1,IE.CN,Ireland,Cavan,,Administrative County,An Cabhán,1086.5257268019827,807.0199321398602,0.1431717060086859,0.0019477735056628864,1.5680653108123468
,County,IRL,IRL.3_1,IE.CE,Ireland,Clare,,Administrative County,An Clár,1238.3636436783286,1002.6681722454202,0.12236879057811947,0.0009546256852920321,1.175897415362005
,County,IRL,IRL.5_1,IE.DL,Ireland,Donegal,,Administrative County,Dún na nGall|Tyrconnel,1401.948976063442,-881.5352426642,1.1695525161215568,0.07336881470907652,9.927376230857002
,County,IRL,IRL.6_1,IE.DN,Ireland,Dublin,,Administrative County,Baile Átha Cliath,885.63163027556,186.66487350367333,0.35583609554058787,0.01121158721268245,4.781276314188854
,County,IRL,IRL.8_1,IE.KY,Ireland,Kerry,,Administrative County,Ciarraí,1710.2549377314206,-156.42931376538309,0.9550666040893482,0.031252990443685236,6.645379199278216
,County,IRL,IRL.9_1,IE.KE,Ireland,Kildare,,Administrative County,Cill Dara,911.4628791317907,68.9208095197572,0.4293263390899929,0.016877237260938815,5.605256727555873
,County,IRL,IRL.10_1,IE.KK,Ireland,Kilkenny,,Administrative County,Cill Chainnigh,961.261862808477,150.91461068278295,0.41378911839351457,0.012790374659907844,5.122527689277428
,County,IRL,IRL.11_1,IE.LS,Ireland,Laoighis,,Administrative County,Laois|Leix|Queens,916.2331388680103,495.7463209392203,0.2139102745188322,0.004644010722834935,2.778258238857266
,County,IRL,IRL.12_1,IE.LM,Ireland,Leitrim,,Administrative County,Liatroim,1231.9831259653874,-24.30498730926979,0.6453267002968444,0.028922169353685412,6.233354639102582
,County,IRL,IRL.14_1,IE.LD,Ireland,Longford,,Administrative County,An Longfort,982.6196584652691,298.53714850798247,0.3515796815642132,0.01229125718506141,4.2578002328476865
,County,IRL,IRL.15_1,IE.LH,Ireland,Louth,,Administrative County,Lú,970.1072045077282,1179.7997625231794,-0.10661150245809442,0.0011787510427497816,-1.307769773645895
,County,IRL,IRL.16_1,IE.MO,Ireland,Mayo,,Administrative County,Maigh Eo,1429.3586384976388,508.68178300223144,0.47137723674428955,0.012964758111524421,3.9244098480091227
,County,IRL,IRL.17_1,IE.MH,Ireland,Meath,,Administrative County,An Mhí,905.4358872843025,529.4904151409407,0.19119727871960007,0.003995676691222694,2.512875454481322
,County,IRL,IRL.18_1,IE.MN,Ireland,Monaghan,,Administrative County,Muineachán,985.048638625767,1099.2210550819382,-0.05741245304820036,0.0003596693434609888,-0.6935781285142653
,County,IRL,IRL.19_1,IE.OY,Ireland,Offaly,,Administrative County,Uíbh Fhailí|Kings,934.8898302954499,651.2372597324986,0.14485992403954367,0.0022745833112239877,1.8438890232935712
,County,IRL,IRL.20_1,IE.RN,Ireland,Roscommon,,Administrative County,Ros Comáin,1056.4756795390574,254.6585090205565,0.41250434605471364,0.01469938890375333,4.646393488388501
,County,IRL,IRL.21_1,IE.SO,Ireland,Sligo,,Administrative County,Sligeach,1226.7563255522673,150.25563943468978,0.5519348551938785,0.020852929443028412,5.353976694475431
,County,IRL,IRL.22_1,IE.TY,Ireland,Tipperary,,Administrative County,Tiobraid Árann,1077.7284538667345,1109.6252518423344,-0.01746547466687299,2.1576971593884053e-05,-0.19284927273664496
,County,IRL,IRL.24_1,IE.WH,Ireland,Westmeath,,Administrative County,An Iarmhí,935.8651838424075,388.8251873662374,0.2803123335019918,0.008733444685272151,3.564313350111132
,County,IRL,IRL.25_1,IE.WX,Ireland,Wexford,,Administrative County,Loch Garman,998.679509587838,-427.7778964556104,0.7305805471793535,0.0317119180695733,8.705403913836527
,County,IRL,IRL.26_1,IE.WW,Ireland,Wicklow,,Administrative County,Cill Mhantáin,1133.5580543343258,-440.42573901130754,0.8048962972400086,0.03589192558580767,8.449735680084663
