system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
000000000000000003fd,421.2241999198649,442.5650812839639,631.766281292356,526.0273238214952,503.6038752259878,275.4668596695209,544.1302002873913,721.2772377934949,468.8943086492602,527.8539041321851,405.7934081143346,501.1745451401019,540.4983817297834,698.3439944365927,677.7777341316482,573.1505222649408,497.6107677755683,536.8642481771008,448.5567991980189,539.1328066299701,735.1255486258143,884.2149879850188,676.4293939656222,792.3403417981904,545.1426643009843,545.1426643009843,302.30799643746735,457.37648927754356,840.1004393018524,385.9971022770321,438.77890621382596,527.707951315518,648.7406008819052,458.18618878002815,546.4711753746558,645.8888276198813,645.2231306207588,405.68958586659915,325.98663213335226,651.1425013377747,606.4897131097725,376.80765109226616,695.6347065629628,653.8122104118611,921.8048365033906,500.05335102410135,516.9684345146704,521.1484944902617,601.3273922821569,482.72677786596876,754.4785498915046,532.7694356359283,653.3991803629644,529.8689355521366,379.03008245599676,548.1830199340293,515.7773450489701,566.7845444679259,413.7034700985612,419.590805431892,528.4370909066034,458.1156994227704,514.7164137281219,461.99758235339453,578.3263695157806,485.32818886329386,366.67642718348014,853.1138026796539,596.3378786383003,397.1379814147948,414.29896716413816,475.86981921360393,565.9201729708703,585.7899889945983,659.2271683791587,696.3310516949356,821.6199933084945,622.9889454019478,349.6430612596971,663.2625792930864,694.0629109349743,508.4898844094111,704.1448327426251,444.5962866585829,511.28219321678415,692.0691386255724,503.1338626598489,550.569630853061,383.6680450768306,515.8998341067083,461.89518099817724,407.80550072110924,553.2856408316512,546.9052279735433,553.5209533592749,597.9864967444845,557.376876567972,551.0479520600417,433.73215675354004,727.7404173818124,729.3517399491934,700.3200697734436,490.9843497440731,470.6627054707756,526.4701051383182,478.37712039618634,446.40791999882657,420.8534581579009,355.2692192833998,451.978770272485,560.7419788426365,677.5734956346707,694.9108078068698,727.5589340144188,401.52913230040963,603.3460927831715,644.176090832414,632.9812960131414,527.2621524580593,626.279970136182,312.60189917169765,524.2764435307732,786.2747249274418,531.046518210707,724.0471053945604,568.2604861917166,566.4910650746574,914.635060244593,407.6936012958658,,State,MEX,MEX.1_1,MX.AG,Mexico,Aguascalientes,,Estado,,
000000000000000003fe,229.1084580578153,178.36436737358392,191.81440422068593,127.09409583302902,202.5476991563961,160.82604521261538,167.77108915881664,126.28510926441315,134.14811215071956,138.31710543510124,164.7611128726845,184.19185167384174,128.46315390509312,137.03111524877133,289.787009737057,216.23304257670088,152.46073013688613,190.01922024128268,211.81510622813,151.39168072329207,163.17899081527642,182.25338849489788,162.2226400241718,188.66117711558516,213.70690378438655,235.96554651839048,152.3345384604173,186.3950827969988,165.0341128568423,186.22873538692326,208.86251640986362,199.38368248945392,162.31475219637676,144.47599799422025,179.56318313782828,223.2488244085751,214.6238723398578,125.72864440725535,139.71458865987813,186.27879568566755,190.87657236289556,166.38311325755137,140.0648684042635,150.81761036129922,197.2796472189027,180.16882842580733,180.839609216207,207.92938948918132,175.4874173794932,185.61069276413724,223.72630366951157,138.28384973901078,161.2103211891258,189.2184814514527,176.39613409640552,164.66827943096197,169.77044475821293,129.72406101250363,180.693439808435,105.14886331472376,173.9442888533105,225.43360019441315,80.18891953413745,131.2920167745494,108.43178071948435,53.738486702251365,168.17763616159334,170.70065558536976,138.11649384802072,111.7507955180235,106.37407221227387,159.5631314331208,115.78791189070843,86.58119902253432,256.2433381804238,169.18361399394135,206.99544829282695,79.22439195547656,174.87764173192116,119.04477958250979,107.59829338429495,126.3123230647828,122.57742965773912,121.84840011697666,96.00324589363942,205.87783173263446,168.60999123028165,403.0158065569132,188.0971570561492,262.7663335283423,133.2646149678076,229.52470890524393,372.9851490893191,220.509707253089,147.3446291472724,130.47966384645304,173.55210741821332,126.20296593369524,76.42390097297242,97.59343248019329,199.97779010658365,269.23977821118734,277.41854017492585,169.42206770502938,165.78629380917963,95.82109050941935,184.8558300311459,204.7438230766671,74.67915678277612,99.51380498152832,148.45457153026754,61.53126614481508,176.88662487564469,199.01667921459537,221.3230101631743,174.76764085306354,145.80401048798626,195.18889396759306,136.65411776830453,205.6813608218233,131.4685996598707,146.6233133176467,143.67939295323177,144.249393110872,146.89242665193433,158.53242128684514,150.16411752635824,139.711867255401,186.32443606008908,,State,MEX,MEX.3_1,MX.BN,Mexico,Baja California,,Estado,,
000000000000000003ff,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.0657516153577,158.2783622373872,143.77058830655426,167.9984696643854,123.23869073322714,123.44609334369822,126.92921918820866,125.28535458077232,129.51967996757963,166.14838146259387,148.62208163085666,166.6930602350894,129.78422097565178,124.18952807073671,202.20605357434863,189.40754208372965,157.7812627804301,149.4389091908764,289.9981669865997,213.2057529489175,102.19262932406677,172.75252191510523,77.61539804065802,205.1001699413266,114.90382792676638,103.22889306651403,167.06187181618208,112.18035561892508,165.44866900407197,294.00028967314205,87.8605741165487,140.8601647649915,133.06917468590433,122.52459080120069,155.80266118457192,119.67060054145833,138.93334034917018,139.57505924551202,232.54040014848667,253.93874087261673,199.75092092369454,131.53589821572544,202.0936627946516,118.61326986862915,103.96723844133916,161.03897130585972,125.638231120077,220.27922630214783,105.87317351523542,117.92213609771707,111.70709619181007,111.20300876838266,231.53943589952624,118.42643438065703,161.55031914377778,83.57414072507216,184.8899865750733,123.62123200775329,181.97370011389467,154.42405536905565,86.76909636501834,171.5884085771677,149.6103413175443,311.9717238726879,295.18986817566866,97.14358510718638,103.63387595981183,93.78298972367473,56.646388729097325,151.87790739040315,252.62689742918877,198.40922175951775,261.9940739657626,230.44482445146244,197.81495628988532,119.2827090019772,146.69603882504168,250.3533131519302,168.3213420010781,54.81064865912541,124.17562638744708,186.7904014852738,77.67624769717852,269.7569419368741,174.25881757110082,157.46165918573914,234.76874971992422,157.09919610088886,198.97406165797918,197.98824909434853,75.02525961364728,83.23159532282114,259.6208055285264,180.84811439849742,233.38288636804913,224.52937476452055,168.11862550795328,144.964123940029,167.90666309518022,256.7913973350592,,State,MEX,MEX.2_1,MX.BS,Mexico,Baja California Sur,,Estado,,
00000000000000000400,1264.1995575305993,1264.1995575305993,1291.2201230847952,1264.1995575305993,1264.1910132273852,1264.1956771673179,1264.1949645425955,1264.2047030435551,1264.1995575305993,1266.0678299982812,1264.1995575305993,1264.1817061029917,1264.1777839740253,1264.1876385891687,1264.1962187140693,1323.8097646842714,1289.7011023939078,1303.7962486875892,1259.5318971467302,1242.1243017470163,1463.0683260916426,1328.2905585588376,1368.1952003707208,1309.5258444128651,1253.8724235527845,1264.2048896123126,1264.1988114799856,1264.1903720519467,1413.1810020182172,1532.1488470930256,1298.8006747553884,1086.2994311587727,934.2186669811484,1276.430814491142,1308.8097650906468,1257.6449264166995,1593.1611191443365,1237.7218959519867,1339.8933842433535,1579.067229190475,1277.1312052914293,1561.6289406129806,1274.145286977806,1166.1144293999557,1157.0549389523492,1759.9801692210165,1662.4538897560117,1523.3594117254167,1254.2772397482288,1299.4181434246955,1547.2396551111547,1172.2318753243726,1101.4852485281442,1020.5972456167742,1143.0773838713806,1076.2371709960648,1606.202236387443,1206.2882525089492,822.8916783447022,959.7253962299475,1075.718119487366,1184.2246309735478,1289.0573693227777,1369.5105864092593,1382.7103947644484,1429.102212385215,1216.8399510755578,1395.3223835618078,1176.6432830983404,1181.6859294834871,1283.1977172809106,1103.1833886183788,1261.7239570818588,1263.3401971055252,1101.2680054090017,1252.783622583243,1328.6892006749079,1251.3904091934437,1409.230137226537,1125.6713233666474,974.0319532204678,1378.6128252482988,1360.853382904013,1103.2421162326755,1212.4161330978118,1272.6412122852105,1186.3637337307916,1317.4511596534119,1272.3406337164486,1278.6090991651274,1063.7844386850873,1277.1349004870394,1185.4286677222071,1321.2306922473624,1301.3481752944726,1128.8702201005492,1256.9275016856689,1427.451567435944,1413.6149522504072,1236.777384381473,1152.3098405005737,1418.420392036153,1147.96289222624,1099.134179428511,1632.0698588698328,1177.2715463593763,1356.8333370008206,1205.2049451765643,1367.561339258472,1224.9316935811703,1261.0204337884952,1381.6165392311884,1178.4419017883863,1062.0973299184373,1492.8152718773822,1469.4633347569006,1127.0799966588668,1298.0027320829215,936.2597459521858,1306.0813677087522,1148.2407023981339,1258.1262917187391,1575.572287930156,1265.2245896112063,1211.6981900926016,1147.4251502066522,1312.6605454727014,1399.5344350216442,1191.8293695609987,,State,MEX,MEX.4_1,MX.CM,Mexico,Campeche,,Estado,,
00000000000000000401,1998.208853312762,1998.208853312762,2008.5439308428452,1998.208853312762,1998.208853312762,1998.208853312762,1968.8138958800482,2050.6672905773303,2002.9572148283492,2031.2394478191407,2002.572230876704,1958.9415565683057,1916.8315872130568,1997.536297060369,1895.522670812311,1876.3206174957509,1776.1721811179414,1835.8870977287036,2664.0521301300737,2186.491149054999,1855.4663352142666,1670.817907819981,1949.763379373369,1505.2813866887927,2032.739010601755,2001.4753463624497,1999.2503812854957,1996.0474301037887,1710.2559204485617,1385.390053722267,1816.9281840048916,1768.5815483648653,1747.218447157415,1933.0272438114428,1753.2772397451527,1928.276658529733,2001.0480404121436,1945.7732400700997,2163.6912640258674,1946.0995241005305,2143.586032368896,2129.325222019431,2073.282369026673,1719.3549486969587,1895.6352490334236,2145.373214579454,2171.6974332766454,2078.2054634527804,1840.0478618002364,1775.3881609675097,1946.871479413838,1942.1580095129473,2011.474309504118,1858.872414564512,1794.5500190678758,1809.2004863306788,2133.79391767421,2008.6144692451746,1641.128780396645,1970.7004389490398,1928.646565244721,2322.992059865543,1902.9962529810173,2351.106115890204,2316.4715859467938,2031.4868642031602,1801.1951439890074,2166.5142219379327,1905.160589343486,2177.32372787631,1957.492154840057,1880.8648217929945,1939.2682808802413,2025.6097085029876,1951.039288320716,2161.254364674983,1833.3549266492184,2077.340597206644,2278.729326012103,2171.2779216000476,1808.962354189179,1841.3055354102696,2160.304735906613,1952.443040137632,1882.7831005555952,1812.2201969871198,1614.8335680147532,2132.328686724111,2166.8737925639257,2066.074808957343,2422.8811588930203,1985.6148349664293,1863.0167224950196,2111.2270957048718,1818.6368564661666,1713.7762990903443,1718.2120457200392,2132.784131072051,2109.7511867469634,1983.2890133252558,1693.5389945612721,1947.713675049298,1934.2799147758424,1551.4020085715276,2067.9216778569485,2046.7373054052218,1921.2550956470127,2010.4407343639966,2271.423692569199,2111.576993455203,1955.5926357885437,2034.1788554540203,2064.9189607039107,1897.8514725423363,2430.7223714992842,1962.2935396076614,2076.628689498022,2116.368640879404,1748.8544960041472,2390.613442288524,2203.8533286188685,1881.1668089764132,2314.4643881382926,2048.377867437737,1771.0458379760407,1876.1023096483736,2132.7786656398935,1791.8477294240156,1907.187510974662,,State,MEX,MEX.5_1,MX.CP,Mexico,Chiapas,,Estado,,
00000000000000000402,455.8419367722022,461.7008461309636,471.4348167904306,457.92449356486713,469.75626390060773,471.57166308925645,473.87817147108046,462.22568591256504,463.74121996043743,475.01570643723227,441.8400021544985,520.3758850639217,407.57995219536645,473.4590833327449,540.990109126701,498.09033470006995,480.5364741102303,348.1148337087133,373.60596776347097,293.5845054428906,521.0044400781721,465.1397641201224,468.92985226485763,491.8829027968587,472.2964970806025,464.37377994742,352.0645091236625,462.4376659405965,475.52075159461685,469.70696680268816,441.26891320442735,353.7649748072812,567.697899450169,374.46850638659305,520.652462458095,475.43185403378567,415.7388215065212,400.382304394505,361.49895040184697,464.7182039597694,450.7110507191214,394.864497984733,404.6915801009772,326.1706475856837,419.3211127672555,454.97734069065007,421.84185851051006,489.18555591109697,424.4101710409569,448.3335562273209,599.6757988369844,482.7656679347882,497.69749832608863,421.12523843671534,394.61451920049643,489.5762630120335,395.99473868419796,382.93451293800894,550.4457358556457,395.39414954829743,311.4049374098422,401.358731728938,305.33553646643225,435.36776045231176,449.9142787378801,282.2915713946405,389.0633733725011,693.2661718458202,430.3259143666542,440.29170815645534,460.6964304707517,431.93823037162895,450.9657074998848,371.5647731248473,362.1552928179538,521.580638051903,455.01852635623203,575.7519113156749,374.54357166770274,416.80927261781744,469.4927701765759,548.8377200072617,432.8696175736753,531.6631552509086,383.49289097279166,505.18756482269123,407.30024179215076,578.9105286207008,410.8392406792776,443.0599911573225,620.816839379679,389.1049787528027,465.8779849914158,622.4891260541958,465.4981698821582,618.307647126066,476.56712108185434,447.7497673609968,427.96342860883163,614.5589746302549,626.8763383228728,490.0966543844043,487.81947427244967,362.11064449821663,347.5575211308045,442.5952355042895,485.05861638039494,346.74610026962165,374.3048639135946,453.15846032342614,391.53253516401804,378.685987764149,389.87005762391493,629.659671195494,410.66846319033874,491.33858652373425,491.98387520329413,576.0126559754483,443.47467252662085,451.30959762223017,296.7267933082488,415.24774935375115,592.2824055416646,511.5601406223102,570.6750973571615,544.6621803755066,493.0172944985214,485.36140300684445,500.5780964688112,,State,MEX,MEX.6_1,MX.CH,Mexico,Chihuahua,,Estado,,
00000000000000000403,363.21381857823377,370.5155634596422,212.58348357421312,352.5318575372469,409.5191184328161,286.4057298623742,253.27242335877966,336.70896729968837,449.543985368912,553.3053133835268,224.36483750120237,226.77745571468657,393.4356858697006,382.17138093083275,454.5580508037009,459.91944842007786,250.76187734522415,223.62848836314524,249.25378645097112,171.5462622813168,363.88874177892745,294.7928265021511,465.4820983739111,397.93427238475647,335.05111350411204,314.93249753727054,138.36629627702385,326.51050932909254,575.4910750369271,308.13861678160464,229.17164118534643,344.3624969665069,540.2367873302089,250.0843364189203,327.86036110518324,398.2499755597084,315.9121635799784,322.4576988544759,249.53487929542564,442.3742792702381,393.6927597318278,372.1039103120019,302.6919363185683,259.72417834480524,485.4804211994537,380.09056596881896,258.78248645437293,354.0588118779165,355.6508069353229,410.7586391041534,442.5534298539707,283.3109636491102,327.64978741501915,365.66698693664154,271.11209503983,370.7583511469083,341.6581926357605,333.73170241766667,434.3107974005987,303.21025748808466,232.47526609215467,181.1656998000298,230.10282980645124,245.02650246261038,297.549653624506,146.34285758151708,302.5887272494287,521.251184814162,352.3256220231277,360.4257489704547,310.6259796988386,208.79051704007858,297.2957620388933,335.82535179639,314.44513785008826,352.6296271876298,327.0975495836922,438.1089458026544,269.79876726134154,310.493618869428,473.4434527211604,323.9174308108519,418.5389469556291,292.663791012382,318.56255972994126,518.9131712467594,241.92884192928085,471.71806222993393,276.6171051449621,287.64490049453667,496.1182806860323,315.16816948788266,280.6877153717401,320.03457271620323,388.10381136362497,460.4410002287472,464.0316463661402,380.8475484628505,226.4316638127738,437.3792328584903,401.3254588615761,387.5865680344085,281.82065890838646,242.22975246710118,225.80439944386478,283.22685322815533,395.5241665047949,259.0700737877707,279.6329748901434,348.0281584369162,259.66492917556474,336.36319628400145,468.4164125690825,495.2125665212797,333.7078192291905,278.0581543663235,471.96100979932135,370.2286162164105,301.14511887439033,576.958379537914,168.8553671318593,284.0543888337009,438.1277086693415,400.9636939731522,525.7257802572241,674.6791063943834,406.123844692747,507.2463497991011,327.86445285511655,,State,MEX,MEX.7_1,MX.CA,Mexico,Coahuila,,Estado,,
00000000000000000404,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,912.5054420400622,648.9607228576097,620.9270364069374,974.4846234689147,1008.8492396826123,1159.9925105221348,825.2499760062207,941.7583827992014,1132.4682425237263,707.1459865903315,710.7476313435164,875.7837466233069,943.6676114151927,1023.4511771755866,730.3612795101529,791.0786507617289,1334.5867484270118,894.8413597804791,814.7681125119436,784.2448280703007,582.2400596908773,925.5159798570185,858.1554620944705,1012.995700220655,1071.7067385886214,730.1681133085998,908.1321068006085,899.4135655308064,1029.96419961896,683.5330559945181,849.0114787494782,990.9195270597138,1015.4950129008122,657.2155029202781,929.0032262380663,1192.6719029770604,894.6853837800295,763.4301359798042,1228.6715668132344,1119.4960627619555,823.4026034160117,723.7196680678617,922.422884087401,836.1825950128572,751.1942965751562,755.8646045774989,886.455451957491,1145.4186922643805,1084.8562465875516,1010.4730133338921,1013.927365654909,1002.7454241824177,916.7820955533286,800.7268982247238,984.5170842608837,921.3940669938937,1069.370542489,728.0657066980344,916.8919304811454,715.1239066677741,903.43209525223,903.2730617229154,812.4180300988005,966.7175494328312,999.2788724203393,709.0575550545892,924.4644958558822,810.5801317581538,995.0845077530331,930.1793725385207,856.2073229704464,628.2000101212976,1326.7525031941523,1116.6734405862587,806.8166520843037,795.1734407117165,1087.1269230151593,860.1311265371073,1100.1368367115738,1018.3309276929739,826.8078293677836,633.1518267546259,850.2865294469224,889.2335800061124,974.3487754265059,722.9582087643223,949.8700590065058,924.7681231758456,1058.7506380777077,596.4202309242868,1080.7651719409907,1250.7513275616948,834.6974904137795,1145.8992047050144,1264.0241186410526,1257.0550487867245,856.0561211047903,936.603620444883,917.720514750309,906.378239787495,,State,MEX,MEX.8_1,MX.CL,Mexico,Colima,,Estado,,
00000000000000000406,591.8524760781154,580.0864922886052,646.2157631134447,596.1567596661379,668.205885726157,611.7987623086216,632.160268303172,617.8259273963021,639.7370480469372,638.7574702450581,746.3979462428314,410.485897567274,528.8670558965678,631.8061231268936,703.7596213507395,759.6104030122918,607.8348225136218,481.6310830050755,460.4339984557582,449.17515810508723,679.2082912424003,508.4850772238317,594.7004874962334,614.0613302629835,638.4361744028968,638.4361744028968,477.38018864656317,533.3632432874002,631.7818540330015,611.3438804907914,494.66184685574177,571.0464536356352,594.4256219951951,504.0998883718631,570.2987774073063,635.2970042099561,613.994555622267,569.8049765069253,467.9190916963464,784.995180640738,746.238400287936,559.6537293926466,610.1703223850122,579.4993823240842,745.6184086082733,619.0210884463321,512.8367437982446,686.8376756247186,651.7690219428331,569.5341359587838,728.0903195073809,604.5369172150394,804.7532116666863,622.224472087694,537.9423048966131,661.1083860545226,605.6812219180307,659.034636056073,657.4621612909483,549.9608623616714,512.7823581696398,473.2378788923835,543.5023844441492,550.4365095229133,605.1965447225505,429.8398527968238,446.02767391959014,923.0786546151423,578.6181991174361,594.8189862503448,691.4607838719364,530.2587178950964,726.7701427108332,636.8011686916194,531.595497509531,713.8554912273052,689.288472260917,845.3906581102578,524.2903440990749,627.1866165343147,635.0827819901743,680.797177280083,727.7761108519782,592.7463372886325,477.2004631719133,719.9578295870125,520.9069282931159,642.5943963241494,500.38499561475817,611.5044879186121,781.5556196953886,491.82300848787094,664.4287315289445,785.7583938986259,673.4506091580267,757.1734662459812,681.9274897611401,607.2292275525048,589.6975070714899,748.6197735839736,784.1320894339503,652.088319113841,685.6125074532799,571.3809982643609,473.78964294474054,624.0878596286257,648.7131070042013,484.91138729013727,553.7452366858623,628.6078988562521,513.9131028714866,598.8353045174324,744.3360462047997,898.8415516166782,540.0317671661005,685.8994039755878,570.5039357243719,755.3140827361814,672.5425405547404,690.7837605706635,437.55470448083815,546.8807027214698,673.8701514056798,687.8978543708996,764.3047284482934,716.0758486414684,627.4869666791999,772.4985239368098,553.3056618254209,,State,MEX,MEX.10_1,MX.DU,Mexico,Durango,,Estado,,
00000000000000000407,551.226906953864,557.9354151090567,629.2662065838452,588.7679981112697,583.1198628780819,497.62528112428987,597.4330751891529,663.1211086980138,569.4291731528184,590.5633502533237,542.3516739843525,586.5119993913282,570.8474978637695,706.7773396931218,621.4039397465416,656.0963420258967,554.206012522846,568.0024152983218,481.49787084736937,560.8345075526804,607.367991442199,637.9943563422805,662.7792946631755,681.5835331348105,598.3752359764729,598.3746809317212,431.74643157399026,548.9170472311316,710.4499405271197,518.3169181963718,511.3427088158285,559.0829756962486,642.2430794812125,460.7227940284657,844.2264661624451,641.2714077002848,676.1235172544707,650.9951338937742,546.2877201269308,640.3223219481305,675.6731924914436,529.2938113291328,648.672350211887,681.4508406948822,815.6995352200847,564.4467885092638,614.5208992578349,511.5329073340739,510.0305308826689,461.2510404968261,812.3266536579656,534.7208656772999,595.8809654473821,599.1294917759324,391.36348245743216,567.523235493231,673.2493473409952,643.3901802664941,482.7674100361395,499.74877735942863,550.8252522571808,660.3938382629955,597.9230393127999,537.000297907558,702.8128862573466,526.2726569891412,403.0312956825746,958.811490960077,774.7919031041697,429.0365799706135,495.4763301352405,539.904333115324,634.9109880219904,659.9782981242607,669.7776790093939,724.7803538751164,872.4104775637004,614.8647310925403,444.73652888446776,584.2110498998799,831.6274888764829,526.5411749855531,790.9084514092959,552.0437127517558,648.127725538901,819.2465963717118,551.4184636331261,645.2144386753466,440.5810268465094,555.5540943418729,637.4608334378585,442.1710952170836,614.1327050683258,589.5280509262784,625.8533917348318,641.6844914903552,452.89678322888284,523.3006868498915,444.71070504704744,640.7859949878377,703.792840671364,723.1034474616094,537.0468782673405,511.4031513263108,544.0270791709969,528.7798144195277,503.80760782224314,630.6345420039465,402.3700160105293,453.51520578086917,598.5989510296462,704.9191224236444,851.3335099162532,793.8644078357939,438.9474688496721,641.0532903380788,695.2053270420456,652.7776127190547,502.6726654388707,746.3541944983244,449.80426921599496,557.3043405039375,653.8211553647103,717.868606928554,840.7401846173485,700.4068983837442,600.315619355648,939.8081385789224,608.7297026243998,,State,MEX,MEX.11_1,MX.GJ,Mexico,Guanajuato,,Estado,,
