CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,State,NGA,NGA.1_1,NG.AB,Nigeria,Abia,,State,,2302.480311880656,6875.886569028659,-2.339212861910147,0.06841283706340373,-12.089846290148692
,State,NGA,NGA.2_1,NG.AD,Nigeria,Adamawa,,State,,1040.6381662009067,2249.9690451989954,-0.6228010327457252,0.027498150842907965,-7.121910891209125
,State,NGA,NGA.3_1,NG.AK,Nigeria,Akwa Ibom,,State,,2483.106903486163,8142.44951774117,-2.8939657099648612,0.0646388224066109,-13.868992873497424
,State,NGA,NGA.4_1,NG.AN,Nigeria,Anambra,,State,,1914.2344473690016,2615.7587750584044,-0.36152763714627517,0.002846876479328242,-2.2474670685995424
,State,NGA,NGA.5_1,NG.BA,Nigeria,Bauchi,,State,,970.3386771982091,2015.6635952373085,-0.5342240805883226,0.023001448990847773,-6.55159554946036
,State,NGA,NGA.6_1,NG.BY,Nigeria,Bayelsa,,State,,2556.490606753515,3685.085496394582,-0.5758786022089563,0.0038780418133130823,-2.6806104228128347
,State,NGA,NGA.7_1,NG.BE,Nigeria,Benue,,State,,1553.6727752507975,4895.405172321511,-1.7171405418660823,0.09058037274419173,-13.152043836841951
,State,NGA,NGA.8_1,NG.BO,Nigeria,Borno,,State,,555.8398910807816,726.3926350099009,-0.08508517219642817,0.0008547922528600038,-1.8215920904286877
,State,NGA,NGA.9_1,NG.CR,Nigeria,Cross River,,State,,2448.960738628391,7233.299600924627,-2.450611337517382,0.08162525212601279,-11.908020596847132
,State,NGA,NGA.10_1,NG.DE,Nigeria,Delta,,State,,2416.764566934827,1631.2596456457816,0.4041083264661486,0.0028140874490308887,1.9898045307103551
,State,NGA,NGA.11_1,NG.EB,Nigeria,Ebonyi,,State,,2031.2890442469602,5744.385204146078,-1.9009082959617554,0.05509604115860278,-11.136184082719197
,State,NGA,NGA.12_1,NG.ED,Nigeria,Edo,,State,,1851.8922694299617,-630.9520242025555,1.2754976018301762,0.03620284080666181,8.196168703944764
,State,NGA,NGA.13_1,NG.EK,Nigeria,Ekiti,,State,,1408.7933962336476,1367.7528953244566,0.020128985463954085,1.2921392015141642e-05,0.17002842834260906
,State,NGA,NGA.14_1,NG.EN,Nigeria,Enugu,,State,,1766.088339313269,3764.0804080775306,-1.0243642808933944,0.022909927841843647,-6.9022226529004564
,State,NGA,NGA.15_1,NG.FC,Nigeria,Federal Capital Territory,,State,Abuja,1445.6289861351404,6171.189579894425,-2.4223564296795943,0.1952373687211073,-19.94013802272532
,State,NGA,NGA.16_1,NG.GO,Nigeria,Gombe,,State,,879.0403244799224,2195.7588286926148,-0.6756862310776431,0.0400509370285147,-9.147095902092037
,State,NGA,NGA.17_1,NG.IM,Nigeria,Imo,,State,,2305.3410465336697,4898.842663317613,-1.3268018512318105,0.025901492253056824,-6.848853037774577
,State,NGA,NGA.18_1,NG.JI,Nigeria,Jigawa,,State,,610.1259415351759,423.1206425192821,0.10033018486111278,0.0008599597566321115,1.956856967666581
,State,NGA,NGA.19_1,NG.KD,Nigeria,Kaduna,,State,,1249.205608050878,3913.876012679361,-1.3667548620651502,0.11181787633183338,-13.019780533928621
,State,NGA,NGA.20_1,NG.KN,Nigeria,Kano,,State,,882.2740225284455,-714.2362452493351,0.8280372871866495,0.024039147377382886,11.168461799750471
,State,NGA,NGA.21_1,NG.KT,Nigeria,Katsina,,State,,761.4610100866267,1759.1176508099807,-0.5072661492836915,0.024704200632086337,-7.927480325997516
