system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
00000000000000000575,708.1370918833203,742.8863320673814,802.1524615993474,888.8733579601325,774.5851128078265,700.0899545503355,730.5666686251944,738.3945448837177,664.9976551272232,826.708535222097,687.2410421411031,700.0776872859127,997.9177002544059,612.0453440981452,700.6335000108057,780.8358581880645,626.3502657772924,606.0659520319388,803.925454462877,801.7562321284335,597.5594173869322,829.8880573024722,694.9351302657383,807.917449908962,838.3294573898631,777.9284919538272,689.7901548013647,789.8123475387381,683.8737054299846,648.5790228837094,516.2723905951154,682.1206282197522,778.8988465115242,721.91509963335,775.3121531632927,815.641657659127,878.0294919258001,775.0862774987438,619.6772700688321,790.0821638305157,766.3009215548819,815.5390494150079,562.8572260855309,678.3834282966075,791.5677601667857,861.8285543987861,752.4131123185322,770.6115189970445,842.9771684617584,881.2547077268651,731.1496307246417,671.9784530280866,650.8981878299105,816.5932805020451,785.81416597274,766.8626597550895,730.6920363556795,719.0536227193281,693.4077556182733,899.8927934364331,841.0833151409735,823.7039109015036,650.2210576016544,932.5565128985938,713.8586114274021,820.1602682322057,916.4256003394331,856.5502953324905,477.17739828064873,943.8686685522564,996.2411418403002,732.3969258457462,718.2767779296199,652.9145957767386,991.9538627402911,955.4473634669724,830.7219864250385,864.0993369116987,712.2476223725334,857.583915404429,583.713956967429,733.065956843839,774.1342224712031,842.6741142642285,692.0723839386536,587.8578301267505,800.6971641952072,690.618535169757,853.0489413734954,851.3687226650297,897.0158848426154,681.2087096745872,871.9375754708569,880.0510227736266,847.2908035637103,801.7674128742138,857.2071888186296,960.785772342075,658.875433408703,847.596570997647,652.8345268534426,777.827974142705,1036.0937831345764,1018.4996021740336,849.5562025732355,614.7979666260103,713.0033423290542,1137.5715891731231,876.7321142088492,938.3601179742881,1038.923149858108,944.4173131074814,698.3414014971933,967.8771429418034,784.6126935650203,746.3099637064532,993.4902138611093,880.8027141987865,796.0870570687994,831.9054401656239,829.072739597178,870.2248681201645,793.1211197933551,851.3635966405169,1029.4799548052815,803.6239589411523,956.8966866436506,662.3951931817568,846.2186258614146,,Province,NLD,NLD.1_1,NL.DR,Netherlands,Drenthe,,Provincie,,
00000000000000000576,745.144714934393,777.542722459085,730.4068873128916,914.6224206443723,758.8950727095771,695.3920535369294,745.3364964100081,733.9917225411267,684.0771295811102,762.4196482092384,682.0797659194244,637.0411605214684,925.9499610962907,602.1850218734121,718.8288504747841,754.3336667109958,602.4927595598588,594.8739738981252,793.9287506351626,756.3549786492739,628.4760699181699,872.519052396945,656.323695154371,799.5820250472401,824.3446496482787,772.3282383864487,748.7592342552455,765.5974840613884,696.1096190579216,650.5598655638655,453.1409426640043,623.3994175360456,766.130956220756,687.8076040376493,834.5793588529759,728.5418572981507,800.6755917763644,773.5230482974997,566.6783931080888,863.9986322501164,686.4373476602196,792.3680456311399,525.3041794112704,686.237902468136,819.0311219750381,811.3224785864193,751.3860062596598,706.0425131366183,842.0731208615186,832.6012381370151,755.9412150395917,736.969564298304,609.7569070624788,817.1552755050866,760.9752762130283,839.8681878810976,680.5328058175602,664.7658952749194,661.9902399988356,967.843258824129,826.1513065658609,786.1663543783875,598.3743640103637,866.4988858189364,644.3053339102728,818.8597345946604,878.3503143393251,779.5896268188145,539.9030632701347,980.0053648082868,979.1901585028423,756.3335601889343,755.0963125668245,716.5915387574896,1027.9513798742114,1098.9036596448118,887.1876838497998,894.0636791859863,774.8996469554539,836.6371029902925,575.3450046942486,732.8681928433053,788.0164805673325,862.2134182730986,678.2556662624122,517.4202464033917,764.283445115335,694.027874623534,884.5634428194868,797.5320284877043,880.6161427071424,713.8207988790704,894.1997411050771,896.8126915412221,793.2571201893048,759.2638472890467,902.0303324877731,934.4780548840034,659.7740152663979,837.098357658076,667.4099522205549,875.9758246196965,974.6011500578263,1010.0571987079735,778.1844730532265,647.7427209373412,689.0178798272357,1159.8030623769373,866.8239421069138,981.0056426919249,1047.2968075139736,915.5581787440188,660.521081691835,956.4225233124524,855.785773300543,827.709796523014,958.8243363543255,879.2736716335057,814.5886711802909,870.0149001041402,859.3613024869263,936.9619629402472,786.0379259890011,837.7503615795436,979.82032945421,839.6897747587706,993.2761623310204,646.993159431106,855.8511090369083,,Province,NLD,NLD.2_1,NL.FL,Netherlands,Flevoland,,Provincie,,
00000000000000000577,697.9189994847756,782.8889521092937,796.4707026484111,896.7077717738869,768.2240657141159,715.4312635478348,746.0735542261618,752.9894406002429,650.3848295196898,787.1287399840071,684.2736364917666,684.3104606441755,966.7430592129343,623.368122249764,707.2805873825176,788.1793206536105,624.912868358765,600.2980357164645,826.7106992373052,799.079284572651,652.3863203216504,851.900396439385,638.975308721603,845.9473325698589,892.7711904149451,747.0958467371324,776.5703562190915,782.5881205950474,743.2614525909663,648.6671769451438,495.6739050305677,676.2610018331518,796.9125756060685,643.0152826502818,797.7452881240646,695.6412491090964,835.5473091407471,745.1143053760757,585.3149615500757,844.6278008178522,783.5924793821273,799.5133216774508,598.666381168713,709.8023687995144,861.7993028075792,839.1632165864133,759.9248682644638,722.9619339203724,786.3796962438183,815.0079060385216,711.3606015492826,742.7969774348483,631.2318128578866,814.7201050376596,778.8741977419598,783.564842879431,631.7734653010214,693.5568069545383,730.8279619748117,977.7061179149653,839.4512763750673,835.1928420535976,656.7064262362336,898.2993467808515,673.5712447079565,807.5992031305921,898.3306471086431,806.4206574741345,550.82149666464,957.2333923371617,951.6686675882415,742.3169053657053,716.4836500129123,698.0103308912493,946.7648385647125,993.8669878727815,881.0511874308628,913.2647295211641,778.4758374811398,846.7447002992726,622.8777421656405,737.781815139159,828.043010467418,859.5287726271717,708.8005933468692,555.5963703495088,773.586777885155,706.7831032637318,895.4755453638954,842.3889772414167,849.4470639643355,757.3004868769012,864.112884060782,866.378211065607,891.5056875170302,827.3558083355023,865.3304888175714,977.541300784046,649.4988625410756,864.5906104545057,638.9570828804679,831.9371564429232,895.5106604048387,985.7188016940131,856.6354393628909,612.9743648848765,669.036596660624,1083.6716601854807,920.2262591988019,970.3519254701329,1039.3931340183335,952.7452382410894,698.979158543473,996.8714075361548,821.4136522840175,801.2567919006825,1002.0843937966678,958.4087187306823,799.6119597959743,830.3013892186178,811.3257800553505,1006.1247453744186,755.2806314511078,816.7563023803012,969.4729706716066,796.7612704704479,1018.2694237633089,661.8529829574338,870.951136512101,,Province,NLD,NLD.3_1,NL.FR,Netherlands,Friesland,,Provincie,Frise|Frisia|Frísia,
00000000000000000578,757.075214359251,691.3600376513293,674.0965208745188,880.5429834515701,754.1966646617296,726.9236178227518,722.6408959321543,748.8012186273443,726.4130058781064,805.9985232238881,731.394828478378,693.2799069338819,934.6686043846613,592.8505950105975,810.6659954975821,770.5938982989945,661.5929473347877,663.8066706585294,814.778961913342,824.0963187222989,606.9439168864621,892.6301220000689,730.3221346617007,815.9296808358885,838.1679504011794,851.5441157426485,758.8680936390515,789.1202458318684,731.7521381216354,636.2650903401362,461.19181603657194,674.7348679641391,808.2810033378192,767.1778314999221,869.3489284874194,819.5255259559938,833.642913874644,794.9705604769919,590.8440891492413,889.0930776676978,714.5855193270039,787.1470880849648,533.9790104690488,712.6785355317816,808.1397609168952,840.0814040580476,777.6851274412261,734.5624683904982,847.1507385771725,847.6964151627986,765.068239015743,708.393316242889,628.1873615846031,839.3321445173812,849.1768187801143,820.5834211450095,689.2988094834989,761.7026287713468,652.6437926818329,909.4723141964664,823.4594201763717,792.8412411871627,574.3579783733371,867.9637372148119,685.5754729312796,834.8116666033276,895.191166184389,829.6872165050947,518.3254462860906,963.3490454470789,1003.7875149402174,745.8333616182839,713.6640514907077,671.216196452063,1062.9916643897618,1138.0340519887147,792.0137119497242,874.6705430557436,705.1154638365686,870.7054654539664,585.2853863194435,728.5194909726504,717.1903455080645,891.389948300003,678.0244939642961,518.514031421826,798.4174772042359,698.5519438222606,816.3853704156315,790.0719569595657,895.6596035339961,671.3705933337632,896.0459054393198,915.7979818728961,781.6330950943494,815.0596052765715,908.7439786375602,914.1273426378137,677.5641308611761,844.2747101201556,672.8545402321415,865.4110002957423,1140.3102287537317,1009.6650937712532,754.423535782136,666.2316062417868,706.8977297983763,1124.9444313963943,834.2438951110277,969.7678668206134,1001.0363715272773,919.9711501382892,685.9524768025881,910.7972636122582,845.2803166416552,810.6542419185939,1011.5016266961063,840.4486868368306,809.6141363050347,886.3591418911811,863.2438609799702,878.5792461467025,790.5897135521731,849.2449986743821,952.5397474625945,843.7934970609466,927.3309182533255,643.1610541489677,834.8261634322911,,Province,NLD,NLD.4_1,NL.GE,Netherlands,Gelderland,,Provincie,Geldern|Gheldria|Guelders|Gueldre,
00000000000000000579,715.220156984103,732.3019339598676,783.5209928248435,858.2257718448888,748.398457346933,705.7112313747042,723.3616729012499,749.6589323713657,649.2244268299153,784.5029227760975,699.4354034633974,689.6460636200209,949.0179450364176,607.0722093998064,721.3361068760611,762.2641117297336,636.7448760822883,600.5874851404845,834.199850582949,801.1132119958786,604.8895829192719,782.3208758727048,647.4869657485834,821.3474059918498,854.0555917262667,765.1443936290318,732.9937963624354,769.4098697536853,691.1243276326094,657.4777726959252,542.1993789264238,738.5884773937364,805.8432215578973,653.1789254711709,776.0093387524956,766.6741856499857,839.286100123434,711.1226278945703,571.3274433162254,824.6554842352776,844.1543050939654,829.085019777819,633.2265800586985,729.424393832638,849.537395731219,852.0677531329203,796.6580279583045,773.0169641309417,813.7584721653537,853.0056878508005,689.1104870353297,693.430722062243,664.1322986745798,853.058333965322,806.5145605973096,737.6387761531208,653.2885731913794,671.661785426355,685.1251152990061,910.434520858613,799.7940252139172,842.0564491604702,657.7330384841838,871.0250606989259,730.2931379392664,795.4114208965694,876.5095411912121,824.064575568902,485.37975268666764,915.8937757589842,942.5242442661511,721.0198135901337,706.7003015052662,642.3290281054988,954.0523316924046,897.9829446198655,833.5801655916013,888.1772229312118,724.8460408497515,826.4399738618231,602.1238562562763,738.2125881110428,799.8890452308334,832.9293060185988,702.0736416478877,581.466016400198,793.8135525412293,736.5177792561539,895.2649375489403,858.9761975966253,899.60081485436,710.7519335582591,852.6397446834502,843.6699151503922,847.2836090765022,800.7467569177536,838.4270110126663,990.4743884903108,662.4498278406986,832.0976050215636,658.6500267022972,765.1522574508655,961.7132356347435,929.6271789130493,840.3747693085909,588.2711061158067,672.4670285003826,1071.1337344717597,846.1495928716915,848.977347878162,1037.0997110379956,962.8799333871552,708.907924614157,920.5043551642749,765.0814717065861,771.2993008088956,1020.0269599803643,883.073432531262,788.705665640915,821.9830411460078,803.7945149895245,863.4123704205421,773.4147270220149,786.9873096375586,974.612355542347,772.7247286900913,953.8504296837641,647.2460827758136,815.5903494498524,,Province,NLD,NLD.5_1,NL.GR,Netherlands,Groningen,,Provincie,Groninga|Groningue,
0000000000000000057b,666.6838662904353,567.7750946262129,655.8188575934686,780.7755262164459,700.929925776037,651.7987081181535,697.0849891744049,651.9873875519559,615.3706676442428,781.246774693825,693.2611643292302,692.634631934115,835.3696056108034,560.9390277794671,915.6246838009655,796.3870040513443,623.6501888940343,672.2803047153025,711.995153352459,809.1674523947501,521.1730356725509,774.35366289132,731.9686216306856,764.2096894830995,781.2844003154713,816.6440701196202,776.2110697790397,746.2934352019504,745.5574222985535,606.8916192105656,420.8409597593694,732.6212694161302,757.5940689684232,799.7228624880102,882.0011484275083,889.948232358885,764.4028907857331,761.969688877092,561.4434943691267,888.5387598764005,726.5270714267716,681.660977998238,535.8786885000208,572.9889190239414,728.979769777997,753.3843640636295,731.118137671854,710.3949371012079,756.0974577771386,771.3748028303805,702.8147963119994,675.1930294919268,618.1051249656812,829.4384364335137,752.8851771778907,694.5434042499581,602.2848913661102,744.1109385643141,634.3866838339808,772.0245095249596,849.0247097897783,836.6386471677081,557.9978771820611,798.4383674703033,653.8002013617138,811.2294557510321,857.4754425809052,835.6408959113828,476.2771994159739,924.0061452736633,916.1918645023875,724.7981582044282,618.4467613790382,654.9580811741513,1000.5682822665283,1048.3511422588306,734.804303369488,764.0682724379135,665.4072080999082,816.8799468885536,571.3067934300975,661.3443623607269,653.6468082848816,870.794030023215,596.9079956923515,504.8620737150471,776.9389969360786,666.5329790760189,785.5377476376569,790.6868019511267,926.9071525492277,737.0218591656125,788.3764957414403,947.3335844426817,744.6862680021129,822.9122056519857,801.7952982403629,865.3437919209435,661.366053408151,716.6688675524077,609.6634882590948,756.0661265960367,846.5701509523221,794.5422198203958,699.3160208162464,642.7142763511141,705.8445524168185,1003.6776588955807,860.0407012179228,851.789729216769,909.4970451164925,954.3790883237356,661.2383341941968,848.3636339941058,725.0602955122436,746.87261256968,910.2106153277739,797.0489947770412,758.6231254496183,806.4574493734012,717.0840352014291,806.7770566566983,699.6281979380977,811.866403600075,766.0894800912444,853.2243838598719,757.5779793084305,580.9831693927589,756.7077372269273,,Province,NLD,NLD.7_1,NL.LI,Netherlands,Limburg,,Provincie,Limbourg|Limburgo,
0000000000000000057c,716.7624531076916,600.3812550103488,636.9666658088343,776.8615176528247,692.3339631948897,629.9323064092379,700.1582748868573,649.2157288280886,637.1318429975368,759.4800587440606,690.5502427969407,644.8925029469959,845.0934607662371,553.6291601152561,827.7894927523031,762.4031349523742,612.2681430190357,672.3483369286381,775.6257769912037,812.7225534695297,600.8560530249753,860.6992128514532,740.5797752721985,780.3615797128251,803.3238410152609,827.846588886318,738.7421351874053,770.3509570904632,738.35083934727,580.4636427238806,398.68194855647295,688.2332543899765,775.0530796335704,758.811906114265,892.5362702554731,792.064230733843,800.4835028804949,755.7851740367378,585.1776598802255,925.3751754760744,751.9710545326346,727.1754418216535,575.8243487229987,630.8867769611415,774.1836217396296,743.1021069654779,763.5949962786773,656.7954371665842,792.6353180842613,784.6212851680928,718.1410893226739,697.5466389670302,625.3655555383483,799.2564901778946,748.6137593511327,768.6712065967163,649.8606845684907,777.5697492912634,591.9639189307369,861.6462818885916,819.8461021992696,826.5222568113412,548.3370049092306,802.3038352169208,655.5286805110193,775.7546898913026,791.8020766756428,805.1529267951624,504.9207266850258,952.191409962213,926.2774059694206,723.6329005910391,651.4471244925883,707.8175021954437,992.2376165133804,1046.5462709796964,757.4779062755072,810.7446254217804,685.8665253368774,835.3424562824305,604.6340143915431,681.0528031989709,693.1159023683463,901.5674215971534,677.1838143875351,488.96442182170813,800.7558452777007,687.9037683743151,820.9607955477131,762.7308270582513,899.6799494045882,707.2113165556494,807.3089563853706,928.2009732829989,789.7436901263335,831.9005152004868,843.8298553694539,928.8527377911469,635.0384020677253,743.4356963200356,659.8237501457556,807.974092329794,871.3524635884297,928.9807884785665,721.7476513079744,612.6748299897607,664.305421174462,1051.9969709937252,848.6468923540257,918.5243443275565,960.124896946238,935.8942460472903,663.9271620109901,844.2225810492215,800.7682037809002,810.6788539601796,939.7840437931803,790.7387599888134,782.4428054809568,856.0226962189175,807.9382940719377,901.5220205734025,764.6513511771586,844.0140205041685,853.5268025867975,880.309646879737,844.8423688973955,656.8417556990439,796.7690053455864,,Province,NLD,NLD.8_1,NL.NB,Netherlands,Noord-Brabant,,Provincie,Brabante del Norte|Brabante do Norte|Brabante settentrionale|Brabant-septentrional|Nord-Brabant|Nort,
0000000000000000057d,746.9946573607778,850.7156897175067,752.4493878033697,913.5882762597531,776.7804345500713,711.7765059568442,793.1572889600482,774.3290517768083,704.9362724849155,775.6524099233199,758.6388921543042,665.2318835745052,965.7433018976327,645.5202789695894,737.0174841978111,749.3258754963776,614.3208955647995,585.67624652629,780.6415941666585,707.1148884442387,642.0526093074253,858.1939197073177,648.4486289900177,823.3204972014134,885.5301264938042,733.6361759341492,749.6070806931477,771.5189184072066,750.4397016642042,634.5336057701888,437.616561169527,656.3967918084592,812.1409264778603,702.5330714011678,844.2432563937441,688.1577478525589,831.8430401159792,778.4959150041852,572.4321794315259,860.2366867454683,691.6920443554312,746.4550980937723,517.6704680773676,640.392442703247,834.3828907402192,775.6050731113978,784.958026302104,712.4888427111568,855.1078080936352,819.005115976139,734.7481214172985,824.8107123472253,663.5825442489313,820.4805099331602,703.5334282699896,822.8245245096633,634.9301758591009,666.2171283254818,683.0446662902832,965.919591553357,851.95518668817,805.0040410489453,586.0645423032798,850.5787771575307,659.2561556757712,778.1676838154694,891.2856634490342,789.5506031659183,595.4702633838264,933.8224301240879,945.4173545837402,770.4915075886005,766.5753446306501,740.7930708126146,940.0640984360052,1028.845351550044,886.7855191522714,866.1381076890594,752.6895884689019,777.581998319042,601.1506939712837,687.6744443543103,799.028279635371,887.1127646699244,710.1748743251878,572.4828390393938,767.0423583205865,704.7583921782825,955.4474751608712,793.5789193133919,912.6938664183325,763.7216518557799,902.2104601568104,875.8352645562618,838.8410031844157,819.4215990183304,909.9699800841662,960.0646816954321,673.6713605997511,804.2475656781877,690.1590032382886,953.1819520288583,920.9508973335733,1038.5836747227884,762.6416040926564,651.120493441212,674.1103307762925,1178.5539876198281,984.732806458765,1059.790516288913,1012.3043414913876,955.2461240729507,679.2922789126026,933.3929999604517,917.017977461523,873.7172455690344,948.0750612142135,961.4009443399857,772.5620289627384,872.4806556701659,853.5886727547157,1042.3800576657666,802.54366606109,875.6451052062365,944.8913362464128,863.9848363837418,1013.3655808896433,680.3923292743917,980.6001648416325,,Province,NLD,NLD.9_1,NL.NH,Netherlands,Noord-Holland,,Provincie,Holanda do Norte|Hollande-septentrionale|North Holland,
0000000000000000057e,683.0634982795045,698.8940028475041,678.0794292249177,854.6367423743534,759.7673903013531,695.2865444317199,715.3124068410774,711.1518196975975,695.5832366608737,818.7605208346719,694.2857132961875,685.0555435649136,988.2301543386361,581.5433543355841,706.6740762810958,793.4845722265411,613.2331759134929,623.4493520636307,774.8436932480129,766.4705012806676,567.8001543680825,842.8345320182934,677.5003166533354,785.3710172218188,778.5716664832935,770.9706723062615,690.3085338190982,765.3900192327665,660.4943943023682,629.2762751328318,495.09858959599546,659.1938281477544,782.37104288737,745.0195350312353,795.0233239625633,832.9830492253892,847.2186284316214,798.3157138155217,621.3241377044142,810.5539741516113,715.5090027524715,790.5962031180397,549.4699447364139,688.1547059845507,790.3430109525985,876.2539103323954,732.8938456418224,750.1980712957549,840.1400873619212,870.2171907926859,753.6763628909465,665.5465189950509,610.3070825275622,807.1716254050272,762.049630282218,815.1744277686404,759.0847612012896,701.2386920661257,688.556847589058,894.308917664645,826.4412086888364,776.8500982920328,599.7232028225012,911.5075049818608,668.4034784216631,832.4980973695455,908.4421458327982,822.9229716585396,492.8431717220106,950.2616479773272,1027.638007615742,707.7829053443775,724.2019652651067,641.3244781159518,1046.1354108776961,1074.661897826613,825.0154816476924,856.6546466894317,711.9088184959008,855.8128021976404,546.2726510031181,705.7489597253632,723.809389248229,848.8160544947575,669.1923193680614,557.2202692533795,775.061203036392,679.2686794347933,776.0585361614563,814.5730671129729,883.321454332586,676.3092065777696,849.1547747494881,903.8288825185675,786.9032018561113,798.9814605043648,892.92653050339,937.2827092220912,670.2014324121308,861.4072919477497,648.7617013830887,804.2621347862379,1064.6417369173284,1031.3180540319074,813.0802961316025,669.4901412495395,739.1941179978222,1142.0642294632762,849.766060377422,963.8581242812309,984.8547957905552,904.2203542140493,680.55215875726,956.5443771429229,800.3771143126907,757.7363497081558,962.6902718460351,808.0168295408549,803.3196895666292,853.1848683273585,823.7195495806243,839.154903244554,785.126070022583,821.0682121745328,973.970148755793,788.6253064473472,913.719842676531,635.8320566478529,821.4992644661352,,Province,NLD,NLD.10_1,NL.OV,Netherlands,Overijssel,,Provincie,,
0000000000000000057f,788.9138409912739,769.3560571005179,711.4483699355014,918.2142111608223,754.7337706415536,694.3029062039476,759.9287740229328,748.5487394899669,696.3843182704245,748.7084232300749,783.2912557439286,643.8285695945879,932.9233117707323,607.6807130325673,783.8994554623151,744.3861719570108,633.0695342623294,626.6194317642725,810.9002654792724,794.2304027468658,624.9703043462077,953.9417245160087,695.7587674557392,781.7829260222362,873.8938314748364,852.416405729545,755.6031083296742,821.8879574324734,749.0766979286527,640.0621149422893,406.2847922470527,650.8429485784329,805.1186308158461,739.6082120989026,881.0896511028598,716.5423541401707,830.6197728198937,785.5150425637414,587.8042022153081,897.6845322246699,717.6544871564365,744.6963862929232,508.748157235079,679.9487883496346,859.3990618880713,764.3162670677638,757.5701219819928,745.3404947128098,838.9118758800417,820.6605420962783,741.9823182571765,762.9182847291615,640.7355027309683,810.4411595859577,765.7896189923742,810.7686690298469,685.8813729692799,712.4499919408357,638.0861787229237,939.2211373104913,842.298120227587,812.7076159731054,567.4486148646944,820.38122724193,685.5079296811914,802.5361949516512,899.2244266638152,824.3199880831617,569.4965362943111,977.8509029417999,962.068346915627,783.7017431924509,779.4015517123909,771.2524337571411,1078.351919405836,1145.1102928930472,887.3240231063014,861.4929157424649,758.8789955158874,866.2396990162456,606.6954829095254,706.2895348521781,767.0789660865331,897.4843619886293,687.108145938055,525.3528712073037,800.4021265783975,706.01831165087,901.175880451843,788.7649163140189,934.0727231521014,697.6657182560408,896.1941297269915,924.3064766817313,799.6366040133689,809.6288887437921,901.0793736972856,937.0361302890827,677.199516118959,808.517203003245,687.0952241488513,900.9067358366893,978.2074301865056,1032.6907237444736,718.5323820680919,631.3533687936551,690.3215343859767,1137.5432818114602,888.4564918695494,997.8806585267532,1028.2607367463816,927.1168380067019,636.1533520917867,923.2203241392624,905.5792920805071,870.3320324328517,1016.7188746725865,883.1756972675176,805.7412772560612,888.6339620742993,900.0341482236404,965.0081548961864,854.4078326557957,887.1102671857334,989.5044518601368,886.4528671382931,995.466028967569,671.5163120003632,912.2725459451207,,Province,NLD,NLD.11_1,NL.UT,Netherlands,Utrecht,,Provincie,,
