CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,Province,NLD,NLD.1_1,NL.DR,Netherlands,Drenthe,,Provincie,,778.3432887310275,-1781.2771972536439,1.3125170604520717,0.14118372065903761,20.06692065764969
,Province,NLD,NLD.2_1,NL.FL,Netherlands,Flevoland,,Provincie,,771.9130502464069,-2328.3374337693404,1.5897153038567913,0.1817982113969011,24.50743916022279
,Province,NLD,NLD.3_1,NL.FR,Netherlands,Friesland,,Provincie,Frise|Frisia|Frísia,779.7561604719745,-1977.0245026832818,1.414205937893199,0.1648958509039169,21.58245296932659
,Province,NLD,NLD.4_1,NL.GE,Netherlands,Gelderland,,Provincie,Geldern|Gheldria|Guelders|Gueldre,785.3661948050593,-1436.2635445315773,1.1394139336813789,0.09792338358409469,17.264590582707704
,Province,NLD,NLD.5_1,NL.GR,Netherlands,Groningen,,Provincie,Groninga|Groningue,771.3262045225046,-1407.8559083372065,1.1178985946175917,0.12088036490952081,17.246909540931078
,Province,NLD,NLD.7_1,NL.LI,Netherlands,Limburg,,Provincie,Limbourg|Limburgo,742.3536978969371,-493.151562318944,0.6336310038739575,0.037148587983073855,10.157164930222953
,Province,NLD,NLD.8_1,NL.NB,Netherlands,Noord-Brabant,,Provincie,Brabante del Norte|Brabante do Norte|Brabante settentrionale|Brabant-septentrional|Nord-Brabant|Nort,753.9037434881413,-1270.2360833714265,1.038773314118615,0.09696227771676669,16.396526141146506
,Province,NLD,NLD.9_1,NL.NH,Netherlands,Noord-Holland,,Provincie,Holanda do Norte|Hollande-septentrionale|North Holland,778.5794902274072,-2681.4623483112982,1.7747163860348305,0.2220040913886251,27.125200777695824
,Province,NLD,NLD.10_1,NL.OV,Netherlands,Overijssel,,Provincie,,771.875849923251,-1718.5453800556434,1.2759762364181493,0.12506521359632694,19.671709141937473
,Province,NLD,NLD.11_1,NL.UT,Netherlands,Utrecht,,Provincie,,784.8714217694109,-2172.7638210258133,1.5177188384267433,0.15817857148243042,23.011226649789247
,Province,NLD,NLD.12_1,NL.ZE,Netherlands,Zeeland,,Provincie,Zelanda|Zélande|Zelândia,754.3497370737418,-1778.7793724956355,1.3015879974214366,0.1367795034465552,20.53277996675562
,Province,NLD,NLD.14_1,NL.ZH,Netherlands,Zuid-Holland,,Provincie,Hollande-méridionale|South Holland,793.0546854303705,-2271.2858658941655,1.57289973721462,0.17989897417234824,23.60178587520288
,Water body,NLD,NLD.6_1,,Netherlands,IJsselmeer,,Water body,,761.0499121096592,-2317.665554555988,1.5787651339925897,0.18900722723929042,24.686035430229136
,Water body,NLD,NLD.13_1,,Netherlands,Zeeuwse meren,,Water body,,755.4451076584066,-2070.6614371791047,1.4515247450666167,0.16566863555986233,22.864857143403754
