CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,Region,SAU,SAU.1_1,SA.AS,Saudi Arabia,`Asir,,Emirate|Mintaqah,Asir|Aseer|Assyear,155.7878852424716,588.5954884979672,-0.22448951602248274,0.0360882285184716,-17.147836858493083
,Region,SAU,SAU.2_1,SA.BA,Saudi Arabia,Al Bahah,,Emirate|Mintaqah,Baha,150.91829214810463,235.982632558587,-0.045652035572167564,0.0013973790880360548,-3.59969103530315
,Region,SAU,SAU.3_1,SA.HS,Saudi Arabia,Al Hudud ash Shamaliyah,,Emirate|Mintaqah,Northern Frontier,89.94586078622214,393.05339077594317,-0.15660918211613262,0.049982525331132344,-20.719677936168583
,Region,SAU,SAU.4_1,SA.JF,Saudi Arabia,Al Jawf,,Emirate|Mintaqah,JawfAl Joaf|Al-Jouf|Jowf,59.00001006682186,341.4710413822625,-0.14501600986091856,0.08774946129945715,-29.248986828823575
,Region,SAU,SAU.5_1,SA.MD,Saudi Arabia,Al Madinah,,Emirate|Mintaqah,Madinah|Al Madinah al Munawwarah|Monwarah|Medina|Médine,58.70079603113696,21.728102155200112,0.018294559126616174,0.001097910850883843,3.7087274504975025
,Region,SAU,SAU.6_1,SA.QS,Saudi Arabia,Al Quassim,,Emirate|Mintaqah,Al Gassim|Gasim|Qaseem|Al Qasseem,164.16669690265894,1384.0766109406309,-0.6285343090571567,0.14826210917325378,-45.5607526916077
,Region,SAU,SAU.7_1,SA.RI,Saudi Arabia,Ar Riyad,,Emirate|Mintaqah,Riyad|Riad|Riyadh,94.70076311175518,235.80007769840324,-0.07391725229971284,0.007676478191667502,-9.288365515371401
,Region,SAU,SAU.8_1,SA.SH,Saudi Arabia,Ash Sharqiyah,,Emirate|Mintaqah,Eastern Province,82.70724806197734,22.12668357328908,0.030228682983434233,0.0020146090305376285,4.34933256675772
,Region,SAU,SAU.9_1,SA.HA,Saudi Arabia,Ha'il,,Emirate|Mintaqah,Hail,113.6673017684978,792.3643077737994,-0.3502577697087451,0.10632601324460522,-36.669010301863445
,Region,SAU,SAU.10_1,SA.JZ,Saudi Arabia,Jizan,,Emirate|Mintaqah,Jazan|Qizan,158.24194363759324,300.1531025846752,-0.07423702914220767,0.0032657609226389717,-5.5827211577702
,Region,SAU,SAU.11_1,SA.MK,Saudi Arabia,Makkah,,Emirate|Mintaqah,La Meca|La Mecca|La Mecque|Makka|Makkah al-Mukarramah|Mecca|Meca|Mecka|Mekka,131.20219199996782,102.91938748296103,0.012797459013967134,0.0001741129963044319,1.160725746611354
,Region,SAU,SAU.12_1,SA.NJ,Saudi Arabia,Najran,,Emirate|Mintaqah,,73.37354027051592,63.99945201012303,0.0034615551794455945,1.9106051852735284e-05,0.5614081927017931
,Region,SAU,SAU.13_1,SA.TB,Saudi Arabia,Tabuk,,Emirate|Mintaqah,Tabouk,48.10769866603843,276.3036536515214,-0.11744972572351851,0.07829102158661427,-29.05255863125585
