CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,County,SWE,SWE.1_1,SE.BL,Sweden,Blekinge,,Laen|län,Blekinge län,603.039312284463,-584.3242679737399,0.6084202768747109,0.06453073811453758,12.006184584188013
,County,SWE,SWE.2_1,SE.KO,Sweden,Dalarna,,Laen|län,Dalecarlia|Kopparberg,639.714796241994,-1152.8325399817054,0.9175071335048623,0.10886570484181168,17.067504070325786
,County,SWE,SWE.3_1,SE.GV,Sweden,Gävleborg,,Laen|län,Gävleborgs län,606.4565357101907,-260.570783052479,0.4418399418453806,0.02737434156502916,8.669863375786319
,County,SWE,SWE.4_1,SE.GT,Sweden,Gotland,,Laen|län,Gotlands län|Gothland|Gottland,522.7538144874673,-596.1508390878473,0.5735803992232091,0.06939313885622755,13.057019502475248
,County,SWE,SWE.5_1,SE.HA,Sweden,Halland,,Laen|län,Hallands län,881.762634317529,-2058.323765856812,1.507282443103775,0.14750355623648115,20.341824857227735
,County,SWE,SWE.6_1,SE.JA,Sweden,Jämtland,,Laen|län,Jämtlands län,622.4539384602489,-1087.4683922173144,0.8754137331707315,0.1527347480007235,16.73605512160637
,County,SWE,SWE.7_1,SE.JO,Sweden,Jönköping,,Laen|län,Jönköpings län,662.9850726327401,-2118.626873190389,1.4261748559367826,0.24786563869871492,25.598586583938143
,County,SWE,SWE.8_1,SE.KA,Sweden,Kalmar,,Laen|län,Kalmar län,562.2097233778668,-95.08230651410065,0.33757757127520804,0.021692046763883255,7.145328391047754
,County,SWE,SWE.9_1,SE.KR,Sweden,Kronoberg,,Laen|län,Kronobergs län,686.7149513907465,-1077.7138159189963,0.9036922625200837,0.11409676072989394,15.6599734754718
,County,SWE,SWE.10_1,SE.NB,Sweden,Norrbotten,,Laen|län,Norrbottens län,523.6517924628205,-1699.6016701501321,1.1399902984783883,0.24896333704044715,25.906307869376775
,County,SWE,SWE.11_1,SE.OR,Sweden,Orebro,,Laen|län,Örebro|Örebro län,686.1951050800184,-342.0562002188009,0.5261065741264939,0.035968687554941536,9.123743649228174
,County,SWE,SWE.12_1,SE.OG,Sweden,Östergötland,,Laen|län,Östergötlands län,564.4647070632202,-624.0373919763185,0.6103394565697967,0.06687839468297818,12.867127815605164
,County,SWE,SWE.13_1,SE.SN,Sweden,Skåne,,Laen|län,,688.574369768448,-846.6305387088288,0.7872174834240172,0.09909258673329624,13.604758562094046
,County,SWE,SWE.14_1,SE.SD,Sweden,Södermanland,,Laen|län,Södermanlands län|Sörmland,575.9811183723516,266.63083300733024,0.15765421268882493,0.004341882989259638,3.2571990142638554
,County,SWE,SWE.15_1,SE.ST,Sweden,Stockholm,,Laen|län,Stockholms län|Estocolmo|Stoccolmo,565.4524201346641,340.3530243236313,0.11539247184136263,0.0025328875756271962,2.4284455526517883
,County,SWE,SWE.16_1,SE.UP,Sweden,Uppsala,,Laen|län,Uppsala län,569.3235411219392,190.71486535679014,0.1938143860216312,0.006573905944255554,4.051108073121856
,County,SWE,SWE.17_1,SE.VR,Sweden,Värmland,,Laen|län,Värmlands län,696.1632375015982,-1092.4775578137637,0.9159789679712232,0.0817101113992369,15.65746240490404
,County,SWE,SWE.18_1,SE.VB,Sweden,Västerbotten,,Laen|län,Västerbottens län,599.2114679214949,-1390.8511939382483,1.0189218359330987,0.18794963856419533,20.235209932918778
,County,SWE,SWE.19_1,SE.VN,Sweden,Västernorrland,,Laen|län,Västernorrlands län,591.246266156766,-1143.201534836058,0.8871296548109895,0.10093013506510284,17.855238157988946
,County,SWE,SWE.20_1,SE.VM,Sweden,Västmanland,,Laen|län,Västmanlands län,602.582682368288,233.92912280298418,0.18765305908894578,0.005569545667554077,3.7058340182993184
,County,SWE,SWE.21_1,SE.VG,Sweden,Västra Götaland,,Laen|län,,734.1661878479515,-1501.1633970463986,1.145632971783717,0.12911237725063096,18.569409201734693
