CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,County,SWE,SWE.1_1,SE.BL,Sweden,Blekinge,,Laen|län,Blekinge län,539.0925516815059,546.2331443837427,553.3712038915359,554.8175664905613,550.0822731079778,548.335190872238,559.8474660667346,584.6177625785259,609.8123323658444,620.1256283535924,612.28792936738,596.5444242077514,586.7279324528156,590.4238866131959,600.7543593263134,600.7488519883073,584.490780743253,563.5172067659066,547.5585889318785,537.1011595395705,536.6279141249787,554.7297654559021,589.2025305984228,626.0811593166914,653.2008432946426,665.4051024323858,660.2148264381469,641.0375846682822,620.1234234832439,605.3354080267071,594.1052931650469,588.9790082613988,599.3700208083526,620.7732227398433,631.8659702094958,618.3358107945257,588.4027754194109,561.3832402998663,547.317649914574,543.6482725927739,548.274862950041,565.6658848478555,597.3439127106215,630.2912554087088,640.9203876704826,619.7515658861962,588.5656400930515,577.9738443293348,592.4646496653147,612.0497694669317,619.2905730922516,611.7636564859913,595.7816121376361,577.4065929497659,561.4388661286712,554.9344547664832,562.5600729261863,582.0527117176229,608.2506169763093,630.3038620830532,630.6461968176583,605.6600902333361,580.2424384685169,583.3128738679253,612.2837507179687,638.7305874337898,645.7446562830642,638.3096531617327,620.6376372498279,590.3185350155476,557.6859854777833,544.2352335741879,552.6112887393109,563.9716388389484,571.7137438711308,586.6048349003426,608.2211647363997,625.1798198303311,636.4118901850695,644.4421865115687,643.9756574228387,636.5326285392147,634.8113643216433,641.2433622510022,645.0466715049171,642.6201937372626,637.0013337499603,624.5882794839354,605.0627722416663,591.6027998693176,597.866430166102,625.2474011719701,659.9330063114279,678.0173075464187,667.59344343768,645.9941354707273,641.6214053727336,661.1547498312885,685.3713503658702,693.1219476006049,677.6156237185885,645.6638222272203,615.0583073466235,607.1538171303312,629.6673905109326,664.3836593313933,680.3554547535788,668.5837061375277,650.1290397939008,640.4888573237945,632.8945331169778,623.7672601469974,621.0869911507433,624.5372031834676,625.1228899727388,620.7792573456376,615.5937649477229,612.2588099603427,612.2439725213935
,County,SWE,SWE.2_1,SE.KO,Sweden,Dalarna,,Laen|län,Dalecarlia|Kopparberg,515.9900817294765,537.975665793357,549.610475757899,552.6335663189191,558.0211695664069,568.5170299398245,576.1800807912546,579.3798654340978,581.8882733550475,584.302198864258,585.5426527355386,581.7180142935006,573.3941904404063,575.8807177032322,596.7350462492601,615.8123404382442,615.8225384223155,608.7865803183313,610.3843808917786,614.8818605878831,613.2266294439556,612.9080434691518,622.4758216667128,636.7641239321979,651.4666026518653,668.8116804773273,682.7454664319246,682.8498104424457,668.315797216636,642.1122075380604,609.1466382811122,589.6122403392932,606.9326257696241,651.4842855462647,684.9812304804609,689.1161818014805,678.3329465380153,663.4977775932288,638.572915654114,605.3825612322474,585.9093590832648,601.9239078852755,645.6396992723862,677.85498282309,666.7648172126038,625.5612453471879,598.5752035115781,611.4182745378458,646.8537294979748,672.3587646231816,677.9656029458466,674.2064508920973,664.2527180395487,643.7550393761218,623.4761776419131,620.393399032239,631.4384624321251,644.8411341519801,659.7961787180466,671.8809283123992,667.6248949377642,649.580483835052,641.1081379339079,658.2949660400367,689.724476891811,706.1777237134414,689.9758871141369,653.1557333381938,620.6870684230795,603.3285471826371,598.2572463509465,601.7254754143023,605.4539598320663,598.5365922051665,585.3211248998336,582.2361925986536,595.4900463005379,619.8978966264509,648.890865567296,672.6177493748412,683.3333265624466,689.3986887798242,708.1109376668235,741.1472369030603,768.0744005488028,767.6648582144041,739.6895580941748,703.4653348870804,678.4079684794151,668.6891074356547,665.98852399849,661.2570894165937,651.3150611466439,639.9600358663743,634.922317935091,641.9383033363345,663.3690629501973,698.7799969180787,737.1958153860396,754.213359590526,733.8069449124316,689.9778763769319,653.5332458340026,642.5303328812557,651.8487403836247,667.3591807716845,684.7397104534525,706.2739451283903,725.4627541650483,731.812008939035,724.0249624525219,708.7505161353669,694.1645544222505,682.3833773466007,666.2863228399775,643.740617462795,627.0863487220333,627.3173251441187,642.3510180864159
,County,SWE,SWE.3_1,SE.GV,Sweden,Gävleborg,,Laen|län,Gävleborgs län,490.5062635739044,521.989565621738,547.7794178308809,563.4780638864041,571.6132379052468,575.0584601508884,575.0145033184347,577.4310307607166,585.6297337619856,593.1872173182319,592.7530772862995,581.4864949678004,565.6101326652339,562.8662914175127,577.0135727896527,583.4218512164382,567.222631089361,546.5820078466622,540.5550697527001,547.58714555499,560.2066933350644,574.3183148177221,586.6477896965818,598.124400338992,614.8533397275901,636.9519537683931,652.5025360830183,650.397482727063,631.9260912820272,604.4608439852051,575.9825188366262,561.3323290127234,576.2249955170884,614.1254493478261,646.3399360383595,653.653396319862,640.4356774929033,618.665779070919,595.8060909084171,574.74872394834,561.2771876689942,572.1736894559141,616.2483799567914,663.4510833105888,665.7532482156621,618.502766881518,571.1819393241335,566.2083354962228,591.6380409915469,609.2731512624113,608.2814414386655,605.8757537028845,608.7539804265764,606.9438502346553,600.9708697665452,602.5768763524326,612.6535139150044,625.170820709592,638.7351182062922,644.2719147809249,627.1668421796647,596.1100274142102,583.6651369490029,608.2795567160392,650.3821425144894,672.8984851328364,660.7257146278093,630.4743131656699,601.9513433495297,577.9800090300254,558.7551146073205,553.5026815951541,562.7217953378552,570.856275504372,571.5128538360232,575.6131452166572,588.2313447552988,604.4076108346517,623.6052199023159,644.3353149793664,657.3270196108589,662.0985535127984,673.3417527258835,696.4821017650369,712.0925137813737,697.0571505221313,653.8614046117099,610.9348401287316,594.5380232875754,605.0632728819354,622.5035058327122,628.7395594788333,620.7548658874866,606.8086165580719,596.610169752178,598.6773569257234,619.8096411377668,657.6324984068723,695.1040495921876,707.5844761646333,682.0930883735916,632.7729207818471,590.8876265350299,577.2556159752432,587.2908836196926,603.5787633092148,618.4851879061193,633.4496224905182,643.19353273414,640.2769741825628,626.0571386846232,604.9776586833484,582.0070046460493,565.925112513246,561.5481164006949,564.6453538973701,570.5527331135683,579.3665564250247,591.8686835870823
,County,SWE,SWE.4_1,SE.GT,Sweden,Gotland,,Laen|län,Gotlands län|Gothland|Gottland,456.61698703192593,462.0780279910338,469.2644554519716,477.60178541140857,487.4157635997002,497.86487259792887,506.4657449993812,514.4934845104605,525.4762026671625,538.1197123110945,547.5588779582124,548.021273113884,536.8983739620685,522.7143031050001,514.5506468438506,505.8352406499786,488.186614749894,467.34182339172094,451.8422198303652,446.31823816196527,456.5031745588785,479.1444283648822,496.5934331734478,499.87691124367075,502.45976989677155,517.7821506483133,538.4216986765665,547.727095360503,540.7214632338679,525.5093556185036,512.6039377275507,511.1994090522879,527.691988434013,556.0971515337378,575.1859168000228,565.4392988058779,527.8188499858834,484.07444445974056,458.81441735285233,459.1251315452502,474.83973015203975,497.42821022500846,525.8682326128006,553.1310708305206,563.4198332960507,550.2928137208916,527.0458528124535,511.95534718830123,511.27764072482677,521.1680194967064,534.334576745363,540.1584708667707,532.7168966145548,521.8405532257915,523.0489732640768,536.339303962154,546.1828207984543,544.0091193576561,537.96541842172,534.3164617104636,525.8951879783156,507.62575032217575,489.4644898161315,487.62709584864734,506.28350043910524,530.4463967665123,541.6251440283784,536.7627063100683,523.8188599245162,508.3565464781648,497.4583319684706,501.7103951034357,516.2130302471602,520.2803748552215,509.87577879645835,503.8868903025822,514.0410170222841,534.9268743053923,555.6728957958414,563.6301233859589,554.695028074384,546.075220131837,555.8999463692346,574.563485422174,580.3105964743712,571.7786892715742,562.4865599031939,557.1004554033899,550.7736377726602,541.2543627250585,533.4463719468034,536.0997143508987,550.8181600502488,563.6844050162669,558.7723562112402,541.1766958122009,532.3019745799321,540.8956070328155,554.5051276694966,559.278024687162,552.9351540197014,539.5306449897328,523.8850322397066,512.8603974658254,514.7709507036506,532.8774833718873,562.4221029546937,594.4730140148694,617.235621868417,619.0424857254891,598.7017444176284,567.6645428024725,540.6560352341434,528.6810808749603,533.809306682427,546.4508552656367,555.2169190492049,558.6222398225714,561.5549994251091
,County,SWE,SWE.5_1,SE.HA,Sweden,Halland,,Laen|län,Hallands län,765.5844997317962,782.9215054063442,795.0291678188414,795.3656840266831,790.6018622251845,797.4542963163002,823.019048335709,860.1171931019668,897.9514839743874,926.1683487921389,931.1239324498698,902.7998811314577,853.9535685699352,817.0709857400492,808.1732873614513,811.1315049579371,809.8312380677245,811.0738626277536,821.7112747252946,832.1203276669023,839.0931906503135,853.2183213046694,869.927373296153,871.8707618698064,866.0160343870456,874.3059584385113,891.7962901423797,897.0267979554365,888.1244735848295,872.7258502213973,849.4152507001642,826.7111654355405,825.1898793509059,840.708174993,843.2970045155157,825.0763139060641,810.8690163930492,813.5113485297322,815.2176607215492,803.1795799466989,796.83001071474,823.5646624371606,878.5240918963843,923.7251155680636,924.4056633353061,883.5580995018814,845.0183215338297,849.5633902449505,885.7579946348094,910.6941883149809,912.5019828995127,913.7400877596167,919.7810260792197,908.4027680926777,874.3672695332548,841.1036789333037,821.1243324401606,808.8079740231229,811.8238798154706,843.7772578636924,890.5359114236207,919.6340166655076,919.3799664678367,909.6545363826475,912.9976740780016,923.153356360554,914.6341212987553,883.967427767872,856.9148058862062,848.4889222876001,848.2998062554939,847.8661086936243,845.7123473241904,835.0140364911437,820.6738693101563,826.0446102901097,859.7621962330813,905.1093359311654,945.294006474697,971.1477078041369,976.735207659241,967.6932392341029,959.0956405405058,956.7039500210755,953.5953355118132,947.5800597023094,946.0366071137894,951.9662901052769,960.8815130146753,969.0274467897069,976.292369548561,983.719592246905,982.6357610485328,954.4190735733422,906.5160455823468,891.5161608796224,948.0868503473797,1036.8157561381543,1079.1485765754396,1049.9584534791616,993.5205781996513,959.6532906707708,960.6031473990254,987.3887699944436,1034.6590685295191,1089.82280433975,1117.781743518384,1093.74073257321,1042.3193182803245,1004.5319427359366,981.983067494692,954.6479169107006,927.0698582599113,915.9668950100016,916.7586323761071,911.12439234583,894.2056915442109,879.2435182735795,879.5850836552538
,County,SWE,SWE.6_1,SE.JA,Sweden,Jämtland,,Laen|län,Jämtlands län,528.7459195686984,551.4936313716365,567.2388858131948,573.9983026400778,575.5810501134248,574.9721644289141,571.5878664167875,565.3920672404619,556.3839806329726,546.495055489577,541.9365537004232,544.7225871298515,550.2627572297366,557.680295391661,568.112066009175,575.2776306495406,573.6169512801722,571.7376691419822,584.9802746837141,613.8051238505683,639.5926706153733,648.9939516515587,649.9844078188615,653.5354158344525,656.6221927138529,653.1993401794766,645.0738913204659,635.3304104547935,623.1781531311872,608.720411750305,596.1078333652061,591.2738232603941,597.3674463962159,609.2330602492484,617.171639919936,619.8447097609652,622.4472488606149,623.2954314887672,618.1567381240031,612.2391715008464,615.0762470303346,630.1787339485193,652.112788671913,666.6630076720462,659.6192763840559,634.1578792440582,612.7155574088446,612.0932572117092,623.577812000014,629.4284618045967,629.4646981974562,633.2223480813977,636.9299203081449,631.2362157496071,620.5479803467148,613.9349778463702,610.3281793554803,608.7503967544293,615.6562338050076,628.3296345543596,631.1728554456716,620.1915398799083,611.5906753898701,618.6377513263537,633.5855562008754,635.1161023178474,612.5273683573499,583.2564564278223,574.9747981322885,591.4434131058536,614.3097359497298,630.3121415487389,635.7880388456424,626.9567416740008,606.5612449516998,591.1086314774568,595.4861655894639,614.5289732459139,629.9924395312294,633.3697387380931,634.5354911877832,647.392304883856,671.998967833056,696.1790521622197,711.1073619377019,715.289718219449,707.7194528284789,689.8512509122027,670.9168404601903,662.6578771559588,667.9429503349567,674.108214592501,663.6119848393436,637.4166505942484,618.9766943864947,629.7536698479748,667.5021152858261,711.4310060410927,741.4359841650084,744.5838968190513,716.103176176498,670.9588358224761,639.4464620895341,636.4364751504302,647.5287014465717,652.616170933886,651.5539850122572,658.121118044188,677.0541325130733,697.1320554998017,702.2916815769356,687.3799070578799,665.6810269396324,653.8445617079284,651.3495026632125,646.9404143376853,638.3472191574132,632.141450196297,632.0035986899018
,County,SWE,SWE.7_1,SE.JO,Sweden,Jönköping,,Laen|län,Jönköpings län,565.9451232732275,589.0357616268554,606.1301202223717,607.3446112962667,595.8652396804049,588.8358595813755,599.450884535019,627.3260486211585,662.0028767360789,690.1497754708975,700.7174094309188,686.4574116931599,651.6024293100686,617.1451511858763,601.3708324068617,600.0013534486991,599.3485455831374,595.424711713242,590.1287019256661,585.6323900135193,590.0322951096779,611.611616853678,641.5390061673155,661.3055240737476,670.1807141448812,681.0230236924184,691.5567815814121,688.1057214026026,669.7206629973095,643.8656098403466,614.026070710624,590.3575746819737,590.0270597079016,611.4780454149673,629.6364546482023,626.8069936838384,611.1974120486702,598.7252896334256,590.8539898990437,581.4801259762162,577.9665847411069,597.3167193574458,639.7727328682807,680.0053846574399,688.8842847744743,663.2118509712616,632.5469245453301,627.0743663167974,643.3250032298707,658.3200689017233,665.2637141171322,670.8374993683866,668.7893395009279,646.5636879566104,615.8812011183676,604.4430243101248,616.2536961055123,634.6097144178947,656.585907845793,685.2991601836503,703.420780018654,693.1010154754633,669.485186923223,665.6962283225506,690.7831222450905,720.3764463778762,727.6604109577489,710.9269013284419,686.17238799944,664.4792401863369,649.1306962850553,643.8678468096223,647.4578443458568,651.8633923022735,658.505486204472,677.8490045973327,706.2944205613547,727.8299923327002,736.2243398466634,733.2442002040052,720.1371540538717,707.5631648534985,711.1637251273629,727.5956750903159,738.5919498430148,739.7959349312231,740.5631951830719,741.734140636744,737.2975458477606,727.8433265065886,719.9140734008605,720.3959032166114,727.9269009603956,728.7291597324449,716.5355501885485,710.651057916771,731.8457693229726,767.7317314869456,785.7756214658165,774.0918321800377,750.0844015463105,735.2327613995843,735.0871751463831,744.1724785748737,761.6529356025975,787.4195809427889,806.9785131789757,805.7895695624609,793.8261907834368,789.0222851227803,787.8552710374643,777.3424009155509,759.4470351919069,742.2834439833699,724.9937905548696,705.7415118358691,689.7819564571066,682.9553459165525,686.3052063298612
,County,SWE,SWE.8_1,SE.KA,Sweden,Kalmar,,Laen|län,Kalmar län,523.334895420006,530.9720088459745,541.810892640225,549.7432407384956,549.7832994705556,545.6366511192849,546.3416094441907,557.4472327453124,576.4399309854765,595.0729536424391,605.2200269081195,601.5312287398376,586.2884236387043,572.6188565398553,568.0713203264764,561.5847050265539,543.2748400095505,519.9689118157345,500.33652698172426,488.2470858105271,491.13894177963454,511.1304970222638,535.5603347311932,553.5470433042404,568.8928411818445,585.7137998601695,596.9459063372684,596.7530919936623,589.4423323751554,578.4816343361755,563.6723832052506,553.4539700353497,560.2837842765184,581.7462106434159,600.1094380244249,598.7745578459941,575.8893719750228,545.3117477051749,521.1986227640617,506.3865684125389,502.79971334164884,518.4403248199143,553.0796386389532,588.0254505648888,598.8606009267183,579.2888987678164,549.9676387326418,537.7797618033858,550.1359812441613,575.2243125710675,595.4142812686641,594.3209842669864,566.1631344401095,524.582945878852,494.439532075168,491.9020722468307,513.3769232348841,545.4926267002654,578.1555865125785,598.2025418388607,589.1290108567832,554.6429480062416,524.9101151700895,526.6778976703844,555.9131417963401,585.5249586983622,596.7009312009544,593.0128725321679,582.5742056841872,565.0172833969516,544.5985407399878,534.3181706054338,535.7476605698358,537.3632144294198,538.8785993124415,551.8562241868144,576.0083720525095,597.3111727474857,604.0703315869747,591.4610461376009,564.7131469726938,546.560501372121,559.6198126176852,593.8899461578517,616.4789166420451,613.8729642666332,597.4536285333461,577.1586155893467,556.4493131409296,541.2305760614784,538.255756039788,550.4150437673397,572.0187343031175,588.727411577026,591.1035748177221,585.6503091642487,585.8464242730943,596.3723109667056,611.1765361894717,622.1544216341632,624.5364655622674,618.4866026743235,608.6816398955558,600.9368352896843,599.7164832364689,605.2645315382446,612.8275605093028,619.9553891934968,627.288898891943,629.5915093692214,620.9222680608237,606.435559569099,594.4329350060223,583.4752940999099,567.3579963292,545.7416995627992,524.3553302095415,508.67320137400486,500.3212391887554
,County,SWE,SWE.9_1,SE.KR,Sweden,Kronoberg,,Laen|län,Kronobergs län,612.2659912946241,623.9805581503997,631.747079409283,628.7439808858065,618.065453882716,613.5438629376761,625.5849673379819,652.4829939987219,683.0545488227554,704.569997498097,709.198385045968,695.0328124158982,669.5458118834393,649.8860405636593,645.0846202091544,644.6196128483782,637.5264295857214,627.4630319756184,619.612193485735,613.7457348025014,616.1057696905964,635.5082024519747,664.3880976132044,685.5588314407261,697.2347190198745,709.0643157674275,718.3277132049095,714.4365876257418,699.2460643933174,680.8662582759316,661.2919897455696,646.9429379092039,649.8314306977579,665.5744498871317,672.3291625676002,659.3324100487197,639.2155789585188,627.8162260790665,625.0802195146996,623.7514196211141,629.3316496737459,657.2844330696349,708.0448342534667,754.1224693552822,760.0432222436716,720.9956082311926,675.7314887092044,665.1079403826529,686.6431648453074,709.6703124769189,718.594981114006,718.1312576816437,710.616369147715,691.7367904448763,667.0125921416578,652.4483125248277,652.6689816474068,659.2796207664707,672.0362081934373,693.479071025751,708.4215595989784,699.7896716525789,678.9214416726893,674.8137533634689,695.0076161810691,716.402763313689,717.4380983954625,701.83162401699,683.2646821394455,664.9710340727727,648.4972093695021,643.5560491653198,650.7942666603318,656.4234148077086,658.9369725525166,673.0385543170761,699.919493406081,724.4059904430774,738.0133292548622,740.1614987946148,732.0562244698087,724.400038081175,729.5321925878947,741.1270387897254,744.7468024632609,743.4998152075929,747.708820282504,751.3282713395695,743.9430385226475,731.1006068515226,726.9844204524729,738.6003801790112,756.6973837932373,759.5019531936932,739.720886772258,721.9148854161198,732.4583497438447,762.8622769517679,783.7134021134029,781.8889420851748,765.9945144385734,749.0607794784061,739.7580759662685,742.8601769156488,760.3524506989099,785.5352568829736,799.2350974647076,790.0983029055255,771.166452784572,755.811593726552,737.5831590133355,712.665998598299,693.5251530484104,685.9735497438315,680.238847587992,670.7122247694701,663.6909563103403,666.0333870959685,678.7559688110508
,County,SWE,SWE.10_1,SE.NB,Sweden,Norrbotten,,Laen|län,Norrbottens län,429.2358494458403,445.6621259400276,456.8355749890411,460.55210066043713,459.10286057629645,456.19818342734663,455.2181563461553,460.1128830320373,471.13777484465976,482.23367318288507,485.3008407692224,475.7860595611663,457.3153137016234,440.88770145116956,435.45210014579834,441.0795562096532,454.68245609629435,478.1508077290135,512.5951973318769,546.5913820118991,562.7607807544526,557.5342715476876,543.206147695162,530.8922563276774,522.7748761631402,519.6184231305647,522.7421142443811,527.9349115612166,530.4583210096099,533.8200262032302,540.5669853941008,546.081315192185,551.5170617629203,560.3427618925372,562.2135152076357,548.178118248233,529.0241811680504,516.3162633470307,507.32303933613565,500.34560789530946,501.6100282937295,511.569462534504,520.6050090573891,520.5936805449616,512.8974923568428,505.8176508490808,506.49362710526356,512.3505007323091,514.2382331427084,511.8056215483673,515.2157694964595,526.7318036812499,533.3481925442094,524.1580886485872,506.25011613178765,494.80905337086244,492.66662823790136,493.2330569102075,497.96183485856756,511.173112669703,525.2801903746606,531.2430040132465,533.2915793712654,539.0703155257831,546.2203525432793,544.8760733887831,528.0274777373883,501.97850317250766,484.701034137972,487.7615580803912,506.6591857687458,530.5803266848612,548.9296983436841,550.9911215033109,536.7926896304208,523.4375190245883,523.7882872951403,529.929468606162,532.0695997153068,536.0052926694916,548.69625971869,563.9401081636751,572.1091163789999,571.7255097255686,567.6385185112283,565.7255654800325,569.1882529327461,576.4459951495434,584.2812147405464,591.905634371673,597.0784720232232,591.5795119820507,571.0781473575651,546.8457239850536,536.2699414347911,547.0587832372179,576.125833486329,612.0680153046542,636.0531737445574,630.9295908997514,597.5224142271823,562.2417385983905,554.6491063958207,573.4392032603727,592.5423042989404,596.0428013872458,586.0924983874971,571.8113662387094,569.6621748679908,592.3213476531017,624.8146277210017,638.4002663899099,631.9720739981859,629.2684038624857,635.6493495595255,630.7626158303596,605.9754215505346,577.3311174428022,560.1721213209779
