system:index,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,.geo
00000000000000000d1f,1348.9611635189224,1687.153615420411,1339.8914902740407,1209.837271287008,1287.4190000985525,1177.2060036609091,1221.2225046807569,1229.8889595605008,1210.4814470800163,1703.2553043467224,1418.5542622586424,1252.3322319387748,1290.6677734998273,1013.4432656268231,1405.3553733319845,1401.4716200710084,1417.4592720314304,1240.832548028974,1477.3706914200827,1146.3798949711563,1345.1680487696847,1666.1293785840587,1300.2909150916505,1130.215906863858,1341.6161240186827,1374.3549857968828,1335.855108284655,1393.2224573973488,1651.8829983962842,1612.0404461844812,1147.8106043844246,1475.4698389323992,1553.472164866292,1206.257961504017,1154.9140221401424,1498.5917933585704,1164.8770311073883,1425.6437246365942,1898.6339411154831,1161.6806197827073,1114.8175853432138,1656.417623100402,1211.2392999863878,1405.1889142276407,1246.1227395991286,1508.1471177577748,1506.4372452170612,1234.026599834612,1507.50547053054,1382.701458580227,1178.3975418304776,1368.168919926535,1225.08653025779,1531.9083951703835,1434.011965167465,1666.7530044348675,1564.9412591228065,1709.093179047789,1459.947793356766,1351.9912942503483,1352.5932119677939,1191.3947605679004,1515.821096449649,905.1751885852367,1218.4125938549248,1367.5168134738453,1490.106320967671,1254.7828482098919,1431.0033691410893,1300.085518226338,1782.356100776903,1272.7517595679228,1238.5424303689429,1682.510080143039,1236.6119206153364,1418.089251587583,1417.5847298555698,1149.4964646611368,1326.659908052225,1356.9242361330648,1523.1253957680078,1413.335768402104,1703.2545203482332,1530.7061302360642,1893.81826317323,1408.3855013493405,1462.5579025205752,1243.9054438191708,1730.650319331267,1481.9100201000174,1150.4229531354285,1545.159757807457,1777.4671713304738,1285.086985828345,1304.6409165879925,1212.2989175334567,1216.1720585089736,1297.0809025810242,1654.487774093527,1445.978401755036,1611.2782851854222,1524.620017627447,1279.25108307401,1535.6629929684261,1502.0634602176174,1474.5880968872677,1607.9503617428397,1511.7802965966243,1246.1118254705884,1072.775001251448,1504.1066312646005,1465.0963873866847,1646.6061659657246,1525.6355241456592,1468.3288884743588,1207.632137481731,966.4559657244104,1379.8446452241533,1852.917773485873,1205.027158467694,1268.2992881759774,1324.189807723815,1620.2721230068357,1353.9178757785996,1552.337077678766,1147.5431739354779,1573.5816588155412,1580.3528810910118,1403.0391243817032,,State,USA,USA.1_1,US.AL,United States,Alabama,,State,AL|Ala.,
00000000000000000d20,544.0199237301971,542.7276543613318,546.2494965686907,544.3777112746728,538.6157870871994,540.2921931740934,540.3625099505841,546.0497127587138,528.0621390416392,549.4437542639117,550.1112698296536,541.5891993290307,536.4504086478373,540.6268518170745,536.3239602771188,517.0544256500758,563.1371775161587,531.509413061874,540.3582058856484,508.1637505954798,526.7080458137857,597.7276279421372,550.0127065031647,524.5254782528473,556.3681258450292,548.0468709888041,525.281975656709,570.3226925140875,527.3181644434986,516.614024862835,529.0276954345685,555.8766669425263,560.1091000218412,592.5257603582575,586.1823695118907,559.6379613530452,534.9061328752372,642.7761864501781,626.7283296429665,596.2225366095878,568.0125698062694,571.9624860916936,472.2233938258818,548.4666855883817,595.5960815119494,563.7170697364162,545.2808573781691,624.9054797560198,586.9479507225725,525.4389179613867,507.86525501395306,537.3266564288241,613.0467616595209,595.3252947299796,574.6357264688334,547.9693137575059,550.1009721737701,567.2873892413805,552.7677032246839,455.54531885035567,553.1379997703094,551.9107917553841,506.8143541173744,519.1764040211667,580.2636121359724,543.7985551785981,473.9637865474919,531.2674132698625,513.6118420766428,567.3894931118998,608.5195513941859,528.847755278523,625.5941077170853,522.9329532552129,596.6776060044123,488.7092080824071,587.0308890963465,429.75839555286643,439.1991207917064,552.0189821765614,544.3548130470707,478.26372571821116,502.4897488675303,503.5571695508964,509.26255599880545,534.6102638542758,542.1792241170008,517.0319123968108,556.1065575193542,564.6553814181482,591.7826205410179,572.5428087865741,474.53275926080147,504.19344582032045,592.0698108818667,561.4014630020175,580.6195482875288,553.9777846907085,574.7426905474191,589.5334165847036,553.5483895474833,567.0140593152481,597.7678271741341,595.7508021658595,473.62920655359784,475.03336557023493,528.2303188814576,524.3348033751049,536.3953318548587,561.8165528371964,519.5382256686115,598.6233938568017,551.767975643448,512.882762871299,567.3043309060323,539.6787780583428,497.6769241760081,523.7636622912344,533.4129446128823,518.0577096874065,563.1938529051088,552.0407908665587,581.2272689214601,519.988318046841,563.6005697549828,535.4839591862572,552.5001562140816,558.4500991025053,573.0132194689236,,State,USA,USA.2_1,US.AK,United States,Alaska,,State,AK|Alaska,
00000000000000000d21,231.40644915288848,267.29786511097683,260.41269729965654,248.2382957196729,288.58472956328944,288.23857446627903,286.76978648219006,276.6523730081893,209.79888717105842,204.04916468189586,237.79090709115997,229.63705396548275,218.92983536275568,221.85839590186424,575.0079077786773,372.8252709121343,361.73288568837836,371.57901519007896,334.20533736340707,236.7888762707474,359.9276779430098,298.6171835411536,269.65392781019864,371.02940703816347,361.9581667846332,361.0102464008464,271.1816022588105,324.9711189430831,404.40291388922697,301.7948579287084,331.6933900431663,290.8300247977356,375.24072800824797,199.6565484172844,294.460439910688,351.98779958000745,365.514738251254,214.47500608829182,247.35994318518763,324.62806387498887,428.99770718493676,300.3408317587596,261.16039330734736,233.29715924530947,339.5286136381448,312.77377322115376,290.7098227986064,284.61359371005875,299.9851152181654,389.8293960195303,489.64276843916105,215.00457272244245,277.095992344025,292.3623703287669,253.7984924403769,313.56064023036066,219.7887068208441,234.28951758764046,308.44467412206916,171.66622853775178,349.9000847054346,345.1955761944795,194.61102188853252,283.10669290431866,279.6889262186741,149.86367602910323,360.7980938824763,332.80047736332705,320.94458802484206,239.65343027116884,276.66626552353824,243.83513808921631,280.0727482483836,265.7343871732023,437.409162795343,271.3234928493338,334.6064222695218,246.97883466040025,299.00716475990674,260.72786584775906,279.11984925771816,321.8354702228657,259.6241707795225,254.54411382132795,239.3727741913828,277.33439982292225,247.9490337041626,480.82915417377444,291.49857521356415,321.8734664811509,291.1369680398111,389.49447530831145,457.5310988928831,379.228762443274,330.2379361496965,328.77476927984844,317.0251665813372,306.3509394030873,181.96409736150224,333.6763498610832,305.7564558211909,448.72440454806684,411.48976074157935,298.73783616816223,271.84917303926835,213.41680546854437,307.50959353764665,343.8719305159064,253.67511385357847,278.16422268203246,259.04144506287423,175.18774888966348,256.52235487267285,339.7044608230165,334.74809707873925,251.31361147101043,267.431744438413,293.42127353537654,165.05027026749124,329.8417472989167,251.7138538217903,208.8082299281868,298.60426168546525,272.50514516886653,339.43343036097815,307.1315080813948,256.56006521232007,281.20472323160715,332.9242378226127,,State,USA,USA.3_1,US.AZ,United States,Arizona,,State,AZ|Ariz.,
00000000000000000d22,1157.0474063786185,1468.4304749506134,1214.97203904434,1223.8243395003537,1143.8682522542383,972.1695676515776,1129.3235233100886,1397.46853348053,1039.0661073184272,1219.2169792098512,903.6150396904438,1337.4002205925174,1121.1727583309191,1083.2303424269764,1599.7473584928496,1415.1554747956095,1264.3651478015602,1261.6182328247542,1134.3841499748878,1156.8630765760313,1264.0309896158462,1204.0135275195128,1361.1731877732739,1084.0596559105584,1355.8343379808266,1079.2383936743756,1022.2990483830691,1137.0796802746847,1395.5149365209716,1373.173371156165,1215.3283071443977,1152.742257693402,1515.5657724584362,943.7588743457056,1053.8790041317109,1226.7806023263017,1624.758464423107,1266.9535045987757,1166.930379910282,1187.7239162436401,1227.3699548292727,1307.3887864020621,1253.1423437095757,1086.4997195269325,1415.5102352198621,888.9448603761517,1401.0590249636764,1237.5410112170648,1275.7920771371378,1165.9653624794726,1174.7563942511238,1242.8668164473793,885.753243354392,1417.3558514367523,1729.3167382322824,1489.4352591944519,1057.1001910683758,1286.7290442844371,1475.766704825327,1533.4598356151787,1348.3386517402907,1100.0201398775798,1132.4378322497976,960.1344394476735,1080.9749746865161,1073.143045034808,1827.7030765897703,1404.4629219693422,1218.8697286275365,1163.7905951416308,1413.7463678896872,1162.8165500396333,834.7743062486227,1165.1962761139139,1113.576725239353,1172.224818386448,1208.7993888894887,1480.9526234200835,1173.6893540840595,1258.3069399991275,1080.3402215466303,1238.5638770802548,1780.8134476731286,1492.4452093120328,1352.2034318205008,1037.9661241760284,1177.527799433003,1241.7310992796472,1526.6790181411084,1019.4002507390977,1092.661854648284,1477.5194682530696,1179.213218733275,1547.7082154764666,1249.0625807101374,1168.4808526972636,1346.5851027818735,1166.4408578385196,1302.604141786344,1705.0959801357908,1560.7783803106245,1224.264834170777,1327.0254895965854,1375.8458033295735,1083.030184649083,1297.5367276173922,1307.961157760271,1237.340292901464,1102.203626163783,1156.034240878982,1399.4201356774906,1334.0571480968429,1132.2454676800298,1446.0530839405865,913.7575668940996,1258.2288408412558,1190.0468048297168,1525.4520335119182,1809.3037359099305,975.0122198730504,1357.8808222312068,937.3698820179707,1221.7875388272635,1103.4426992723324,1552.165433674018,1223.387680614611,1176.669820785316,1485.0119934401291,1570.1041050641884,,State,USA,USA.4_1,US.AR,United States,Arkansas,,State,AR|Ark.,
00000000000000000d23,538.4382925802636,571.8941744667319,564.4916770197989,599.8289037439818,528.4872877662028,647.6450567113027,484.4316281964927,308.54724381525017,575.3524371103705,495.32819872227174,521.8117640839902,602.1811911940147,493.66767288462813,684.6254923602376,506.2070515336183,775.3736356869729,676.7240333607214,403.3671580118234,868.9710371755933,358.50464336572657,577.9037863847822,482.6926498864968,522.2982490755883,611.2667855078585,634.3007381263286,650.7684695718385,340.2982362244856,493.34505843806267,441.34466453324825,544.0678774028947,531.6293849621318,558.6578289179519,327.27691476903414,374.871093093446,475.0250139006746,591.7523409394691,597.3112692698559,408.5348490848823,335.4217795979136,413.8457446969778,536.8026294265468,363.3219150700901,454.2757759877844,411.6339051127032,494.89577026135396,573.6670998753423,654.0118548073519,683.5149243972671,386.59650823537675,767.743083656608,817.4562508860481,530.0913914054029,529.9498929112564,527.6332533556033,630.6420586384671,397.07476101755225,314.40853173722013,479.5410461287544,363.26516211975246,625.1392493985524,564.2219387832189,657.3448503256855,414.15874170788186,548.1598967138647,562.0368473701895,428.3290912986173,586.6543811295927,659.7600304780146,372.7520543511539,514.9697981239357,393.1021026929488,537.7425147412342,585.990461283603,530.4919932182673,541.1680556670358,449.7621380100001,563.7379700760464,495.09418462917677,737.8400107580927,664.6610092426217,428.8620514507955,412.80719413975396,698.7071381960549,517.7711435990235,506.95331830826603,304.0391451192604,428.18200996443454,692.9522366883515,587.2967634314301,572.8440657157046,624.8569473034959,770.6694860978143,1045.6698819131327,449.76167648587,352.53560887588355,580.6810391485847,467.7232047416767,407.1175826944525,361.20562042241187,333.97186539797764,460.70394498317955,551.0384769011511,638.5550069216539,411.67488481096586,833.422842927511,768.7156991079194,487.05928391273136,863.3614030782347,420.23715333871394,509.5757875209713,547.5751598797394,451.71003893557634,516.3805723277507,521.0392099968512,726.9964258236321,589.8900474245835,341.321419747375,419.34903356626927,404.98211993849645,727.191311908489,466.4101228264071,542.3923649759913,282.854500775135,499.5949731034901,384.174174434465,609.2105737363225,609.0734546806398,452.70734502175867,637.6521850317413,,State,USA,USA.5_1,US.CA,United States,California,,State,CA|Calif.,
00000000000000000d24,487.82006135284814,411.777724911363,346.03180837335043,344.01700858782146,452.416745101002,362.9215641841696,453.55995209205855,368.10097333634997,380.1910589860664,363.7186100028197,362.7361977727904,351.70137271544377,357.9274255826884,399.1111218363332,462.4642594574259,483.113210325852,383.55150249002565,406.4084809485349,455.12717436956547,319.3454370924326,405.3412104158716,418.3619045474958,388.5731724819887,448.52334065062126,473.5713800527045,419.41065403885887,352.4349390149081,440.27918458942315,405.86053472363443,409.4878777441611,432.81921629431554,348.04112251621746,501.1199850997775,324.2946078369041,390.34291848476744,383.49280534412907,468.9868442506766,411.2758391200114,421.28113804361107,424.4864614891605,335.2589964720883,352.55651868684333,374.91596152655507,273.93189292804794,386.941894954816,395.0059343363076,356.1582736841844,471.8626435497953,279.60141693485537,406.90741796895503,562.9823574195448,462.6900941654093,358.58800348979315,411.72965884731383,422.5606169358636,425.4621483607216,455.33258262229657,390.7761204001547,434.9257896226708,320.30802037916857,417.19672062047727,348.37388828950316,365.7176571119602,313.38053959960683,345.5172416194832,299.4396675209581,554.8760940356594,371.0768612130822,399.06076027324855,352.82933282594365,438.83139804042287,333.63353683153707,344.8013932947586,332.3457435937766,510.9109096435326,324.48360844348264,421.79046518526945,341.56157943992315,486.1015798214876,383.980388901998,371.942196391923,389.3240144679655,413.11805019625956,314.0588695149746,355.9404894964106,324.928078454179,350.23961372810004,379.3252284743956,433.9751001724163,386.2609575283053,421.1833240294847,436.4546141215719,473.0056828223232,455.9968346261087,446.501837916911,435.7986292553464,418.9273023662247,364.90867067741215,327.61005586042097,438.4614854374472,418.9446440865199,413.12270393803425,428.91190119797363,375.6315949772912,474.00719593644726,425.70217442573835,494.8138201845401,413.1049855134974,443.4103709289584,358.90502134510047,379.72171493331905,266.4499561516792,362.69354261435996,427.1220002779341,421.934028665402,421.5777018881135,412.2643943076317,365.80578617966773,425.83751528116215,389.3640432806484,382.5355354979072,257.52411756581745,409.58986901418467,413.43138405358667,504.04366106125394,368.96070768426307,418.90927081066127,336.8523500793018,379.81229426692147,,State,USA,USA.6_1,US.CO,United States,Colorado,,State,CO|Colo.,
00000000000000000d25,1211.9973000481818,1006.6301290109742,1268.537294559866,984.1738015022513,1108.573356640539,1119.054317916776,1417.1891648537487,1474.1755972718308,1091.4734854015542,1190.9302940159905,1522.0518912171435,1321.550883021948,1299.0469682604257,1168.9741052450802,1093.0359141633453,1247.4692827997435,1248.372549306494,1123.6832822175124,1160.2795285284676,1046.5015684796138,1177.7995486199695,1173.253733519969,1205.8729782872147,1015.5396770857756,1225.438741884964,1097.9275710076436,1050.286281484013,1099.3827707181226,1323.6666795883784,1456.1214253761443,1119.8625087916482,1165.1571016047342,1225.4994945448684,1026.4302473319071,1118.929083882237,1135.841796875,1338.0883263718422,1132.7802787275725,1117.4795080900403,914.5754380848169,1059.063692356524,1254.8773505161216,1184.469379270845,1365.1656207981093,952.5730017747063,1395.247835595315,1414.92080733189,1552.7275787757546,1127.4168479333596,1245.235077857803,955.4759007237595,1352.1904395350082,1014.2891391144742,1169.7773590707397,1329.4772206669243,1028.9414777575607,1160.3052758939903,1209.4503012432424,1000.9113805193451,1142.8902682810262,1322.8015050957083,1299.1041633195198,1430.9437154367554,1288.466515671544,1501.5917865965287,1142.0583068147341,946.5764020524189,1299.6440991017005,1254.175486083338,1226.6156391786876,1114.8191977491658,1030.5308985064542,969.2470191894963,902.0449193430917,785.3229823490423,950.3724384304495,1150.7619225955702,1106.0273710515155,1246.4747816094234,995.0567784470159,1136.3321614762904,1593.505353402713,1367.2510053077422,1210.1513980875582,1439.8799019688122,1196.863387503965,1386.4391681506165,1190.0797312966301,1451.3239463381924,1023.6522900627655,1063.2246309447057,1230.066150494918,1625.5486906046585,1302.3541213221608,1102.1786558604092,1185.388270820692,1122.4189037784265,1079.7834144046847,1469.147344577449,1428.6291054627166,1221.17213487078,1254.9888511341226,1175.7307482511515,1297.8076089992003,1074.743304416424,1531.1528124655229,1095.3555869847405,1271.9139850343736,1229.9705542703277,1241.6409258122794,1002.6481079855748,1194.7356037405877,1420.3062502585778,1228.1076397053246,1359.7244032884214,1453.075842791538,1155.9939957028666,1489.43033390163,1249.5808812463797,1190.8631413593612,1550.6262520556943,1037.0073574783312,1100.4490556735436,1157.5892982583919,930.7799025613863,929.9957520069953,1069.3448692220773,1523.645183469633,1311.2386079847129,,State,USA,USA.7_1,US.CT,United States,Connecticut,,State,CT|Conn.,
00000000000000000d26,1309.3367244165813,991.6303708223625,1015.946396450723,1090.3387209907964,939.3478874996961,1009.0837851762248,1142.0638283898752,1084.0460349456534,1014.2850091034389,923.9474633854198,1062.30727293185,1228.0193904539174,1208.9758818046741,934.0750627123343,1124.3868548239323,1301.0244327882708,1249.2711649513503,1009.6338686605943,976.5771563891682,1039.3645045855887,1118.645041025178,1039.870402416265,963.8722791726881,912.220045904734,1066.9607695379807,956.9809165944417,1099.972204931793,862.7191775717597,1341.277158609122,1230.9347892140438,845.7472441907777,1061.0703201802799,1075.1910872062933,1179.5162806190779,873.8253600992806,1134.1980582678675,1011.8375353781373,1176.9946592474264,991.9455424198952,651.6034171925808,990.6044524834393,1187.116833447244,1276.2059763106524,1295.784992277384,1359.7033415676067,1228.9741865525307,1330.3814951827549,1250.0229574689447,1185.523423170715,1090.5419159003397,874.8149146202568,1122.5676629934492,916.6364623426387,1100.3383554311904,1332.1951213885866,976.2913429731793,983.217260242834,1524.7899319185267,1021.2061260625386,978.1860997194501,1088.4143692769708,1277.4980128429477,1181.5548899554321,957.2587635248917,1014.4405924117317,1196.7959356176536,985.7320801161196,1398.953809331926,1099.7869467593239,1136.2345896136135,1164.6043467235443,995.0789783794969,924.9455030957772,921.7955467729587,771.899469127121,984.7087266649764,1220.8760187361922,818.1868948048093,1158.5134206782877,1013.9735446114075,1276.2216049472513,1383.2018426918046,1147.7475352001068,1004.8604323547013,1398.0380874029956,982.9872230811354,1047.39425359296,1185.3707434423984,1448.0048979016722,1002.1461485323774,955.2165832383844,1023.5543694875676,1387.9797141828665,1121.9315690328517,1041.6124398115749,951.929123040145,927.2100388258501,1002.0242794812021,1486.5771858890414,1112.8106393097457,1069.2164321838354,1058.9396726507357,1140.701724258091,1203.6704092878088,977.9637973865124,1482.4497580521904,1059.4347465247145,1053.9168192590807,1164.1955894242933,1185.6325152487482,986.1188222054858,1168.616267494755,1489.0745298149009,1152.5436067017204,1195.5463984969888,1183.7583419779455,972.9110830670842,1035.0246647978533,1424.2847706619611,974.3589034362496,1165.7158022109222,915.9489029086716,1181.0627164047737,1054.6862030368534,1118.8388461277934,1097.7197890631514,1103.0895008784291,1422.2955300554593,1012.4551282774988,,State,USA,USA.8_1,US.DE,United States,Delaware,,State,DE|Del.,
00000000000000000d28,1140.373522273489,1289.8168638113282,1363.5452128580212,1422.055965829858,1298.3707070400008,1322.3362998801824,1416.792618027488,1263.7599581132838,1285.1475676197329,1513.2363991913546,1521.4706188594125,1300.180676217484,1411.664739202802,1211.5891861811267,1500.5959464209627,1390.6785862273407,1210.4193126239256,1280.7464239381645,1300.522490033156,1329.5050392625728,1212.6280524050935,1675.6255090648076,1231.3060397124889,1238.9116384721908,1408.5018447545435,1202.8061435420552,1067.9216993829195,1252.6329367734932,1442.6094937291537,1453.2226610103264,1114.664048871818,1462.889177759641,1297.4935423225636,1541.8077519828896,1297.9707979235118,1523.4888134735643,1043.7693849083137,1548.3248148823373,1480.2571700258904,1512.5369902797538,1083.3779512363253,1354.1086661956026,1379.3113452577609,1326.4633629061752,1328.464986231159,1453.8621365863742,1454.8126942525923,1093.1214033371045,1378.4243734077556,1332.8567938450649,1479.097070673742,1374.8580166102258,1242.3149662719761,1359.5835432945207,1404.2916757025002,1380.6715121963837,1853.007017875218,1586.4470809834804,1409.7591491579028,1220.7205657669526,1270.7859029638785,1250.1685992113732,1727.5830070009183,1133.2875803428683,1074.0433485108283,1119.7448356137588,1571.1607124802915,1441.9892658070235,1793.2338035668824,1608.3930984637395,1125.7348013286535,1241.0977465109297,1295.2316499667947,1602.5883232875215,1390.0663512179044,1452.9763969251437,1202.5019520344374,1316.1232483954414,1548.8016936181286,1351.0673473388688,1229.4041490799643,1311.3428599933816,1432.4746630783509,1252.2255380762165,1423.5976681690083,1324.0657177053802,1222.821802025326,1360.0829715680868,1537.7944919879571,1257.5618097241518,1128.5399695542515,1581.1668945219878,1665.9963078290102,1260.9537935693388,1346.4385169629634,1345.0643517621584,1357.9402954577927,1351.9450257524236,1257.911763872636,1090.484052697192,1613.89894804021,1460.4380752914412,1272.6518109883234,1666.1637596387707,1511.7755924178064,1378.141599219278,1530.0108482974358,1453.4216824643024,1252.328494126458,1040.204072771188,1371.9045342175236,1503.965370803036,1516.3042158572837,1474.7301922695967,1564.89940938598,1062.1269582646523,1125.4525017711896,1319.907614059822,1338.8075137107958,1217.1969726527218,1163.1317194247604,1387.472186621904,1411.0015058132033,1435.2947728063536,1338.208857977721,1304.954141293629,1452.6920007536598,1498.257399369479,1319.1695906602286,,State,USA,USA.10_1,US.FL,United States,Florida,,State,FL|Fla.,
00000000000000000d29,1207.0319299442244,1213.7298189000237,1218.4301032104677,1265.027317031673,1289.2754768628697,1133.444636660398,1220.8878452092554,1359.2166250835342,1095.6514835599587,1413.6697249451634,1411.9659657880313,1297.9148191267752,1356.2015204418938,944.3272185704302,1262.1872326134796,1348.8237700881873,1237.7402245919318,1239.8849687102345,1188.4582142373972,1128.5958880228573,1216.7205491236252,1615.6091441526644,1162.3159700593278,1190.653837721334,1262.3557415341108,1105.0941537724477,1171.7437561276183,1218.4246851724897,1353.7981620694873,1506.1680613373155,1043.4788268111542,1387.1836949469057,1296.422179816283,1377.763100839548,1061.9706125128866,1299.3591731454367,1040.1253793765645,1523.2550559439162,1740.416365182559,1194.658729696971,927.5315631113118,1443.2878053240747,1073.4675468265332,1185.6499805745977,1124.6670480865196,1454.224236327455,1329.8864496977333,1061.192684241118,1229.2010544648965,1184.1374716643354,1101.2531593491017,1336.87389363694,1160.5290672389308,1393.2724360074747,1363.8508218188417,1254.6603000465082,1565.9852348969268,1605.0523643443871,1231.2273516542782,1139.2848444214462,1148.9708150598944,1156.3048687558874,1489.9730592891522,789.6490730195516,1057.158806078238,1173.679215437054,1387.5805332874115,1143.1640912323387,1433.4015651590669,1188.9632319774037,1372.965376106636,1245.296355991805,1275.478931841013,1787.259291016965,1214.4866911045328,1403.092868026571,1250.4584824685364,1058.6302897846924,1251.5194493302024,1241.8721026817022,1442.4139895891233,1282.1566649741083,1469.6112093759677,1275.460102580078,1547.4247234693391,1398.56591421648,1217.7666266865729,1079.295244186216,1415.255010367214,1191.103247858555,1068.0713607478124,1359.249172470233,1439.3367149450314,1220.9591217352515,1195.071911061011,1080.7356434776732,1135.113557742465,1103.190515156328,1406.6115037667817,1144.8303442522526,1474.5810293019745,1513.0115442091853,1176.156413762997,1576.010310796956,1259.5194565191605,1240.8815657485231,1480.1620073916902,1345.8987061743844,1042.0251021740894,1063.0135379156907,1074.3759968752113,1278.4158102071076,1480.4933813407927,1352.6807740814286,1430.2751720333106,1034.7418764384454,994.4820463793899,1203.387784812414,1567.5419717981913,1087.9355683234007,1015.5854146077866,1075.8497464819686,1556.1809239577572,1221.921682457685,1402.018391025613,1081.826892643799,1303.2110995420999,1496.884117594477,1212.9366545637135,,State,USA,USA.11_1,US.GA,United States,Georgia,,State,GA|Ga.,
