CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
,State,USA,USA.1_1,US.AL,United States,Alabama,,State,AL|Ala.,1397.19844069574,-177.05411845100912,0.8053269955987511,0.020618773877847052,6.859005112296758
,State,USA,USA.2_1,US.AK,United States,Alaska,,State,AK|Alaska,546.7871617806074,705.0139786777435,-0.08084266138892106,0.005149199459897114,-1.7594189069752957
,State,USA,USA.3_1,US.AZ,United States,Arizona,,State,AZ|Ariz.,305.9316055695898,794.6413640138956,-0.2518779521164603,0.015515102705349393,-9.797443531881427
,State,USA,USA.4_1,US.AR,United States,Arkansas,,State,AR|Ark.,1256.0916571347886,-162.9698031798166,0.7272078944651815,0.015573132104583332,6.889444647594726
,State,USA,USA.5_1,US.CA,United States,California,,State,CA|Calif.,536.4264201226887,585.9313698183558,-0.027236691656580155,4.691017287217214e-05,-0.6042145176950336
,State,USA,USA.6_1,US.CO,United States,Colorado,,State,CO|Colo.,399.983924769941,482.2131906466483,-0.0430481364103208,0.0006992844059280356,-1.280733528422328
,State,USA,USA.7_1,US.CT,United States,Connecticut,,State,CT|Conn.,1202.276351928603,221.185734014658,0.5027511375570531,0.010567204525532059,4.9761758412131
,State,USA,USA.8_1,US.DE,United States,Delaware,,State,DE|Del.,1103.4831334670337,23.796249656985765,0.553809850133513,0.01355284520564115,5.9723044392011895
,State,USA,USA.10_1,US.FL,United States,Florida,,State,FL|Fla.,1363.9572303326138,981.9817152085836,0.19441509338515423,0.0016756280105797439,1.6961965960759318
,State,USA,USA.11_1,US.GA,United States,Georgia,,State,GA|Ga.,1270.6223966556909,1053.978707127926,0.10937025734226723,0.00045552764770251386,1.0243059352633606
,State,USA,USA.12_1,US.HI,United States,Hawaii,,State,HI|Hawaii,1527.9957098595476,2654.108672538304,-0.5858681052314175,0.00401452400262059,-4.562729075263382
,State,USA,USA.13_1,US.ID,United States,Idaho,,State,ID|Idaho,455.79441613876975,143.43304426382207,0.15795591920195312,0.006779098921456783,4.12395451095426
,State,USA,USA.14_1,US.IL,United States,Illinois,,State,IL|Ill.,954.7639488390747,-626.4467619270885,0.8110016762317778,0.046403525597209505,10.10817381499688
,State,USA,USA.15_1,US.IN,United States,Indiana,,State,IN|Ind.,1027.0025202216448,-752.3313046348001,0.9146531620025286,0.0593144890584848,10.598194662152391
,State,USA,USA.16_1,US.IA,United States,Iowa,,State,IA|Iowa,824.1427680732922,-595.4597016860463,0.7295071365160437,0.0352920208377433,10.53353285479403
,State,USA,USA.17_1,US.KS,United States,Kansas,,State,KS|Kans.,692.7342860525034,-504.7876924238059,0.612858101223575,0.02743310061706805,10.527862632755257
,State,USA,USA.18_1,US.KY,United States,Kentucky,,State,Commonwealth of Kentucky|KY,1197.8419430164563,-738.9297758142843,0.9974355190119384,0.04324001860479787,9.909055819461317
,State,USA,USA.19_1,US.LA,United States,Louisiana,,State,LA,1445.7960521542698,-267.84686538258006,0.8755015676216445,0.019922002372403824,7.206043092436039
,State,USA,USA.20_1,US.ME,United States,Maine,,State,ME|Maine,1060.5044388092576,-665.0949449226955,0.886813957276165,0.048638322069074036,9.951006054661542
,State,USA,USA.21_1,US.MD,United States,Maryland,,State,MD,1088.9129818361982,-113.62527561482443,0.6176254230531852,0.019872146692833104,6.749614208785788
,State,USA,USA.22_1,US.MA,United States,Massachusetts,,State,Commonwealth of Massachusetts|MA|Mass.,1139.9440337211693,-981.2347965150414,1.0878986911950388,0.05713358656637357,11.35669299742794
,State,USA,USA.23_1,US.MI,United States,Michigan,,State,MI|Mich.,790.0433923285199,-826.98564974557,0.8290461968711943,0.14853302831396964,12.487478331651976
,State,USA,USA.24_1,US.MN,United States,Minnesota,,State,MN|Minn.,665.7758776947551,-619.1288471134811,0.6582653216804993,0.06381396035621811,11.765757202139696
,State,USA,USA.25_1,US.MS,United States,Mississippi,,State,MS|Miss.,1404.4444089480644,-1276.2620821363678,1.3740562731627681,0.05052363136672333,11.642518241703934
,State,USA,USA.26_1,US.MO,United States,Missouri,,State,MO,1056.4039564861012,155.94728456610642,0.4614344107420965,0.009666076055700468,5.197888037163171
,State,USA,USA.27_1,US.MT,United States,Montana,,State,MT|Mont.,383.63285406265516,199.67205361202537,0.09425098262963422,0.003538060463084136,2.9235939555621817
,State,USA,USA.28_1,US.NE,United States,Nebraska,,State,NE|Nebr.,577.795122944406,-25.56007002087688,0.3098433864082377,0.012093742713966793,6.381390482267528
,State,USA,USA.29_1,US.NV,United States,Nevada,,State,NV|Nev.,216.43964896942566,89.52159588034276,0.06406553959367409,0.002242901597878544,3.522367203951692
,State,USA,USA.30_1,US.NH,United States,New Hampshire,,State,NH|N.H.,1085.2594369053397,-587.1901310301016,0.858666135231119,0.045805666676861256,9.415377246926054
,State,USA,USA.31_1,US.NJ,United States,New Jersey,,State,NJ|N.J.,1144.2004717589803,322.52033367040417,0.4227512329287825,0.008865584304724394,4.396729241090726
,State,USA,USA.32_1,US.NM,United States,New Mexico,,State,NM|N.M.,347.29097546502527,382.39848359596425,-0.019290166945610972,8.124383993834972e-05,-0.6609817210061314
