CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,State,USA,USA.1_1,US.AL,United States,Alabama,,State,AL|Ala.,1319.5153527792522,1280.367197636833,1250.724186387848,1255.5049940983633,1297.9644929711462,1343.1381881795053,1358.67942724965,1347.6264013965538,1334.765095576205,1343.6616604206731,1371.7354326191066,1381.587980413419,1350.8779754899308,1313.2158495395245,1310.36348851509,1342.5588802607597,1393.3528209776744,1449.1370221111183,1481.1049192569367,1467.3605016342767,1430.7963879939175,1401.6143345063804,1371.4762338031862,1331.721073189626,1307.3621029821475,1323.2694181072973,1376.600478737919,1433.046215552615,1442.3133479686715,1399.536554529097,1359.315797687312,1352.236759515183,1355.8857002908574,1359.176003206454,1375.8446471412997,1400.003004032461,1409.4011135089002,1399.5153683333733,1377.8096320977784,1347.4741838393438,1320.7698215508196,1321.9098727604337,1362.4059976296455,1430.3102434887294,1503.449594411153,1560.7912880933518,1583.0977535542777,1556.9191187820613,1488.761939108771,1408.4897509474174,1344.258490688239,1295.8319887528962,1250.8190447000204,1224.5204856919358,1246.4008547819121,1304.4849109649151,1352.656770850132,1376.147983646859,1400.1988897566844,1432.0480566927338,1444.5943697873013,1428.8648909613805,1411.3973593989479,1405.3789304899758,1394.7459348005325,1368.5497577933154,1335.4081435892801,1316.4709933004144,1332.6441520565324,1383.77924004872,1450.5623660357392,1518.6958464250254,1580.7823473003925,1617.4999867696397,1602.7768087660345,1541.4049177843424,1481.8245042663093,1461.9184051177342,1461.9308585890212,1452.270716361984,1450.2810245199844,1470.068282934818,1469.3703197964917,1412.0106869406254,1330.246910918991,1284.2731618405817,1303.7116637433771,1375.4743725161431,1457.3176497412446,1507.1107822323304,1510.4213520789526,1484.7776710260307,1463.765482050037,1468.5134336418387,1491.0497512752827,1505.900981277154,1485.9098633768128,1421.9858988508302,1350.6510381524083,1333.9676041367425,1389.7655137837098,1469.480846166887,1509.482180145169,1477.6733158497818,1387.219935926953,1300.3982861823208,1290.2567612584894,1354.5756468481352,1407.7085501292615,1398.8609216853733,1375.216057001031,1390.1295826338967,1424.288903211224,1434.2551470501824,1422.1914063890813,1423.7244407778273,1449.8584776740895,1475.8871639398112,1481.628643949777
,State,USA,USA.2_1,US.AK,United States,Alaska,,State,AK|Alaska,544.2867132972677,542.026921947565,539.5764635434692,537.25005011073,536.0802325976296,536.9049640419211,538.0459426574994,536.5239056570093,533.4649645529829,534.7366748477411,542.568946819677,550.4139118412033,551.5176615734534,547.8523541958517,544.9863290666723,544.2360314654925,543.553931277631,540.7901176596711,536.1299375157259,533.8891921684799,538.8813781042847,550.7691646220181,564.1261520934352,572.5562341759158,574.0599205273542,574.9643225777309,583.5087078131015,596.9062681893782,602.5306429075484,593.0425454044968,572.6966195528674,552.0584951437035,542.3134353773252,547.3322719028649,559.3517159572231,569.4316259745301,575.8401920619252,576.3986270559603,566.4481508680768,551.0094801112737,545.1056825908678,555.5893791020908,571.7817376532225,578.6239580320633,573.1042218712888,563.3423825490706,555.0855043812209,545.8539010883934,534.1545039765181,526.0894886064912,525.8889637259017,529.1352810480275,532.0883412776669,535.5554809706376,536.4805233803518,530.4600387786879,522.7247386404982,524.0801130918626,537.3991303461745,555.0900075550961,567.9205680720062,572.5040175156548,570.2588279920834,562.9127698553275,551.130707987612,534.2651977482916,512.8924249798017,495.397709379172,493.1141488029687,503.33359345416136,510.66708934291444,508.6326194905957,505.2029343837386,507.9254915663794,516.0129410533573,524.9673515978582,532.4797481012512,540.4692855378773,551.1480430734509,560.5010251581367,559.6477924215468,546.8096459736242,534.4045794814499,536.2170908680846,550.1607668985998,563.1007062569267,568.5673919491725,570.0822657816611,571.2596862723316,571.9674318252803,572.6461635336652,573.3149872678234,567.7307035258988,549.3992805646407,525.2603147049018,511.41016349144894,514.059655277129,525.3671251824198,536.4231237607198,545.0397262775479,551.6178148491329,554.2264709641012,551.3505060902353,545.5687687315283,539.3408369917686,532.1902074954065,525.6747292009559,523.9453894284071,528.3889564968891,537.0603346423011,546.759004101472,553.2464167809622,553.8438641013728,550.633961376492,548.1366777493126,548.8931693155959,552.6382109745829,557.7287657932675,562.586549262603
,State,USA,USA.3_1,US.AZ,United States,Arizona,,State,AZ|Ariz.,233.03649683189562,241.25972133971152,270.08718841014263,321.6757481688251,371.848124504774,390.8711258618143,377.7888616194353,351.76651539274496,327.6784093364797,312.5277849473636,307.6183385181135,310.4710234276765,320.22096715829935,333.6817893171345,340.73329734823153,336.7477570977823,331.405157475911,333.3997110859052,336.873123148059,333.28715053484814,324.2117816011103,313.49577138019885,301.82259848256484,295.20335064695115,300.261566082731,307.77227707830315,302.646229903236,291.2778879699301,295.0217433478452,314.89657173042093,326.3823740421277,314.5194348904123,294.2225643497711,287.12303270707105,293.78109160122045,300.26699978387313,302.5217974839541,311.5485531873777,333.81441179030077,354.07855676163445,349.4698557796198,320.77149706011903,292.0801472328698,278.49552245822616,273.44841720232716,266.74756628672645,258.38614002733306,254.04232208255806,257.79060304699317,269.6148057839527,281.8807570299118,283.1217816390484,272.17840981306404,259.4920968522287,255.7454446810929,266.84541055065773,288.1099837241557,302.1792419671155,297.194899375206,280.9777732445762,268.9725390759751,269.7955363386301,284.6815007041772,306.9595685708137,321.90267446764756,319.213631962617,304.0544050493454,289.0160910047468,281.2059273537718,280.5960011020491,282.77256424771093,281.08248521294587,272.7351423493975,263.65930207368086,264.629984776025,282.6037954619792,311.87535526439086,334.1134518556646,337.8210544710574,335.2664020484787,346.2799753154978,369.54837282834484,383.93705149132705,376.03960806537316,353.48552001306365,329.2825455055855,306.9022919468769,288.48634444421737,285.0727403472035,305.732176262384,340.87377627137755,364.97799829209566,358.2083799751891,325.3994507000454,291.9620555250361,279.0021421962915,284.1182362201962,288.99491432856706,281.609060907919,264.77605767185037,249.67581839093347,248.9750374463043,266.30298943936987,287.56197917662814,294.42600593522786,284.8404491690474,269.8606868375428,258.87125122859527,255.1041090886261,256.0243990724008,257.425671528747,261.4708044496947,273.1459674181929,288.78523985739525,297.9270920989995,296.6264857216016,292.3509864395444,293.5301662580114,300.81183110128825
,State,USA,USA.4_1,US.AR,United States,Arkansas,,State,AR|Ark.,1103.1036347404076,1148.6288404628597,1201.2840514475897,1270.0967439829321,1334.051285342489,1350.1783681986058,1309.6348488668634,1249.4422932282653,1209.1844071764085,1202.4721651654202,1218.5644029495043,1235.5500855465857,1237.5622873018797,1220.9071648837487,1188.1976899854772,1154.4716816398472,1152.136292677594,1197.1359111863871,1256.4102645029147,1284.2589364220732,1276.3961056897847,1251.777895227233,1214.2631928547478,1179.4511321175557,1191.369704691123,1256.1668843954812,1309.9986847757816,1301.2835408475705,1256.1993529594915,1229.06079616175,1231.531792735207,1237.9671439605934,1230.3113489488362,1212.6936080567502,1198.7923893583343,1202.0780811449058,1222.5055652214273,1238.7520246661713,1231.9546521788384,1206.6426086104202,1179.7670674049675,1177.6955376572134,1233.8489897947309,1337.7766944403031,1410.6236719545925,1397.1979668052427,1347.8326881512787,1342.543988420791,1375.640359272861,1376.1208574314887,1308.5988059497272,1205.3099145392555,1120.3764807276002,1095.1381004357133,1152.417209694243,1270.6600834594647,1369.6030690748582,1381.3880675197672,1326.9808142542872,1266.850885410101,1211.9251259588145,1147.5086250818977,1096.4209325599884,1092.4908776563518,1132.045330594897,1190.1945376481199,1244.2987673483794,1269.9063992507918,1257.1617154930366,1238.4186592557285,1267.667364048741,1354.1843675291775,1431.3518520948635,1422.7575474444427,1334.5320659074418,1248.4274145992908,1225.2614767792325,1244.1090007838454,1248.8730413093353,1232.8895500150063,1237.581725076625,1277.9162057965032,1319.9307528852848,1328.5579906516093,1303.946367480586,1274.1533529286191,1270.412759291322,1311.3918351627162,1387.1585310290877,1447.5746508525406,1444.1259003062862,1387.6210048465923,1324.829088875877,1280.3715636660183,1256.4725929980866,1248.8532375146215,1240.9313549764754,1222.0802384171366,1211.9450413963677,1231.5535104987227,1264.2889361214377,1275.9335075310698,1255.1511190955393,1217.8949816433892,1197.311712598049,1230.205742034302,1317.5537910187152,1397.7834078367816,1397.342063084197,1313.392775668842,1214.01945724805,1163.7291045601605,1179.1605476410477,1233.6718614073932,1282.8825298084473,1310.5927306738981,1342.1463377316327,1395.18630417468,1456.1593917038049
,State,USA,USA.5_1,US.CA,United States,California,,State,CA|Calif.,552.483901987296,561.7081081637727,576.0410985308164,597.9606185210807,622.6585240147389,636.1167381938685,630.0850227004614,610.8727408981671,584.8258125683805,554.3312830344537,531.0310539208471,529.8191770167771,550.9679167210421,576.1429511576905,578.3409283563383,546.0795738293756,501.1949621721107,477.5739837793887,484.53207952523417,501.53757736924126,500.9732546256162,474.0279172263608,443.3536895123877,442.8339735874858,476.07705086157074,506.57404387834475,498.80545294817585,460.23457314507294,429.132507129306,425.1634415570732,433.05727201689655,436.21522383052456,441.3043821547905,464.1701129268692,508.3972957550387,558.6630253668463,592.0763864481154,605.9380454796618,622.6102522669029,647.3552404070973,650.5383075510566,617.3835043272451,573.810051072096,539.8059831261367,503.2359754415071,457.8902257768796,426.7376424092049,433.1386033582382,474.1112061077203,524.6312619315688,555.392841907831,554.5551559952899,536.766757948784,523.1598670429767,521.5724340766621,529.684000645256,537.0515044916551,527.5365056100567,500.731624649585,479.71003809807297,484.2330694261563,508.4569250812051,529.8999011061037,533.4774660798989,524.8516680935937,522.9201069623377,542.0387279900089,575.9857344458135,595.8137580613277,579.491870640614,545.9199104527139,530.882650202546,531.7982038904947,515.8071439557767,480.16890179610664,464.15724868180195,494.1083833104123,547.9262520950117,592.3076149542472,630.881705452709,682.118125807358,722.3500761676474,699.9658172606081,614.6142281635412,527.9908212548438,480.21262082114646,452.41540522440164,422.0126676147029,401.6648807001419,414.3590528379479,459.5884323082819,514.6178307976696,564.5160711807656,613.2053029539778,656.854734319934,675.7385376875415,660.7386056141681,620.8883955991049,571.8127232541326,531.2776125082684,510.4563453365097,510.5061083726969,530.7261236543102,559.7920174704908,566.5565385202777,531.2452202360885,480.7575080841425,463.42340858416736,489.21719203183784,518.4101912981262,512.038545042582,475.07074379932595,444.03412878825185,446.6949355074739,480.5630686486089,520.9314437291231,546.5315693471828,557.703353463985,566.2526366185481
,State,USA,USA.6_1,US.CO,United States,Colorado,,State,CO|Colo.,360.5161464210033,366.82282052689703,382.4068399725934,406.396985486263,427.4266130882514,433.3001557783951,425.25508257910906,412.6693690766278,400.98810909552776,393.52583941053206,394.55344932861914,404.2979379209998,418.25335617339334,429.5163837696575,430.40178861893816,420.64410077017305,410.63536110898207,408.36303740033424,410.54146424838467,411.23176075331116,410.0538746373012,407.82337135185554,402.3298143525554,395.08088801027975,394.7333074270002,405.1354381688282,417.53212619732113,420.89610025152973,411.97228714712077,394.04786328204045,373.49080479084773,356.5489606137837,347.1971558421001,348.43245476116215,360.2607159017257,375.5541985666103,384.8575978849515,388.3692093507328,398.93069698379946,423.282785501072,444.6210421116391,443.09650787591164,426.00687587946885,415.53853403353224,418.27108853072536,424.00640562062847,422.7512866239489,412.37704783606824,397.16915709092325,383.37447988008944,373.05498805347094,362.9156916036944,351.4150714422094,345.20523071276386,354.8930743014189,380.3400051019823,403.799469840452,408.52023175639937,398.63950833272406,387.42621335308235,377.661823069089,368.7422650848466,368.21514298912246,379.65131602297123,391.94247396331326,395.2319231916554,395.26392749653525,399.8935609890307,404.36119250759566,401.217523130947,392.74158016785293,383.4530479289388,371.859488883028,357.77819448825926,347.7665202383072,348.6645944961451,361.3650572276028,380.2718241054292,397.542708587334,410.6869596111664,423.5534553701515,437.76783169913756,448.4853224950768,450.419316559179,442.6933510746343,426.69973461425553,405.8096479494249,389.14716255508137,386.90871702343895,397.9624590610496,410.2137152822606,415.61215204173755,417.7049160105856,423.853171356418,435.123795044762,444.87640339303766,445.2452608924093,433.19850784363797,410.67265279522957,382.65300682095466,358.63231288885277,351.5349446987853,366.30654263644544,391.2619457722212,408.69137785374147,411.6859035236999,406.1199359000574,399.8706385368154,393.034660184864,380.4197436354027,365.41170574125084,363.42890137596174,382.7357860122937,409.3086895265875,421.1419878813626,412.130587067691,393.9845663244442,379.38243213515403,371.9986571064987
,State,USA,USA.7_1,US.CT,United States,Connecticut,,State,CT|Conn.,1394.8995441830984,1338.8727373755662,1274.709605196524,1219.6253813031403,1192.9894334198411,1190.1515430666343,1185.406665603397,1165.1657870735833,1141.9821500038322,1134.3701083405083,1142.9380096555913,1151.007557599858,1147.0320723987322,1135.9565673142542,1124.9605287534625,1118.668172810968,1132.9820115177797,1181.0728064577029,1238.6120480371594,1259.7808389735242,1233.3372871556328,1188.2371359779681,1150.7714122555892,1132.103887687483,1139.8967593459042,1165.5600001793466,1176.3322981454373,1148.1380883883924,1099.31599169716,1075.9475881741519,1102.9398906135393,1157.8143140204063,1199.1096753245843,1217.5728555465105,1244.8965190693855,1300.5594282645204,1349.195103043281,1339.7543283834568,1273.1350167746266,1199.7846041163407,1159.4974499717607,1151.630245459869,1158.946321982908,1168.702967808379,1170.0383481905299,1158.9405570473384,1143.2055524721256,1133.5470861865058,1143.385329930254,1185.2233019763564,1250.3319055113664,1310.9240143665677,1345.234791620285,1341.2685585906206,1293.5872714891964,1224.6690260534463,1182.9046353984909,1186.6810486307843,1198.5681977044346,1176.3374514306631,1117.3390298140964,1043.0209803422574,973.0326570903951,927.0376947163905,927.8202785373262,980.1727014899359,1054.23614869728,1109.406175410169,1138.500694378561,1175.7136986271641,1245.340330852667,1317.5218330009577,1347.713130893859,1337.529533460008,1318.5315733327557,1306.3536481693584,1296.7740988962018,1276.796126507408,1236.8481277774736,1198.5530691455763,1207.869059830941,1267.998456562081,1314.380089577383,1293.5110456003306,1228.2044570612256,1178.4013938866772,1180.1197355043962,1230.6608779316336,1291.925354277046,1316.0310342290393,1293.1216093945482,1255.3830877264513,1233.5396278127987,1234.8351993182016,1249.6507721729226,1259.3776547699617,1252.627292683139,1234.3833673688446,1210.5596646477663,1187.0791153476812,1184.7088153474645,1218.407990805869,1270.2765162716685,1311.6725780083032,1332.7693227629059,1337.6222593634927,1332.3561418430634,1322.4630010876313,1311.4582121102449,1295.2128291827014,1259.2513858129362,1197.928566101517,1127.7109993948523,1068.4782691401713,1039.690121401798,1068.6735843744812,1155.448238741976,1253.9340052118716,1321.6149392028517
,State,USA,USA.8_1,US.DE,United States,Delaware,,State,DE|Del.,1138.5209019490944,1139.74171243993,1127.8967745265452,1123.015906131658,1143.1393726449805,1164.7352253188558,1147.6092820426213,1096.761592498829,1055.5522712187646,1044.5018359298124,1042.054512150821,1024.8874363539855,1000.1265627913817,988.8473145439132,995.4327818831111,1010.7312878247847,1036.2764836365836,1076.7066446361996,1108.987224878975,1101.729340910753,1068.4663489563516,1051.0071730925386,1055.3063911842528,1056.4343084922207,1050.4484071836523,1051.652575453635,1051.608429882992,1022.9921540298059,971.1976811730002,951.4237963186474,1007.7057278252753,1116.3499911587312,1217.0019011067095,1275.1403663147819,1293.8415755039327,1288.7775799015358,1267.416133972739,1225.1298125940411,1159.7361195523142,1087.714353923641,1037.098142014127,1025.8348584908708,1051.355379525054,1090.6480272770357,1116.4676079695998,1129.3381792782363,1146.149378954649,1154.1058029546484,1133.597019845828,1110.654548753045,1117.3385625687004,1131.8060750085656,1117.7420124595249,1086.8531348452989,1077.819358110322,1103.217986292816,1143.1863612651614,1169.630406717663,1166.5603202074149,1135.8564996562468,1085.515621376123,1022.0793662435909,959.3807615811905,921.9583080778553,928.5525371702901,968.4424627509954,1008.4467065137143,1035.827971958383,1072.181988582446,1132.4248117118905,1192.796615325382,1216.200540524475,1199.7448440165244,1171.6632426899243,1148.1207503935352,1133.7154573820712,1142.9447821519177,1168.5800433469492,1167.0810264731158,1125.657996240114,1094.763219403818,1110.922707733339,1137.5969621275417,1120.9745767628583,1064.534396828202,1021.4557866573125,1036.9161585614438,1102.320311371726,1158.829547587476,1161.8244986736604,1131.1629240357015,1113.0604105889404,1121.814167288687,1145.5353078522014,1170.391720026957,1178.7577914818496,1161.7916693735149,1137.0653415907223,1124.451251750631,1127.6010825127275,1152.595614372757,1199.2129254570114,1235.9337099688275,1229.5945700861291,1185.532364190447,1136.7127503233523,1114.7691693114095,1125.3147161388572,1137.8173188641638,1122.4322271796536,1090.6894914836769,1073.5430336543434,1078.5214454933716,1092.001335733676,1108.1790752526442,1133.678246485179,1164.5016459764374,1181.6106730705096,1173.6657168451513
,State,USA,USA.10_1,US.FL,United States,Florida,,State,FL|Fla.,1411.2452964532908,1381.6811450108423,1362.0621695093585,1358.3441829485084,1358.0331049438582,1340.925531934123,1311.380919018812,1293.0591360314063,1298.118426604865,1323.2171495796722,1354.8385111883954,1368.0683945917044,1349.3127883369884,1312.4049940880448,1272.6211200512807,1238.9045666567547,1234.270583658059,1271.6015112544142,1318.9630349435859,1338.4197644237258,1338.957224253715,1351.7370437396041,1378.6774313005428,1395.156814036117,1385.7599946980679,1365.2453551593167,1365.9821588506084,1393.29551966652,1407.361134310445,1378.6870765553028,1335.1838733224708,1318.9928958128598,1331.490987992343,1351.6495156337317,1367.5230195115605,1367.6997044230973,1345.288431926669,1321.7567262086434,1326.9316397529597,1354.746356095004,1371.2119913542922,1362.3554139843748,1350.6457723900526,1367.6241537929393,1425.7930193881577,1505.2998503113256,1553.9769113560803,1525.8419999121434,1435.6614297521,1352.1284408574636,1327.5598221707094,1343.3957066087767,1335.0164791370216,1281.1604119644128,1243.43342367766,1287.6813038393761,1400.4253244146194,1506.6633366596602,1535.612768324102,1471.990887382783,1375.655483933534,1330.936758743578,1358.7568726422064,1404.4623323689204,1412.051227450761,1382.6583149083724,1358.151965624337,1361.6584045675033,1370.3486633407738,1357.454325764081,1335.163632600319,1328.7921809860263,1337.0695140873074,1342.641548119148,1337.5431773908697,1329.5304169943274,1333.8599478145215,1348.970253034848,1353.137916677998,1349.1977233112725,1371.915242740407,1419.817040770145,1440.6040694647002,1411.7146077723955,1369.9581418500936,1346.9679710185749,1332.427936376017,1311.4191954645378,1301.1892985413558,1327.960841203597,1381.6208273331647,1429.4969999871132,1461.8404081468782,1483.3391123344531,1488.1134825371523,1472.1048030987106,1434.9949866516638,1373.0616012011592,1307.2054810973125,1288.2873612400713,1338.0806537909475,1415.9718642592663,1462.4030715123429,1445.187772113791,1370.6165746381444,1284.4551127365287,1240.9931963887661,1245.7016223681353,1259.5602932946736,1265.2659115317038,1284.2993214080568,1326.5049815569334,1366.6066395633256,1380.6890460305508,1378.4379508981551,1384.3354500346825,1400.681144048651,1409.963235926443,1403.0521700634113
,State,USA,USA.11_1,US.GA,United States,Georgia,,State,GA|Ga.,1339.3330983424023,1295.7027411813615,1244.5517428441935,1212.8583939639213,1219.9326288730265,1243.5755130395262,1247.5932989386065,1228.1953493276876,1213.6401216965085,1231.9745516992111,1275.8281399155073,1301.5983134938438,1281.8621223915661,1237.3508275266968,1201.2626996487045,1188.9494200651395,1207.7023328128523,1253.3591073578746,1296.3527272765782,1308.0644338141965,1297.9711033524827,1291.9192250521444,1286.6300737092283,1263.4174629006654,1233.3887776389893,1237.4124095334432,1297.4427232345918,1370.733442195819,1379.7004919352532,1310.500577117552,1231.5507720110788,1193.8784649032518,1187.8366091593668,1201.3147212422111,1234.5552263646427,1262.543207503906,1253.8934618211256,1217.95469331036,1189.329893560938,1184.8114999160205,1201.1963252051603,1232.2996978628273,1271.3035511818882,1310.876557503406,1351.4221944570309,1396.3294713999796,1425.761807154893,1401.0944718588692,1320.426222410173,1237.6992761674114,1199.0443282751016,1186.7897199470633,1156.89720564587,1116.129818952254,1115.2231454348248,1167.632741329852,1231.6460538032059,1271.978169192819,1288.7381540361864,1295.0245378869336,1305.9383650473785,1338.0750774129092,1386.6234694958368,1413.8129215586566,1388.4997456096546,1322.8183369235996,1255.4207289586734,1221.0879884649603,1234.3789797395807,1280.3611914289472,1328.0345900335658,1359.9938633748438,1380.4984289694976,1394.13696841544,1386.9572315095743,1344.670581969215,1286.0512135143258,1246.3644267770926,1231.4957502354805,1228.9027326872088,1243.4694240805513,1273.9948707790304,1286.477835277757,1254.8178497472047,1198.4716743241077,1158.1630327961443,1157.9889961437573,1195.1835209013557,1252.1274517739,1312.0526146017996,1360.1779653035173,1383.6279805111392,1382.2009970230865,1367.016605134295,1350.3012147256402,1337.573442446185,1313.5820569877012,1255.820469604092,1180.7121046336276,1143.3164887079329,1177.562319671991,1259.2198258077544,1327.8309711204638,1333.110836208946,1271.9163639704661,1197.4175368534077,1175.4253665588853,1207.5815375853024,1227.3247022987277,1200.3564125750345,1177.8366168296018,1211.1175695911145,1271.6000938065495,1299.7805355693167,1289.1585047549027,1280.6905362077339,1296.2870008154284,1316.9652249599446,1320.7215995343893
