GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BEL,Belgium,BEL.1_1,Bruxelles,Brussel,,Gewest,Region,,,644,606.289978,623.7400513,789.1699829,746.7600098,675.9499512,712.6099854,543.5500488,670.999939,712.6699829,643.6900635,691.3300171,793.7300415,610.0400391,837.5199585,773.4799805,594.8699951,642.0099487,808.4299927,916.6800537,687.1499634,895.1900635,765.539978,823.1500244,855.5900269,972.0599976,806.1800537,814.3199463,886.7099609,715.710022,395.9000244,848.7700806,858.5999756,807.6500244,1015.759949,838.5500488,795.9000854,807.1599731,640.0500488,903.6799316,809.75,789.1099854,676.8999634,669.5100098,851.7700195,736.4199829,841.2600098,690.6100464,892.4700317,781.6399536,699.5700684,810.8699341,730.2099609,753.9799805,725.8500366,843.9599609,641.3900146,797.1099854,520.8400269,918.2200317,865.1799927,907.0300293,543.7000122,718.1900635,634.7399902,769.7400513,788.8500366,807.8000488,536.7999878,962.5200195,931.5499878,828.7199707,689.3099365,781.0100098,1031.789917,1033.420044,684.4299927,752.3100586,766.1200562,748.0499268,655.4400024,705.9199219,702.6400146,995.0499878,704.8799438,488.7700195,809.7000732,709.3699951,811.0499878,865.3900146,962.9499512,866.6899414,687.5499878,911.2999268,725.6400146,899.8200684,896.5,944.9700317,618.2399902,718.789978,751.3199463,900.7299805,851.1500244,870.1500244,792.4800415,704.3200073,694.7399902,946.8600464,878.3899536,879.3499756,1051.870117,1013.72998,635.5100098,861.1100464,708.6199341,810.25,819.4199219,752.2300415,720,814.6199951,721.8599854,861.1199951,722.0099487,757.8699951,695.0400391,853.3900146,700.5700073,594.5800171,734.7399902
BEL,Belgium,BEL.2_1,Vlaanderen,Flandres,,Gewest,Region,,,673.5350273,600.9696651,633.4940397,796.5132509,681.1874719,617.5798111,702.7185433,565.9178091,620.8224979,717.3359152,612.905126,638.2362776,805.3044088,586.5697477,790.6112611,802.4553601,581.4182186,659.204414,802.4245631,879.7829176,668.997714,888.8554301,774.8861039,798.575852,834.5656355,893.9789756,784.9294233,776.1077056,797.0542183,640.2713516,415.9051132,767.8835552,810.5687375,789.1598281,969.1849034,801.381318,814.3316551,760.2535007,604.9328673,894.5467317,799.6024896,737.9227789,617.0070675,640.7525242,799.4794874,746.332915,839.4679221,686.5799259,880.9326133,766.5140469,703.2879245,755.7263649,668.0064287,786.9631692,738.98777,834.4519507,643.2757553,802.1490165,574.6276802,893.7140491,867.6120285,900.326428,556.2283036,736.7205899,649.8233029,757.6697792,782.8413681,821.1104617,538.440433,964.0256177,905.7837182,746.9681538,671.5997974,760.3980395,971.1199872,1026.215552,687.652609,756.551677,740.4345227,781.2961256,595.7564808,681.7703137,671.1825263,956.4503167,716.5615612,476.6366126,794.8640645,672.6786104,821.6844239,811.7484808,933.4958497,859.337671,779.163449,916.038644,749.2753685,826.8331901,847.2550248,889.3095956,614.2166544,702.3825113,701.5458591,817.4234254,820.1985831,838.6229629,750.1584471,639.3653458,698.6200564,974.6280111,888.8638473,909.6849885,972.8983587,969.5959284,639.6377958,772.4621111,749.4402222,834.4695264,882.1435522,800.1283483,761.9094077,815.0086245,744.2188842,886.6566295,764.427101,825.1693938,759.7548564,847.923895,696.8940671,581.3323229,688.5257012
BEL,Belgium,BEL.3_1,Wallonie,,,Région,Region,,,771.1601221,667.2060191,770.1411525,928.0462918,803.472845,758.8560992,769.8454072,650.9176603,751.4968128,830.1687883,760.595338,799.8630859,931.7186806,719.3581534,911.4913593,883.6301997,755.7847994,762.0373163,904.0286879,1093.210714,757.9020136,923.7299707,875.9222407,976.5711932,1019.402672,1061.930076,877.2810236,938.8402366,962.7373499,806.9625214,470.3846603,1004.768952,1012.661278,961.9221176,1114.50025,939.6329695,923.9560396,945.7400538,752.5158679,1086.358855,949.3876982,914.1761458,686.0958639,791.7309922,996.4706147,933.6295609,1024.70476,860.6987722,1102.453607,985.4420471,916.3053839,884.630026,900.5984856,1044.807276,896.1434426,952.7196552,852.19361,1050.225656,747.0472583,1050.434712,1061.66532,1120.626194,667.7373578,963.5959559,803.5646464,945.8742805,995.6429308,1078.363236,669.1044798,1048.217588,1080.697326,932.2964019,804.7549952,797.9535342,1241.836604,1241.207404,881.6992732,873.4463394,851.3229201,954.6452846,722.7246738,813.641497,788.7984125,1100.057208,757.9177371,623.6659568,969.2051043,858.7280855,1008.328167,1024.972931,1178.862432,1019.378146,957.9367618,1061.849555,820.4715069,1033.302885,1039.278,1123.45079,861.489751,875.874709,786.4873914,971.3406413,1011.475713,967.4051446,1001.052237,732.0656417,870.2570883,1084.421089,1072.344446,1083.775107,1164.279656,1124.433343,756.8414655,934.1811987,807.8242437,941.1985489,1038.68392,995.5474883,907.2613276,887.0888207,758.3535152,983.9953315,869.2047352,912.8612622,837.4116168,881.0631242,780.1327378,677.5913824,777.2976674
BRA,Brazil,BRA.1_1,Acre,,,Estado,State,,BR.AC,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1884.188141,1889.352192,1923.785072,1924.526696,1884.479084,1825.51131,1888.624899,1846.619298,1919.857512,1996.719583,1918.404194,1943.641624,1888.301716,1933.491166,1913.400936,1796.267961,1875.347987,1807.782224,1820.47648,2095.510334,1942.182651,1211.376156,1813.801549,2015.869999,1886.616318,1918.544299,1759.984322,1798.363152,2083.883077,1774.917895,1823.335658,1791.972133,1870.418102,1350.785834,1469.670632,1778.679568,2123.116565,1875.739562,1610.606769,1750.80558,2012.75691,1929.645067,1945.633675,2064.265486,1904.842059,1921.827104,1929.675612,1872.610223,1941.959004,1770.474854,1675.423451,1848.010019,2226.051165,1669.166178,2263.819275,2014.827684,2120.31642,1926.088706,1994.391986,1894.162923,1806.672425,1806.831337,1804.291654,1830.691856,1854.603432,1803.301305,1840.916987,1719.21565,1761.251224,2106.024505,1799.005193,1906.532053,1761.409676,1772.569084,1861.967251,1633.426805,1731.280954,1775.351425,1741.404845,2040.603435,1490.557179,1779.203367,2079.73607,2096.593617,2244.248243,2064.70625,1679.886846,1904.665711,1844.161179,2053.97056
BRA,Brazil,BRA.2_1,Alagoas,,,Estado,State,,BR.AL,1120.211998,1120.211998,1042.262241,1116.372415,1123.432105,1087.353128,1111.321651,1047.54331,1121.587232,1062.214029,1037.567893,1048.055074,1035.673843,1054.538374,1052.370427,1068.465104,1056.557014,1061.787576,1071.895039,1073.772502,553.9632969,930.7099243,1047.651493,1713.472848,733.2934369,972.5108653,1370.200164,1353.161512,992.9802866,1111.877002,1557.473082,1363.781305,840.2564777,1504.75136,1006.323429,785.7641985,941.1534025,772.5125538,972.3752874,927.1235691,905.6068153,708.8335486,1092.593171,1095.657072,1166.601466,1042.774066,965.5756241,902.8692964,1038.857713,1396.49709,1004.477085,895.1066256,899.4583595,1439.192487,1237.995462,866.276629,1163.768469,1303.544058,1201.923033,1026.045049,1173.361038,802.1501012,1027.161962,995.8687616,899.1747468,952.48653,1041.230899,883.9733155,868.8146757,1023.97969,1181.777185,1070.238416,1147.551911,1529.762198,944.5967249,1393.00449,1161.308565,1130.719037,1276.351379,811.0294279,882.4884164,1135.627173,977.6492872,1186.590149,1345.651471,925.7472998,1488.685972,1327.009569,1058.763268,1076.33852,925.9472447,1104.107621,721.5319088,1111.451919,1280.771181,1318.731328,859.4247182,1247.065644,1484.11612,867.9386799,952.6790392,1203.937065,650.3212246,1208.38251,945.783488,1175.896863,1162.390196,689.1920932,806.7503574,1297.145495,971.78608,1235.568808,859.7954167,1356.351257,1188.135929,1173.60521,1072.01486,1205.82945,1051.153593,1096.344799,1019.914105,607.459044,1071.020338,1129.149441,783.5603873,617.1218752,1298.134646,723.5914765,764.037228
BRA,Brazil,BRA.3_1,Amapá,,,Estado,State,,BR.AP,2586.770322,2695.298534,2643.009068,2592.559686,2435.795635,2612.231395,2643.198284,2777.666913,2381.78692,2495.989825,2542.013105,2634.986055,2508.32969,3007.720414,2841.862122,3029.834518,3221.480498,2684.39335,2242.681626,2701.016202,2695.298534,2695.298317,2695.298337,2492.791483,2436.359554,2688.869656,2677.421148,2616.452495,2526.362,2671.289335,2670.357548,2732.543328,2738.40557,2770.71396,2604.622345,2682.915952,2590.988472,2520.41279,2649.115778,2448.368013,2346.18722,2044.72978,2910.793691,3143.059942,2494.20355,2443.016679,2735.201656,2791.389483,2629.819843,2401.197269,2435.714981,2929.182711,2925.831958,2601.174805,2936.423317,2878.374741,2835.861999,2778.037847,3194.297291,2618.83779,2196.522128,2534.491033,2900.10983,2451.853658,2632.273079,3501.432942,2438.678886,1987.193217,2719.073251,2855.220872,2851.230694,2381.050208,2772.339631,2383.75744,2569.358476,2608.09172,3728.611403,2975.389308,2294.815789,2583.834122,2600.539858,2667.520753,3490.676415,2906.759971,2727.731931,2758.794182,2780.414434,2753.104414,2654.290291,2351.114348,2315.873458,2725.093948,1842.442819,2866.943881,3104.552064,2781.265146,2289.962183,3057.206252,3238.291644,2798.220268,2680.649303,2036.962613,2403.619339,2467.17372,2448.088048,2919.237854,2366.652206,2416.572876,2594.130744,3330.297912,2674.853117,2760.1169,2548.388273,2619.766946,2846.546467,2769.881953,3002.158783,2905.753905,2823.959855,2815.807156,2625.335512,2407.238868,2789.48841,2641.497296,2617.779458,2484.684852,2458.889302,2808.543609,2500.10468
BRA,Brazil,BRA.4_1,Amazonas,Amazone,,Estado,State,,BR.AM,2484.059484,2484.059484,2484.059484,2484.059484,2484.059484,2484.059484,2484.059484,2484.059484,2484.059484,2484.059484,2461.075114,2470.312033,2464.356436,2467.488305,2469.695531,2457.304745,2469.430701,2475.754813,2484.059484,2476.820287,2463.349602,2410.867779,2466.405446,2447.270316,2464.619462,2471.257258,2481.141211,2466.731661,2469.314202,2480.551651,2487.763772,2469.369487,2484.452093,2504.603972,2377.048636,2339.727992,2554.804606,2573.934477,2478.457328,2434.959956,2465.685239,2598.208202,2528.795923,2688.465429,2518.504644,2338.732373,2482.217395,2551.21307,2773.017952,2446.909132,2307.335767,2242.076769,2453.393636,2593.887236,2373.647563,2445.033123,2426.886655,2516.571113,2738.442004,2611.814202,2485.332502,2412.762852,2760.815537,2473.306552,2617.480603,2722.353728,2286.985028,2358.691881,2472.940952,2418.744304,2524.818479,2664.754178,2429.192495,2553.141368,2582.079462,2304.933604,2324.954448,2490.38479,2384.454498,2397.916222,2620.134452,2430.908459,2669.015147,2649.256097,2665.62369,2510.899128,2610.15514,2629.022376,2407.739679,2202.047165,2344.032283,2506.299856,2243.499773,2727.732036,2532.306701,2736.236843,2423.287751,2668.644218,2646.060495,2483.976515,2352.156007,2236.23186,2696.123155,2519.860266,2230.148808,2465.152129,2258.09306,2259.900972,2472.759958,2553.851321,2541.697841,2542.475627,2370.847693,2422.0178,2309.014154,2367.713859,2293.339543,2480.570377,2559.259903,2262.112229,2585.577439,2586.41461,2654.501478,2640.644187,2232.908659,2236.862858,2434.761743,2555.672097,2643.499982
BRA,Brazil,BRA.5_1,Bahia,Ba¡a,,Estado,State,,BR.BA,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.4426326,873.6331123,873.4426326,873.4426326,875.4954399,757.2739006,947.1739533,872.3356684,918.7345985,771.2816733,1104.124479,946.5058464,981.5157282,903.7901623,947.4507152,1005.511026,871.0581449,742.1618974,1253.760102,768.6807515,1092.526368,851.6875043,754.6735203,868.2301787,781.1228431,679.7586717,634.5786669,962.2652618,675.5183358,924.848279,1004.267112,951.403922,663.0708089,670.7794749,1062.387866,868.5092274,971.0995967,845.9543816,937.6709037,1047.919475,667.2378609,1152.756751,964.9771318,763.7656813,750.6933692,650.1440945,853.4072151,683.2271273,785.5154545,824.1839638,881.6101769,974.0670304,908.9653502,593.3498894,1112.748058,541.5501626,783.8894702,731.544807,1175.109702,754.3608327,988.1204881,946.8427661,967.2968586,982.6558844,866.5792951,733.771511,812.7186945,788.5350212,1058.774009,863.7912521,707.6618429,936.1694479,1078.876623,969.1833738,1059.526209,870.0330363,637.6359878,836.6468445,685.659778,1273.879698,667.840152,703.4412466,866.0070628,1051.172092,590.0548478,800.5049179,1125.765972,473.4959673,731.6871813,891.3501972,640.2567299,961.2765915,681.2046355,952.6528226,1009.537007,666.4569651,828.094383,633.8789257,974.1897212,967.5134868,896.5562722,731.4800139,798.871715,891.5510445,808.2688118,789.6558669,487.0396532,823.9899644,702.4320617,573.9888172,751.26808,617.2081251,762.287431,616.8555502
BRA,Brazil,BRA.6_1,Ceará,,,Estado,State,,BR.CE,843.777715,851.5861839,896.700741,1122.826104,1059.928071,998.6687743,986.1994476,756.1467605,1062.713034,747.6311373,860.2567399,733.9535569,699.7661427,764.7271386,769.6995859,857.3463435,688.0291912,709.2027606,774.6575152,1048.672995,666.0497247,1136.787919,1099.560063,881.104901,311.2809445,914.8740137,1385.37073,876.9057795,214.6981027,941.8043599,1205.41307,1024.176061,799.3256387,1553.581089,932.6359323,1025.666497,768.9900619,633.8816565,993.0075341,636.1413983,620.0473839,387.5912778,801.2673709,1152.221686,1070.065325,529.1239298,759.6971167,711.9628548,814.5930791,1074.282982,540.2822021,426.6027375,612.2969122,732.5108707,1037.064373,834.2694079,974.8839775,714.7939301,791.0585412,865.9024557,490.7167968,616.1351025,476.4307018,586.4924081,767.4144725,715.4807698,838.4640763,287.7200842,768.2557458,749.4667146,1041.528041,790.2668797,1087.905968,1257.367002,938.0845881,605.6694701,1104.027615,889.2946561,815.0512518,511.8489961,920.9152471,656.6532568,1119.235076,1581.763374,1032.45665,670.2902783,983.6200807,775.8267152,604.427937,661.4844238,617.1111151,621.5925345,348.454194,985.9674866,1717.161861,1183.480475,637.2134751,1032.280477,1180.732227,535.1619639,664.2434541,649.2839979,392.8059545,1011.394981,971.2095394,991.3898224,703.5164074,457.2010068,777.1531278,915.2142997,649.793774,889.085964,905.5925156,1076.96822,644.0516629,807.4189746,708.5831839,957.4147123,1214.100059,640.7780583,1081.122798,433.6536791,600.2552221,685.4476611,595.9324566,630.9761896,731.3760864,822.1993515,875.2425779
BRA,Brazil,BRA.7_1,Distrito Federal,,,Distrito Federal,Federal District,,BR.DF,1216.543424,1265.081151,1275.098221,1255.512711,1336.116667,1288.029194,1190.75829,1199.019453,1187.327546,1206.39692,1205.166069,1183.242509,1170.075442,1216.522035,1229.064903,1275.969798,1254.411002,1225.909416,1225.909416,1225.909416,1225.909416,1223.425107,1257.407937,1237.675173,1208.005136,1264.53945,1259.45341,1216.224211,1228.978843,1232.05331,1248.817196,1237.693116,1213.775106,1291.269672,1210.765529,1279.057285,1213.423742,1219.634242,1238.285368,1254.436923,1238.027241,1247.205332,1291.254169,1217.040984,1149.585496,1455.061958,1545.465805,1326.532041,1001.099083,1446.106621,1471.43231,1650.242256,1256.254336,1357.201545,1551.12594,1195.704689,1533.756329,1602.876814,1544.053053,1192.102583,976.7780444,1494.622273,1110.993918,851.1479749,1106.158266,1197.535514,1400.884679,1223.957401,1142.835082,1446.035905,1084.912496,1339.030311,619.0307892,1617.159507,1206.328768,1054.877231,1249.786578,1278.060785,1276.498651,1323.559067,1374.876228,1141.457075,1185.240125,1127.484372,1250.49602,1189.420272,1148.013911,1307.356222,1560.849781,1396.678924,1410.190954,1163.408386,1579.633257,1290.349223,1502.405912,912.5428708,1135.611383,1075.355538,1150.486973,895.8565407,1393.17144,1577.460402,936.3081752,1157.814012,1146.558435,1108.118555,1198.601698,965.7094977,1145.117214,1379.71071,1215.308268,1172.161565,997.3799089,1571.589248,1664.208672,1380.880071,944.2681517,1384.880235,1471.567495,1165.545162,1260.381554,1175.200262,1560.064179,976.5577937,757.3407038,878.8289757,1092.17589,1416.843085,1266.813794
