GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BEL,Belgium,BEL.1_1,Bruxelles,Brussel,,Gewest,Region,,,685.3685081957054,700.6547389054795,715.362010151012,727.9136199501961,730.8717148437498,718.1254923414062,705.8186526292969,720.9084615671874,760.6473388667969,794.6937165308594,807.8442304203124,811.1539588019532,819.2816154984375,837.3610305859377,858.1295468957031,866.333527819922,854.4007837867186,823.2251489171875,772.2283136824218,717.14973330625,699.1807243902343,739.033657091797,806.6589610933594,858.6011405558594,874.6085653906251,855.8898260929687,818.7282686187501,788.6628308015624,782.3542213140626,790.7516298117188,788.3373658660157,765.6935773046876,742.9311995695311,742.1423003796874,759.3923456714843,775.6568434265624,783.6963808570313,788.3920485980468,789.1501708007813,781.1431310179687,768.3958146624999,759.0119755324221,754.6746671207031,753.7485396796875,753.0593283035156,745.3540978265626,729.2091009531249,721.1440286679688,742.1043477164063,783.7941951835937,804.6181812335936,777.4232623613282,726.1033449199218,695.9912779339844,703.8590145097655,729.8598370507813,747.2101492796876,755.3238930585937,777.3314599871095,815.6351187128906,837.422409765625,828.0755228960937,822.4954776792968,850.9175109988281,885.3281464796875,877.3472256933595,827.4597418589843,776.4001379285155,745.3674712421875,726.2747175851564,717.9554061925783,731.5732545777344,757.8064615570312,762.1268582121093,732.6947197632813,704.8241085699219,713.9452891070314,756.0107934257813,807.9311327781251,849.3322119621093,862.7518472648438,846.6653161089844,823.4596932007813,816.7104489871094,830.6460552257812,850.9164226054687,852.2323238769533,820.0083303277344,775.6543311867189,759.536818490625,783.7436516253907,821.1515131015625,838.5704746234376,824.7238850515625,794.2940437660158,777.6539220652344,796.0205559585937,841.2379722437499,889.9708239660156,924.8164571816404,929.2957240058593,893.1267791593749,835.8791924824218,793.8371870105468,780.6138529765625,781.7722048855468,779.7767396054687,771.586124186328,766.01964569375,768.9098391566406,774.7780361195313,773.7920939886719,764.2265102777344,754.689918746875,749.2882895367188,738.3340528168627,716.3766518870445,695.027724994064,686.2969363920246
BEL,Belgium,BEL.2_1,Vlaanderen,Flandres,,Gewest,Region,,,654.4557242619632,674.1898254123287,693.3601861174091,709.7424191364706,717.7784496207032,711.9806780007813,704.5404264625001,718.3377871460938,751.7993741640626,780.3968483457031,793.4238754269531,799.6895485804687,807.0914140179686,817.3292114359375,826.8095961332032,826.0392209253907,808.0345255097656,771.2806948437501,717.4782192406251,665.7171740957032,653.3583205605469,695.960388796875,765.083471815625,820.6610441628906,842.4077845316407,829.4673276082029,795.3511210519531,765.0778337734376,758.2222442308594,766.0704322546875,759.4790796160157,729.3554458558593,702.11736335,704.7998951125,732.4148639191408,760.4594603789062,775.9212500695313,781.9584293472657,780.1549580777345,766.992189190625,746.9246539246094,733.0901809218749,733.8543738828126,745.0986808976563,753.8484782121094,749.6251892601563,736.0985384507812,731.5693731351562,752.6194153796874,789.6950178984376,806.5122350328124,780.3340043363281,733.0755594074218,704.8893622742187,710.3319932003907,732.4495214972657,748.2420138484375,756.2715984621093,774.6034364730469,802.414625323828,810.5768253675782,792.3004664707032,785.6477296625001,817.7241499113283,858.4461113066407,859.4745505054688,818.3401692585937,771.5586087312499,739.0294433128906,713.4522956199219,696.3600849554688,703.9787644601563,730.7296789539062,740.9356410304689,717.6348209558594,691.6268057660155,698.5284896164062,737.1298748769531,786.0289986593751,828.1009383648437,851.5748120671875,853.5460442628906,843.1941484199218,831.54346891875,824.7136969058594,822.4317853519532,812.5691520582031,782.2349892835937,743.04638835625,725.1683052781249,741.4134499300782,773.5513967664062,792.3712449335937,782.4688458367187,756.7663269085937,750.2258028558595,784.9969403539063,844.0982112589842,893.7734349527343,915.987473873047,904.5525145250001,860.1147989152345,805.7797644605469,777.0496021226562,784.9666678828125,807.8557549160157,819.097429059375,811.9911326265624,799.2279445523438,794.7498890062501,799.8839011992187,805.8456644714844,805.6471982125,799.2560407195313,785.0379415320313,756.1542724733334,715.5407723222673,680.0084334831051,661.3962519116565
BEL,Belgium,BEL.3_1,Wallonie,,,Région,Region,,,802.3833503907975,817.7058923465753,829.7164006647773,837.6695034694118,839.7721390941406,833.1238467410155,828.4650383164062,846.2576098464843,882.0524358476563,905.1101992722657,904.3925814195312,903.595968214453,923.899958030078,957.8522468398437,981.3482442871093,978.9878184566406,955.3410405804689,917.923738315625,865.0658760320314,813.6978787359375,808.1755094523438,864.8810276644532,942.4110318855468,991.4307647515626,998.2592181445312,974.82400725,940.9475005273438,918.7468887539062,920.1497786738281,929.8482512894531,916.3610251230467,875.1452612527343,843.6666832707031,855.95019271875,900.4937192226563,941.4685062871093,964.0679047789063,976.8842056132812,981.8244851386718,969.8496716355469,945.7647193265624,930.9370874335939,934.7612925054686,942.9043282308593,940.6715855632812,931.1500140421875,924.0313650859375,925.7402749890625,944.0194778242188,975.3044897589845,989.360482571875,961.2665523910156,911.7095962058594,883.9605718304688,894.8327804960938,925.8017961492187,945.8202525335938,943.4212576898437,940.2228594578125,952.3813022214845,957.3190439484375,938.0701908289062,930.1718742757814,972.4407040445312,1034.0635019957033,1045.8487846597657,993.3449048773438,925.7908090515625,880.3087191074219,851.2325808484376,831.8977720230469,833.9957225367187,852.6875852179687,856.3028485894531,835.6126828007813,825.9262163140623,856.5672302386719,916.5171669648438,980.7669021550781,1030.9390767054688,1051.6161964593748,1038.9479806347656,1008.2011233054689,981.5974528992188,976.0411684546875,992.6415974757814,1007.2999972125001,989.9624350417968,942.410300404297,901.0111227124999,897.2983895335938,925.9666678667969,953.2009498457031,950.5060659437501,922.8025966367187,907.0887839722654,934.6935843984375,995.9109247890625,1054.9219242832032,1084.5553381593747,1071.1068526390625,1015.0893067542968,944.4962645507812,900.6042492214845,901.8557084085936,932.207434901172,958.0992328730468,954.3004023312501,923.1701345457031,890.2930338003905,877.9291948687501,883.8106707667969,888.9934923117189,881.1133244246092,859.7202068445313,827.2376123635294,790.5987805910931,762.2347996958904,748.9913337496932
BRA,Brazil,BRA.1_1,Acre,,,Estado,State,,BR.AC,1884.188141,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.1881409999999,1884.2083130742187,1884.5041931054686,1886.1479356523437,1890.9104078242185,1898.4539299023438,1903.184623890625,1898.0826221523437,1884.1990663164063,1872.292636824219,1873.3462545468751,1890.0471305625001,1914.6086798906254,1932.8701076484379,1936.0151918085937,1928.0675799023436,1916.9148666054687,1902.780147527344,1882.5665616171877,1860.8348804843747,1850.438411972656,1861.2119301171874,1877.7224614570314,1856.4703265781252,1786.130452777344,1732.942048246094,1760.1217269843753,1833.9190722343749,1877.1887794062498,1872.9454533476562,1861.2622781835937,1867.3687279531248,1874.0221849140626,1858.947028574219,1822.3539745390626,1764.8962370078127,1686.5768310859376,1628.1269545039063,1651.2563024023439,1747.8021115664062,1828.9425952421873,1837.3269977539064,1815.294376832031,1829.7205984765626,1883.2849662968747,1935.500681984375,1962.7635281367186,1965.3489136367189,1950.9435446875,1930.836984613281,1912.4030967265626,1889.9730801367186,1856.180697515625,1826.2532481796873,1832.6046300195312,1881.5894252382811,1943.0817993671874,1994.1262316875,2032.546496636719,2049.6968425859377,2034.6981990078127,1995.0841729179688,1945.8539101601566,1895.3717068828125,1852.0119319453124,1826.2088639882816,1820.0486772695313,1823.9232913320313,1824.8749951132813,1816.46423378125,1806.5081901289066,1814.4286363476563,1846.5372475468753,1877.7792737460938,1878.5359299531249,1850.701121566406,1817.3582503203127,1789.9666286015624,1765.09489396875,1745.5984442890624,1745.0508334179685,1765.5852308789063,1785.3360301992186,1787.4132991562499,1797.6219476367185,1859.5603807382813,1966.6581132460938,2054.074083359375,2063.3018835625003,1998.205529636719,1920.1436170117652,1886.8292283846154,1902.1627563333336,1937.9472769938654
BRA,Brazil,BRA.2_1,Alagoas,,,Estado,State,,BR.AL,1041.769212742331,1043.2871935525116,1046.0119550769232,1050.2961455529412,1055.1749718203127,1059.10937190625,1059.9558525621094,1048.1914700996097,1007.0781560531252,943.8190545578126,915.498763260547,974.0578085308595,1079.1616814320312,1135.8845282984378,1129.9351171785156,1133.2218963457033,1170.684579069531,1198.5377252429687,1210.1152930117187,1237.859738345703,1266.5251441460937,1254.4394385332032,1204.5208917191405,1135.9443183789065,1047.6999499664062,955.5372853136719,897.455715190625,885.5600381101563,894.5737409203125,897.2450481011718,897.9621264542969,926.1035399710938,989.2654710636718,1050.9975011777344,1069.8478902308593,1044.9678816070314,1016.9276661929688,1027.7660238250003,1071.1528857871092,1093.4652704132814,1069.7504664332032,1049.4575318960938,1081.1596981273437,1132.0532218859378,1145.82777195625,1135.4178525023437,1144.8679251855467,1165.0156630632812,1154.8585928265627,1106.2034636804688,1044.4797918117188,996.321072684375,971.4562585749999,962.2744083550781,958.9698896910155,956.8995871734376,951.5599408898438,948.8103947664063,969.2779225968749,1020.3990710515625,1084.9788790839843,1147.0631264464846,1198.5669309058592,1227.0072795523436,1228.5569796367188,1215.6522628058594,1193.6056144757813,1150.993397096094,1083.8286146863281,1018.81265559375,995.8766053749999,1025.88847969375,1084.0890162335938,1140.5940321550781,1184.3212225812501,1220.3486954398438,1240.9884424558593,1219.02233484375,1150.8463849914065,1071.3972995953127,1011.9011915328125,985.0254486210939,1005.6462130695313,1071.7831163984376,1137.619060713672,1163.3511156660159,1167.0724252859375,1171.6509101015624,1153.045762871875,1095.5054442992187,1030.9594279117186,992.3545391054688,987.3692318078124,1012.0377900167969,1044.4721542460939,1045.5478547640625,1002.1467745429687,959.1602007828127,970.9440232730469,1027.3486851546875,1075.1374264429687,1098.3522540062502,1122.87417936875,1156.011712180469,1173.7964479164064,1164.380368611719,1142.5420536941406,1119.1105691132814,1084.313245207031,1027.1212542382812,963.9190585988282,931.3631397484376,932.7179931132811,927.9280215152344,903.94185885625,889.9534054541176,888.2037328323887,871.2788737168949,834.7977553429448
BRA,Brazil,BRA.3_1,Amapá,,,Estado,State,,BR.AP,2592.8649888588957,2635.8407463744293,2711.6732937732795,2813.954857529412,2909.405624871093,2946.714379519531,2885.7075842343747,2751.4247561835937,2638.9792373710934,2613.6181502226564,2641.4190161093743,2651.470760125,2620.818470671875,2581.7350589960934,2573.7109577109372,2596.841003765625,2617.7813545195304,2620.027555910156,2622.042011578125,2642.8305802421874,2677.080174144531,2706.6097774804684,2716.8797960937495,2703.417463144531,2673.019510421875,2637.4646621757815,2604.287182070312,2570.2054866406256,2520.5755105312496,2456.1990388906243,2429.3633625703123,2500.7499314414063,2634.0551536406247,2711.8820734062506,2692.060039683594,2651.5362433085943,2647.5159467031253,2644.4845671835938,2609.591967132813,2586.961878132812,2630.358270527344,2717.0138512890626,2783.7124539921874,2813.796841257813,2832.1078683515625,2851.020384042969,2866.4534247187503,2860.440428890625,2796.375238035156,2676.458376699218,2579.2719904453124,2569.1295166054683,2625.1734321289064,2703.6590210273434,2766.477806863282,2748.8675977851562,2641.0789879999998,2557.12845978125,2586.2979011875,2662.838423351562,2681.8458295859377,2637.451500972656,2589.1550179999995,2594.388420828125,2693.0579603242186,2854.730352570313,2949.172762433594,2880.3654795039065,2724.3546378632814,2641.7146121679684,2701.644462257813,2841.741265046875,2943.4177200820313,2937.5994390546875,2861.0259491992188,2789.9467215195314,2741.6464781132813,2680.1519900429685,2588.960593,2495.7239239335936,2434.112056929688,2427.082135484375,2499.610620296876,2633.401740148437,2738.8213154296877,2768.8544988125,2791.780391546875,2855.460003804687,2882.0914659492187,2784.257543179687,2598.9151956132814,2446.11304753125,2404.0400118437506,2456.1116889218742,2529.2026512617185,2562.758866722656,2566.8415116718743,2610.0069058906256,2714.8725765820313,2804.650751625,2803.896083542969,2738.372614769531,2690.068715957031,2703.0943225039064,2762.967531304688,2830.8145453828124,2872.731314355469,2870.5733350625,2823.0759803554683,2745.2163902695315,2669.681884582031,2630.7255402695314,2626.9039775976566,2621.0305654882814,2594.207180828125,2570.7706632470586,2573.9484518137647,2591.1261389863016,2598.9566161595094
BRA,Brazil,BRA.4_1,Amazonas,Amazone,,Estado,State,,BR.AM,2465.179840533742,2465.9842495114153,2466.4421707246966,2466.369265172549,2466.120340515625,2466.9830786171874,2469.9171855937493,2473.4238488828128,2473.545699738281,2467.379006714844,2457.3291916835938,2450.1484677382814,2450.144802292969,2455.64568928125,2462.6784070468752,2468.4368660859377,2471.6177803906253,2472.9807598632815,2474.622205667969,2477.134460625,2479.1928864804686,2478.3659075429687,2469.7471233984375,2451.6253180781255,2437.84310503125,2448.3258686523436,2478.2118610625002,2498.336044578125,2495.9888710117184,2491.547552097656,2507.1522777500004,2538.7101274140623,2561.6287813476565,2553.301335859375,2517.815813527344,2491.8840882812497,2506.538762984375,2540.677038898438,2538.015468375,2478.176058019531,2408.019164125,2386.164410214844,2413.884822996094,2445.1669932070313,2453.506556597656,2458.8423620351564,2490.0576116562497,2542.5335879765626,2579.763614125,2577.3424793242193,2555.828866757812,2551.356939972656,2568.1816860390627,2583.001379074218,2572.847441515625,2528.1732480000005,2467.114650265625,2429.263612625,2435.610654460938,2472.0626341718744,2511.08076375,2532.3202914726558,2530.5706493671873,2508.631624054688,2469.001015222656,2425.50714846875,2402.3647655117193,2407.560127121094,2430.691374394531,2464.1143522382813,2505.579879179688,2551.088687609375,2592.13529625,2614.9514430937497,2612.8376552617187,2594.708378578125,2564.156687039062,2508.706937988281,2432.990761738281,2375.3883765078126,2367.1128702304686,2403.3680974335934,2464.943598078125,2531.979235511719,2579.3102435,2594.746726363281,2592.1370611796874,2581.6181117968745,2548.7953140703125,2489.5562293085936,2440.3328285976563,2435.5107965273437,2452.623036847656,2443.4612119648436,2401.496653597657,2358.8931890117187,2344.447058578125,2370.6642294257813,2428.5917548632806,2484.2362106992186,2503.73683428125,2481.5702613632816,2437.2247157148436,2393.8028742578126,2366.166140890625,2363.240995085937,2385.8547819765627,2418.69449603125,2445.096242289062,2472.3648946562503,2515.5828402187494,2557.911732152343,2556.3821452265624,2494.4231548749995,2415.270085605469,2386.0283326039216,2425.6452486315793,2495.049209465754,2554.992493858896
BRA,Brazil,BRA.5_1,Bahia,Ba¡a,,Estado,State,,BR.BA,873.4426326,873.4426325999999,873.4434037728745,873.4486084337253,873.4634663171876,873.4923188128907,873.1050830117188,870.3665659292968,863.5063425445312,856.8046817738282,859.1515004828124,870.8363876132812,882.8548421414062,895.6156182761719,919.0936304699218,948.419746464453,963.9085994218749,960.0426454554687,950.2297233613281,941.3348108867189,929.3215581902344,921.607289615625,932.3977294789062,952.7752903027344,955.8870027300782,929.6442465078125,885.139879770703,840.1584716183594,801.5976096871094,767.7527449749999,747.3997443167968,754.9350322738283,788.1083938996094,833.38210156875,875.4759207273438,889.104068648828,860.8624973562501,824.6759539730468,828.5607560578126,869.7066162113282,906.0341754257812,918.236248803125,919.642579854297,920.956409634375,923.1017754574218,928.9774116488279,929.0125359253906,898.2473302828125,835.6198305910157,776.4955833742188,749.3609350851561,749.887988323828,764.3867778183594,791.54272504375,831.2446240089845,867.3398515488282,877.1826364261719,858.3602755308593,828.38847839375,799.016861411328,779.758956019922,792.5951957292967,841.9716368199219,894.8119614914062,923.7292877296875,936.6691159886719,946.1627399054687,943.6999437722656,915.9757249558593,869.3392073503907,832.0985918101561,830.0621200253905,856.4279479808595,877.0316037941404,877.0048355976562,883.2903826660155,919.9463858207032,965.8960600874999,979.0229885070313,940.6295260082031,870.4413360472656,815.4883650632813,813.2459143304688,848.6419151929688,867.3452774371094,848.6550679984374,828.4400397640624,830.1031407390625,833.3134011597656,826.4938356222656,817.1420360109374,797.6675255167969,767.1444485300782,751.811074666797,764.0856526488282,787.7755290187499,812.4727689867186,840.1595123847654,860.2179967691408,851.4601629214844,817.0085128175781,794.0189705753905,812.4354935839843,856.0678847015624,880.044948471875,864.7972588406249,835.4866335515626,820.5642417046876,811.9551489554688,784.2760559933594,738.9227813160156,703.2461930601563,689.2844492234376,683.4185187382813,677.1136708433595,675.7715448407845,679.1528992639676,679.440798292694,673.2143902453988
BRA,Brazil,BRA.6_1,Ceará,,,Estado,State,,BR.CE,784.0511636177914,763.3120242926941,753.4223724639676,758.7171291145098,768.5684381050781,767.5590177941407,761.7336288304687,774.651171175,814.0766084832031,866.4594507472657,918.7857637933594,948.4166718011717,918.7690053999999,845.5777969441406,816.143925615625,862.7759038652345,894.2628127382814,847.7073700585938,804.8499553757812,854.0189392597657,955.5796282808593,1034.8036292300783,1081.6250866921876,1095.730573834375,1051.164461085547,954.4361335191408,857.8873863640624,796.6282863117187,752.2063767179687,696.1021995890626,652.7340867246094,681.5108223996094,784.0477541429688,873.0634182074218,871.0859625445314,805.0441282164062,760.170626321875,770.9165975449218,792.1049957023437,762.4619066535155,684.2766620667968,630.2982100816407,660.1357273117187,753.339138048047,840.7725808878907,875.4369118117187,859.6374502765626,820.7189986976563,773.6197200281251,713.6323554304687,644.4787773234375,593.1829378613281,586.7404440683594,624.1488760816407,671.6264799234375,686.773030473047,664.3598867257813,652.2794722289063,696.8806400769531,786.6328328054689,879.850849575,958.2126655207031,1011.5759437046875,1013.1272878699218,963.5280293273437,911.669712271875,883.7901438839843,850.7639783664064,798.3278662785157,766.8110531199219,804.5514029046876,918.6521116453125,1053.3124425441406,1112.877149033203,1055.672255376953,941.174143290625,841.2150558378909,765.3443310285156,700.5305711046874,649.0261231941406,619.2418865074219,641.5773976171874,764.7506199019532,964.69776965,1110.6169464394532,1111.6790660890624,1027.3840792386718,948.7229492269531,873.5973054558596,774.6047336117188,682.9801226886719,653.0759594625,704.6241655320313,800.9993170292969,863.7926543011719,840.7296843875,764.7533734722656,715.5272942117188,726.8330841226563,768.0128597210938,809.6256986214843,850.5977287351562,878.8475981847656,868.7876263749997,829.8520239453125,811.3945561183593,844.4861058304687,900.5891639488281,920.9783394195313,876.1735660777344,785.5317798941405,694.2027259082032,639.7054603734375,627.89238708125,643.4526322652343,678.2328004388236,728.1412705526316,779.2001846050229,818.6037823901842
BRA,Brazil,BRA.7_1,Distrito Federal,,,Distrito Federal,Federal District,,BR.DF,1192.3101772576686,1191.8338184840181,1198.02725508502,1212.8191072549018,1231.2656139648439,1243.5845623320313,1244.4872012578126,1237.6717273984375,1230.6488964687499,1227.754206402344,1229.2201997734378,1232.9986837187498,1235.9325487500003,1237.0642110507815,1238.7835114335937,1241.2156073632812,1240.5629223632814,1236.4158014179686,1233.606554390625,1234.5766886328124,1236.915172464844,1239.1014335937498,1242.1319421601565,1245.2413237656249,1245.3093195078125,1241.025517769531,1235.3799518554686,1233.34672690625,1236.6433951484375,1242.535626339844,1247.8023095,1249.699909015625,1248.8222046210938,1259.344873328125,1298.304429890625,1347.7710647851563,1360.3082258789061,1330.2071191328123,1316.6645376796876,1360.409868847656,1422.5318553789064,1444.1409205390623,1424.436067453125,1402.3219164570312,1401.1808650273438,1424.1395831914065,1458.4999390874998,1462.8607878171877,1402.6650701218753,1306.830278673047,1232.2050122585936,1182.6246386937498,1130.9256536781252,1095.932267008594,1118.586739190625,1184.750514075,1239.104382684375,1257.2815187496092,1254.445771215625,1237.1642672679686,1197.5624059398438,1156.2287605828124,1154.03698121875,1186.923441996875,1209.7738175179686,1212.018978990625,1223.3141120984376,1253.6746119843747,1283.1969499648437,1291.1531375820311,1269.3576933359375,1228.8326786523437,1195.571484375,1185.1708292070311,1191.9481517851564,1211.9467463085937,1256.589364488281,1324.9940169140625,1382.6872953398436,1396.9850066523438,1380.6400179179686,1370.4354515187501,1369.9519604078125,1343.29581024375,1269.6406653585939,1178.698943557422,1115.4631222242188,1093.6094045273437,1109.7133743390623,1164.3726118960935,1228.9278904640626,1245.8425758742187,1203.9463491585936,1154.2166912093749,1132.079837903125,1124.86132341875,1119.746961728125,1131.765830203125,1169.8335740746095,1206.5294027570312,1215.3419763156248,1224.294698973047,1282.2938479871093,1369.4788125039063,1403.6806436085938,1357.8388225757813,1300.538738960547,1287.78058791875,1293.8931802992188,1283.7955410558595,1268.7002050042968,1251.1048318308592,1191.866809977344,1082.224161915625,993.9131734703125,1003.5153184368629,1097.4040492558706,1200.5704703091324,1266.1906488920245
