GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,Baseline,LinReg_1901_2019_Intercept,LinReg_1901_2019_Slope,LinReg_1901_2019_R_Squared,RateChange_1901_2019
BEL,Belgium,BEL.1_1,Bruxelles,Brussel,,Gewest,Region,,,783.5825024430001,320.2311704668427,0.23614852082466864,0.004669190686954816,3.5863069798677336
BEL,Belgium,BEL.2_1,Vlaanderen,Flandres,,Gewest,Region,,,765.3963616560002,-181.75227708249577,0.48516872691140867,0.02211755985933106,7.5431608242222214
BEL,Belgium,BEL.3_1,Wallonie,,,Région,Region,,,927.1014512429996,405.59528661253387,0.26358925314057824,0.0044962990706114425,3.383353686015025
BRA,Brazil,BRA.1_1,Acre,,,Estado,State,,BR.AC,1873.2716768799999,2008.3951162079488,-0.06949741292550979,0.0002651296513208612,-0.4414838616419996
BRA,Brazil,BRA.2_1,Alagoas,,,Estado,State,,BR.AL,1070.983283345,1722.1640678774256,-0.3370546295627406,0.0028591594727448433,-3.745109894964206
BRA,Brazil,BRA.3_1,Amapá,,,Estado,State,,BR.AP,2678.3104931,2589.7875740333275,0.04607753104970837,2.972895441544221e-05,0.2047270549490607
BRA,Brazil,BRA.4_1,Amazonas,Amazone,,Estado,State,,BR.AM,2485.40964606,2755.0490257016095,-0.1397272224896738,0.0013960027050643475,-0.6690059927396685
BRA,Brazil,BRA.5_1,Bahia,Ba¡a,,Estado,State,,BR.BA,865.4001083130001,2989.3001409843896,-1.092716168139866,0.058104342051336966,-15.025792435146462
BRA,Brazil,BRA.6_1,Ceará,,,Estado,State,,BR.CE,820.949486396,1407.4199830604898,-0.30199809722902704,0.00161297384038106,-4.377586461259929
BRA,Brazil,BRA.7_1,Distrito Federal,,,Distrito Federal,Federal District,,BR.DF,1250.516161099,2103.026078804828,-0.4367025049480132,0.0065127837510481346,-4.155691841930496
BRA,Brazil,BRA.8_1,Espírito Santo,Espiritu Santo,,Estado,State,,BR.ES,1531.28755443,3873.1467420854588,-1.2046365749964396,0.060645583404861036,-9.361517502696413
BRA,Brazil,BRA.9_1,Goiás,Goiáz|Goyáz,,Estado,State,,BR.GO,1491.8298365170003,3360.2902263728943,-0.9589822342337269,0.016251098947004494,-7.649591332765454
BRA,Brazil,BRA.10_1,Maranhão,São Luíz de Maranhão,,Estado,State,,BR.MA,1766.8705799299998,2974.6537967439126,-0.6245277905141723,0.04382540595113671,-4.206239433458158
BRA,Brazil,BRA.12_1,Mato Grosso,Matto Grosso,,Estado,State,,BR.MT,1330.6562888500002,1454.3440764543511,-0.06419325915823954,0.0003525003618974898,-0.5740774611625963
BRA,Brazil,BRA.11_1,Mato Grosso do Sul,,,Estado,State,,BR.MS,1250.3799740240001,2191.049665577953,-0.48582367460974246,0.009431274766893538,-4.623635893056111
BRA,Brazil,BRA.13_1,Minas Gerais,Minas|Minas Geraes,,Estado,State,,BR.MG,2103.8362507599986,1567.8747226105957,0.2754489079760728,0.0033431412538871275,1.5580309559411598
BRA,Brazil,BRA.14_1,Pará,,,Estado,State,,BR.PA,706.3628458210002,-2644.4003175823104,1.7149518884938044,0.06858774123259048,28.89156414980504
BRA,Brazil,BRA.15_1,Paraíba,Parahyba,,Estado,State,,BR.PB,1656.977582889999,199.9769186916385,0.7474784138299391,0.01594045405393596,5.3682036597394225
BRA,Brazil,BRA.16_1,Paraná,,,Estado,State,,BR.PR,692.918459215,-756.4875165927939,0.7401490481398665,0.023586311760804057,12.711125754742694
BRA,Brazil,BRA.17_1,Pernambuco,Pernambouc,,Estado,State,,BR.PE,973.8196686939998,2828.8455657002146,-0.9527514224049285,0.031217816115691854,-11.642547682184134
BRA,Brazil,BRA.18_1,Piauí,Piauhy,,Estado,State,,BR.PI,1363.122874789001,1105.895438285629,0.1326305223401224,0.0005011114940369765,1.1578583596814511
BRA,Brazil,BRA.19_1,Rio de Janeiro,,,Estado,State,,BR.RJ,654.1223053439999,-2673.242703885716,1.7032497065966392,0.054465059546703665,30.986057718733207
BRA,Brazil,BRA.20_1,Rio Grande do Norte,,,Estado,State,,BR.RN,1506.196390416,-2774.121287155564,2.2003272187665583,0.10450661756571467,17.384116752590447
BRA,Brazil,BRA.21_1,Rio Grande do Sul,,,Estado,State,,BR.RS,1865.5387508300005,5589.351361141146,-1.921977653617717,0.11300919369204121,-12.260015541288013
BRA,Brazil,BRA.22_1,Rondônia,Guaporé,,Estado,State,,BR.RO,1957.8096685200007,2072.9635089658173,-0.059873167732517066,8.484364127103738e-05,-0.3639223503046432
BRA,Brazil,BRA.23_1,Roraima,Rio Branco,,Estado,State,,BR.RR,1708.5615947800004,-119.96688445235645,0.9400044128186867,0.019239107669792754,6.547058383331344
