iso_a3,Model,Scenario,Region,ESP Indicator Name,Unit of Entry,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
,GCAM,Low policy,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,667.4764131214,518.7929260666001,385.6884398454,553.6622156804,688.4466561806,784.8563221366,800.692447398,915.8223040546001,1029.7814100542,1135.4240039896001,1224.493092359
,GCAM,No policy,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,667.4765069773999,518.7929187806001,385.6884085694,553.6620705644,839.2718553514001,1075.9177632924002,1278.3861572382,1636.448926388,2024.0143996839997,2404.04277226,2777.3945565379995
,GCAM,Paris - Continued ambition,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,667.4764131214,518.7929260666001,421.15749425639996,482.04863466660004,643.8103666354,739.50319437,739.2304205956,837.2995055215999,934.1230363654,1025.5062358632,1105.8828171330001
,GCAM,Paris - Increased ambition,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,667.4764131214,518.7929260666001,421.1574945334,482.0486341096,606.4523115601999,621.8030809418001,548.906250914,560.9218319722,566.7837245052,569.8753170946,572.0408230718
,GCAM,Low policy,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,621.8670046432001,636.2894621906,855.9877814297399,1033.51238291438,961.9602262163601,954.80705193428,988.76767575214,1014.3977880157599,1035.01296790532,927.06697896904,838.6427240527801
,GCAM,No policy,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,621.8669985044,636.2894598066,855.98778667454,1033.51237343798,1186.40262987372,1327.75244521348,1478.4497759848,1637.2882198942,1768.1112295884,1816.7919949384002,1753.0134072208
,GCAM,Paris - Continued ambition,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,621.8670046432001,636.2894621906,844.53157335356,967.90146405724,910.931119608,901.9049886156399,916.8742596695399,953.67839230794,952.8540855445,892.7757214625801,780.2332497245601
,GCAM,Paris - Increased ambition,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,621.8669985044,636.2894598066,844.5315669763601,967.9014658452401,697.1604747652599,564.4189764378,478.90479544524,449.06865338856,395.09898295968003,382.38289140432,301.07591047908
,GCAM,Low policy,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,240.4088799168,372.2592909966,419.0488226844001,493.21137959299995,469.12009951839997,514.5658404175999,450.87620108640004,481.843990752,536.3504816662,590.8407724281999,675.4474611144
,GCAM,No policy,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,240.4089237728,372.2592784766,419.0488239004,493.21149856299996,617.8995459173999,668.6128826668,699.7182047668,880.7947375754,1118.7211124422,1367.9321013006,1633.0706133302
,GCAM,Paris - Continued ambition,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,240.4088799168,372.2592909966,488.091374837,449.63741857518005,477.063515302,500.15281943614,409.79263564345996,421.3752966266,470.81748808500004,511.3122875714,571.383212046
,GCAM,Paris - Increased ambition,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,240.4088799168,372.2592909966,488.091374837,449.63741857518005,524.08196265698,456.77410760749996,302.09503454364,271.29113379808,266.68424217324,265.65842541432,284.30893946172
,GCAM,Low policy,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,1117.2225690704001,1633.0050780096,671.2470809248,907.6655503732,948.8871409416001,1143.2351828760002,1188.4721366105998,1365.376354229,1544.7964307995999,1649.4005159718001,1829.5308538916
,GCAM,No policy,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|All GHG,Mt CO2e/yr,1117.2226930384002,1633.0052228376,671.2469620228,907.6655503732,1359.1506804508,1582.6696208096,1859.3765143966,2450.5897136020003,3177.2486779827996,3877.3034527934,4678.894703725799
