iso_a3,country,ndc_overview,ndc_full,embed_url,embed_code
AFG,Afghanistan,https://climatewatchdata.org/ndcs/country/AFG,https://climatewatchdata.org/ndcs/country/AFG/full,https://climatewatchdata.org/embed/countries/AFG/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/AFG/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ALB,Albania,https://climatewatchdata.org/ndcs/country/ALB,https://climatewatchdata.org/ndcs/country/ALB/full,https://climatewatchdata.org/embed/countries/ALB/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ALB/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
AND,Andorra,https://climatewatchdata.org/ndcs/country/AND,https://climatewatchdata.org/ndcs/country/AND/full,https://climatewatchdata.org/embed/countries/AND/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/AND/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
AGO,Angola,https://climatewatchdata.org/ndcs/country/AGO,https://climatewatchdata.org/ndcs/country/AGO/full,https://climatewatchdata.org/embed/countries/AGO/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/AGO/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ATG,Antigua and Barbuda,https://climatewatchdata.org/ndcs/country/ATG,https://climatewatchdata.org/ndcs/country/ATG/full,https://climatewatchdata.org/embed/countries/ATG/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ATG/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ARG,Argentina,https://climatewatchdata.org/ndcs/country/ARG,https://climatewatchdata.org/ndcs/country/ARG/full,https://climatewatchdata.org/embed/countries/ARG/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ARG/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
ARM,Armenia,https://climatewatchdata.org/ndcs/country/ARM,https://climatewatchdata.org/ndcs/country/ARM/full,https://climatewatchdata.org/embed/countries/ARM/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/ARM/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
AUS,Australia,https://climatewatchdata.org/ndcs/country/AUS,https://climatewatchdata.org/ndcs/country/AUS/full,https://climatewatchdata.org/embed/countries/AUS/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/AUS/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
AUT,Austria,https://climatewatchdata.org/ndcs/country/AUT,https://climatewatchdata.org/ndcs/country/AUT/full,https://climatewatchdata.org/embed/countries/AUT/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/AUT/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
AZE,Azerbaijan,https://climatewatchdata.org/ndcs/country/AZE,https://climatewatchdata.org/ndcs/country/AZE/full,https://climatewatchdata.org/embed/countries/AZE/ghg-emissions,"<iframe src=""https://climatewatchdata.org/embed/countries/AZE/ghg-emissions"" frameborder=""0"" style=""height: 600px; width: 1230px""></iframe>"
