iso,country,year,value,range,label
AFG,Afghanistan,2020,35.5,No,BAU
AFG,Afghanistan,2025,40.3,No,Conditional
AFG,Afghanistan,2025,41.7,No,BAU
AFG,Afghanistan,2030,42.7,No,Conditional
AFG,Afghanistan,2030,48.9,No,BAU
ALB,Albania,2030,5.45,No,Unconditional (CO2)
ALB,Albania,2030,6.16,No,BAU (CO2)
AND,Andorra,2030,0.33,No,Unconditional 
AND,Andorra,2030,0.53,No,BAU
AND,Andorra,2050,0.0,No,Unconditional 
AGO,Angola,2020,125.78,No,BAU
AGO,Angola,2025,124.66,No,Unconditional 
AGO,Angola,2025,113.75,No,Conditional
AGO,Angola,2025,155.82,No,BAU
AGO,Angola,2030,125.61,No,Unconditional 
AGO,Angola,2030,96.63,No,Conditional
AGO,Angola,2030,193.25,No,BAU
ATG,Antigua and Barbuda,2020,0.291,No,Unconditional 
ARG,Argentina,2030,359.0,No,Unconditional
ARM,Armenia,2050,6.93,No,Unconditional 
AUS,Australia,2020,518.111,No,Unconditional 
AUS,Australia,2020,463.573,Yes,Conditional
AUS,Australia,2020,409.035,Yes,Conditional
AUS,Australia,2030,456.7,Yes,Unconditional
AUS,Australia,2030,444.4,Yes,Unconditional
AUT,Austria,2020,62.79,No,Unconditional 
AZE,Azerbaijan,2030,45.27,No,Unconditional 
BGD,Bangladesh,2030,327.43,No,Unconditional
BGD,Bangladesh,2030,304.03,No,Conditional
BGD,Bangladesh,2030,339.13,No,BAU
BRB,Barbados,2025,1.44,No,Conditional
BRB,Barbados,2030,1.4,No,Conditional
BLR,Belarus,2020,132.19,Yes,Conditional
BLR,Belarus,2020,125.24,Yes,Conditional
BLR,Belarus,2030,100.19,No,Unconditional (excluding LUCF)
BEL,Belgium,2020,117.13,No,Unconditional 
BTN,Bhutan,2030,0.0,No,Conditional
BIH,Bosnia and Herzegovina,2030,22.726221,No,Unconditional (excluding LUCF)
BIH,Bosnia and Herzegovina,2030,21.501299,No,Conditional (excluding LUCF)
BIH,Bosnia and Herzegovina,2050,13.03109,No,Unconditional (excluding LUCF)
BIH,Bosnia and Herzegovina,2050,11.727981,No,Conditional (excluding LUCF)
BIH,Bosnia and Herzegovina,2050,5.33,No,Conditional (including LUCF)
BWA,Botswana,2030,7.06,No,Partially conditional
BRA,Brazil,2025,1787.91,No,Unconditional 
BRA,Brazil,2030,1617.63,No,Unconditional 
BRN,Brunei,2030,23.6,No,Unconditional
BGR,Bulgaria,2020,81.432,No,Unconditional 
BFA,Burkina Faso,2020,86.93,No,Unconditional 
BFA,Burkina Faso,2020,75.98,No,Conditional
BFA,Burkina Faso,2020,92.06,No,BAU
BFA,Burkina Faso,2025,98.71,No,Unconditional 
BFA,Burkina Faso,2025,86.88,No,Conditional
BFA,Burkina Faso,2025,105.32,No,BAU
BFA,Burkina Faso,2030,110.52,No,Unconditional 
BFA,Burkina Faso,2030,96.75,No,Conditional
BFA,Burkina Faso,2030,74.62,No,Adaptation
BFA,Burkina Faso,2030,118.32,No,BAU
BDI,Burundi,2020,44.07,No,Unconditional 
BDI,Burundi,2020,39.62,No,Conditional
BDI,Burundi,2020,44.52,No,BAU
BDI,Burundi,2025,57.05,No,Unconditional 
BDI,Burundi,2025,48.32,No,Conditional
BDI,Burundi,2025,58.22,No,BAU
BDI,Burundi,2030,72.25,No,Unconditional 
BDI,Burundi,2030,59.59,No,Conditional
BDI,Burundi,2030,74.49,No,BAU
KHM,Cambodia,2030,90.5,No,Conditional
KHM,Cambodia,2030,155.0,No,BAU
CMR,Cameroon,2035,70.72,No,Conditional (excluding LUCF)
CMR,Cameroon,2035,104.0,No,BAU (excluding LUCF)
CAN,Canada,2020,620.0,No,Unconditional 
CAN,Canada,2030,523.0,No,Unconditional 
CPV,Cape Verde,2030,0.82492,No,Unconditional
CPV,Cape Verde,2030,0.76456,No,Conditional
CPV,Cape Verde,2030,1.006,No,BAU
CAF,Central African Republic,2030,105.9,No,Unconditional 
CAF,Central African Republic,2030,104.47,No,Conditional
CAF,Central African Republic,2030,109.97,No,BAU
CAF,Central African Republic,2050,178.86,No,Unconditional 
CAF,Central African Republic,2050,141.95,No,Conditional
CAF,Central African Republic,2050,189.27,No,BAU
TCD,Chad,2030,23.44,No,Unconditional 
TCD,Chad,2030,8.31,No,Conditional
TCD,Chad,2030,28.66,No,BAU
CHL,Chile,2030,95.0,No,Unconditional (excluding LUCF)
CHN,China PR,2020,11371.75,Yes,Conditional
CHN,China PR,2020,9541.31,Yes,Conditional
CHN,China,2030,12959.54,Yes,Unconditional
CHN,China,2030,9275.96,Yes,Unconditional 
COL,Colombia,2030,169.44,No,Unconditional
COM,Comoros,2020,0.19,No,Conditional
COM,Comoros,2020,0.36,No,BAU
COM,Comoros,2025,0.13,No,Conditional
COM,Comoros,2025,0.43,No,BAU
COM,Comoros,2030,0.08,No,Conditional
COM,Comoros,2030,0.52,No,BAU
COG,Republic of Congo,2025,8.79,No,Conditional
COG,Republic of Congo,2025,16.98,No,BAU
COG,Republic of Congo,2035,15.86,No,Conditional
COG,Republic of Congo,2035,35.0,No,BAU
COD,Democratic Republic of the Congo,2030,356.9,No,Conditional
COD,Democratic Republic of the Congo,2030,430.0,No,BAU
COK,Cook Islands,2030,0.00449448,No,Conditional (Electricity)
CRI,Costa Rica,2030,9.11,No,Unconditional 
CIV,Ivory Coast,2030,24.58,No,Conditional
CIV,Ivory Coast,2030,34.25,No,BAU
HRV,Croatia,2020,25.5,No,Unconditional 
CYP,Cyprus,2020,4.55,No,Unconditional 
CZE,Czech Republic,2020,157.76,No,Unconditional 
DNK,Denmark,2020,56.8,No,Unconditional 
DJI,Djibouti,2020,2.33,No,Unconditional 
DJI,Djibouti,2020,1.88,No,Conditional
DJI,Djibouti,2020,2.91,No,BAU
DJI,Djibouti,2030,2.69,No,Unconditional (excluding LUCF)
DJI,Djibouti,2030,1.79,No,Conditional (excluding LUCF)
DJI,Djibouti,2030,4.48,No,BAU (excluding LUCF)
DMA,Dominica,2020,0.14,No,Conditional 
DMA,Dominica,2025,0.1,No,Conditional
DMA,Dominica,2030,0.09,No,Conditional
DOM,Dominican Republic,2030,47.4,No,Conditional
DOM,Dominican Republic,2030,37.2,No,Unconditional
DOM,Dominican Republic,2030,51.0,No,BAU
ECU,Ecuador,2025,69.983,No,Unconditional 
ECU,Ecuador,2025,60.831,No,Conditional
ECU,Ecuador,2025,76.904,No,BAU
GNQ,Equatorial Guinea,2030,3.76,No,Conditional
GNQ,Equatorial Guinea,2050,2.35,No,Conditional
ERI,Eritrea,2020,3.927,No,Unconditional (fossil fuel)
ERI,Eritrea,2020,3.583,No,Conditional (fossil fuel)
ERI,Eritrea,2020,4.098,No,BAU (fossil fuel)
ERI,Eritrea,2025,5.719,No,Unconditional (fossil fuel)
ERI,Eritrea,2025,4.578,No,Conditional (fossil fuel)
ERI,Eritrea,2025,6.096,No,BAU (fossil fuel)
ERI,Eritrea,2030,7.201,No,Unconditional (fossil fuel)
ERI,Eritrea,2030,5.031,No,Conditional (fossil fuel)
ERI,Eritrea,2030,8.183,No,BAU (fossil fuel)
ERI,Eritrea,2020,7.401,No,BAU (all GHG emissions)
ERI,Eritrea,2025,9.379,No,BAU (all GHG emissions)
ERI,Eritrea,2030,11.466,No,BAU (all GHG emissions)
EST,Estonia,2020,32.22,No,Unconditional 
ETH,Ethiopia,2030,360.85,No,Unconditional
ETH,Ethiopia,2030,191.62,No,Conditional
ETH,Ethiopia,2030,412.09,No,BAU
EUU,EU-27,2020,4518.4,No,Unconditional 
EUU,EU-27,2020,3953.6,No,Conditional
EUU,EU-27,2030,2075.0,No,Unconditional 
FJI,Fiji,2030,2.1069,No,Unconditional (Energy CO2)
FJI,Fiji,2030,1.6387,No,Conditional (Energy CO2)
FJI,Fiji,2030,2.341,No,BAU (Energy CO2)
FJI,Fiji,2050,0.0,No,Conditional
FIN,Finland,2020,56.86,No,Unconditional 
FRA,France,2020,441.12,No,Unconditional 
GMB,Gambia,2025,1.81,No,Conditional (excluding LUCF)
GMB,Gambia,2025,3.25,No,BAU (excluding LUCF)
GMB,Gambia,2030,2.18,No,Conditional (excluding LUCF)
GMB,Gambia,2030,4.0,No,BAU (excluding LUCF)
GEO,Georgia,2030,32.66,No,Unconditional (excluding LUCF)
GEO,Georgia,2030,28.82,No,Conditional (excluding LUCF)
GEO,Georgia,2030,38.42,No,BAU (excluding LUCF)
DEU,Germany,2020,999.57,No,Unconditional (excluding LUCF)
GHA,Ghana,2020,37.81,No,BAU
