year,Continent,month,cropland_ba_hectares,forest_ba_hectares,grass_and_shrubland_ba_hectares,wetlands_ba_hectares,settlement_ba_hectares,other_ba_hectares,total_ba_hectares,cropland_percent,forest_percent,grass_and_shrubland_percent,wetlands_percent,settlement_percent,other_percent
2002,Africa,68172,34878806,136023543,104306217,6199087,22755,159727,281590135,0.1239,0.4831,0.3704,0.022,0.0001,0.0006
2002,Asia,76206,13488418,4791327,19851899,158961,16915,362362,38669882,0.3488,0.1239,0.5134,0.0041,0.0004,0.0094
2002,Europe,64506,8599004,7345205,2521946,317092,17338,57919,18858504,0.456,0.3895,0.1337,0.0168,0.0009,0.0031
2002,North America,39624,1449022,4007263,1498897,290299,2754,52450,7300685,0.1985,0.5489,0.2053,0.0398,0.0004,0.0072
2002,Oceania,14196,561488,6595404,69755413,341383,3106,131754,77388548,0.0073,0.0852,0.9014,0.0044,0.0,0.0017
2002,South America,18876,8743974,9300939,18459072,3680012,15514,9431,40208942,0.2175,0.2313,0.4591,0.0915,0.0004,0.0002
2003,Africa,68172,39343334,163475595,96042552,6354408,22114,194308,305432311,0.1288,0.5352,0.3144,0.0208,0.0001,0.0006
2003,Asia,76206,13276186,7361642,9312853,215137,25918,390473,30582209,0.4341,0.2407,0.3045,0.007,0.0008,0.0128
2003,Europe,64506,5069724,14178935,4217972,621824,20349,74982,24183786,0.2096,0.5863,0.1744,0.0257,0.0008,0.0031
2003,North America,39624,2633038,4673170,1989016,193941,6716,48491,9544372,0.2759,0.4896,0.2084,0.0203,0.0007,0.0051
2003,Oceania,14196,517287,5870538,25493867,160947,1564,14787,32058990,0.0161,0.1831,0.7952,0.005,0.0,0.0005
2003,South America,18876,8432935,7946289,16552272,3517589,17754,12481,36479320,0.2312,0.2178,0.4537,0.0964,0.0005,0.0003
2004,Africa,68172,41792779,150608727,95681995,6029895,23643,304056,294441095,0.1419,0.5115,0.325,0.0205,0.0001,0.001
2004,Asia,76206,15379174,10991905,13121535,192805,27468,903133,40616020,0.3786,0.2706,0.3231,0.0047,0.0007,0.0222
2004,Europe,64506,6916103,3680105,1773443,239418,20914,33235,12663218,0.5462,0.2906,0.14,0.0189,0.0017,0.0026
2004,North America,39624,1994812,4045444,2090260,178231,4723,38448,8351918,0.2388,0.4844,0.2503,0.0213,0.0006,0.0046
2004,Oceania,14196,1581411,5965226,56873171,251401,1173,45569,64717951,0.0244,0.0922,0.8788,0.0039,0.0,0.0007
2004,South America,18876,9774229,9336799,17834350,3616190,17959,15144,40594671,0.2408,0.23,0.4393,0.0891,0.0004,0.0004
2005,Africa,68172,43662786,172204258,104805577,7185285,27573,566676,328452155,0.1329,0.5243,0.3191,0.0219,0.0001,0.0017
2005,Asia,76206,14563093,5912191,12039822,234446,38786,476927,33265265,0.4378,0.1777,0.3619,0.007,0.0012,0.0143
2005,Europe,64506,9987405,3368620,2809777,554156,54189,63993,16838140,0.5931,0.2001,0.1669,0.0329,0.0032,0.0038
2005,North America,39624,2375857,4625129,3188642,233300,5303,32864,10461095,0.2271,0.4421,0.3048,0.0223,0.0005,0.0031
2005,Oceania,14196,856270,3709269,23422950,199840,1305,12234,28201868,0.0304,0.1315,0.8305,0.0071,0.0,0.0004
2005,South America,18876,9222330,10048300,17165712,4147733,17102,17775,40618952,0.227,0.2474,0.4226,0.1021,0.0004,0.0004
2006,Africa,68172,38003178,149074621,90407878,6202193,30003,179708,283897581,0.1339,0.5251,0.3185,0.0218,0.0001,0.0006
2006,Asia,76206,15773408,6780324,12947663,208137,54873,293479,36057884,0.4374,0.188,0.3591,0.0058,0.0015,0.0081
2006,Europe,64506,8903466,4717213,3283292,259712,37773,83935,17285391,0.5151,0.2729,0.1899,0.015,0.0022,0.0049
2006,North America,39624,1895072,3425522,2642654,202163,3456,35892,8204759,0.231,0.4175,0.3221,0.0246,0.0004,0.0044
2006,Oceania,14196,1157755,6399567,50356170,191039,1262,30930,58136723,0.0199,0.1101,0.8662,0.0033,0.0,0.0005
2006,South America,18876,6883567,6620754,11565343,3106913,11699,7734,28196010,0.2441,0.2348,0.4102,0.1102,0.0004,0.0003
2007,Africa,68172,40626722,151194361,102459996,5856376,25186,469562,300632203,0.1351,0.5029,0.3408,0.0195,0.0001,0.0016
2007,Asia,76206,14474583,9427425,8849040,189352,69585,363328,33373313,0.4337,0.2825,0.2652,0.0057,0.0021,0.0109
2007,Europe,64506,8536362,3343867,2614690,217289,45692,48597,14806497,0.5765,0.2258,0.1766,0.0147,0.0031,0.0033
2007,North America,39624,2267179,3414338,2297792,204348,6093,58044,8247794,0.2749,0.414,0.2786,0.0248,0.0007,0.007
