GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,NO2_mean,O3_max,PM25_RH35_GCC_mean
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,0.37944037635047156,78.69677734375,14.530849697353604
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,0.5795842361450195,57.334556579589844,16.292900390625
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,0.6748498654833027,63.679195404052734,17.13498104319853
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,0.7822309705946181,60.18672180175781,15.814858669704861
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,0.38195768216761145,67.17163848876953,16.993586842606707
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,0.6014105902777778,67.87015533447266,16.972379557291667
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,0.3155936831519717,67.75371551513672,52.207547433035714
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,0.5459728960720998,54.88999557495117,14.814586711379716
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,0.6672291513216697,68.91788482666016,20.986981925317796
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,0.4184140124952937,67.40449523925781,16.1129929875753
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,0.2902973141290445,67.28807830810547,48.69266800331859
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,0.39605305989583334,61.81657028198242,24.371455891927084
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,,AF.JW,0.6595097166119199,57.45097732543945,13.630624482125947
AFG,Afghanistan,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,,Velayat,Province,,AF.KB,1.0963685652788948,67.87014770507812,16.705368939568014
AFG,Afghanistan,AFG.15_1,Kandahar,Qandahar,,Velayat,Province,,AF.KD,0.300830946056121,57.91663360595703,30.963045172735093
AFG,Afghanistan,AFG.16_1,Kapisa,Kapesa,,Velayat,Province,,AF.KP,0.7102996826171875,67.87014770507812,16.057723999023438
AFG,Afghanistan,AFG.17_1,Khost,,,Velayat,Province,,AF.KT,0.6689273198445638,64.0284652709961,34.80231526692708
AFG,Afghanistan,AFG.18_1,Kunar,Konarha|Kunarha,,Velayat,Province,,AF.KR,0.5939172295963063,67.52090454101562,40.61594166475184
AFG,Afghanistan,AFG.19_1,Kunduz,Kondoz|Qonduz|Qunduz,,Velayat,Province,,AF.KZ,0.9276318757430367,63.679195404052734,15.852353303328805
AFG,Afghanistan,AFG.20_1,Laghman,Lagman,,Velayat,Province,,AF.LA,0.6865488886833191,68.33580780029297,24.202880859375
AFG,Afghanistan,AFG.21_1,Logar,Lawghar|Loghar,,Velayat,Province,,AF.LW,1.271633294912485,69.73279571533203,17.631375826322117
AFG,Afghanistan,AFG.22_1,Nangarhar,Ningrahar|Eastern Province,,Velayat,Province,,AF.NG,0.8291180652120839,69.26712799072266,32.53843622622283
AFG,Afghanistan,AFG.23_1,Nimroz,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,,Velayat,Province,,AF.NM,0.2988951290355009,65.89107513427734,92.93077320772059
AFG,Afghanistan,AFG.24_1,Nuristan,Nooristan|Nuristão,,Velayat,Province,,AF.NR,0.2694520292610958,70.89728546142578,22.052481815732758
AFG,Afghanistan,AFG.25_1,Paktika,Paktiya|Paktya|Southern Province,,Velayat,Province,,AF.PK,0.34830435117085773,65.774658203125,24.600489298502605
AFG,Afghanistan,AFG.26_1,Paktya,Paktiya|Southern Province,,Velayat,Province,,AF.PT,0.7623401441072163,67.98656463623047,21.51983000102796
AFG,Afghanistan,AFG.27_1,Panjshir,,,Velayat,Province,,AF.PJ,0.34865059171404156,67.98690032958984,15.837977818080358
AFG,Afghanistan,AFG.28_1,Parwan,Charikar,,Velayat,Province,,AF.PV,0.533897066116333,65.07617950439453,16.468695068359374
AFG,Afghanistan,AFG.29_1,Samangan,,,Velayat,Province,,AF.SM,0.6615894580709523,60.65239715576172,18.646109745420258
AFG,Afghanistan,AFG.30_1,Sari Pul,Sar-e Pul|Saripol,,Velayat,Province,,AF.SP,0.5128083577970179,60.30315017700195,17.83313583746189
AFG,Afghanistan,AFG.31_1,Takhar,Takar,,Velayat,Province,,AF.TK,0.910708236694336,66.24067687988281,15.748908342633928
AFG,Afghanistan,AFG.32_1,Uruzgan,Urozgan,,Velayat,Province,,AF.OZ,0.41687220335006714,67.40447235107422,24.4332275390625
AFG,Afghanistan,AFG.33_1,Wardak,Verdak|Wardag|Maiden,,Velayat,Province,,AF.VR,0.8756237030029297,69.73279571533203,17.311204698350693
AFG,Afghanistan,AFG.34_1,Zabul,Zubul|Zaboul,,Velayat,Province,,AF.ZB,0.21888228522406683,64.72692108154297,24.825059678819443
AGO,Angola,AGO.1_1,Bengo,,,Província,Province,1,AO.BO,0.6082384351273658,53.958499908447266,39.991217814700704
AGO,Angola,AGO.2_1,Benguela,Benguella,,Província,Province,2,AO.BG,0.5499801635742188,66.93881225585938,41.430993982263516
AGO,Angola,AGO.3_1,Bié,,,Província,Province,3,AO.BI,1.3158928433755286,73.6908950805664,51.485505756578945
AGO,Angola,AGO.4_1,Cabinda,,,Província,Province,4,AO.CB,0.974274384348016,42.608009338378906,30.93269107216283
AGO,Angola,AGO.5_1,Cuando Cubango,,,Província,Province,5,AO.CC,0.8453457153702978,68.10296630859375,24.543541217672413
AGO,Angola,AGO.6_1,Cuanza Norte,Cuanza-Nord|Kwanza Norte,,Província,Province,6,AO.CN,0.4191599476094149,65.42540740966797,43.03838986766581
AGO,Angola,AGO.7_1,Cuanza Sul,Cuanza-Sud|Kwanza Sul,,Província,Province,7,AO.CS,1.288987414671643,70.66410064697266,52.269134823638616
AGO,Angola,AGO.8_1,Cunene,,,Província,Province,8,AO.CU,0.9820684902909873,66.35673522949219,26.195935235507246
AGO,Angola,AGO.9_1,Huambo,,,Província,Province,9,AO.HM,1.8092268686445931,69.15070343017578,63.98912605406746
AGO,Angola,AGO.10_1,Huíla,,,Província,Province,10,AO.HL,0.8461667742047991,68.5686264038086,40.66181640625
AGO,Angola,AGO.11_1,Luanda,Loanda,,Província,Province,11,AO.LU,1.2270512051052518,48.83622741699219,37.087310791015625
AGO,Angola,AGO.12_1,Lunda Norte,,,Província,Province,12,AO.LN,2.0682847007026885,70.89693450927734,117.11695836243017
AGO,Angola,AGO.13_1,Lunda Sul,,,Província,Province,13,AO.LS,1.8639849363452328,70.66410064697266,52.80808764826642
AGO,Angola,AGO.14_1,Malanje,Malange,,Província,Province,14,AO.ML,1.3796911953257867,74.62222290039062,76.22937925170068
AGO,Angola,AGO.15_1,Moxico,,,Província,Province,15,AO.MX,1.4184736251831054,67.75371551513672,38.56520080566406
AGO,Angola,AGO.16_1,Namibe,Moçâmedes|Mossamedes,,Província,Province,16,AO.NA,0.17688171818571272,63.795597076416016,28.601375939711083
AGO,Angola,AGO.17_1,Uíge,,,Província,Province,17,AO.UI,0.9785701015539336,66.82239532470703,93.46943530701755
AGO,Angola,AGO.18_1,Zaire,,,Província,Province,18,AO.ZA,1.3389758257798745,57.974830627441406,63.25654021786972
ALA,Åland,ALA.1_1,Brändö,Braendoe,,Municipality,Municipality,,AX.BR,0.9926300048828125,49.18547439575195,3.0345239639282227
ALA,Åland,ALA.2_1,Eckerö,Eckeroe,,Municipality,Municipality,,AX.EC,1.6424665451049805,49.88396453857422,3.292926549911499
ALA,Åland,ALA.3_1,Finström,Finstroem,,Municipality,Municipality,,AX.FN,1.642734209696452,49.88396453857422,3.2375609079996743
ALA,Åland,ALA.4_1,Föglö,Foegloe,,Municipality,Municipality,,AX.FG,1.1071133613586426,48.719810485839844,2.8074820382254466
ALA,Åland,ALA.5_1,Geta,,,Municipality,Municipality,,AX.GT,1.578456163406372,49.94217300415039,3.2028589248657227
ALA,Åland,ALA.6_1,Hammarland,,,Municipality,Municipality,,AX.HM,1.7419614791870117,49.94217300415039,3.32411527633667
ALA,Åland,ALA.7_1,Jomala,,,Municipality,Municipality,,AX.JM,1.8609607219696045,49.30188751220703,3.3686509132385254
ALA,Åland,ALA.8_1,Kökar,Koekar,,Municipality,Municipality,,AX.KK,0.6604978640874227,44.29602813720703,2.563488801320394
ALA,Åland,ALA.9_1,Kumlinge,,,Municipality,Municipality,,AX.KM,1.1526644229888916,49.592926025390625,3.052583694458008
ALA,Åland,ALA.10_1,Lemland,,,Municipality,Municipality,,AX.LE,1.606247107187907,47.20641326904297,3.0634072621663413
ALA,Åland,ALA.11_1,Lumparland,,,Municipality,Municipality,,AX.LU,1.6048623323440552,48.95264434814453,3.166583776473999
ALA,Åland,ALA.12_1,Mariehamn,,,Municipality,Municipality,,AX.MH,1.807234287261963,49.18547439575195,3.315387487411499
ALA,Åland,ALA.13_1,Saltvik,,,Municipality,Municipality,,AX.SV,1.5393431186676025,49.88396453857422,3.181903600692749
ALA,Åland,ALA.14_1,Sottunga,,,Municipality,Municipality,,AX.ST,1.181380271911621,48.719810485839844,2.9645846684773765
