Developing Markets Ranking,,,
Rank,Region,Geography,Climatescope Score (Decimal)
1,Asia-Pacific,India,2.547811381
2,Americas,Chile,2.501644891
3,Asia-Pacific,Mainland China,2.496732484
4,Europe,Croatia,2.426194125
5,Asia-Pacific,Vietnam,2.40709593
6,Asia-Pacific,Taiwan,2.401515031
7,Europe,North Macedonia,2.311751684
8,Americas,Brazil,2.293743529
9,Middle East & Africa,Nigeria,2.242903287
10,Middle East & Africa,South Africa,2.193383411
11,Europe,Albania,2.174893873
12,Europe,Turkey,2.171476188
13,Americas,Colombia,2.161353037
14,Europe,Ukraine,2.143365177
15,Middle East & Africa,Oman,2.128339364
16,Americas,Argentina,2.117116108
17,Middle East & Africa,Namibia,2.086371714
18,Middle East & Africa,Jordan,2.084877022
19,Middle East & Africa,United Arab Emirates,2.081698394
20,Asia-Pacific,Philippines,2.068770761
21,Middle East & Africa,Senegal,2.066037758
22,Americas,Dominican Republic,2.056044138
23,Americas,Panama,2.049207965
24,Asia-Pacific,Bangladesh,2.046882325
25,Middle East & Africa,Kenya,2.040782637
26,Americas,Peru,2.016966625
27,Asia-Pacific,Mongolia,2.011776215
28,Asia-Pacific,Cambodia,2.00312777
29,Asia-Pacific,Armenia,1.992521139
30,Asia-Pacific,Nepal,1.958407458
31,Americas,Guatemala,1.954501689
32,Americas,Honduras,1.930767634
33,Middle East & Africa,Morocco,1.92464534
34,Asia-Pacific,Singapore,1.885374124
35,Asia-Pacific,Malaysia,1.879120181
36,Asia-Pacific,Thailand,1.869754823
37,Asia-Pacific,Kazakhstan,1.86954509
38,Americas,Mexico,1.860751888
39,Asia-Pacific,Pakistan,1.837840163
40,Europe,Bulgaria,1.83718396
41,Middle East & Africa,Tunisia,1.835751223
42,Middle East & Africa,Ghana,1.828505641
43,Middle East & Africa,Burkina Faso,1.826215939
44,Americas,Jamaica,1.81965158
45,Americas,El Salvador,1.815410993
46,Asia-Pacific,Uzbekistan,1.788214438
47,Middle East & Africa,Malawi,1.783070186
48,Americas,Uruguay,1.779588439
49,Europe,Russia,1.772953601
50,Europe,Serbia,1.772485321
51,Middle East & Africa,Cote d'Ivoire,1.767811576
52,Middle East & Africa,Egypt,1.762266925
53,Middle East & Africa,Saudi Arabia,1.760338771
54,Middle East & Africa,Algeria,1.754896238
55,Europe,Romania,1.752859694
56,Middle East & Africa,Zambia,1.75071019
57,Middle East & Africa,Angola,1.73089797
58,Middle East & Africa,Benin,1.718677832
59,Middle East & Africa,Madagascar,1.704010259
60,Asia-Pacific,Myanmar,1.696451471
61,Americas,Nicaragua,1.677776359
62,Middle East & Africa,Mali,1.675785335
63,Middle East & Africa,Tanzania,1.674195981
64,Middle East & Africa,Zimbabwe,1.663301125
65,Americas,Costa Rica,1.662957475
66,Middle East & Africa,Sierra Leone,1.654572342
67,Middle East & Africa,Rwanda,1.633181193
68,Asia-Pacific,Georgia,1.6254079
69,Middle East & Africa,Uganda,1.61561197
70,Americas,Ecuador,1.600098789
71,Asia-Pacific,Sri Lanka,1.595530967
72,Europe,Bosnia and Herzegovina,1.583833767
73,Middle East & Africa,Ethiopia,1.552582574
74,Europe,Moldova,1.551797071
75,Middle East & Africa,Cameroon,1.526416549
76,Americas,Bolivia,1.516164766
77,Asia-Pacific,Indonesia,1.480769774
78,Middle East & Africa,Somalia,1.464280965
79,Middle East & Africa,Iraq,1.384852507
80,Europe,Belarus,1.374827333
81,Middle East & Africa,Botswana,1.350116348
82,Middle East & Africa,Palestinian Authority,1.339516821
83,Middle East & Africa,Lebanon,1.285956371
84,Middle East & Africa,Mozambique,1.234917957
85,Asia-Pacific,Laos,1.218822904
86,Middle East & Africa,Qatar,1.192454199
87,Middle East & Africa,Togo,1.184137875
88,Middle East & Africa,Guinea,1.168548754
89,Asia-Pacific,Azerbaijan,1.164124934
90,Middle East & Africa,Burundi,1.163922815
91,Middle East & Africa,Central African Republic,1.155977731
92,Middle East & Africa,Niger,1.090141892
93,Middle East & Africa,Mauritania,1.088998294
94,Middle East & Africa,Chad,1.040164974
95,Americas,Haiti,0.992713705
96,Middle East & Africa,Liberia,0.939909802
97,Asia-Pacific,Tajikistan,0.9329882
98,Middle East & Africa,Congo (Dem. Rep.),0.908717538
99,Middle East & Africa,Sudan,0.877577545
100,Middle East & Africa,Kuwait,0.867540129
101,Middle East & Africa,South Sudan,0.867049096
102,Americas,Paraguay,0.846634268
103,Asia-Pacific,Kyrgyzstan,0.77226567
104,Middle East & Africa,Lesotho,0.769589109
105,Middle East & Africa,Congo,0.752084282
106,Middle East & Africa,Eritrea,0.751156585
107,Asia-Pacific,Turkmenistan,0.502040803
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
