year,temp,5%,95%
1995,0.65,0.46,0.79
1994,0.64,0.46,0.77
1993,0.62,0.45,0.76
1992,0.61,0.45,0.74
1991,0.59,0.44,0.71
1990,0.58,0.43,0.7
1989,0.56,0.41,0.68
1988,0.54,0.39,0.66
1987,0.52,0.38,0.64
1986,0.5,0.36,0.62
1985,0.48,0.34,0.6
1984,0.46,0.33,0.58
1983,0.45,0.32,0.57
1982,0.43,0.31,0.56
1981,0.42,0.3,0.54
1980,0.41,0.29,0.53
1979,0.4,0.27,0.52
1978,0.38,0.26,0.51
1977,0.36,0.25,0.5
1976,0.35,0.24,0.48
1975,0.33,0.22,0.47
1974,0.32,0.21,0.46
1973,0.3,0.2,0.45
1972,0.3,0.19,0.44
1971,0.29,0.19,0.43
1970,0.29,0.18,0.43
1969,0.29,0.18,0.42
1968,0.29,0.17,0.42
1967,0.3,0.17,0.41
1966,0.3,0.17,0.42
1965,0.3,0.17,0.42
1964,0.31,0.17,0.42
1963,0.31,0.18,0.43
1962,0.32,0.18,0.43
1961,0.32,0.19,0.44
1960,0.33,0.2,0.45
1959,0.33,0.2,0.45
1958,0.34,0.21,0.46
1957,0.34,0.21,0.46
1956,0.34,0.21,0.46
1955,0.34,0.21,0.46
1954,0.34,0.2,0.45
1953,0.33,0.2,0.45
1952,0.33,0.2,0.45
1951,0.33,0.19,0.44
1950,0.33,0.19,0.44
1949,0.33,0.19,0.44
1948,0.33,0.18,0.43
1947,0.33,0.18,0.43
1946,0.33,0.18,0.43
1945,0.34,0.17,0.43
1944,0.34,0.17,0.43
1943,0.35,0.17,0.44
1942,0.35,0.17,0.44
1941,0.36,0.17,0.45
1940,0.35,0.17,0.45
1939,0.35,0.16,0.45
1938,0.34,0.16,0.45
1937,0.33,0.15,0.44
1936,0.31,0.14,0.43
1935,0.29,0.13,0.42
1934,0.28,0.12,0.4
1933,0.26,0.11,0.39
1932,0.24,0.09,0.37
1931,0.23,0.08,0.36
1930,0.22,0.07,0.34
1929,0.2,0.06,0.32
1928,0.19,0.05,0.31
1927,0.18,0.04,0.3
1926,0.17,0.03,0.28
1925,0.16,0.02,0.27
1924,0.15,0.01,0.26
1923,0.14,-0.01,0.25
1922,0.12,-0.02,0.23
1921,0.11,-0.03,0.22
1920,0.09,-0.04,0.21
1919,0.08,-0.06,0.19
1918,0.06,-0.07,0.18
1917,0.05,-0.09,0.17
1916,0.03,-0.1,0.15
1915,0.02,-0.12,0.14
1914,0.01,-0.13,0.13
1913,0,-0.14,0.11
1912,-0.01,-0.15,0.1
1911,-0.02,-0.17,0.1
1910,-0.02,-0.17,0.09
1909,-0.01,-0.18,0.09
1908,-0.01,-0.19,0.09
1907,-0.01,-0.19,0.09
1906,0,-0.19,0.1
1905,0.01,-0.18,0.11
1904,0.01,-0.18,0.12
1903,0.02,-0.17,0.13
1902,0.03,-0.16,0.14
1901,0.04,-0.15,0.15
1900,0.05,-0.15,0.15
1899,0.06,-0.14,0.16
1898,0.06,-0.13,0.16
1897,0.06,-0.13,0.16
1896,0.06,-0.12,0.16
1895,0.05,-0.12,0.15
1894,0.04,-0.12,0.15
1893,0.03,-0.13,0.14
1892,0.02,-0.13,0.14
1891,0.01,-0.13,0.13
1890,0.01,-0.14,0.12
1889,0,-0.15,0.12
1888,0,-0.15,0.11
1887,-0.01,-0.16,0.1
1886,-0.01,-0.17,0.1
1885,-0.01,-0.17,0.09
1884,-0.01,-0.17,0.09
1883,-0.01,-0.17,0.09
1882,0,-0.17,0.1
1881,0.01,-0.17,0.11
1880,0.02,-0.16,0.12
1879,0.02,-0.15,0.13
1878,0.03,-0.14,0.14
1877,0.03,-0.14,0.15
1876,0.03,-0.14,0.15
1875,0.03,-0.14,0.15
1874,0.03,-0.14,0.15
1873,0.02,-0.14,0.14
1872,0.02,-0.15,0.13
1871,0.01,-0.15,0.13
1870,0,-0.16,0.12
1869,-0.01,-0.17,0.11
1868,-0.02,-0.18,0.1
1867,-0.03,-0.19,0.1
1866,-0.03,-0.2,0.09
1865,-0.04,-0.21,0.09
1864,-0.05,-0.21,0.08
1863,-0.06,-0.22,0.08
1862,-0.06,-0.22,0.07
1861,-0.06,-0.22,0.07
1860,-0.06,-0.23,0.06
1859,-0.06,-0.23,0.06
