Conventions,G,BADC-CSV,1
title,G,Global surface temperature change relative to 1850-1900 from observations and CMIP6 models (human and natural forcings simulations),
creator,G,Nathan Gillett (nathan.gillett@canada.ca),
creator,G,Elizaveta Malinina (elizaveta.malinina-rieger@canada.ca),
activity,G,IPCC AR6,
feature_type,G,Global Mean Time Series,
comments,G,"Data is for the black, brown and green lines as well as brown and green shadings in panel (b) of SPM1 Figure in the IPCC Working Group I Contribution to the Sixth Assessment Report: SPM",
comments,G,Global Surface Temperature Anomalies (GSTA) is computed from CMIP6 models ensemble (historical-ssp245 and hist-nat experiments) and HadCRUT4.6 observations,
comments,G,years 1850-2019,
last_revised_date,G,2021-06-29,
coordinate_variable,1,Year,Year
long_name,1,Year,Year
type,1,int,
long_name,2,gsta_brown_line_hist_ssp245,Degrees C
comments,2,Global Surface Temperature Anomalies (GSTA) relative to 1850-1900 from CMIP6 simulations with human and natural forcing (mean over ensamble),
type,2,float,
long_name,3,gsta_brown_shading_bottom_hist_ssp245,Degrees C
comments,3,Global Surface Temperature Anomalies (GSTA) anomalies relative to 1850-1900 from CMIP6 simulations with human and natural forcing (5% range over ensamble),
type,3,float,
long_name,4,gsta_brown_shading_top_hist_ssp245,Degrees C
comments,4,Global Surface Temperature Anomalies (GSTA) anomalies relative to 1850-1900 from CMIP6 simulations with human and natural forcing (95% range over ensamble),
type,4,float,
long_name,5,gsta_green_line_hist_nat,Degrees C
comments,5,Global Surface Temperature Anomalies (GSTA) relative to 1850-1900 from CMIP6 simulations with natural forcing only (mean over ensamble),
type,5,float,
long_name,6,gsta_green_shading_bottom_hist_nat,Degrees C
comments,6,Global Surface Temperature Anomalies (GSTA) relative to 1850-1900 from CMIP6 simulations with natural forcing only (5% range over ensamble),
type,6,float,
long_name,7,gsta_green_shading_top_hist_nat,Degrees C
comments,7,Global Surface Temperature Anomalies (GSTA) relative to 1850-1900 from CMIP6 simulations with natural forcing only (95% range over ensamble),
type,7,float,
long_name,8,gsta_black_obs,Degrees C
comments,8,Global Surface Temperature Anomalies (GSTA) relative to 1850-1900 from HadCRUT4.6 observations,
type,8,float,
data,,,,,,,
1,2,3,4,5,6,7,8
1850,-0.047589067,-0.354805453,0.189713425,0.014601711,-0.161194852,0.196198251,-0.059
1851,-0.0587609,-0.313444988,0.149283344,0.024195142,-0.132960808,0.179927922,0.049
1852,-0.002935225,-0.174405998,0.198392534,0.052558101,-0.202665503,0.221705736,0.079
1853,-0.005929254,-0.214802082,0.217604497,0.029406348,-0.266415836,0.178987378,0.046
1854,-0.02661051,-0.22444698,0.221410287,-0.009960666,-0.255841263,0.152484503,0.049
1855,-0.040779637,-0.296848854,0.176621462,0.021857917,-0.140246015,0.172700841,0.049
1856,-0.018319423,-0.244318593,0.15992075,0.045474761,-0.149765947,0.237740286,-0.051
1857,-0.006555268,-0.241976795,0.163118579,0.050381633,-0.164955333,0.23089861,-0.146
1858,-0.00164062,-0.172899363,0.151385153,0.045669269,-0.165621024,0.240100625,-0.039
1859,0.047702436,-0.162034514,0.268041057,0.023078907,-0.190080711,0.229366525,0.069
1860,0.027734896,-0.133395428,0.254483192,0.03542896,-0.211806384,0.26159585,-0.056
1861,-0.002071792,-0.168510454,0.162532951,0.022121782,-0.171526957,0.213562632,-0.091
1862,-0.065181407,-0.292773735,0.113183863,-0.04920704,-0.226483793,0.153153594,-0.154
1863,-0.058304831,-0.314808842,0.129526023,-0.03011481,-0.167196533,0.147960584,0.001
1864,-0.018636125,-0.198632338,0.142201384,0.004565547,-0.149784115,0.173313637,-0.049
1865,-0.006650049,-0.230074559,0.176354737,0.031661599,-0.155231968,0.199021194,0.034
1866,-0.004301854,-0.198358104,0.196291341,0.023653436,-0.125397959,0.23773315,0.051
1867,0.020590351,-0.177950777,0.186489812,0.008053238,-0.183871278,0.261967657,0.049
1868,0.038770305,-0.099916317,0.205619822,0.023156423,-0.144773341,0.267448494,0.061
1869,0.040968948,-0.110003984,0.238740219,0.013349654,-0.172452946,0.170789214,0.059
1870,0.030073653,-0.155724733,0.213713605,0.021149824,-0.195819403,0.233799936,0.021
1871,0.047054314,-0.141626763,0.198207917,0.035908555,-0.113509569,0.188667574,-0.006
1872,0.037234902,-0.154900008,0.212720135,0.055116969,-0.144279556,0.250955442,0.024
1873,0.012844308,-0.159714273,0.178137554,0.028735082,-0.145103284,0.188260649,0.016
1874,0.048609605,-0.152710998,0.204779046,0.034085323,-0.166578145,0.207452757,-0.021
