GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
ABW,Aruba,0.5110321044921875,0.7667083740234375,1.0261688232421875,1.3481674194335938,1.6050796508789062,1.9740219116210938,2.338897705078125,2.7224807739257812,3.062225341796875
AFG,Afghanistan,0.6850975131480351,1.1185912001831706,1.545108558017873,2.0248529085257547,2.5443022001276643,3.209632453444161,3.889584258436945,4.622081587200267,5.312603206871669
AGO,Angola,0.5272109646267361,0.8802231174045139,1.262363552517361,1.6559144422743055,2.0624964735243054,2.5111992730034722,3.0206624348958333,3.581542697482639,4.1894319661458335
AIA,Anguilla,0.6075693766276041,0.8697611490885416,1.0348103841145833,1.3120473225911458,1.5614776611328125,1.9501698811848958,2.2442728678385415,2.694636027018229,3.113886515299479
ALA,Åland,0.7840519657841435,1.2338855884693287,1.5629894115306713,1.8741319444444444,2.3832024468315973,3.0415185998987266,3.58481287073206,4.326591209129051,4.99227453161169
ALB,Albania,0.6435127258300781,1.0754436916775174,1.3692389594184027,1.7862269083658855,2.234577178955078,2.75388420952691,3.2913072374131946,3.8925662570529513,4.591946495903863
AND,Andorra,0.5762939453125,0.95357666015625,1.3263427734375,1.725799560546875,2.135418701171875,2.605523681640625,3.177984619140625,3.780224609375,4.46993408203125
ARE,United Arab Emirates,0.5238074785397376,0.8843574052975501,1.273172449182581,1.699950983494888,2.193498587902681,2.779995765215085,3.372441798080633,3.9917406623746143,4.555899914400078
ARG,Argentina,0.3551014696104506,0.5980188960973352,0.890976391387672,1.1896776080778055,1.5453573966155612,1.9375297409522318,2.3550650063881937,2.8265585073790156,3.3320510093997706
ARM,Armenia,0.7854963030133929,1.1180463518415178,1.4680584003398944,1.9258323768516639,2.4782548384232954,2.9799444025213067,3.704486004717938,4.345262799944196,4.9280007102272725
ASM,American Samoa,0.5122307671440972,0.7050577799479166,0.8823716905381944,1.0952996148003473,1.3569505479600694,1.6318495008680556,1.92431640625,2.2663811577690973,2.6154310438368054
ATA,Antarctica,0.4071618013266093,0.6914012029126311,0.9944406137007843,1.3437321591330216,1.7077691028735689,2.169784488586853,2.733040221452109,3.2487013726825653,3.8571203213108842
ATF,French Southern Territories,0.4261576334635417,0.5471389205367477,0.6564794469762731,0.8787463152850116,1.115001537181713,1.3569172046802662,1.6713132505063657,1.9973698368778936,2.4001916956018516
ATG,Antigua and Barbuda,0.6037360297309028,0.8448520236545138,0.9983317057291666,1.2551371256510417,1.5492316351996527,1.8983052571614583,2.2039388020833335,2.6773918999565973,3.0883314344618054
AUS,Australia,0.4027510058773897,0.6886872530343368,1.0308305022901643,1.3940052196880766,1.7918603523813517,2.2599847497065237,2.7505279955559283,3.2958465223042093,3.836015454678853
