GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
ABW,Aruba,1.037407636642456,1.0781830549240112,1.1072309017181396,1.1362096071243286,1.166792631149292,1.1917994022369385,1.2281192541122437,1.2380666732788086,1.2255442142486572
AFG,Afghanistan,1.0115766237302952,1.0149600095054396,1.0193313408914297,1.0231844697074823,1.0249009344124667,1.0321958823060058,1.0426668265361345,1.0522081500471803,1.0616874627067607
AGO,Angola,1.0102781846788194,1.013631320529514,1.0139634195963543,1.020143025716146,1.0270364040798612,1.0329869249131944,1.0358228895399306,1.039369167751736,1.048902113172743
AIA,Anguilla,1.0280450979868572,1.0488786697387695,1.0726134777069092,1.104853630065918,1.1267393430074055,1.1500346660614014,1.1818658510843914,1.2252717812856038,1.283528168996175
ALA,Åland,0.9684885519522207,0.9631149857132523,0.9623453352186415,0.9542509714762369,0.9568394554985894,0.941173270896629,0.9381790161132812,0.9307573106553819,0.9175630498815466
ALB,Albania,1.041422102186415,1.0560338762071397,1.080971188015408,1.099877569410536,1.1395614412095811,1.17376528845893,1.2351300981309679,1.2955309549967449,1.340532726711697
AND,Andorra,1.0460317611694336,1.0785799980163575,1.1230766296386718,1.163883876800537,1.1924703598022461,1.232802677154541,1.2844388961791993,1.375144100189209,1.4369369506835938
ARE,United Arab Emirates,1.0013585031768422,1.0020371425298997,1.0026206499264565,1.0038683855975117,1.0025660196940105,1.002446304132909,1.003358440634645,1.0046779491283275,1.005547794294946
ARG,Argentina,1.0028535017730495,1.005951551581404,1.0110404118429286,1.0174256516935232,1.0216634318288487,1.0305307171073217,1.0315227611988944,1.033690693281967,1.0337597493285877
ARM,Armenia,1.0220049573229504,1.0240404203340605,1.024898776760349,1.0274505615234375,1.0503512295809658,1.0750629375507306,1.0735014878310167,1.070567242510907,1.0817538174715908
ASM,American Samoa,0.9892672432793511,0.9872573216756185,1.0064784155951605,1.0149549908108182,1.0193243026733398,1.003046989440918,0.9765143924289279,0.9888937208387587,0.9353890948825412
ATA,Antarctica,0.9967398945573461,0.9945713684758767,0.9924838305405594,0.9903307195941548,0.9873307152121874,0.9843243726274777,0.980479274546529,0.976735039963542,0.9723654360433088
ATF,French Southern Territories,1.0401775218822338,1.0359427840621382,1.0437430629023798,1.0168963538275824,1.0083179473876953,0.9994549927888093,1.003546255606192,1.0148855845133464,1.0266856440791376
ATG,Antigua and Barbuda,1.026248296101888,1.0575156741672092,1.0746181276109483,1.1321383582221136,1.185317039489746,1.2242376539442275,1.2521873050265842,1.2909556494818792,1.3716147740681965
AUS,Australia,0.9977682197771676,1.0048740507871456,1.0095362646476187,1.015040913104771,1.0179071396004529,1.0221404389569009,1.0298703987087037,1.0364642836554587,1.0420756284850328
AUT,Austria,0.9933801695357921,1.0144432600154434,1.0206375476925873,1.0338850864144258,1.056420969408612,1.0915297397347383,1.125246695585029,1.1861008754996367,1.2547353345294332
AZE,Azerbaijan,1.0189532412296276,1.01912437329452,1.0204016580536035,1.0240537652558688,1.040150254537044,1.0563751658754486,1.0568575334320798,1.0592635305304277,1.076557141171688
BDI,Burundi,1.0040084838867187,1.004861103404652,1.006779618696733,1.0027348605069246,1.0151220148259943,1.0186024058948864,1.0263918096368962,1.0208128495649857,1.0149806629527698
BEL,Belgium,0.9751348080842391,1.0010242462158203,1.0103920646335767,1.018171559209409,1.0220369256061057,1.0523731397545857,1.063781323640243,1.11249127595321,1.1480017952297046
BEN,Benin,0.9971112091529187,0.9998381174155299,0.9987033902085977,1.000989110336691,0.9993722208865403,1.0045200096169098,1.0106027670923223,1.0150262668048065,1.0205098263503332
BES,"Bonaire, Sint Eustatius and Saba",1.0282752513885498,1.0732057094573975,1.0818588733673096,1.1136244535446167,1.1477046012878418,1.1675019264221191,1.1839107275009155,1.215688705444336,1.261455774307251
BFA,Burkina Faso,0.9958061342172999,0.9942139096713675,0.9956463948756525,0.9947559330137036,0.9938738971188008,0.9892370662113906,0.9887138773836281,0.990021955662703,0.9924865864269141
BGD,Bangladesh,1.002524928042763,1.0083455250675517,1.01107340647762,1.0107467766094924,1.0067376158291237,1.0042396488046288,1.0042628238075657,1.0011994784935974,0.9971536048372885
BGR,Bulgaria,1.0210382690429687,1.02622802734375,1.03624755859375,1.0602825927734374,1.0898385009765625,1.1143914794921874,1.1574766845703126,1.1937503662109374,1.24011767578125
BHR,Bahrain,1.0023876428604126,1.0042117834091187,1.0046414136886597,1.0051345825195312,1.004355788230896,1.0023154020309448,1.0031548738479614,1.0069379806518555,1.0062358379364014
BHS,Bahamas,1.0047518412272136,1.0107127825419109,1.0116558074951172,1.0191718737284343,1.0276374816894531,1.0357074737548828,1.041975498199463,1.047664721806844,1.0571643511454265
BIH,Bosnia and Herzegovina,1.0221092410203887,1.0284959126294144,1.0508283909743394,1.086450592289126,1.146965957269436,1.1950715848100864,1.2319218085064152,1.3301729031694614,1.3883691803226625
BLM,Saint-Barthélemy,1.0089213848114014,1.0309008359909058,1.0478100776672363,1.0601338148117065,1.0890189409255981,1.09315824508667,1.0933985710144043,1.1011852025985718,1.123085379600525
BLR,Belarus,0.9870875186011905,0.9842146809895833,0.9858878580729167,0.9816233026413691,0.9822251674107143,0.9812395368303571,0.9766868954613095,0.9662183779761905,0.9819638206845238
BLZ,Belize,1.0300660214181674,1.0585155163781117,1.0743042250811043,1.093558230642545,1.1226216978945975,1.1611941062797935,1.1924957016767082,1.2183804269564353,1.2610913292836334
BMU,Bermuda,1.0321242014567058,1.036688009897868,1.0596936543782551,1.0696449279785156,1.1131337483723958,1.1498294671376545,1.1773987611134846,1.2460363705952961,1.2640577952067058
BOL,Bolivia,1.032397750311915,1.0422616864619074,1.0566948446272615,1.0670364770157517,1.0778327318406893,1.0951428047508578,1.1197374978068466,1.1367233952208748,1.1498764523549594
BRA,Brazil,1.0593235689202911,1.0906316602587156,1.1355347774581148,1.163737006711161,1.2043602879347182,1.2455311812489422,1.296659574510281,1.3513721124555762,1.4156348499111524
BRB,Barbados,1.0516640345255535,1.071773846944173,1.1000428994496663,1.1705279350280762,1.2104624112447102,1.3041277726491292,1.34015687306722,1.301443099975586,1.350888729095459
BRN,Brunei,1.0788280487060546,1.113688087463379,1.1698477745056153,1.116276168823242,1.155009651184082,1.2070578575134276,1.1849661827087403,1.1966272354125977,1.138248348236084
BTN,Bhutan,0.9939620189177685,0.9935744848006811,0.9955475636017628,0.9919369037334735,0.9901533860426682,0.9875024648813101,0.9832137670272436,0.9814426715557392,0.9761552077073318
BVT,Bouvet Island,0.943331778049469,0.9096129536628723,0.8959822654724121,0.8929623961448669,0.8706284165382385,0.8498147130012512,0.8337975740432739,0.8376145362854004,0.8386262655258179
BWA,Botswana,1.0009293619791666,1.0056452094184027,1.010804714626736,1.0153677029079862,1.0222101508246528,1.0253822157118055,1.0290724690755209,1.029237535264757,1.0353690592447917
CAF,Central African Republic,0.993365942913553,0.991830709706182,0.993894626783288,0.995132645316746,0.9960191809612772,0.9914928933848506,0.9837466696034307,0.9791230574898098,0.9796074908712636
CAN,Canada,0.987491059216064,0.9802691315071709,0.9747907198962413,0.9662953943960634,0.9566033696259186,0.9474053010375862,0.9375584249247305,0.928767876509437,0.9171261411829453
CCK,Cocos Islands,1.018721342086792,1.0456866025924683,1.0558422803878784,1.0520408153533936,1.0740538835525513,1.0737954378128052,1.0879580974578857,1.108289122581482,1.1055803298950195
CHE,Switzerland,1.004021372113909,1.024651254926409,1.0552211488996233,1.068868977682931,1.0898852348327637,1.1411732264927454,1.188307217189244,1.2663609640938895,1.3530292510986328
CHL,Chile,1.012243631548126,1.011787930108958,1.0204648348772005,1.0244356206301461,1.0312494454500285,1.038901541870741,1.0465846237711172,1.0590561060388273,1.0706480027328222
CHN,China,1.0090431558801427,1.0095692606573674,1.0115606066832614,1.0114642285443671,1.0113189886459704,1.010412875140898,1.0117228472939759,1.0132779843955477,1.0138200502731856
CIV,Côte d'Ivoire,1.01171875,1.0212649749630274,1.0245721134138697,1.0294797292952675,1.0304809695899242,1.0339953261638375,1.0258687337239583,1.0306562886807162,1.0254711888945152
CMR,Cameroon,1.001419970015405,0.9999819473481514,0.9992240798305457,1.0006502393265846,1.0006512709066901,1.0017402756382043,0.993841982559419,0.9948998679577464,0.9962704940580986
COD,Democratic Republic of the Congo,1.0048291601742845,1.0025124918244075,1.0083830631780932,1.0132911989746844,1.0242594175611726,1.030124879169552,1.018737511181325,1.0111475105320868,1.0165573782317636
COG,Republic of Congo,1.0135213291777998,1.005305066870934,1.0042482964611408,1.0052196403418332,1.011211182548211,1.0123327319063662,1.0056113771346422,0.9991829457336199,0.9883290117114893
COK,Cook Islands,1.0154383732722356,1.0279046572171724,1.0612710806039662,1.0803989997276893,1.1242821766779973,1.1439109215369592,1.1968432939969575,1.229446264413687,1.2688768826998198
COL,Colombia,1.016582177005597,1.019697411380597,1.0512379022854477,1.0738808885261193,1.1214789820429105,1.1526614243236941,1.1879511135727612,1.2469671175373134,1.289688520289179
COM,Comoros,1.0120857102530343,1.0187719890049525,1.0243722370692663,1.0229550770350866,1.0277152742658342,1.0404141971043177,1.0384155682155065,1.0541741507393974,1.0512018884931291
CPV,Cape Verde,1.0087672642299108,1.0085961478097099,1.008817195892334,1.010101318359375,1.010942050388881,1.0116751534598214,1.0084634508405412,1.0059076717921667,1.0034863608224052
CRI,Costa Rica,1.027535138811384,1.0261070614769345,1.0085766020275297,1.0171021961030506,1.026323736281622,1.0500680106026785,1.0258582705543156,1.0300776890345982,1.0448200044177827
CUB,Cuba,1.0088799469662408,1.0199944711949704,1.0185960087462933,1.0299405285911838,1.0426896366759808,1.050562949076186,1.0640736600778398,1.0792889003335995,1.1035899141409102
CUW,Curaçao,1.0358264105660575,1.0824180330548967,1.1108057839529855,1.125889778137207,1.1445666721888952,1.1694815499441964,1.197233063834054,1.2279634475708008,1.2289208003452845
CXR,Christmas Island,0.989186704158783,1.005527138710022,1.004141092300415,0.9927078485488892,1.0353052616119385,1.0488429069519043,1.089219331741333,1.0939589738845825,1.1413878202438354
CYM,Cayman Islands,1.0021449497767858,1.0050388744899206,1.0037734849112374,1.0044997079031808,1.0138676507132394,1.0186993735177177,1.0170677048819405,1.0179786682128906,1.024472781590053
CYP,Cyprus,1.0165838514055525,1.0177576882498605,1.0249681018647694,1.0358656020391555,1.0458931695847284,1.0494236719040644,1.0613359723772322,1.0788238162086123,1.0914081391834078
CZE,Czech Republic,0.9898902706983613,0.9975076070645961,0.9955603622808689,1.000072646722561,0.9955481552496189,1.0120609934737044,1.026966522961128,1.0473917891339557,1.0826720447075076
DEU,Germany,0.9791857895778121,0.9852701822916666,0.9854888736289017,0.9806269094154888,0.9822276983721658,1.0048501741478946,1.0208119818122423,1.0400453169859762,1.064086195156066
DJI,Djibouti,0.9973589308718418,0.9951230312915559,0.9944516445728059,0.9937382150203624,0.9923835916722075,0.9860174300822806,0.9837260144822141,0.9839432087350399,0.9818373335168716
DMA,Dominica,1.0332444906234741,1.0539088249206543,1.0713140964508057,1.1804300546646118,1.2554947137832642,1.32725191116333,1.3334741592407227,1.3839551210403442,1.517240047454834
DNK,Denmark,0.9749255571209017,0.9760553745624146,0.9722440959325905,0.9758801069415983,0.9715024187265198,0.9705623772626366,0.9617824867123463,0.9747060973787568,0.9812532852256233
DOM,Dominican Republic,1.0393921194724667,1.052009138088782,1.085643583131068,1.1165130763377957,1.168835167745942,1.193045162460179,1.2273794377891762,1.2789965879569933,1.3247517706121055
DZA,Algeria,1.0026772974989528,1.004635058511938,1.0070065155071908,1.0097898277148492,1.0124494674584614,1.0153617017331054,1.018025909313041,1.0201772920448198,1.0230840721865402
ECU,Ecuador,1.0273322180119528,1.0041198027298748,1.0191121606782834,1.036895048783122,1.0445713447535643,1.0309524887717814,0.9977729902838781,0.997838877313148,0.989116475329421
EGY,Egypt,1.000724851623062,1.0008685286963017,1.0011118807533914,1.0014579832091812,1.001602527707122,1.0020971175004036,1.0024572564649952,1.0026914611343265,1.0027838812934027
