GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
ABW,Aruba,0.5301132202148438,0.8241043090820312,1.0376815795898438,1.3622055053710938,1.6270828247070312,1.9828338623046875,2.3899765014648438,2.7573699951171875,3.1200942993164062
AFG,Afghanistan,0.7116080194341141,1.1710419731072381,1.6090025012488898,2.0481078451099024,2.5944069681116786,3.2555965877553286,4.01848530472913,4.781194493783303,5.488570055783748
AGO,Angola,0.5240635850694444,0.8925264485677084,1.2613226996527778,1.6652558051215278,2.0933317057291667,2.566845431857639,3.0843326822916666,3.617105034722222,4.222606336805556
AIA,Anguilla,0.6061859130859375,0.8622639973958334,1.0350189208984375,1.3138834635416667,1.5475260416666667,1.9157765706380208,2.239842732747396,2.668207804361979,3.0836385091145835
ALA,Åland,0.7748006184895834,1.1802119502314814,1.4347375940393519,1.80340576171875,2.282665111400463,2.857319019458912,3.397152370876736,3.991206416377315,4.595636438440393
ALB,Albania,0.7000770568847656,1.1709781222873263,1.4817916022406683,1.9480357699924045,2.4366433885362415,2.9516529507107205,3.528225368923611,4.144558800591363,4.8535948859320746
AND,Andorra,0.597015380859375,1.020806884765625,1.425445556640625,1.845404052734375,2.218768310546875,2.73636474609375,3.306903076171875,4.021832275390625,4.796331787109375
ARE,United Arab Emirates,0.5198296440972222,0.8878757806471836,1.248066278151524,1.6253746880425348,2.1117146809895835,2.6618769139419367,3.261321644724151,3.8826587818287037,4.430199893904321
ARG,Argentina,0.36419575881798866,0.6204318101076867,0.9132604109629224,1.2197820721539945,1.5607469134595326,1.967910327362328,2.40574114452962,2.9044007646276597,3.4116526680486023
ARM,Armenia,0.8434333305854302,1.1857204684963474,1.5755246645444398,2.072868842583198,2.698957567091112,3.247896268770292,3.961068685952719,4.626341980773133,5.315232710404829
ASM,American Samoa,0.5136854383680556,0.7082316080729166,0.8846910264756944,1.0962320963541667,1.3591037326388888,1.6339382595486112,1.9236111111111112,2.2662794325086804,2.597110324435764
ATA,Antarctica,0.3998054954252261,0.6801824275598202,0.9705099076281287,1.3102101873228433,1.6625102663234543,2.114448535671718,2.6690065328872907,3.1764180046273576,3.764401022625975
ATF,French Southern Territories,0.43460817690248843,0.5499420166015625,0.6621285897714121,0.9049597846137153,1.1389821370442708,1.3715560347945601,1.6965818051938657,2.0303983335141784,2.4322447600188077
ATG,Antigua and Barbuda,0.6081034342447916,0.8473239474826388,1.0072292751736112,1.2230801052517362,1.5264485677083333,1.875244140625,2.197018093532986,2.622524685329861,3.0197991265190973
AUS,Australia,0.38414485355001676,0.697809833818967,1.0573635072530605,1.4317529714489352,1.8301146457844206,2.282359052699983,2.7778104954511154,3.3277375193904075,3.8975636214992453
AUT,Austria,0.6987033577852471,1.1781444460846657,1.564386837981468,2.0270974802416424,2.4776301894077033,3.1418025526889535,3.6876564203306685,4.31443609193314,5.123007131177325
AZE,Azerbaijan,0.7887855055229516,1.1631623044538726,1.4784008555435109,1.9692495245682566,2.5167177921276913,2.9645356538763457,3.5981170800313995,4.2026650460713215,4.824041777250299
BDI,Burundi,0.4221074884588068,0.7607649369673295,1.1427634499289774,1.506035822088068,1.8807694868607954,2.2496631969105114,2.7140053488991476,3.1894276012073863,3.7255515358664772
BEL,Belgium,0.5749040686565897,0.9556745446246603,1.2926891161047893,1.578463015349015,1.9526314113451086,2.459458060886549,3.085861869480299,3.6209232496178667,4.007324550462806
BEN,Benin,0.41805844379560597,0.7298591729953204,1.041477106549413,1.3806249938035375,1.7777830791957487,2.2150400229516976,2.6716221843274113,3.064672479774746,3.5362455881186547
BES,"Bonaire, Sint Eustatius and Saba",0.5853996276855469,0.8480339050292969,1.0331687927246094,1.3270645141601562,1.57916259765625,1.9163360595703125,2.2643051147460938,2.6787567138671875,3.0737686157226562
