GID_0,NAME_0,2000,2010,2020,2030,2040,2050,2060,2070,2080
ABW,Aruba,0.49248504638671875,0.7326736450195312,1.0146713256835938,1.3150711059570312,1.6034774780273438,1.9552536010742188,2.3039932250976562,2.6490097045898438,2.9718017578125
AFG,Afghanistan,0.662310151393206,1.0737349135837588,1.4974625419765764,1.999620562971803,2.5072270828707817,3.0923467334591472,3.738576560418517,4.465499417184724,5.124588907082593
AGO,Angola,0.5216939290364583,0.8655118815104167,1.2258113606770833,1.6077099609375,2.0076905653211807,2.445500217013889,2.9743739149305557,3.5647791883680555,4.175011664496528
AIA,Anguilla,0.61004638671875,0.8772684733072916,1.0440724690755208,1.3098297119140625,1.5885976155598958,1.9773813883463542,2.274480183919271,2.7240804036458335,3.144170125325521
ALA,Åland,0.8078556767216435,1.2819530345775463,1.6559357819733795,1.988250732421875,2.515186451099537,3.219555890118634,3.805896900318287,4.543520326967593,5.141832139756945
ALB,Albania,0.6180826822916666,0.9708095126681857,1.2585055033365886,1.6564699808756511,2.0870013766818576,2.6163622538248696,3.143352508544922,3.680996365017361,4.249144660101996
AND,Andorra,0.45709228515625,0.8888427734375,1.255657958984375,1.614813232421875,2.05068359375,2.48614501953125,2.909307861328125,3.538623046875,4.183001708984375
ARE,United Arab Emirates,0.5299462212456597,0.9021585723500193,1.3397838451244213,1.774035230095004,2.2671214916087963,2.845454840012539,3.4755369586709106,4.091894455897955,4.658036596981096
ARG,Argentina,0.34611886175264656,0.5893350473084845,0.8795514860698269,1.177456724877451,1.536305350763976,1.917993194618273,2.3295254729218815,2.778822649405507,3.2659348355366085
ARM,Armenia,0.7013529988078328,1.0534136883624188,1.3688798384232954,1.7780107770647322,2.259836568460836,2.8361642020089284,3.5414198838271105,4.213040438565341,4.759867482371145
ASM,American Samoa,0.511566162109375,0.701904296875,0.8795708550347222,1.0943400065104167,1.3529527452256944,1.6310628255208333,1.9252794053819444,2.2680155436197915,2.6406690809461804
ATA,Antarctica,0.41527517033333,0.7019475810288358,1.0181638805701065,1.3776110265321861,1.7520293203693873,2.226436440189902,2.7975950511312986,3.328639724662213,3.9509310428581443
ATF,French Southern Territories,0.41978398075810186,0.5377892388237847,0.6458954987702547,0.8390192102502894,1.0752523916739005,1.3169872142650463,1.650462962962963,1.9713208233868633,2.346501668294271
ATG,Antigua and Barbuda,0.6023491753472222,0.8421529134114584,0.9960394965277778,1.2903713650173612,1.5458882649739583,1.9204203287760417,2.2674696180555554,2.716915554470486,3.1447889539930554
AUS,Australia,0.423701448646864,0.6949522871509727,1.0258813628050059,1.3711048863826933,1.7641291217717592,2.2179249250586954,2.6928850961135335,3.21469733932165,3.7420414168623175
AUT,Austria,0.5927152411882267,0.9209052507267442,1.2624078794967297,1.5978816542514536,2.1133314975472386,2.7535116506177326,3.3018750567768897,3.869500874364099,4.59676144622093
AZE,Azerbaijan,0.686440061724357,1.0532549260335675,1.3366750324742076,1.6747671611001047,2.129473964563397,2.6153622859973087,3.277735659950658,3.8854910380532295,4.435190885260915
BDI,Burundi,0.5349814675071023,0.8469038529829546,1.2032343084161932,1.5935097434303978,2.0069041859019885,2.433960515802557,2.870283092151989,3.454565984552557,3.9748263272372157
BEL,Belgium,0.5276084568189539,0.8395823603091033,0.993625143299932,1.2899163287618887,1.6116664720618206,2.0831033457880435,2.5096578183381455,3.075016519297724,3.660559944484545
BEN,Benin,0.544455281368972,0.8577808050939879,1.2052316423600096,1.53526050548263,2.0477321256840897,2.48438259066664,2.9496810061072334,3.4220924958359773,3.9382891195074556
BES,"Bonaire, Sint Eustatius and Saba",0.5743370056152344,0.8365669250488281,1.0316963195800781,1.31085205078125,1.5847434997558594,1.9573745727539062,2.3043975830078125,2.7159194946289062,3.0986061096191406
BFA,Burkina Faso,0.5780415192004423,0.9093703692584469,1.2958766291147041,1.711515847049014,2.2328646985118183,2.7184095626087585,3.2469414447687064,3.7250359130292923,4.294595315672129
BGD,Bangladesh,0.35341191112546994,0.6123933720409422,0.9334447186692316,1.244355395324248,1.6317796061809797,2.156309199512453,2.630451862077068,3.1017022383840462,3.502269314644032
BGR,Bulgaria,0.6204530029296875,0.97388525390625,1.3125177001953126,1.6977943115234375,2.09602880859375,2.646234619140625,3.19552734375,3.80539111328125,4.3307822265625
BHR,Bahrain,0.6439933776855469,1.0103225708007812,1.3427886962890625,1.7007026672363281,2.2789764404296875,2.841045379638672,3.5075950622558594,4.076694488525391,4.6316986083984375
