GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,2000,2010,2020,2030,2040,2050,2060,2070,2080
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,0.7761426453196675,1.2361875761539565,1.6183298093463303,2.2320640633959288,2.826141077444094,3.546399317750143,4.358582942857655,5.210238675458716,5.953062284977064
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,0.6951962734790559,1.0798567102310506,1.4995708059757313,1.9719413594996675,2.4733893211851727,3.14782260326629,3.779224801570811,4.4727042989527925,5.134212412732713
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,0.7469776081589034,1.249987908129422,1.6285613437868514,2.0882286215728185,2.6358826835200473,3.202701208726415,3.967404347545696,4.729823274432488,5.45331501510908
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,0.719305674235026,1.1567090352376301,1.5119520823160808,1.9772440592447917,2.5320612589518228,3.1659730275472007,3.8288548787434897,4.503249486287435,5.175408045450847
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,0.7124445988581731,1.172332763671875,1.5956444373497596,2.092303936298077,2.6180818997896633,3.236621563251202,3.97235107421875,4.74902108999399,5.52479983598758
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,0.68492431640625,1.1287794325086806,1.5875983344184028,2.050778537326389,2.6246263292100696,3.2851236979166667,3.9673414442274306,4.741798231336806,5.480372450086805
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,0.6562753353478774,1.0803634355653007,1.5286620517946639,2.0011305898990273,2.4598169866597877,3.14529764427329,3.767189457731427,4.465246236549233,5.165148465138562
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,0.688198912377451,1.0600047392003678,1.4801629758348651,1.965548646216299,2.4780740176930145,3.1239384669883576,3.738870059742647,4.4286947811351105,5.123290417241115
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,0.6659322466169085,1.1009390694754464,1.5882775442940849,2.042285374232701,2.5494210379464284,3.2375259399414062,3.9390046255929128,4.682309831891741,5.4295806884765625
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,0.6951578074488146,1.1208538186961208,1.543194299456717,2.0276573444234915,2.5479210162984915,3.2142439217403016,3.8827504125134698,4.613110772494612,5.351714737113865
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,0.6193280901227679,1.0439983976989233,1.4918959160812764,1.9645513967305672,2.453746378922663,3.1624225007385767,3.8068904075301995,4.511888007155988,5.216441947872899
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,0.6842234735903533,1.0836086107336957,1.50499267578125,1.9534776770550273,2.461402428668478,3.140146537449049,3.727224068019701,4.418600861922554,5.064213230298913
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,,AF.JW,0.6955624142208615,1.0617923221072636,1.4660966203019425,1.955150707347973,2.4820507152660474,3.1167998442778715,3.715190990551098,4.371732144742398,5.071124927417652
AFG,Afghanistan,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,,Velayat,Province,,AF.KB,0.7190284729003906,1.2361373901367188,1.6518135070800781,2.081523895263672,2.5997962951660156,3.174182891845703,3.9552001953125,4.6867828369140625,5.432249069213867
AFG,Afghanistan,AFG.15_1,Kandahar,Qandahar,,Velayat,Province,,AF.KD,0.6150534493582589,1.0445376804896764,1.4961090087890625,1.9537887573242188,2.4641015189034596,3.1527162279401506,3.8118803841727122,4.566552843366351,5.123219081333706
AFG,Afghanistan,AFG.16_1,Kapisa,Kapesa,,Velayat,Province,,AF.KP,0.7513694763183594,1.2778701782226562,1.7155952453613281,2.097564697265625,2.644268035888672,3.1758041381835938,4.013465881347656,4.778289794921875,5.500827789306641
AFG,Afghanistan,AFG.17_1,Khost,,,Velayat,Province,,AF.KT,0.6614761352539062,1.0509694417317708,1.546618143717448,1.9514719645182292,2.429412841796875,3.1221237182617188,3.8276214599609375,4.533866882324219,5.194368998209636
