GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,2000,2010,2020,2030,2040,2050,2060,2070,2080
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,1.0052188558316013,1.0075838281473983,1.0112949336340669,1.0129722105253727,1.0115450237869124,1.0184604749767059,1.0285099274521574,1.040548902039134,1.051251822655354
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,1.017048125571393,1.0198051777291806,1.0227616492738114,1.0297250950590093,1.0314861865753824,1.041077309466423,1.0567731654390375,1.072313998607879,1.0819393726105386
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,1.0169600000921286,1.0220211676831514,1.0271351652325325,1.0289276410948556,1.0348721630168412,1.0421090755822524,1.0597591760023586,1.0768512509903818,1.0988150542637087
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,1.0152950286865234,1.0187571843465169,1.019063154856364,1.0194868246714275,1.0242112477620442,1.0343637466430664,1.044646183649699,1.058955987294515,1.069767157236735
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,1.0174410893366888,1.026037362905649,1.0330772399902344,1.0336917975010016,1.0398212335048578,1.0468365595890925,1.0672811850523338,1.082825685158754,1.103088183280749
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,1.0158158196343317,1.0233880784776477,1.0311798095703124,1.0347448560926649,1.0406904432508681,1.0504742092556423,1.06510501437717,1.080921851264106,1.0943951076931424
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,1.011956772714291,1.012887126994583,1.0198456386350236,1.0231787483647186,1.0289154052734375,1.0368103891048792,1.0416603088378906,1.0457382202148438,1.0516538080179467
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,1.0153792138193167,1.0180397033691406,1.0178577946681602,1.022471259622013,1.0255687938017004,1.0361384971469056,1.0497173982508041,1.0648295832615273,1.0757479948156021
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,1.0149284090314592,1.0197674887520927,1.0242128372192383,1.0327747889927454,1.0329510143824987,1.042121342250279,1.05813843863351,1.0656820024762834,1.080641269683838
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,1.0163537387190194,1.0235154601349228,1.0275677209612968,1.0320273213002873,1.038543964254445,1.0478532286896103,1.0618969270552712,1.079541085780352,1.0898326128378681
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,1.0072245878331803,1.0091101381959033,1.014469050559677,1.0162277862805278,1.019296021020713,1.0209999405035453,1.026323334509585,1.0290622871463038,1.0310899109399618
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,1.0152327827785326,1.0179721998131794,1.019683837890625,1.0249080492102582,1.0303691034731657,1.0428681746773099,1.052901491911515,1.0648288892663043,1.0694422182829484
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,,AF.JW,1.0141560322529561,1.0174429609968856,1.0147793744061444,1.017228719350454,1.0208578367491026,1.031667760900549,1.041285025106894,1.0558732522500527,1.0667091575828758
AFG,Afghanistan,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,,Velayat,Province,,AF.KB,1.013893961906433,1.0242935419082642,1.028926134109497,1.0399318933486938,1.0287022590637207,1.040937900543213,1.051719307899475,1.0679806470870972,1.086643934249878
AFG,Afghanistan,AFG.15_1,Kandahar,Qandahar,,Velayat,Province,,AF.KD,1.0081758499145508,1.011192798614502,1.0173589161464147,1.0205992289951868,1.0227933611188615,1.0240460804530553,1.0304745265415736,1.0303731645856584,1.0342354093279158
AFG,Afghanistan,AFG.16_1,Kapisa,Kapesa,,Velayat,Province,,AF.KP,1.0127959251403809,1.0256637334823608,1.0320439338684082,1.0418351888656616,1.0334279537200928,1.043105125427246,1.056836724281311,1.0738438367843628,1.0952084064483643
AFG,Afghanistan,AFG.17_1,Khost,,,Velayat,Province,,AF.KT,1.0046199162801106,1.00648029645284,1.0117120742797852,1.018666664759318,1.0100839932759602,1.0161083539326985,1.0255078474680583,1.0313270092010498,1.0424271424611409
AFG,Afghanistan,AFG.18_1,Kunar,Konarha|Kunarha,,Velayat,Province,,AF.KR,1.013747215270996,1.018827199935913,1.025904655456543,1.0382890701293945,1.0266904830932617,1.0325989723205566,1.0619871616363525,1.0787901878356934,1.0974290370941162
AFG,Afghanistan,AFG.19_1,Kunduz,Kondoz|Qonduz|Qunduz,,Velayat,Province,,AF.KZ,1.0163389046986897,1.0162750085194905,1.025333563486735,1.0233977635701497,1.0266813437143962,1.0369531313578289,1.0495141347249348,1.0649384657541912,1.0760925610860188
AFG,Afghanistan,AFG.20_1,Laghman,Lagman,,Velayat,Province,,AF.LA,1.0124461834247296,1.0196814903846154,1.028741689828726,1.0380356128399189,1.0266878421490009,1.0392581499539888,1.055353311391977,1.0755031292255108,1.0888959444486177
AFG,Afghanistan,AFG.21_1,Logar,Lawghar|Loghar,,Velayat,Province,,AF.LW,1.0119453838893346,1.0206264087132044,1.0245840208871024,1.0382170677185059,1.0196490287780762,1.0348055703299386,1.045114517211914,1.0570007051740373,1.0712565694536482
AFG,Afghanistan,AFG.22_1,Nangarhar,Ningrahar|Eastern Province,,Velayat,Province,,AF.NG,1.0079756197722063,1.01489548061205,1.0208682184634001,1.030536817467731,1.014143073040506,1.026816990064538,1.0411124851392664,1.0481389087179434,1.0658698703931726
AFG,Afghanistan,AFG.23_1,Nimroz,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,,Velayat,Province,,AF.NM,1.0053207572849316,1.006054845349542,1.0110242997092762,1.012682421454068,1.013811747233073,1.0139598627200073,1.0180593907147988,1.0187907602595188,1.0214201828529095
AFG,Afghanistan,AFG.24_1,Nuristan,Nooristan|Nuristão,,Velayat,Province,,AF.NR,1.0138811571844693,1.0195317761651401,1.0280144132416824,1.035009581467201,1.0282256027747845,1.0348173996497845,1.0582058347504715,1.0789103014715786,1.0957588985048492
AFG,Afghanistan,AFG.25_1,Paktika,Paktiya|Paktya|Southern Province,,Velayat,Province,,AF.PK,1.0083696892920961,1.0096727736452793,1.013379360767121,1.0192039976728724,1.0152229146754488,1.0212950199208362,1.0278951766643118,1.0310443310027426,1.0434296790589677
AFG,Afghanistan,AFG.26_1,Paktya,Paktiya|Southern Province,,Velayat,Province,,AF.PT,1.00787179366402,1.0140170221743376,1.0207906805950662,1.0328734024711277,1.015105786530868,1.024038148962933,1.0350822780443274,1.041787686555282,1.0562841995902683
AFG,Afghanistan,AFG.27_1,Panjshir,,,Velayat,Province,,AF.PJ,1.0143695558820451,1.0214875085013253,1.0282860483442033,1.0332679748535156,1.035599912915911,1.0428261075701033,1.0609839303152901,1.0787623950413294,1.1002917970929826
AFG,Afghanistan,AFG.28_1,Parwan,Charikar,,Velayat,Province,,AF.PV,1.0156796773274739,1.0252289544968378,1.0269376663934617,1.0333019438244047,1.0358260018484933,1.0443670182001024,1.0594846634637742,1.0785689581008184,1.1001258123488653
AFG,Afghanistan,AFG.29_1,Samangan,,,Velayat,Province,,AF.SM,1.0167280254941997,1.0179558956261836,1.0265049789891099,1.025486339222301,1.030029296875,1.0413397586706914,1.056766972397313,1.0733821753299597,1.0902076489997632
AFG,Afghanistan,AFG.30_1,Sari Pul,Sar-e Pul|Saripol,,Velayat,Province,,AF.SP,1.0156919691297743,1.0195310804578992,1.0236946953667534,1.0277837965223524,1.0301325480143229,1.0411195543077256,1.0558642917209202,1.071587117513021,1.087621561686198
AFG,Afghanistan,AFG.31_1,Takhar,Takar,,Velayat,Province,,AF.TK,1.014645470513238,1.017716301812066,1.0242027706570096,1.0263084835476346,1.0298843383789062,1.0410217709011502,1.057271851433648,1.075206332736545,1.08952087826199
AFG,Afghanistan,AFG.32_1,Uruzgan,Urozgan,,Velayat,Province,,AF.OZ,1.015831194425884,1.0200060794228,1.0282907987895764,1.033665606850072,1.0373517086631374,1.0452176144248562,1.057218451248972,1.0676225361071134,1.073847820884303
AFG,Afghanistan,AFG.33_1,Wardak,Verdak|Wardag|Maiden,,Velayat,Province,,AF.VR,1.0173191494411893,1.0249034740306713,1.0279524767840351,1.0333883497450087,1.0346008583351418,1.0449694880732783,1.0629565627486617,1.0822685382984303,1.0973710660581235
