GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,2000,2010,2020,2030,2040,2050,2060,2070,2080
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,2.5830125721222763,4.964782154888188,8.375851132454128,13.32139657396789,19.888429974197248,28.063924526949542,39.659367832568805,50.25717639048165,61.94051480074541
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,3.5120109395777925,8.227178695354056,14.986272284325134,22.24708329870346,30.342485143783243,43.30473684757314,55.545638713430854,67.86547332114361,78.21757085272607
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,3.332927200029481,7.1405962098319575,12.72915361512382,18.639074937352593,27.53134443175118,39.20754716981132,51.99026201356132,64.5167397553066,77.37066074587264
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,3.3501342137654624,7.263440450032552,13.37835947672526,20.19018809000651,28.489919026692707,41.04570007324219,54.081319173177086,64.28091430664062,74.97379557291667
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,3.51778314052484,8.365590413411459,15.488005809294872,22.979323167067307,32.74193709935897,45.35897435897436,59.05872521033654,71.44500575921474,84.4863531650641
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,3.8444444444444446,9.027956814236111,16.249462890625,23.81576877170139,32.97849392361111,46.83369140625,60.35053168402778,72.11397569444445,85.37419162326388
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,4.652464956607458,9.708459242334905,16.580035515551298,23.461048054245282,33.558123894457545,46.068773953419814,60.99026201356132,74.48022000294812,85.71515698702831
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,3.5939277200137867,8.177103080001531,14.4041748046875,21.444656671262255,29.745098039215687,42.16065889246323,55.6533873314951,66.7843137254902,76.9962038526348
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,3.4965436117989674,8.294355119977679,14.641128540039062,21.251726422991073,29.944126674107142,43.598502022879465,58.140555245535715,72.02879987444196,85.51785714285714
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,3.6892844013784125,8.766036110362787,15.951427240481323,23.126436781609197,32.55765647449713,44.39228627873563,57.6021518049569,70.21246408045977,82.41008328843391
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,4.87530517578125,10.081594258797269,16.738411526720064,24.19625828847164,35.410681460084035,48.36351102941177,63.59935497636555,77.57359506302521,88.50447249212185
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,4.078541100543478,9.130154551630435,15.657222316576087,22.24039359714674,30.969705332880434,43.772511888586955,57.141652513586955,69.83674847146739,80.7668987771739
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,,AF.JW,3.633827003272804,8.25457763671875,13.783783783783784,20.519617029138512,29.13426414695946,41.67218842377534,55.273757522170605,65.70444467905405,75.41325089738176
AFG,Afghanistan,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,,Velayat,Province,,AF.KB,3.9294357299804688,7.1713714599609375,11.766128540039062,17.39717674255371,25.441532135009766,35.67338562011719,49.48992156982422,63.272178649902344,78.50806427001953
AFG,Afghanistan,AFG.15_1,Kandahar,Qandahar,,Velayat,Province,,AF.KD,4.6615785871233255,9.936636788504464,16.118087768554688,23.275634765625,33.83323669433594,46.325169154575896,61.649483816964285,75.59706333705357,86.49049595424107
AFG,Afghanistan,AFG.16_1,Kapisa,Kapesa,,Velayat,Province,,AF.KP,4.052419662475586,6.983870983123779,11.439516067504883,17.048385620117188,24.592742919921875,35.225807189941406,48.24193572998047,60.97580337524414,75.87903594970703
AFG,Afghanistan,AFG.17_1,Khost,,,Velayat,Province,,AF.KT,3.543010711669922,6.868279774983724,11.34946314493815,15.588709513346354,22.3252690633138,32.7231190999349,45.11021423339844,58.56989034016927,74.43817138671875
AFG,Afghanistan,AFG.18_1,Kunar,Konarha|Kunarha,,Velayat,Province,,AF.KR,2.9677417278289795,5.465725898742676,8.780241966247559,11.987902641296387,18.481853485107422,27.145160675048828,39.41128921508789,50.528228759765625,62.29636764526367
AFG,Afghanistan,AFG.19_1,Kunduz,Kondoz|Qonduz|Qunduz,,Velayat,Province,,AF.KZ,3.1935485204060874,5.345430374145508,10.666666666666666,14.81451670328776,24.053761800130207,34.91129048665365,47.76075236002604,60.46639506022135,72.58601888020833
AFG,Afghanistan,AFG.20_1,Laghman,Lagman,,Velayat,Province,,AF.LA,3.674937908466046,6.109181330754207,9.62530987079327,14.595534104567308,21.10669884314904,29.94789240910457,42.07692307692308,53.96029897836539,69.62530987079327
AFG,Afghanistan,AFG.21_1,Logar,Lawghar|Loghar,,Velayat,Province,,AF.LW,3.6843318939208984,7.428571428571429,12.334100995744977,18.64516122000558,26.186636788504465,37.976959228515625,52.38248552594866,67.37327357700893,81.86635916573661
AFG,Afghanistan,AFG.22_1,Nangarhar,Ningrahar|Eastern Province,,Velayat,Province,,AF.NG,3.370266458262568,5.935483849566916,8.771388841711957,13.416549019191576,19.737727953040082,28.182327933933426,39.84852666440217,52.05750573199728,68.01542862601902
AFG,Afghanistan,AFG.23_1,Nimroz,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,,Velayat,Province,,AF.NM,5.179829564587823,10.535409510820761,17.1082693516523,25.28698590158046,36.32183908045977,49.69261853448276,65.39636090158046,80.2565777658046,91.7330392420977
AFG,Afghanistan,AFG.24_1,Nuristan,Nooristan|Nuristão,,Velayat,Province,,AF.NR,3.3581758696457435,5.872079783472522,10.09454977101293,14.441601983432111,21.491657125538794,30.73748568830819,43.68075666756466,53.99555074757543,66.80756246632544
AFG,Afghanistan,AFG.25_1,Paktika,Paktiya|Paktya|Southern Province,,Velayat,Province,,AF.PK,3.400823714885306,7.775565938746675,12.934110600897606,17.97872340425532,25.895674035904257,37.539462475066486,51.540153341090424,65.85106382978724,79.02814370013297
AFG,Afghanistan,AFG.26_1,Paktya,Paktiya|Southern Province,,Velayat,Province,,AF.PT,3.517531685207201,7.05610059655231,12.03085592518682,17.27769934612772,24.67882239300272,35.8331006920856,49.479667331861414,63.53856360394022,78.24824324898098
AFG,Afghanistan,AFG.27_1,Panjshir,,,Velayat,Province,,AF.PJ,3.8364056178501675,6.949308667864118,12.191243852887835,17.389401027134486,24.820277622767858,36.412440708705354,49.200465611049104,60.75575910295759,73.62442452566964
AFG,Afghanistan,AFG.28_1,Parwan,Charikar,,Velayat,Province,,AF.PV,3.5821812947591147,7.8125966389973955,12.80952380952381,18.944700695219495,27.64669654482887,39.80798630487351,52.92472912016369,66.21351841517857,80.17818196614583
AFG,Afghanistan,AFG.29_1,Samangan,,,Velayat,Province,,AF.SM,3.126099788781368,7.0332354921283144,13.698924671519887,20.30987178918087,29.298143791429926,41.124141808712125,53.987289891098484,65.32941968513258,78.03127959280303
AFG,Afghanistan,AFG.30_1,Sari Pul,Sar-e Pul|Saripol,,Velayat,Province,,AF.SP,3.3713260226779513,7.62078857421875,14.939067925347222,21.312544759114584,30.379210069444444,42.94982096354167,55.787814670138886,67.05519748263889,78.54265407986111
AFG,Afghanistan,AFG.31_1,Takhar,Takar,,Velayat,Province,,AF.TK,3.1227599249945746,5.7034047444661455,10.504480150010851,15.41218736436632,22.75806342230903,33.622762044270836,47.15770806206597,60.490139431423614,71.88261583116319
AFG,Afghanistan,AFG.32_1,Uruzgan,Urozgan,,Velayat,Province,,AF.OZ,3.659592477898849,9.153650384200247,15.60101960834704,22.673172800164473,32.15195184004934,45.68590666118421,59.95076069078947,73.13242701480263,84.6290347450658
AFG,Afghanistan,AFG.33_1,Wardak,Verdak|Wardag|Maiden,,Velayat,Province,,AF.VR,3.4838708948206016,8.271206891095197,13.99761058666088,21.077657063802082,29.918757685908563,43.11708351417824,56.83154296875,70.89844654224537,85.14217122395833
AFG,Afghanistan,AFG.34_1,Zabul,Zubul|Zaboul,,Velayat,Province,,AF.ZB,3.537390275435014,8.398094177246094,14.466275301846592,20.865835016424004,30.023459694602273,41.80717884410512,57.79471657492898,72.39736106178977,84.24047296697444
AGO,Angola,AGO.1_1,Bengo,,,Província,Province,1,AO.BO,7.19588525744452,14.827489880548008,24.024778504302535,39.136509992074274,59.674613620923914,84.96307461503623,114.2374957540761,147.18700464221016,183.22719938858697
AGO,Angola,AGO.2_1,Benguela,Benguella,,Província,Province,2,AO.BG,9.968601888020833,20.138924153645835,35.69247395833333,58.03139322916667,91.2804296875,124.01721354166666,154.39010416666667,181.62708333333333,209.40173177083332
AGO,Angola,AGO.3_1,Bié,,,Província,Province,3,AO.BI,8.195037372295673,14.706948617788461,23.77965369591346,37.17890625,55.05310246394231,78.14838491586538,102.40694861778846,134.3305138221154,171.69107572115385
AGO,Angola,AGO.4_1,Cabinda,,,Província,Province,4,AO.CB,9.474192810058593,19.691937255859376,31.369354248046875,49.80967407226562,70.60484008789062,95.85,129.0322509765625,158.3870849609375,187.02742919921874
AGO,Angola,AGO.5_1,Cuando Cubango,,,Província,Province,5,AO.CC,6.5864921569824215,12.742036437988281,20.933367919921874,31.062802124023438,44.734274291992186,59.178125,77.57752685546875,98.54979248046875,126.3152099609375
AGO,Angola,AGO.6_1,Cuanza Norte,Cuanza-Nord|Kwanza Norte,,Província,Province,6,AO.CN,7.050789041722075,14.8284145923371,22.71173745013298,39.579958651928195,64.54975793716756,98.37749335106383,142.17433718417553,188.23749168882978,230.4165974069149
AGO,Angola,AGO.7_1,Cuanza Sul,Cuanza-Sud|Kwanza Sul,,Província,Province,7,AO.CS,9.1048388671875,17.6148388671875,31.43225830078125,55.6061279296875,90.586455078125,129.53224609375,170.167734375,208.0116015625,245.73193359375
AGO,Angola,AGO.8_1,Cunene,,,Província,Province,8,AO.CU,7.558016648933069,14.954743798099347,23.23134328358209,39.706546612639926,58.16562572877798,80.73446974113806,100.82040724113806,123.55464377332089,152.6140974813433
AGO,Angola,AGO.9_1,Huambo,,,Província,Province,9,AO.HM,9.898185729980469,18.396167755126953,28.821067810058594,44.977821350097656,66.51864624023438,93.09928894042969,121.49546813964844,154.695068359375,195.84375
AGO,Angola,AGO.10_1,Huíla,,,Província,Province,10,AO.HL,8.806689094094668,17.71181353400735,27.800283992991726,47.191887350643384,68.84297449448529,93.6195427389706,116.3486687155331,142.7239200367647,176.86646943933823
AGO,Angola,AGO.11_1,Luanda,Loanda,,Província,Province,11,AO.LU,8.00358412000868,15.795700073242188,25.91039530436198,39.835123697916664,57.953403049045136,78.70967610677083,103.82078721788194,129.08243815104166,159.41935221354166
AGO,Angola,AGO.12_1,Lunda Norte,,,Província,Province,12,AO.LN,6.286495575123587,11.540550102621822,19.95862850900424,32.22452937411723,52.12192134533898,75.34773349223164,99.98505914548022,128.55003089689265,158.9409538312147
AGO,Angola,AGO.13_1,Lunda Sul,,,Província,Province,13,AO.LS,5.6735390111019735,9.999273085056391,16.88406440906955,26.96919606144267,41.72714256343985,62.05990807095865,84.73660714285714,109.740234375,136.06282307330827
AGO,Angola,AGO.14_1,Malanje,Malange,,Província,Province,14,AO.ML,7.577593829180743,14.773975269214526,23.874453982791387,41.385788376266895,66.77920449746621,98.36442937077703,132.5747730152027,169.11093222128378,206.57738597972974
AGO,Angola,AGO.15_1,Moxico,,,Província,Province,15,AO.MX,6.587135873189786,11.912175620474466,18.83231707317073,29.302222275152438,42.07916706364329,59.1996474847561,79.1798780487805,101.43518959603658,127.89869950457317
AGO,Angola,AGO.16_1,Namibe,Moçâmedes|Mossamedes,,Província,Province,16,AO.NA,9.05480720001517,17.080175307190533,29.492014468294904,47.67992452973301,73.26934162621359,103.06264221783981,132.4826114987864,159.88850121359224,191.0416603458738
AGO,Angola,AGO.17_1,Uíge,,,Província,Province,17,AO.UI,7.111245413806951,14.772384500949181,24.083206319363317,40.49803774824766,64.84564380110982,101.47121422313084,144.1435090537383,191.3620765186916,234.79380841121494
AGO,Angola,AGO.18_1,Zaire,,,Província,Province,18,AO.ZA,7.656235424440299,16.030814555153917,26.398169674090486,43.86855760261194,66.16033115671642,95.5811275652985,129.85026527518656,162.95039937033582,194.15694962686567
ALA,Åland,ALA.1_1,Brändö,Braendoe,,Municipality,Municipality,,AX.BR,6.080645243326823,11.18817138671875,16.086021423339844,21.849461873372395,29.021504720052082,38.5967763264974,46.21505228678385,52.419352213541664,61.473114013671875
ALA,Åland,ALA.2_1,Eckerö,Eckeroe,,Municipality,Municipality,,AX.EC,6.411290645599365,12.983871459960938,17.95161247253418,24.314516067504883,32.25,41.33064651489258,49.26612854003906,59.16935348510742,67.78225708007812
ALA,Åland,ALA.3_1,Finström,Finstroem,,Municipality,Municipality,,AX.FN,6.935483932495117,13.354839324951172,19.09677505493164,25.782258987426758,33.58064651489258,45.25,51.274192810058594,62.24193572998047,70.18548583984375
ALA,Åland,ALA.4_1,Föglö,Foegloe,,Municipality,Municipality,,AX.FG,6.283870697021484,13.109677124023438,18.316128540039063,23.522579956054688,31.135482788085938,41.67096862792969,49.193548583984374,58.4774169921875,68.47096557617188
ALA,Åland,ALA.5_1,Geta,,,Municipality,Municipality,,AX.GT,7.193548202514648,13.532258033752441,18.83871078491211,25.5,34.43548583984375,44.870967864990234,51.98387145996094,62.04838562011719,70.43548583984375
ALA,Åland,ALA.6_1,Hammarland,,,Municipality,Municipality,,AX.HM,7.064516067504883,13.604838371276855,19.266128540039062,26.09677505493164,34.51612854003906,44.588706970214844,51.395164489746094,61.967742919921875,70.6209716796875
