GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,2000,2010,2020,2030,2040,2050,2060,2070,2080
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,0.7757509564040997,1.2243783933307053,1.6445609276447821,2.1758758824899656,2.7316384971688645,3.4943752463804474,4.240124343732082,5.126978882955848,5.892996971760321
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,0.7064559611868351,1.134795493267952,1.547830784574468,1.98308871654754,2.583215591755319,3.1587290662400265,3.9877643991023937,4.679485564536237,5.285680243309508
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,0.7840317060362618,1.2733355828051298,1.712329792526533,2.138698361954599,2.636837941295696,3.2786393075619102,4.100947542010613,4.908171455815153,5.660600194391215
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,0.7553691864013672,1.1887041727701824,1.556805928548177,2.0113487243652344,2.6153526306152344,3.112039566040039,3.9097461700439453,4.621912002563477,5.334486643473308
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,0.7248386480869391,1.208511743790064,1.6591976850460737,2.084586901542468,2.5981922638721957,3.2879270895933495,4.2349102313701925,4.993460630759214,5.682790120442708
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,0.7301140679253473,1.1985222710503471,1.6623989529079861,2.1117458767361112,2.5865770128038195,3.3673299153645835,4.2259813096788195,5.002937147352431,5.700221082899305
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,0.6682578032871462,1.1403350830078125,1.5992149496978183,1.977792703880454,2.563076954967571,3.1963204437831663,3.890846108490566,4.655540034456073,5.3614789854805425
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,0.7130928787530637,1.1432608810125613,1.525351131663603,1.9955803366268383,2.6082416609221815,3.120388255399816,3.9282944623161766,4.609374401616115,5.241236668007047
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,0.7136061532156808,1.178107670375279,1.6618314470563615,2.091813768659319,2.537798745291574,3.3339691162109375,4.176407950265067,4.937684195382254,5.670231410435268
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,0.6908793833063936,1.1648847207255748,1.616400006173671,2.0456251824039153,2.6059219535739944,3.2686813179103806,4.152130828506645,4.923746744791667,5.583702701261674
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,0.660850717240021,1.1459668584230567,1.5985661354385505,2.005130030527836,2.576127252658876,3.254201937122505,3.947098162995667,4.692507960215337,5.4286165638130255
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,0.7014460024626359,1.129650348165761,1.542018989894701,1.9632228685461957,2.5752828846807065,3.161729895550272,3.9013669221297556,4.646021569293478,5.2499596637228265
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,,AF.JW,0.7285700617609797,1.1576645309860643,1.48541259765625,2.005531104835304,2.625713451488598,3.0859086320206925,3.855879500105574,4.525908599028716,5.182269122149493
