GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,2000,2010,2020,2030,2040,2050,2060,2070,2080
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,0.7880293819882455,1.212409343194524,1.5973082376182626,2.2356973350594895,2.794532145928899,3.4079998611310205,4.0505777061532395,4.839226678970757,5.589115807769495
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,0.6769337755568484,1.0443147699883644,1.4245449634308511,1.913996270362367,2.42107699779754,2.93348531520113,3.5348426331865026,4.20912462599734,4.905726006690492
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,0.7073750046064269,1.1825331202093161,1.5625667931898586,2.098263722545696,2.6499996545179836,3.241024377211085,3.899192378206073,4.6379705465064855,5.304540094339623
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,0.6808287302652994,1.1136500040690105,1.489571253458659,1.9699827829996746,2.4622491200764975,3.039997100830078,3.7380924224853516,4.380966822306315,4.913344065348308
AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,0.7083380283453525,1.0956890399639423,1.5363894731570513,2.078944279597356,2.551353258964343,3.1344228891225963,3.8819173177083335,4.65476794120593,5.382098075671074
AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,0.6903306749131944,1.0924831814236111,1.5416985405815973,2.0131184895833334,2.524913872612847,3.1864054361979166,3.8981058756510416,4.665702311197917,5.3937669542100695
AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,0.6224307654038915,1.0571640302550118,1.494680440650796,1.9870602589733195,2.4581750833763265,3.032130979142099,3.625815913362323,4.33060009074661,5.0319501768867925
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,0.6761271158854166,1.0324772853477329,1.3909475289139093,1.854977476830576,2.395224776922488,2.916189156326593,3.5787365483302698,4.215279971852022,4.7987323835784315
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,0.6579382760184151,1.0548161097935267,1.5092381068638392,1.9871183122907365,2.4920196533203125,3.1350882393973216,3.837134769984654,4.585232870919364,5.328784942626953
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,0.6879121626930675,1.087176794293283,1.5113623608117817,1.9822296493354885,2.49554513514727,3.1000871329471984,3.784111636808549,4.538217128008261,5.278048460510956
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,0.596923058774291,0.9796922186843487,1.4549339999671744,1.9160128040474003,2.422184022534795,2.9981232971704306,3.643138725216649,4.410837381827731,5.08346172941833
AFG,Afghanistan,AFG.12_1,Hirat,,,Velayat,Province,,AF.HR,0.6465114427649457,1.0493113642153533,1.4595132578974184,1.9485447095788044,2.402255912449049,2.9664492399796196,3.5303915272588315,4.213267450747282,4.889271081012228
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,,Velayat,Province,,AF.JW,0.6818971376161318,1.036792652027027,1.4023602459881757,1.8763930862014357,2.3759856352934965,2.9181765994510136,3.611064189189189,4.17930066907728,4.735622096706081
AFG,Afghanistan,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,,Velayat,Province,,AF.KB,0.6867809295654297,1.1745166778564453,1.6003398895263672,2.090373992919922,2.654590606689453,3.2501697540283203,3.893077850341797,4.64518928527832,5.3009796142578125
AFG,Afghanistan,AFG.15_1,Kandahar,Qandahar,,Velayat,Province,,AF.KD,0.5843524932861328,0.982987812587193,1.433764866420201,1.903418677193778,2.4032838003976003,2.965693882533482,3.6502786363874162,4.454059873308454,4.911414010184152
AFG,Afghanistan,AFG.16_1,Kapisa,Kapesa,,Velayat,Province,,AF.KP,0.7105484008789062,1.2253952026367188,1.6186180114746094,2.1119003295898438,2.7015609741210938,3.316600799560547,3.9607009887695312,4.699501037597656,5.407581329345703
AFG,Afghanistan,AFG.17_1,Khost,,,Velayat,Province,,AF.KT,0.6256790161132812,1.0508219401041667,1.4852320353190105,1.9316813151041667,2.427179972330729,3.0487899780273438,3.6963424682617188,4.332410176595052,4.948832194010417
AFG,Afghanistan,AFG.18_1,Kunar,Konarha|Kunarha,,Velayat,Province,,AF.KR,0.7768039703369141,1.2524757385253906,1.661977767944336,2.1172523498535156,2.609281539916992,3.2884387969970703,3.944690704345703,4.740489959716797,5.3803253173828125
AFG,Afghanistan,AFG.19_1,Kunduz,Kondoz|Qonduz|Qunduz,,Velayat,Province,,AF.KZ,0.6943041483561198,1.179107666015625,1.5498021443684895,2.0495478312174478,2.6115544637044272,3.225755055745443,3.8404630025227866,4.514329274495442,5.113834381103516
AFG,Afghanistan,AFG.20_1,Laghman,Lagman,,Velayat,Province,,AF.LA,0.7094163161057693,1.2245154747596154,1.641632080078125,2.086949275090144,2.6590435321514425,3.3090796837439904,3.9475614107572117,4.66833730844351,5.33294442983774
