Date,Day,Ha,Month,Unit,Unit_TW,Value,Year
1/1/82,1,722480.9433,1,LAI,Western Little Karoo,378.999403,1982
1/1/82,1,722480.9433,1,FAPAR,Western Little Karoo,185.1943129,1982
2/1/82,1,722480.9433,2,LAI,Western Little Karoo,357.5634533,1982
2/1/82,1,722480.9433,2,FAPAR,Western Little Karoo,178.5022571,1982
3/1/82,1,722480.9433,3,LAI,Western Little Karoo,373.6042842,1982
3/1/82,1,722480.9433,3,FAPAR,Western Little Karoo,194.9565078,1982
4/1/82,1,722480.9433,4,LAI,Western Little Karoo,302.795187,1982
4/1/82,1,722480.9433,4,FAPAR,Western Little Karoo,201.7619905,1982
5/1/82,1,722480.9433,5,LAI,Western Little Karoo,367.9548622,1982
5/1/82,1,722480.9433,5,FAPAR,Western Little Karoo,254.3429884,1982
6/1/82,1,722480.9433,6,LAI,Western Little Karoo,373.6040481,1982
6/1/82,1,722480.9433,6,FAPAR,Western Little Karoo,247.8604659,1982
7/1/82,1,722480.9433,7,LAI,Western Little Karoo,362.6540903,1982
7/1/82,1,722480.9433,7,FAPAR,Western Little Karoo,248.5465483,1982
8/1/82,1,722480.9433,8,LAI,Western Little Karoo,386.867407,1982
8/1/82,1,722480.9433,8,FAPAR,Western Little Karoo,254.586603,1982
9/1/82,1,722480.9433,9,LAI,Western Little Karoo,422.6580659,1982
9/1/82,1,722480.9433,9,FAPAR,Western Little Karoo,232.466747,1982
10/1/82,1,722480.9433,10,LAI,Western Little Karoo,420.4351675,1982
10/1/82,1,722480.9433,10,FAPAR,Western Little Karoo,210.634448,1982
11/1/82,1,722480.9433,11,LAI,Western Little Karoo,417.1584844,1982
11/1/82,1,722480.9433,11,FAPAR,Western Little Karoo,202.4556423,1982
12/1/82,1,722480.9433,12,LAI,Western Little Karoo,398.532331,1982
12/1/82,1,722480.9433,12,FAPAR,Western Little Karoo,194.7771211,1982
1/1/83,1,722480.9433,1,LAI,Western Little Karoo,353.4362497,1983
1/1/83,1,722480.9433,1,FAPAR,Western Little Karoo,174.715796,1983
2/1/83,1,722480.9433,2,LAI,Western Little Karoo,331.263629,1983
2/1/83,1,722480.9433,2,FAPAR,Western Little Karoo,169.5934878,1983
3/1/83,1,722480.9433,3,LAI,Western Little Karoo,324.3323345,1983
3/1/83,1,722480.9433,3,FAPAR,Western Little Karoo,177.9620752,1983
4/1/83,1,722480.9433,4,LAI,Western Little Karoo,333.7939577,1983
4/1/83,1,722480.9433,4,FAPAR,Western Little Karoo,209.4923321,1983
5/1/83,1,722480.9433,5,LAI,Western Little Karoo,335.0541883,1983
5/1/83,1,722480.9433,5,FAPAR,Western Little Karoo,217.7281735,1983
6/1/83,1,722480.9433,6,LAI,Western Little Karoo,306.6820257,1983
6/1/83,1,722480.9433,6,FAPAR,Western Little Karoo,201.3147263,1983
7/1/83,1,722480.9433,7,LAI,Western Little Karoo,372.6434033,1983
7/1/83,1,722480.9433,7,FAPAR,Western Little Karoo,240.4093195,1983
8/1/83,1,722480.9433,8,LAI,Western Little Karoo,376.2276267,1983
8/1/83,1,722480.9433,8,FAPAR,Western Little Karoo,242.5574121,1983
9/1/83,1,722480.9433,9,LAI,Western Little Karoo,403.9167803,1983
9/1/83,1,722480.9433,9,FAPAR,Western Little Karoo,221.4484974,1983
10/1/83,1,722480.9433,10,LAI,Western Little Karoo,409.3125161,1983
10/1/83,1,722480.9433,10,FAPAR,Western Little Karoo,202.6952812,1983
11/1/83,1,722480.9433,11,LAI,Western Little Karoo,415.5362691,1983
11/1/83,1,722480.9433,11,FAPAR,Western Little Karoo,196.5995514,1983
12/1/83,1,722480.9433,12,LAI,Western Little Karoo,400.6237068,1983
12/1/83,1,722480.9433,12,FAPAR,Western Little Karoo,187.8079284,1983
1/1/84,1,722480.9433,1,LAI,Western Little Karoo,361.6507893,1984
