Date,Day,Ha,Month,Unit,Unit_TW,Value,Year
1/1/00,1,722480.9433,1,millimeters,Western Little Karoo,30.63683823,2000
2/1/00,1,722480.9433,2,millimeters,Western Little Karoo,18.83880498,2000
3/1/00,1,722480.9433,3,millimeters,Western Little Karoo,36.1509406,2000
4/1/00,1,722480.9433,4,millimeters,Western Little Karoo,19.50376656,2000
5/1/00,1,722480.9433,5,millimeters,Western Little Karoo,9.838628224,2000
6/1/00,1,722480.9433,6,millimeters,Western Little Karoo,15.05443218,2000
7/1/00,1,722480.9433,7,millimeters,Western Little Karoo,21.77510912,2000
8/1/00,1,722480.9433,8,millimeters,Western Little Karoo,19.13250458,2000
9/1/00,1,722480.9433,9,millimeters,Western Little Karoo,14.1117755,2000
10/1/00,1,722480.9433,10,millimeters,Western Little Karoo,18.73354246,2000
11/1/00,1,722480.9433,11,millimeters,Western Little Karoo,22.70358282,2000
12/1/00,1,722480.9433,12,millimeters,Western Little Karoo,9.85005908,2000
1/1/01,1,722480.9433,1,millimeters,Western Little Karoo,15.45335907,2001
2/1/01,1,722480.9433,2,millimeters,Western Little Karoo,26.35139991,2001
3/1/01,1,722480.9433,3,millimeters,Western Little Karoo,24.83525603,2001
4/1/01,1,722480.9433,4,millimeters,Western Little Karoo,44.02091186,2001
5/1/01,1,722480.9433,5,millimeters,Western Little Karoo,17.03564984,2001
6/1/01,1,722480.9433,6,millimeters,Western Little Karoo,12.06800486,2001
7/1/01,1,722480.9433,7,millimeters,Western Little Karoo,32.09823663,2001
8/1/01,1,722480.9433,8,millimeters,Western Little Karoo,22.95778441,2001
9/1/01,1,722480.9433,9,millimeters,Western Little Karoo,18.40602327,2001
10/1/01,1,722480.9433,10,millimeters,Western Little Karoo,37.4561395,2001
11/1/01,1,722480.9433,11,millimeters,Western Little Karoo,29.19703979,2001
12/1/01,1,722480.9433,12,millimeters,Western Little Karoo,8.013355084,2001
1/1/02,1,722480.9433,1,millimeters,Western Little Karoo,20.68919564,2002
2/1/02,1,722480.9433,2,millimeters,Western Little Karoo,25.09534637,2002
3/1/02,1,722480.9433,3,millimeters,Western Little Karoo,22.40468188,2002
4/1/02,1,722480.9433,4,millimeters,Western Little Karoo,36.63835507,2002
5/1/02,1,722480.9433,5,millimeters,Western Little Karoo,44.34548235,2002
6/1/02,1,722480.9433,6,millimeters,Western Little Karoo,23.80979694,2002
7/1/02,1,722480.9433,7,millimeters,Western Little Karoo,28.56167141,2002
8/1/02,1,722480.9433,8,millimeters,Western Little Karoo,28.69614594,2002
9/1/02,1,722480.9433,9,millimeters,Western Little Karoo,21.29726463,2002
10/1/02,1,722480.9433,10,millimeters,Western Little Karoo,14.87282608,2002
11/1/02,1,722480.9433,11,millimeters,Western Little Karoo,15.67617374,2002
12/1/02,1,722480.9433,12,millimeters,Western Little Karoo,56.8502399,2002
1/1/03,1,722480.9433,1,millimeters,Western Little Karoo,25.36091657,2003
2/1/03,1,722480.9433,2,millimeters,Western Little Karoo,11.88501838,2003
3/1/03,1,722480.9433,3,millimeters,Western Little Karoo,70.0626255,2003
4/1/03,1,722480.9433,4,millimeters,Western Little Karoo,42.99075966,2003
5/1/03,1,722480.9433,5,millimeters,Western Little Karoo,16.0257509,2003
6/1/03,1,722480.9433,6,millimeters,Western Little Karoo,11.24101799,2003
7/1/03,1,722480.9433,7,millimeters,Western Little Karoo,17.68278857,2003
8/1/03,1,722480.9433,8,millimeters,Western Little Karoo,41.09901609,2003
9/1/03,1,722480.9433,9,millimeters,Western Little Karoo,15.3553338,2003
10/1/03,1,722480.9433,10,millimeters,Western Little Karoo,27.8508413,2003
11/1/03,1,722480.9433,11,millimeters,Western Little Karoo,12.35766132,2003
12/1/03,1,722480.9433,12,millimeters,Western Little Karoo,12.7890172,2003
1/1/04,1,722480.9433,1,millimeters,Western Little Karoo,15.43735839,2004
2/1/04,1,722480.9433,2,millimeters,Western Little Karoo,15.47659604,2004
3/1/04,1,722480.9433,3,millimeters,Western Little Karoo,20.67859348,2004
4/1/04,1,722480.9433,4,millimeters,Western Little Karoo,59.0710533,2004
5/1/04,1,722480.9433,5,millimeters,Western Little Karoo,10.6932473,2004
6/1/04,1,722480.9433,6,millimeters,Western Little Karoo,30.95330528,2004
7/1/04,1,722480.9433,7,millimeters,Western Little Karoo,19.61785705,2004
8/1/04,1,722480.9433,8,millimeters,Western Little Karoo,25.73865213,2004
9/1/04,1,722480.9433,9,millimeters,Western Little Karoo,12.96556856,2004
10/1/04,1,722480.9433,10,millimeters,Western Little Karoo,69.94451141,2004
11/1/04,1,722480.9433,11,millimeters,Western Little Karoo,15.88055979,2004
12/1/04,1,722480.9433,12,millimeters,Western Little Karoo,32.62583429,2004
1/1/05,1,722480.9433,1,millimeters,Western Little Karoo,42.11377803,2005
2/1/05,1,722480.9433,2,millimeters,Western Little Karoo,15.35818405,2005
