Date,Day,Ha,Month,Unit,Unit_TW,Value,Year
1/1/48,1,722480.9433,1,Celsius,Western Little Karoo,19.31572193,1948
2/1/48,1,722480.9433,2,Celsius,Western Little Karoo,19.28611082,1948
3/1/48,1,722480.9433,3,Celsius,Western Little Karoo,17.37873951,1948
4/1/48,1,722480.9433,4,Celsius,Western Little Karoo,15.20543282,1948
5/1/48,1,722480.9433,5,Celsius,Western Little Karoo,14.06988661,1948
6/1/48,1,722480.9433,6,Celsius,Western Little Karoo,11.16736353,1948
7/1/48,1,722480.9433,7,Celsius,Western Little Karoo,10.51048016,1948
8/1/48,1,722480.9433,8,Celsius,Western Little Karoo,11.54527364,1948
9/1/48,1,722480.9433,9,Celsius,Western Little Karoo,11.45680226,1948
10/1/48,1,722480.9433,10,Celsius,Western Little Karoo,13.92065708,1948
11/1/48,1,722480.9433,11,Celsius,Western Little Karoo,15.85292051,1948
12/1/48,1,722480.9433,12,Celsius,Western Little Karoo,17.95757715,1948
1/1/49,1,722480.9433,1,Celsius,Western Little Karoo,20.2894369,1949
2/1/49,1,722480.9433,2,Celsius,Western Little Karoo,19.50828382,1949
3/1/49,1,722480.9433,3,Celsius,Western Little Karoo,18.87987365,1949
4/1/49,1,722480.9433,4,Celsius,Western Little Karoo,15.74819474,1949
5/1/49,1,722480.9433,5,Celsius,Western Little Karoo,14.00407361,1949
6/1/49,1,722480.9433,6,Celsius,Western Little Karoo,13.28898463,1949
7/1/49,1,722480.9433,7,Celsius,Western Little Karoo,11.26865556,1949
8/1/49,1,722480.9433,8,Celsius,Western Little Karoo,11.08906741,1949
9/1/49,1,722480.9433,9,Celsius,Western Little Karoo,12.76278839,1949
10/1/49,1,722480.9433,10,Celsius,Western Little Karoo,14.34962629,1949
11/1/49,1,722480.9433,11,Celsius,Western Little Karoo,15.59209729,1949
12/1/49,1,722480.9433,12,Celsius,Western Little Karoo,18.30391062,1949
1/1/50,1,722480.9433,1,Celsius,Western Little Karoo,19.66900146,1950
2/1/50,1,722480.9433,2,Celsius,Western Little Karoo,19.9556602,1950
3/1/50,1,722480.9433,3,Celsius,Western Little Karoo,19.43881085,1950
4/1/50,1,722480.9433,4,Celsius,Western Little Karoo,15.26995239,1950
5/1/50,1,722480.9433,5,Celsius,Western Little Karoo,13.31483105,1950
6/1/50,1,722480.9433,6,Celsius,Western Little Karoo,12.43879794,1950
7/1/50,1,722480.9433,7,Celsius,Western Little Karoo,10.63452582,1950
8/1/50,1,722480.9433,8,Celsius,Western Little Karoo,11.21540679,1950
9/1/50,1,722480.9433,9,Celsius,Western Little Karoo,12.50360252,1950
10/1/50,1,722480.9433,10,Celsius,Western Little Karoo,14.08202192,1950
11/1/50,1,722480.9433,11,Celsius,Western Little Karoo,15.886192,1950
12/1/50,1,722480.9433,12,Celsius,Western Little Karoo,17.108951,1950
1/1/51,1,722480.9433,1,Celsius,Western Little Karoo,17.65439918,1951
2/1/51,1,722480.9433,2,Celsius,Western Little Karoo,19.30042834,1951
3/1/51,1,722480.9433,3,Celsius,Western Little Karoo,17.5432062,1951
4/1/51,1,722480.9433,4,Celsius,Western Little Karoo,15.71615393,1951
5/1/51,1,722480.9433,5,Celsius,Western Little Karoo,13.319847,1951
6/1/51,1,722480.9433,6,Celsius,Western Little Karoo,11.79823913,1951
7/1/51,1,722480.9433,7,Celsius,Western Little Karoo,9.79532277,1951
8/1/51,1,722480.9433,8,Celsius,Western Little Karoo,11.20699974,1951
9/1/51,1,722480.9433,9,Celsius,Western Little Karoo,11.28214584,1951
10/1/51,1,722480.9433,10,Celsius,Western Little Karoo,13.29016253,1951
11/1/51,1,722480.9433,11,Celsius,Western Little Karoo,16.04429704,1951
12/1/51,1,722480.9433,12,Celsius,Western Little Karoo,18.06246606,1951
1/1/52,1,722480.9433,1,Celsius,Western Little Karoo,19.51634507,1952
2/1/52,1,722480.9433,2,Celsius,Western Little Karoo,19.62391488,1952
3/1/52,1,722480.9433,3,Celsius,Western Little Karoo,17.79309377,1952
4/1/52,1,722480.9433,4,Celsius,Western Little Karoo,16.13791926,1952
5/1/52,1,722480.9433,5,Celsius,Western Little Karoo,12.71988022,1952
6/1/52,1,722480.9433,6,Celsius,Western Little Karoo,11.90998909,1952
7/1/52,1,722480.9433,7,Celsius,Western Little Karoo,10.59395291,1952
8/1/52,1,722480.9433,8,Celsius,Western Little Karoo,11.09101459,1952
9/1/52,1,722480.9433,9,Celsius,Western Little Karoo,11.99846387,1952
10/1/52,1,722480.9433,10,Celsius,Western Little Karoo,14.67973966,1952
11/1/52,1,722480.9433,11,Celsius,Western Little Karoo,16.67604733,1952
12/1/52,1,722480.9433,12,Celsius,Western Little Karoo,17.51673023,1952
1/1/53,1,722480.9433,1,Celsius,Western Little Karoo,19.86163416,1953
2/1/53,1,722480.9433,2,Celsius,Western Little Karoo,19.76539647,1953
3/1/53,1,722480.9433,3,Celsius,Western Little Karoo,18.46287107,1953
4/1/53,1,722480.9433,4,Celsius,Western Little Karoo,14.69434434,1953
5/1/53,1,722480.9433,5,Celsius,Western Little Karoo,13.59099467,1953
6/1/53,1,722480.9433,6,Celsius,Western Little Karoo,11.40630409,1953
7/1/53,1,722480.9433,7,Celsius,Western Little Karoo,10.26010012,1953
8/1/53,1,722480.9433,8,Celsius,Western Little Karoo,10.4561681,1953
9/1/53,1,722480.9433,9,Celsius,Western Little Karoo,12.88065814,1953
10/1/53,1,722480.9433,10,Celsius,Western Little Karoo,14.54382238,1953
11/1/53,1,722480.9433,11,Celsius,Western Little Karoo,15.96280454,1953
12/1/53,1,722480.9433,12,Celsius,Western Little Karoo,17.75247555,1953
1/1/54,1,722480.9433,1,Celsius,Western Little Karoo,18.5090411,1954
2/1/54,1,722480.9433,2,Celsius,Western Little Karoo,19.25430824,1954
3/1/54,1,722480.9433,3,Celsius,Western Little Karoo,17.72304889,1954
4/1/54,1,722480.9433,4,Celsius,Western Little Karoo,15.2072391,1954
5/1/54,1,722480.9433,5,Celsius,Western Little Karoo,12.85264413,1954
6/1/54,1,722480.9433,6,Celsius,Western Little Karoo,11.49451679,1954
7/1/54,1,722480.9433,7,Celsius,Western Little Karoo,9.124326953,1954
8/1/54,1,722480.9433,8,Celsius,Western Little Karoo,10.81771353,1954
9/1/54,1,722480.9433,9,Celsius,Western Little Karoo,12.27983523,1954
10/1/54,1,722480.9433,10,Celsius,Western Little Karoo,13.75960111,1954
11/1/54,1,722480.9433,11,Celsius,Western Little Karoo,15.832733,1954
12/1/54,1,722480.9433,12,Celsius,Western Little Karoo,17.71633498,1954
1/1/55,1,722480.9433,1,Celsius,Western Little Karoo,18.89799459,1955
2/1/55,1,722480.9433,2,Celsius,Western Little Karoo,17.97247073,1955
3/1/55,1,722480.9433,3,Celsius,Western Little Karoo,17.99491788,1955
4/1/55,1,722480.9433,4,Celsius,Western Little Karoo,14.56969931,1955
5/1/55,1,722480.9433,5,Celsius,Western Little Karoo,13.95571126,1955
6/1/55,1,722480.9433,6,Celsius,Western Little Karoo,11.16278279,1955
7/1/55,1,722480.9433,7,Celsius,Western Little Karoo,10.49027992,1955
8/1/55,1,722480.9433,8,Celsius,Western Little Karoo,9.717556729,1955
9/1/55,1,722480.9433,9,Celsius,Western Little Karoo,11.20027959,1955
10/1/55,1,722480.9433,10,Celsius,Western Little Karoo,12.60109469,1955
11/1/55,1,722480.9433,11,Celsius,Western Little Karoo,15.10990136,1955
12/1/55,1,722480.9433,12,Celsius,Western Little Karoo,16.41583379,1955
1/1/56,1,722480.9433,1,Celsius,Western Little Karoo,19.62248793,1956
2/1/56,1,722480.9433,2,Celsius,Western Little Karoo,18.39979534,1956
3/1/56,1,722480.9433,3,Celsius,Western Little Karoo,17.8345991,1956
4/1/56,1,722480.9433,4,Celsius,Western Little Karoo,14.87324081,1956
5/1/56,1,722480.9433,5,Celsius,Western Little Karoo,11.72711879,1956
6/1/56,1,722480.9433,6,Celsius,Western Little Karoo,10.93251576,1956
7/1/56,1,722480.9433,7,Celsius,Western Little Karoo,10.9550794,1956
8/1/56,1,722480.9433,8,Celsius,Western Little Karoo,10.23516764,1956
9/1/56,1,722480.9433,9,Celsius,Western Little Karoo,11.57973641,1956
10/1/56,1,722480.9433,10,Celsius,Western Little Karoo,13.83862122,1956
11/1/56,1,722480.9433,11,Celsius,Western Little Karoo,16.61135778,1956
12/1/56,1,722480.9433,12,Celsius,Western Little Karoo,17.00704635,1956
1/1/57,1,722480.9433,1,Celsius,Western Little Karoo,19.68759782,1957
2/1/57,1,722480.9433,2,Celsius,Western Little Karoo,19.35023278,1957
3/1/57,1,722480.9433,3,Celsius,Western Little Karoo,18.09116432,1957
4/1/57,1,722480.9433,4,Celsius,Western Little Karoo,15.06858031,1957
5/1/57,1,722480.9433,5,Celsius,Western Little Karoo,12.9471826,1957
6/1/57,1,722480.9433,6,Celsius,Western Little Karoo,10.31362753,1957
7/1/57,1,722480.9433,7,Celsius,Western Little Karoo,10.63470897,1957
8/1/57,1,722480.9433,8,Celsius,Western Little Karoo,10.98603412,1957
9/1/57,1,722480.9433,9,Celsius,Western Little Karoo,11.98008432,1957
10/1/57,1,722480.9433,10,Celsius,Western Little Karoo,12.60798445,1957
11/1/57,1,722480.9433,11,Celsius,Western Little Karoo,16.45070327,1957
12/1/57,1,722480.9433,12,Celsius,Western Little Karoo,18.71343589,1957
1/1/58,1,722480.9433,1,Celsius,Western Little Karoo,19.29985719,1958
2/1/58,1,722480.9433,2,Celsius,Western Little Karoo,18.87900478,1958
3/1/58,1,722480.9433,3,Celsius,Western Little Karoo,18.04167755,1958
4/1/58,1,722480.9433,4,Celsius,Western Little Karoo,15.5569555,1958
5/1/58,1,722480.9433,5,Celsius,Western Little Karoo,12.66189954,1958
6/1/58,1,722480.9433,6,Celsius,Western Little Karoo,10.62744448,1958
7/1/58,1,722480.9433,7,Celsius,Western Little Karoo,11.30324238,1958
8/1/58,1,722480.9433,8,Celsius,Western Little Karoo,11.03352701,1958
9/1/58,1,722480.9433,9,Celsius,Western Little Karoo,11.65072747,1958
10/1/58,1,722480.9433,10,Celsius,Western Little Karoo,13.77661646,1958
11/1/58,1,722480.9433,11,Celsius,Western Little Karoo,16.59922373,1958
12/1/58,1,722480.9433,12,Celsius,Western Little Karoo,18.86958981,1958
1/1/59,1,722480.9433,1,Celsius,Western Little Karoo,18.08225654,1959
2/1/59,1,722480.9433,2,Celsius,Western Little Karoo,19.43543752,1959
3/1/59,1,722480.9433,3,Celsius,Western Little Karoo,17.82135854,1959
4/1/59,1,722480.9433,4,Celsius,Western Little Karoo,15.16930483,1959
5/1/59,1,722480.9433,5,Celsius,Western Little Karoo,11.60559801,1959
6/1/59,1,722480.9433,6,Celsius,Western Little Karoo,12.23211588,1959
7/1/59,1,722480.9433,7,Celsius,Western Little Karoo,11.23831124,1959
8/1/59,1,722480.9433,8,Celsius,Western Little Karoo,11.45315017,1959
9/1/59,1,722480.9433,9,Celsius,Western Little Karoo,12.8080865,1959
10/1/59,1,722480.9433,10,Celsius,Western Little Karoo,13.5092556,1959
11/1/59,1,722480.9433,11,Celsius,Western Little Karoo,16.51578356,1959
12/1/59,1,722480.9433,12,Celsius,Western Little Karoo,17.75011064,1959
1/1/60,1,722480.9433,1,Celsius,Western Little Karoo,19.09183701,1960
2/1/60,1,722480.9433,2,Celsius,Western Little Karoo,19.72323078,1960
3/1/60,1,722480.9433,3,Celsius,Western Little Karoo,17.6570794,1960
4/1/60,1,722480.9433,4,Celsius,Western Little Karoo,14.68495733,1960
5/1/60,1,722480.9433,5,Celsius,Western Little Karoo,12.49883486,1960
6/1/60,1,722480.9433,6,Celsius,Western Little Karoo,12.05580933,1960
7/1/60,1,722480.9433,7,Celsius,Western Little Karoo,10.77699181,1960
8/1/60,1,722480.9433,8,Celsius,Western Little Karoo,11.22249265,1960
