Date,Day,Ha,Month,Unit,Unit_TW,Value,Year
2/18/00,18,722480.9433,2,None,Western Little Karoo,2123.743749,2000
3/5/00,5,722480.9433,3,None,Western Little Karoo,2242.925442,2000
3/21/00,21,722480.9433,3,None,Western Little Karoo,2403.060976,2000
4/6/00,6,722480.9433,4,None,Western Little Karoo,2386.669157,2000
4/22/00,22,722480.9433,4,None,Western Little Karoo,2378.90927,2000
5/8/00,8,722480.9433,5,None,Western Little Karoo,2359.356515,2000
5/24/00,24,722480.9433,5,None,Western Little Karoo,2441.077089,2000
6/9/00,9,722480.9433,6,None,Western Little Karoo,2545.271639,2000
6/25/00,25,722480.9433,6,None,Western Little Karoo,2386.652879,2000
7/11/00,11,722480.9433,7,None,Western Little Karoo,2480.240428,2000
7/27/00,27,722480.9433,7,None,Western Little Karoo,2475.947434,2000
8/12/00,12,722480.9433,8,None,Western Little Karoo,2203.106071,2000
8/28/00,28,722480.9433,8,None,Western Little Karoo,2217.653481,2000
9/13/00,13,722480.9433,9,None,Western Little Karoo,2004.372773,2000
9/29/00,29,722480.9433,9,None,Western Little Karoo,1859.730934,2000
10/15/00,15,722480.9433,10,None,Western Little Karoo,1772.112155,2000
10/31/00,31,722480.9433,10,None,Western Little Karoo,1805.863634,2000
11/16/00,16,722480.9433,11,None,Western Little Karoo,1841.36264,2000
12/2/00,2,722480.9433,12,None,Western Little Karoo,1903.643093,2000
12/18/00,18,722480.9433,12,None,Western Little Karoo,1924.875036,2000
1/1/01,1,722480.9433,1,None,Western Little Karoo,1870.878865,2001
1/17/01,17,722480.9433,1,None,Western Little Karoo,1838.808861,2001
2/2/01,2,722480.9433,2,None,Western Little Karoo,1811.880873,2001
2/18/01,18,722480.9433,2,None,Western Little Karoo,1914.901412,2001
3/6/01,6,722480.9433,3,None,Western Little Karoo,1925.906116,2001
3/22/01,22,722480.9433,3,None,Western Little Karoo,1945.5626,2001
4/7/01,7,722480.9433,4,None,Western Little Karoo,2141.253516,2001
4/23/01,23,722480.9433,4,None,Western Little Karoo,2264.098272,2001
5/9/01,9,722480.9433,5,None,Western Little Karoo,2263.94085,2001
5/25/01,25,722480.9433,5,None,Western Little Karoo,2228.905365,2001
6/10/01,10,722480.9433,6,None,Western Little Karoo,2310.113631,2001
6/26/01,26,722480.9433,6,None,Western Little Karoo,2354.235441,2001
7/12/01,12,722480.9433,7,None,Western Little Karoo,2376.907719,2001
7/28/01,28,722480.9433,7,None,Western Little Karoo,2394.213918,2001
8/13/01,13,722480.9433,8,None,Western Little Karoo,2237.521281,2001
8/29/01,29,722480.9433,8,None,Western Little Karoo,2344.760488,2001
9/14/01,14,722480.9433,9,None,Western Little Karoo,2187.49857,2001
9/30/01,30,722480.9433,9,None,Western Little Karoo,2107.829255,2001
10/16/01,16,722480.9433,10,None,Western Little Karoo,1979.062689,2001
11/1/01,1,722480.9433,11,None,Western Little Karoo,2011.181855,2001
11/17/01,17,722480.9433,11,None,Western Little Karoo,2085.685352,2001
12/3/01,3,722480.9433,12,None,Western Little Karoo,2040.000775,2001
12/19/01,19,722480.9433,12,None,Western Little Karoo,2020.157046,2001
1/1/02,1,722480.9433,1,None,Western Little Karoo,1909.262926,2002
1/17/02,17,722480.9433,1,None,Western Little Karoo,1936.929699,2002
2/2/02,2,722480.9433,2,None,Western Little Karoo,1966.524569,2002
2/18/02,18,722480.9433,2,None,Western Little Karoo,2034.195062,2002
3/6/02,6,722480.9433,3,None,Western Little Karoo,2067.035521,2002
3/22/02,22,722480.9433,3,None,Western Little Karoo,2116.382632,2002
4/7/02,7,722480.9433,4,None,Western Little Karoo,2132.532621,2002
4/23/02,23,722480.9433,4,None,Western Little Karoo,2373.148019,2002
5/9/02,9,722480.9433,5,None,Western Little Karoo,2458.285616,2002
5/25/02,25,722480.9433,5,None,Western Little Karoo,2774.730896,2002
6/10/02,10,722480.9433,6,None,Western Little Karoo,2925.643121,2002
6/26/02,26,722480.9433,6,None,Western Little Karoo,3053.869801,2002
7/12/02,12,722480.9433,7,None,Western Little Karoo,2954.726496,2002
7/28/02,28,722480.9433,7,None,Western Little Karoo,2836.197499,2002
8/13/02,13,722480.9433,8,None,Western Little Karoo,3047.181265,2002
8/29/02,29,722480.9433,8,None,Western Little Karoo,2859.41419,2002
9/14/02,14,722480.9433,9,None,Western Little Karoo,2648.54624,2002
9/30/02,30,722480.9433,9,None,Western Little Karoo,2355.63924,2002
10/16/02,16,722480.9433,10,None,Western Little Karoo,2178.37319,2002
11/1/02,1,722480.9433,11,None,Western Little Karoo,2045.080968,2002
11/17/02,17,722480.9433,11,None,Western Little Karoo,1954.715747,2002
12/3/02,3,722480.9433,12,None,Western Little Karoo,1916.733122,2002
12/19/02,19,722480.9433,12,None,Western Little Karoo,2138.58135,2002
1/1/03,1,722480.9433,1,None,Western Little Karoo,2089.10231,2003
1/17/03,17,722480.9433,1,None,Western Little Karoo,2059.684477,2003
2/2/03,2,722480.9433,2,None,Western Little Karoo,2078.88898,2003
2/18/03,18,722480.9433,2,None,Western Little Karoo,2051.098213,2003
3/6/03,6,722480.9433,3,None,Western Little Karoo,2043.705506,2003
3/22/03,22,722480.9433,3,None,Western Little Karoo,2412.079545,2003
4/7/03,7,722480.9433,4,None,Western Little Karoo,2915.179915,2003
4/23/03,23,722480.9433,4,None,Western Little Karoo,3137.056155,2003
5/9/03,9,722480.9433,5,None,Western Little Karoo,3395.634288,2003
5/25/03,25,722480.9433,5,None,Western Little Karoo,3554.229282,2003
6/10/03,10,722480.9433,6,None,Western Little Karoo,3435.467679,2003
6/26/03,26,722480.9433,6,None,Western Little Karoo,3336.370792,2003
7/12/03,12,722480.9433,7,None,Western Little Karoo,3221.03945,2003
7/28/03,28,722480.9433,7,None,Western Little Karoo,3231.013367,2003
8/13/03,13,722480.9433,8,None,Western Little Karoo,2922.96456,2003
8/29/03,29,722480.9433,8,None,Western Little Karoo,2862.036628,2003
9/14/03,14,722480.9433,9,None,Western Little Karoo,2731.284752,2003
9/30/03,30,722480.9433,9,None,Western Little Karoo,2421.275823,2003
10/16/03,16,722480.9433,10,None,Western Little Karoo,2294.632267,2003
11/1/03,1,722480.9433,11,None,Western Little Karoo,2155.455367,2003
11/17/03,17,722480.9433,11,None,Western Little Karoo,2063.191474,2003
12/3/03,3,722480.9433,12,None,Western Little Karoo,2028.886239,2003
12/19/03,19,722480.9433,12,None,Western Little Karoo,1996.063521,2003
1/1/04,1,722480.9433,1,None,Western Little Karoo,2023.804837,2004
1/17/04,17,722480.9433,1,None,Western Little Karoo,1985.178217,2004
2/2/04,2,722480.9433,2,None,Western Little Karoo,2011.277825,2004
2/18/04,18,722480.9433,2,None,Western Little Karoo,2168.269717,2004
3/5/04,5,722480.9433,3,None,Western Little Karoo,2173.983172,2004
3/21/04,21,722480.9433,3,None,Western Little Karoo,2217.523229,2004
4/6/04,6,722480.9433,4,None,Western Little Karoo,2388.065028,2004
4/22/04,22,722480.9433,4,None,Western Little Karoo,2629.959022,2004
5/8/04,8,722480.9433,5,None,Western Little Karoo,2713.164559,2004
5/24/04,24,722480.9433,5,None,Western Little Karoo,2624.636262,2004
6/9/04,9,722480.9433,6,None,Western Little Karoo,2872.134128,2004
6/25/04,25,722480.9433,6,None,Western Little Karoo,2799.52642,2004
7/11/04,11,722480.9433,7,None,Western Little Karoo,2669.6111,2004
7/27/04,27,722480.9433,7,None,Western Little Karoo,2654.695769,2004
8/12/04,12,722480.9433,8,None,Western Little Karoo,2539.042507,2004
8/28/04,28,722480.9433,8,None,Western Little Karoo,2478.683757,2004
9/13/04,13,722480.9433,9,None,Western Little Karoo,2283.060463,2004
9/29/04,29,722480.9433,9,None,Western Little Karoo,2213.055284,2004
10/15/04,15,722480.9433,10,None,Western Little Karoo,2280.851216,2004
10/31/04,31,722480.9433,10,None,Western Little Karoo,2247.444332,2004
11/16/04,16,722480.9433,11,None,Western Little Karoo,2121.396292,2004
12/2/04,2,722480.9433,12,None,Western Little Karoo,2049.108715,2004
12/18/04,18,722480.9433,12,None,Western Little Karoo,2249.537269,2004
1/1/05,1,722480.9433,1,None,Western Little Karoo,2222.391451,2005
1/17/05,17,722480.9433,1,None,Western Little Karoo,2329.157599,2005
2/2/05,2,722480.9433,2,None,Western Little Karoo,2312.360305,2005
2/18/05,18,722480.9433,2,None,Western Little Karoo,2270.394705,2005
3/6/05,6,722480.9433,3,None,Western Little Karoo,2333.868782,2005
3/22/05,22,722480.9433,3,None,Western Little Karoo,2366.787136,2005
4/7/05,7,722480.9433,4,None,Western Little Karoo,2665.990114,2005
4/23/05,23,722480.9433,4,None,Western Little Karoo,2857.526668,2005
5/9/05,9,722480.9433,5,None,Western Little Karoo,2877.705001,2005
