Date,Ha,Month,Unit,Unit_TW,Value,Year
11/1/00,722480.9433,11,Hectares,Western Little Karoo,0,2000
12/1/00,722480.9433,12,Hectares,Western Little Karoo,0,2000
1/1/01,722480.9433,1,Hectares,Western Little Karoo,5732.580813,2001
2/1/01,722480.9433,2,Hectares,Western Little Karoo,987.0586953,2001
3/1/01,722480.9433,3,Hectares,Western Little Karoo,1158.646709,2001
4/1/01,722480.9433,4,Hectares,Western Little Karoo,0,2001
5/1/01,722480.9433,5,Hectares,Western Little Karoo,0,2001
6/1/01,722480.9433,6,Hectares,Western Little Karoo,0,2001
7/1/01,722480.9433,7,Hectares,Western Little Karoo,0,2001
8/1/01,722480.9433,8,Hectares,Western Little Karoo,0,2001
9/1/01,722480.9433,9,Hectares,Western Little Karoo,0,2001
10/1/01,722480.9433,10,Hectares,Western Little Karoo,0,2001
11/1/01,722480.9433,11,Hectares,Western Little Karoo,0,2001
12/1/01,722480.9433,12,Hectares,Western Little Karoo,0,2001
1/1/02,722480.9433,1,Hectares,Western Little Karoo,0,2002
2/1/02,722480.9433,2,Hectares,Western Little Karoo,0,2002
3/1/02,722480.9433,3,Hectares,Western Little Karoo,0.841542218,2002
4/1/02,722480.9433,4,Hectares,Western Little Karoo,0,2002
5/1/02,722480.9433,5,Hectares,Western Little Karoo,0,2002
6/1/02,722480.9433,6,Hectares,Western Little Karoo,0,2002
7/1/02,722480.9433,7,Hectares,Western Little Karoo,0,2002
8/1/02,722480.9433,8,Hectares,Western Little Karoo,0,2002
9/1/02,722480.9433,9,Hectares,Western Little Karoo,0,2002
10/1/02,722480.9433,10,Hectares,Western Little Karoo,0,2002
11/1/02,722480.9433,11,Hectares,Western Little Karoo,121.0135511,2002
12/1/02,722480.9433,12,Hectares,Western Little Karoo,0,2002
1/1/03,722480.9433,1,Hectares,Western Little Karoo,0,2003
2/1/03,722480.9433,2,Hectares,Western Little Karoo,863.2507452,2003
3/1/03,722480.9433,3,Hectares,Western Little Karoo,0,2003
4/1/03,722480.9433,4,Hectares,Western Little Karoo,0,2003
5/1/03,722480.9433,5,Hectares,Western Little Karoo,0,2003
6/1/03,722480.9433,6,Hectares,Western Little Karoo,0,2003
7/1/03,722480.9433,7,Hectares,Western Little Karoo,0,2003
8/1/03,722480.9433,8,Hectares,Western Little Karoo,0,2003
9/1/03,722480.9433,9,Hectares,Western Little Karoo,0,2003
10/1/03,722480.9433,10,Hectares,Western Little Karoo,0,2003
11/1/03,722480.9433,11,Hectares,Western Little Karoo,0,2003
12/1/03,722480.9433,12,Hectares,Western Little Karoo,842.6350284,2003
1/1/04,722480.9433,1,Hectares,Western Little Karoo,2939.523144,2004
2/1/04,722480.9433,2,Hectares,Western Little Karoo,0,2004
3/1/04,722480.9433,3,Hectares,Western Little Karoo,0,2004
4/1/04,722480.9433,4,Hectares,Western Little Karoo,0,2004
5/1/04,722480.9433,5,Hectares,Western Little Karoo,0,2004
6/1/04,722480.9433,6,Hectares,Western Little Karoo,0,2004
7/1/04,722480.9433,7,Hectares,Western Little Karoo,0,2004
8/1/04,722480.9433,8,Hectares,Western Little Karoo,0,2004
